low,high,open,close,volume,year,month,day,weekday,days
5.4375,5.5,0.0,5.5,201200,1987,7,29,3,6418
5.4375,5.5625,5.5,5.5625,107000,1987,7,30,4,6419
5.5,5.5625,5.5625,5.5625,35400,1987,7,31,5,6420
5.5,5.5625,5.5625,5.5625,23800,1987,8,3,1,6423
5.5,5.5625,5.5625,5.5625,35800,1987,8,4,2,6424
5.5,5.5625,5.5625,5.5,23800,1987,8,5,3,6425
5.5,5.5625,5.5,5.5,34000,1987,8,6,4,6426
5.5,5.5625,5.5,5.5625,11400,1987,8,7,5,6427
5.5,5.5625,5.5,5.5625,0,1987,8,10,1,6430
5.5625,5.6875,5.5625,5.625,58200,1987,8,11,2,6431
5.5,6.0,5.625,5.9375,30800,1987,8,12,3,6432
6.0,6.25,6.0,6.125,34000,1987,8,13,4,6433
6.0625,6.25,6.125,6.1875,20400,1987,8,14,5,6434
6.0,6.1875,6.1875,6.0625,22400,1987,8,17,1,6437
5.875,6.125,6.0625,5.875,28400,1987,8,18,2,6438
5.875,6.0,5.875,5.875,15200,1987,8,19,3,6439
6.0,6.3125,6.0,6.25,72600,1987,8,20,4,6440
6.375,7.625,6.375,6.9375,48400,1987,8,21,5,6441
6.75,7.0625,6.9375,6.75,36800,1987,8,24,1,6444
6.75,7.125,6.75,6.9375,34000,1987,8,25,2,6445
6.5625,6.875,6.875,6.5625,22400,1987,8,26,3,6446
6.3125,6.625,6.5625,6.3125,21000,1987,8,27,4,6447
6.375,6.5625,6.375,6.4375,4000,1987,8,28,5,6448
6.375,6.5,6.4375,6.375,4200,1987,8,31,1,6451
6.375,6.4375,6.375,6.375,5600,1987,9,1,2,6452
6.25,6.375,6.375,6.375,2200,1987,9,2,3,6453
6.125,6.25,6.25,6.25,6000,1987,9,3,4,6454
5.875,6.25,6.25,5.875,16600,1987,9,4,5,6455
5.4375,5.875,5.875,5.4375,15200,1987,9,8,2,6459
5.375,5.5,5.4375,5.4375,5800,1987,9,9,3,6460
5.4375,5.5,5.4375,5.4375,3000,1987,9,10,4,6461
5.5625,5.9375,5.5625,5.8125,13800,1987,9,11,5,6462
5.875,5.9375,5.875,5.9375,2800,1987,9,14,1,6465
5.8125,5.875,5.875,5.875,3000,1987,9,15,2,6466
5.625,5.8125,5.8125,5.625,6000,1987,9,16,3,6467
5.5,5.5625,5.5625,5.5,2400,1987,9,17,4,6468
5.5,5.5,5.5,5.5,1000,1987,9,18,5,6469
5.5,5.5,5.5,5.5,4200,1987,9,21,1,6472
5.5,5.625,5.5,5.625,8200,1987,9,22,2,6473
5.5625,5.625,5.625,5.625,5200,1987,9,23,3,6474
5.5625,5.625,5.625,5.625,0,1987,9,24,4,6475
5.625,5.6875,5.625,5.625,400,1987,9,25,5,6476
5.6875,5.75,5.6875,5.6875,2800,1987,9,28,1,6479
5.375,5.625,5.625,5.375,5600,1987,9,29,2,6480
5.375,5.375,5.375,5.375,1600,1987,9,30,3,6481
5.375,5.875,5.375,5.875,14000,1987,10,1,4,6482
5.9375,6.0625,5.9375,6.0,10600,1987,10,2,5,6483
5.875,6.0625,6.0,5.9375,13600,1987,10,5,1,6486
5.875,5.9375,5.9375,5.875,2600,1987,10,6,2,6487
5.75,5.875,5.875,5.75,3000,1987,10,7,3,6488
5.75,5.9375,5.75,5.75,6800,1987,10,8,4,6489
5.6875,5.6875,5.6875,5.6875,1000,1987,10,9,5,6490
5.5,5.625,5.625,5.5,8600,1987,10,12,1,6493
5.375,5.5,5.5,5.375,5200,1987,10,13,2,6494
5.0625,5.5,5.375,5.0625,10600,1987,10,14,3,6495
4.75,5.1875,5.0625,4.8125,16600,1987,10,15,4,6496
4.5,4.9375,4.8125,4.5,24800,1987,10,16,5,6497
2.875,4.3125,4.3125,3.25,67400,1987,10,19,1,6500
3.0625,3.5,3.25,3.375,34600,1987,10,20,2,6501
3.5625,4.125,3.5625,4.0,30200,1987,10,21,3,6502
3.375,4.0,4.0,3.375,19600,1987,10,22,4,6503
3.4375,3.625,3.4375,3.625,5000,1987,10,23,5,6504
3.375,3.5625,3.5625,3.375,5000,1987,10,26,1,6507
3.3125,3.5,3.375,3.4375,4400,1987,10,27,2,6508
3.25,3.4375,3.4375,3.4375,8600,1987,10,28,3,6509
3.0625,3.3125,3.3125,3.1875,8800,1987,10,29,4,6510
3.3125,3.6875,3.3125,3.6875,5200,1987,10,30,5,6511
3.8125,3.9375,3.8125,3.875,4000,1987,11,2,1,6514
3.8125,3.875,3.875,3.8125,2000,1987,11,3,2,6515
3.8125,3.875,3.8125,3.875,4800,1987,11,4,3,6516
3.8125,3.8125,3.8125,3.8125,600,1987,11,5,4,6517
3.8125,3.9375,3.8125,3.8125,3200,1987,11,6,5,6518
3.375,3.75,3.75,3.4375,6600,1987,11,9,1,6521
3.375,3.375,3.375,3.375,600,1987,11,10,2,6522
3.375,3.5,3.375,3.5,5400,1987,11,11,3,6523
3.5625,3.6875,3.5625,3.625,1800,1987,11,12,4,6524
3.5625,3.6875,3.625,3.625,0,1987,11,13,5,6525
3.5625,3.625,3.625,3.5625,2200,1987,11,16,1,6528
3.5,3.6875,3.5625,3.5625,16600,1987,11,17,2,6529
3.5625,3.6875,3.5625,3.6875,4200,1987,11,18,3,6530
3.625,3.75,3.6875,3.6875,5600,1987,11,19,4,6531
3.5,3.625,3.625,3.5,7000,1987,11,20,5,6532
3.5,3.625,3.5,3.5,8800,1987,11,23,1,6535
3.4375,3.5625,3.5,3.5,2600,1987,11,24,2,6536
3.5,3.5625,3.5,3.5,6800,1987,11,25,3,6537
3.375,3.5625,3.5,3.375,1200,1987,11,27,5,6539
3.1875,3.3125,3.3125,3.1875,2800,1987,11,30,1,6542
3.0625,3.125,3.125,3.0625,4000,1987,12,1,2,6543
3.0625,3.1875,3.0625,3.0625,25400,1987,12,2,3,6544
3.0,3.0,3.0,3.0,2000,1987,12,3,4,6545
2.875,3.0625,3.0,2.875,8800,1987,12,4,5,6546
2.75,2.8125,2.8125,2.75,5400,1987,12,7,1,6549
2.5625,2.6875,2.6875,2.5625,5600,1987,12,8,2,6550
2.5,2.6875,2.5625,2.6875,27800,1987,12,9,3,6551
2.6875,2.9375,2.6875,2.75,8000,1987,12,10,4,6552
2.6875,2.9375,2.75,2.6875,13600,1987,12,11,5,6553
2.625,2.75,2.6875,2.6875,9600,1987,12,14,1,6556
2.6875,2.75,2.6875,2.75,16400,1987,12,15,2,6557
2.6875,2.75,2.75,2.6875,9400,1987,12,16,3,6558
2.5625,2.75,2.6875,2.625,16600,1987,12,17,4,6559
2.5,2.6875,2.625,2.625,35800,1987,12,18,5,6560
2.375,2.6875,2.625,2.375,30400,1987,12,21,1,6563
2.375,2.6875,2.375,2.6875,20200,1987,12,22,2,6564
2.625,2.75,2.6875,2.6875,23800,1987,12,23,3,6565
2.625,2.6875,2.6875,2.625,11000,1987,12,24,4,6566
2.5625,2.6875,2.625,2.6875,26800,1987,12,28,1,6570
2.5,2.625,2.625,2.5625,29200,1987,12,29,2,6571
2.4375,2.625,2.5625,2.625,23000,1987,12,30,3,6572
2.4375,3.4375,2.625,3.375,87400,1987,12,31,4,6573
