low,high,open,close,volume,year,month,day,weekday,days
17988.0,21965.0,21965.0,19517.0,117200,2010,9,17,5,14869
20802.0,20863.0,20802.0,20863.0,53600,2010,9,20,1,14872
20863.0,22271.0,22271.0,21475.0,39100,2010,9,21,2,14873
20007.0,21965.0,21781.0,20619.0,17000,2010,9,22,3,14874
19211.0,20068.0,19211.0,19211.0,76700,2010,9,23,4,14875
19456.0,19578.0,19578.0,19517.0,5500,2010,9,24,5,14876
18171.0,20190.0,20190.0,18294.0,75600,2010,9,27,1,14879
17070.0,18905.0,18905.0,17131.0,20800,2010,9,28,2,14880
17437.0,18294.0,18294.0,18049.0,400,2010,9,29,3,14881
16825.0,17131.0,17131.0,16825.0,29400,2010,9,30,4,14882
15663.0,17131.0,16519.0,16030.0,64600,2010,10,1,5,14883
14929.0,16764.0,16764.0,14990.0,24800,2010,10,4,1,14886
13950.0,15112.0,13950.0,14929.0,27400,2010,10,5,2,14887
15296.0,15846.0,15846.0,15357.0,2200,2010,10,6,3,14888
14317.0,15785.0,15785.0,15418.0,7200,2010,10,7,4,14889
14378.0,14439.0,14378.0,14378.0,3700,2010,10,8,5,14890
13399.0,13705.0,13521.0,13399.0,28100,2010,10,11,1,14893
12665.0,14072.0,14072.0,12971.0,4400,2010,10,12,2,14894
13644.0,13644.0,13644.0,13644.0,500,2010,10,13,3,14895
12848.0,14133.0,14133.0,13093.0,19700,2010,10,14,4,14896
12848.0,13399.0,13399.0,13032.0,2600,2010,10,15,5,14897
12175.0,13583.0,13583.0,12787.0,6900,2010,10,18,1,14900
11931.0,11931.0,11931.0,11931.0,9000,2010,10,19,2,14901
11135.0,12175.0,11135.0,11380.0,2800,2010,10,20,3,14902
10585.0,12053.0,10585.0,11686.0,2100,2010,10,21,4,14903
10891.0,12175.0,11931.0,11074.0,34100,2010,10,22,5,14904
10340.0,11441.0,11441.0,10462.0,18700,2010,10,25,1,14907
10891.0,11135.0,10891.0,11074.0,29700,2010,10,26,2,14908
10707.0,11441.0,11380.0,11196.0,15800,2010,10,27,3,14909
10462.0,10462.0,10462.0,10462.0,8600,2010,10,28,4,14910
9789.0,11135.0,11135.0,10218.0,12100,2010,10,29,5,14911
9545.0,10891.0,10891.0,9606.0,18700,2010,11,1,1,14914
8994.0,9667.0,9055.0,9055.0,31600,2010,11,2,2,14915
8443.0,9055.0,9055.0,8627.0,21100,2010,11,3,3,14916
9055.0,9177.0,9116.0,9116.0,18100,2010,11,4,4,14917
9667.0,9728.0,9667.0,9728.0,24200,2010,11,5,5,14918
9055.0,10218.0,10218.0,9239.0,10700,2010,11,8,1,14921
8627.0,9300.0,9300.0,8810.0,42100,2010,11,9,2,14922
8871.0,9116.0,8994.0,8933.0,3500,2010,11,10,3,14923
8321.0,8871.0,8566.0,8382.0,20400,2010,11,11,4,14924
7893.0,8688.0,8688.0,8015.0,10400,2010,11,12,5,14925
7464.0,8443.0,8443.0,8198.0,4300,2010,11,15,1,14928
7648.0,8198.0,7770.0,8015.0,1900,2010,11,16,2,14929
7831.0,8321.0,8260.0,8076.0,8200,2010,11,17,3,14930
8076.0,8321.0,8198.0,8198.0,12500,2010,11,18,4,14931
7709.0,8382.0,8382.0,7831.0,21000,2010,11,19,5,14932
7342.0,7954.0,7831.0,7709.0,5900,2010,11,22,1,14935
7893.0,7954.0,7893.0,7954.0,5800,2010,11,23,2,14936
7464.0,7831.0,7525.0,7587.0,9400,2010,11,24,3,14937
7709.0,8076.0,7954.0,8015.0,29200,2010,11,25,4,14938
7648.0,8382.0,8015.0,8015.0,17400,2010,11,26,5,14939
8504.0,8566.0,8504.0,8566.0,27900,2010,11,29,1,14942
8871.0,9116.0,8871.0,9116.0,23600,2010,11,30,2,14943
9177.0,9728.0,9728.0,9545.0,46000,2010,12,1,3,14944
8994.0,10095.0,9728.0,9850.0,15600,2010,12,2,4,14945
9361.0,10523.0,10523.0,9606.0,40600,2010,12,3,5,14946
9606.0,10218.0,9606.0,10095.0,40600,2010,12,6,1,14949
9422.0,10401.0,10095.0,9545.0,13900,2010,12,7,2,14950
8933.0,8933.0,8933.0,8933.0,10700,2010,12,8,3,14951
8321.0,9239.0,8321.0,8504.0,28500,2010,12,9,4,14952
9055.0,9055.0,9055.0,9055.0,16200,2010,12,10,5,14953
9422.0,9667.0,9667.0,9606.0,38500,2010,12,13,1,14956
9116.0,9789.0,9177.0,9300.0,20100,2010,12,14,2,14957
8749.0,9300.0,9300.0,8871.0,9600,2010,12,15,3,14958
8321.0,8382.0,8321.0,8321.0,25500,2010,12,16,4,14959
7770.0,8382.0,7770.0,7954.0,17100,2010,12,17,5,14960
8198.0,8504.0,8504.0,8443.0,20700,2010,12,20,1,14963
8933.0,8994.0,8994.0,8994.0,10300,2010,12,21,2,14964
9606.0,9606.0,9606.0,9606.0,36900,2010,12,22,3,14965
9177.0,10156.0,10156.0,9483.0,42300,2010,12,23,4,14966
8871.0,9667.0,9667.0,8933.0,13400,2010,12,24,5,14967
8321.0,9483.0,9483.0,8566.0,48700,2010,12,27,1,14970
8566.0,9116.0,8566.0,9055.0,4600,2010,12,28,2,14971
8566.0,9606.0,9606.0,8994.0,3600,2010,12,29,3,14972
9239.0,9239.0,9239.0,9239.0,300,2010,12,30,4,14973
8627.0,9177.0,9177.0,8688.0,7400,2010,12,31,5,14974
8566.0,9116.0,9116.0,8627.0,10300,2011,1,4,2,14978
8382.0,8749.0,8627.0,8688.0,3100,2011,1,5,3,14979
8504.0,8566.0,8566.0,8566.0,1900,2011,1,6,4,14980
8260.0,8871.0,8871.0,8443.0,7900,2011,1,7,5,14981
8443.0,8994.0,8810.0,8627.0,8500,2011,1,10,1,14984
8566.0,8749.0,8627.0,8688.0,10600,2011,1,11,2,14985
8688.0,8749.0,8688.0,8688.0,13000,2011,1,12,3,14986
8871.0,9177.0,8871.0,9055.0,2700,2011,1,13,4,14987
9239.0,9667.0,9239.0,9667.0,104400,2011,1,14,5,14988
10340.0,10340.0,10340.0,10340.0,18200,2011,1,17,1,14991
10401.0,11013.0,11013.0,10952.0,227400,2011,1,18,2,14992
10952.0,11686.0,10952.0,11564.0,58800,2011,1,19,3,14993
11013.0,12359.0,12359.0,11625.0,44500,2011,1,20,4,14994
10829.0,12298.0,12298.0,11074.0,57000,2011,1,21,5,14995
10340.0,11747.0,11074.0,10585.0,25300,2011,1,24,1,14998
9850.0,9850.0,9850.0,9850.0,43900,2011,1,25,2,14999
9177.0,9850.0,9300.0,9667.0,29200,2011,1,26,3,15000
9667.0,9973.0,9667.0,9850.0,11300,2011,1,27,4,15001
9850.0,10279.0,10218.0,10034.0,8800,2011,1,28,5,15002
9422.0,10585.0,10585.0,9850.0,16300,2011,2,8,2,15013
9177.0,10034.0,9789.0,9483.0,20300,2011,2,9,3,15014
8933.0,9422.0,8994.0,9055.0,18100,2011,2,10,4,15015
8933.0,9422.0,8994.0,9177.0,13800,2011,2,11,5,15016
9055.0,9789.0,9789.0,9177.0,25300,2011,2,14,1,15019
8871.0,9239.0,9239.0,8994.0,12100,2011,2,15,2,15020
8688.0,9545.0,9545.0,8749.0,22200,2011,2,16,3,15021
8566.0,8688.0,8688.0,8627.0,14800,2011,2,17,4,15022
8443.0,8749.0,8749.0,8566.0,14200,2011,2,18,5,15023
8015.0,8321.0,8321.0,8015.0,23100,2011,2,21,1,15026
7464.0,8076.0,7525.0,7525.0,35100,2011,2,22,2,15027
7342.0,7954.0,7954.0,7525.0,20100,2011,2,23,3,15028
7158.0,7525.0,7525.0,7403.0,15800,2011,2,24,4,15029
7403.0,7831.0,7770.0,7709.0,11500,2011,2,25,5,15030
7709.0,8137.0,8137.0,7893.0,8200,2011,2,28,1,15033
7403.0,7893.0,7893.0,7525.0,9500,2011,3,1,2,15034
7036.0,7281.0,7281.0,7158.0,22800,2011,3,2,3,15035
6669.0,6975.0,6975.0,6730.0,12700,2011,3,3,4,15036
6730.0,7097.0,7097.0,6914.0,3200,2011,3,4,5,15037
6730.0,6791.0,6791.0,6730.0,5100,2011,3,7,1,15040
6730.0,7036.0,7036.0,6852.0,4900,2011,3,8,2,15041
6424.0,6669.0,6669.0,6485.0,9300,2011,3,9,3,15042
6669.0,6914.0,6669.0,6914.0,19600,2011,3,10,4,15043
7281.0,7342.0,7281.0,7342.0,38200,2011,3,11,5,15044
6852.0,7770.0,7770.0,6975.0,25800,2011,3,14,1,15047
6608.0,7220.0,7220.0,7097.0,4000,2011,3,15,2,15048
6608.0,7097.0,7036.0,6791.0,15700,2011,3,16,3,15049
6730.0,7036.0,6852.0,6914.0,15000,2011,3,17,4,15050
6791.0,7158.0,6914.0,6975.0,23700,2011,3,18,5,15051
7097.0,7403.0,7342.0,7342.0,38900,2011,3,21,1,15054
7587.0,7831.0,7831.0,7770.0,69600,2011,3,22,2,15055
7403.0,8076.0,8076.0,7648.0,13900,2011,3,23,3,15056
7648.0,8137.0,7648.0,8137.0,96500,2011,3,24,4,15057
7648.0,8137.0,8137.0,7709.0,13300,2011,3,25,5,15058
7281.0,7770.0,7587.0,7464.0,19400,2011,3,28,1,15061
7158.0,7709.0,7525.0,7464.0,30900,2011,3,29,2,15062
6975.0,7342.0,7220.0,7097.0,44900,2011,3,30,3,15063
6975.0,7525.0,7403.0,7342.0,17300,2011,3,31,4,15064
7281.0,7648.0,7648.0,7587.0,9100,2011,4,1,5,15065
7342.0,7831.0,7831.0,7525.0,27800,2011,4,4,1,15068
7220.0,7525.0,7525.0,7464.0,4600,2011,4,5,2,15069
7464.0,7648.0,7525.0,7587.0,7700,2011,4,6,3,15070
