low,high,open,close,volume,year,month,day,weekday,days
31.25,38.54999923706055,38.54999923706055,31.5,39080,2010,12,17,5,14960
31.049999237060547,33.75,33.75,31.5,13760,2010,12,20,1,14963
31.25,32.25,31.25,31.25,10360,2010,12,21,2,14964
30.0,31.5,31.5,30.25,23140,2010,12,22,3,14965
30.0,31.5,30.5,31.5,12240,2010,12,23,4,14966
31.0,31.799999237060547,31.5,31.450000762939453,3140,2010,12,27,1,14970
30.0,32.0,31.25,31.649999618530273,4220,2010,12,28,2,14971
31.25,31.799999237060547,31.25,31.75,500,2010,12,29,3,14972
31.600000381469727,32.25,32.25,31.600000381469727,460,2010,12,30,4,14973
31.600000381469727,37.5,31.899999618530273,33.099998474121094,6640,2010,12,31,5,14974
33.5,37.25,33.5,34.0,940,2011,1,3,1,14977
31.5,35.0,31.5,32.650001525878906,5520,2011,1,4,2,14978
32.0,36.25,33.150001525878906,33.0,2340,2011,1,5,3,14979
32.0,36.25,33.5,35.0,2780,2011,1,6,4,14980
32.5,34.400001525878906,33.04999923706055,34.400001525878906,2760,2011,1,7,5,14981
31.5,35.0,35.0,32.25,4300,2011,1,10,1,14984
31.649999618530273,34.25,31.649999618530273,32.5,900,2011,1,11,2,14985
31.5,33.0,31.5,32.400001525878906,1460,2011,1,12,3,14986
31.549999237060547,34.099998474121094,32.900001525878906,34.0,300,2011,1,13,4,14987
32.0,33.0,32.95000076293945,32.0,580,2011,1,14,5,14988
31.5,33.400001525878906,31.549999237060547,32.25,5240,2011,1,18,2,14992
32.25,32.75,32.25,32.5,520,2011,1,19,3,14993
29.75,32.45000076293945,32.45000076293945,31.200000762939453,1960,2011,1,20,4,14994
28.75,31.200000762939453,31.200000762939453,30.0,5360,2011,1,21,5,14995
29.450000762939453,32.5,29.950000762939453,32.099998474121094,9320,2011,1,24,1,14998
31.850000381469727,33.75,33.5,32.150001525878906,5500,2011,1,25,2,14999
31.25,32.5,32.0,32.04999923706055,5980,2011,1,26,3,15000
31.5,32.25,32.25,32.20000076293945,620,2011,1,27,4,15001
31.5,31.549999237060547,31.5,31.549999237060547,580,2011,1,28,5,15002
29.75,32.0,32.0,30.600000381469727,7940,2011,1,31,1,15005
30.25,30.75,30.25,30.700000762939453,2360,2011,2,1,2,15006
30.0,32.5,32.45000076293945,30.0,4480,2011,2,2,3,15007
30.5,32.25,32.0,31.0,1900,2011,2,3,4,15008
31.299999237060547,32.25,32.20000076293945,31.549999237060547,3300,2011,2,4,5,15009
31.25,32.150001525878906,31.5,32.099998474121094,1960,2011,2,7,1,15012
31.0,32.25,31.5,31.049999237060547,3060,2011,2,8,2,15013
30.0,31.850000381469727,31.850000381469727,30.850000381469727,8540,2011,2,9,3,15014
30.5,31.75,30.5,31.600000381469727,2680,2011,2,10,4,15015
31.0,32.25,31.25,32.25,5500,2011,2,11,5,15016
31.049999237060547,32.75,31.5,31.700000762939453,2780,2011,2,14,1,15019
31.75,32.75,32.20000076293945,32.75,5220,2011,2,15,2,15020
31.75,33.349998474121094,32.75,32.75,6080,2011,2,16,3,15021
31.75,33.79999923706055,32.849998474121094,33.79999923706055,2800,2011,2,17,4,15022
33.04999923706055,36.20000076293945,34.599998474121094,35.75,12760,2011,2,18,5,15023
34.0,36.099998474121094,36.099998474121094,35.25,16340,2011,2,22,2,15027
35.70000076293945,36.5,36.0,36.20000076293945,7600,2011,2,23,3,15028
35.04999923706055,37.25,36.20000076293945,37.25,3540,2011,2,24,4,15029
36.75,38.70000076293945,37.45000076293945,38.25,8360,2011,2,25,5,15030
37.95000076293945,39.5,37.95000076293945,39.5,3360,2011,2,28,1,15033
41.20000076293945,49.95000076293945,48.650001525878906,47.5,16760,2011,3,1,2,15034
45.04999923706055,49.95000076293945,49.95000076293945,47.0,7580,2011,3,2,3,15035
45.0,46.849998474121094,46.45000076293945,46.0,3160,2011,3,3,4,15036
45.0,47.5,46.5,47.25,7940,2011,3,4,5,15037
44.400001525878906,47.95000076293945,47.95000076293945,44.45000076293945,4380,2011,3,7,1,15040
44.400001525878906,46.400001525878906,46.25,46.400001525878906,11480,2011,3,8,2,15041
45.5,48.70000076293945,47.0,48.5,16300,2011,3,9,3,15042
