low,high,open,close,volume,year,month,day,weekday,days
7138.0,7138.0,7138.0,7100.0,0,2016,4,6,3,16897
7138.0,7138.0,7138.0,7100.0,0,2016,4,7,4,16898
7138.0,7138.0,7138.0,7100.0,0,2016,4,8,5,16899
3193.0,3193.0,3193.0,3200.0,900,2016,4,11,1,16902
3193.0,3193.0,3193.0,3200.0,0,2016,4,12,2,16903
3193.0,3193.0,3193.0,3200.0,0,2016,4,13,3,16904
3661.0,3661.0,3661.0,3700.0,100,2016,4,14,4,16905
3661.0,3661.0,3661.0,3700.0,0,2016,4,15,5,16906
4024.0,4024.0,4024.0,4000.0,400,2016,4,19,2,16910
4024.0,4024.0,4024.0,4000.0,300,2016,4,20,3,16911
4284.0,4284.0,4284.0,4300.0,200,2016,4,21,4,16912
4284.0,4284.0,4284.0,4300.0,0,2016,4,22,5,16913
4154.0,4154.0,4154.0,4200.0,200,2016,4,25,1,16916
3894.0,4128.0,4128.0,3900.0,3300,2016,4,26,2,16917
3894.0,3920.0,3894.0,3900.0,1700,2016,4,27,3,16918
3897.0,3897.0,3897.0,3900.0,0,2016,4,28,4,16919
4154.0,4465.0,4154.0,4300.0,1600,2016,4,29,5,16920
4985.0,4985.0,4985.0,5000.0,700,2016,5,4,3,16925
4985.0,4985.0,4985.0,5000.0,0,2016,5,5,4,16926
4985.0,4985.0,4985.0,5000.0,0,2016,5,6,5,16927
5712.0,5712.0,5712.0,5700.0,100,2016,5,9,1,16930
5712.0,5712.0,5712.0,5700.0,0,2016,5,10,2,16931
5712.0,5738.0,5712.0,5700.0,3100,2016,5,11,3,16932
5712.0,5738.0,5738.0,5700.0,1700,2016,5,12,4,16933
5841.0,5971.0,5841.0,5900.0,3800,2016,5,13,5,16934
6101.0,6620.0,6101.0,6500.0,14300,2016,5,16,1,16937
6750.0,6750.0,6750.0,6800.0,6700,2016,5,17,2,16938
6750.0,6750.0,6750.0,6800.0,1300,2016,5,18,3,16939
6750.0,6750.0,6750.0,6800.0,1400,2016,5,19,4,16940
6750.0,6880.0,6750.0,6800.0,500,2016,5,20,5,16941
6750.0,6750.0,6750.0,6800.0,2200,2016,5,23,1,16944
6750.0,6750.0,6750.0,6800.0,2400,2016,5,24,2,16945
6750.0,6750.0,6750.0,6800.0,0,2016,5,25,3,16946
6750.0,6880.0,6750.0,6800.0,6700,2016,5,26,4,16947
6880.0,6880.0,6880.0,6900.0,2500,2016,5,27,5,16948
6880.0,6880.0,6880.0,6900.0,0,2016,5,30,1,16951
6880.0,6880.0,6880.0,6900.0,0,2016,5,31,2,16952
6802.0,6802.0,6802.0,6800.0,700,2016,6,1,3,16953
6802.0,6802.0,6802.0,6800.0,0,2016,6,2,4,16954
6776.0,6776.0,6776.0,6800.0,1700,2016,6,3,5,16955
6880.0,6880.0,6880.0,6900.0,2700,2016,6,6,1,16958
6880.0,6880.0,6880.0,6900.0,0,2016,6,7,2,16959
6880.0,6880.0,6880.0,6900.0,0,2016,6,8,3,16960
6802.0,6802.0,6802.0,6800.0,100,2016,6,9,4,16961
6802.0,6802.0,6802.0,6800.0,0,2016,6,10,5,16962
6776.0,6776.0,6776.0,6800.0,600,2016,6,13,1,16965
6776.0,6776.0,6776.0,6800.0,0,2016,6,14,2,16966
6776.0,6776.0,6776.0,6800.0,0,2016,6,15,3,16967
6776.0,6776.0,6776.0,6800.0,0,2016,6,16,4,16968
7036.0,7036.0,7036.0,7000.0,500,2016,6,17,5,16969
7036.0,7036.0,7036.0,7000.0,0,2016,6,20,1,16972
7036.0,7036.0,7036.0,7000.0,0,2016,6,21,2,16973
6880.0,6880.0,6880.0,6900.0,100,2016,6,22,3,16974
7010.0,7010.0,7010.0,7000.0,2200,2016,6,23,4,16975
5971.0,5971.0,5971.0,6000.0,300,2016,6,24,5,16976
6854.0,6854.0,6854.0,6900.0,100,2016,6,27,1,16979
7010.0,7010.0,7010.0,7000.0,200,2016,6,28,2,16980
7010.0,7010.0,7010.0,7000.0,0,2016,6,29,3,16981
7010.0,7010.0,7010.0,7000.0,0,2016,6,30,4,16982
7010.0,7010.0,7010.0,7000.0,0,2016,7,1,5,16983
7010.0,7010.0,7010.0,7000.0,0,2016,7,4,1,16986
7010.0,7010.0,7010.0,7000.0,0,2016,7,5,2,16987
7010.0,7010.0,7010.0,7000.0,0,2016,7,6,3,16988
7088.0,7088.0,7088.0,7100.0,300,2016,7,7,4,16989
7088.0,7088.0,7088.0,7100.0,0,2016,7,8,5,16990
7088.0,7088.0,7088.0,7100.0,0,2016,7,11,1,16993
7088.0,7088.0,7088.0,7100.0,0,2016,7,12,2,16994
7088.0,7088.0,7088.0,7100.0,0,2016,7,13,3,16995
7088.0,7088.0,7088.0,7100.0,1900,2016,7,14,4,16996
7010.0,7010.0,7010.0,7000.0,400,2016,7,15,5,16997
7010.0,7010.0,7010.0,7000.0,0,2016,7,18,1,17000
7010.0,7010.0,7010.0,7000.0,0,2016,7,19,2,17001
7010.0,7010.0,7010.0,7000.0,0,2016,7,20,3,17002
7269.0,8048.0,7269.0,7900.0,7900,2016,7,21,4,17003
8048.0,8048.0,8048.0,8000.0,100,2016,7,22,5,17004
8048.0,8438.0,8048.0,8300.0,2000,2016,7,25,1,17007
8204.0,8308.0,8308.0,8200.0,14500,2016,7,26,2,17008
8048.0,8438.0,8048.0,8400.0,2500,2016,7,27,3,17009
8360.0,8360.0,8360.0,8400.0,0,2016,7,28,4,17010
8360.0,8360.0,8360.0,8400.0,0,2016,7,29,5,17011
8360.0,8360.0,8360.0,8400.0,0,2016,8,1,1,17014
8438.0,8697.0,8438.0,8600.0,1500,2016,8,2,2,17015
9087.0,9087.0,9087.0,9100.0,100,2016,8,3,3,17016
9087.0,9087.0,9087.0,9100.0,0,2016,8,4,4,17017
9087.0,9087.0,9087.0,9100.0,0,2016,8,5,5,17018
9087.0,9087.0,9087.0,9100.0,0,2016,8,8,1,17021
9087.0,9087.0,9087.0,9100.0,0,2016,8,9,2,17022
9087.0,9087.0,9087.0,9100.0,0,2016,8,10,3,17023
9087.0,9087.0,9087.0,9100.0,0,2016,8,11,4,17024
8567.0,9087.0,9087.0,9100.0,2400,2016,8,12,5,17025
9087.0,9087.0,9087.0,9100.0,0,2016,8,15,1,17028
8619.0,8619.0,8619.0,8600.0,300,2016,8,16,2,17029
8671.0,8697.0,8671.0,8700.0,300,2016,8,17,3,17030
8671.0,8827.0,8671.0,8700.0,2100,2016,8,18,4,17031
8697.0,8749.0,8697.0,8700.0,1300,2016,8,19,5,17032
8827.0,8827.0,8827.0,8800.0,400,2016,8,22,1,17035
8827.0,8827.0,8827.0,8800.0,0,2016,8,23,2,17036
8957.0,8957.0,8957.0,9000.0,300,2016,8,24,3,17037
9087.0,9087.0,9087.0,9100.0,5700,2016,8,25,4,17038
9087.0,9087.0,9087.0,9100.0,0,2016,8,26,5,17039
9087.0,9087.0,9087.0,9100.0,0,2016,8,29,1,17042
9087.0,9087.0,9087.0,9100.0,0,2016,8,30,2,17043
