low,high,open,close,volume,year,month,day,weekday,days
31.700000762939453,35.5,35.5,33.0,410,2005,11,10,4,13097
31.0,32.70000076293945,32.70000076293945,31.0,1000,2005,11,11,5,13098
30.0,34.400001525878906,31.0,34.29999923706055,1030,2005,11,14,1,13101
35.0,36.79999923706055,35.0,35.0,540,2005,11,15,2,13102
35.0,38.0,35.5,35.0,1270,2005,11,16,3,13103
35.0,38.0,37.79999923706055,35.0,1000,2005,11,17,4,13104
34.099998474121094,38.400001525878906,38.0,35.5,1850,2005,11,18,5,13105
35.0,37.70000076293945,37.5,35.0,330,2005,11,21,1,13108
31.0,37.0,37.0,32.5,1490,2005,11,22,2,13109
32.70000076293945,33.5,32.70000076293945,33.5,120,2005,11,23,3,13110
33.5,35.0,33.5,35.0,250,2005,11,25,5,13112
34.20000076293945,35.0,35.0,34.20000076293945,400,2005,11,28,1,13115
34.5,34.5,34.5,34.5,90,2005,11,29,2,13116
27.5,34.5,34.20000076293945,34.5,1800,2005,11,30,3,13117
32.0,35.0,32.0,35.0,670,2005,12,1,4,13118
30.0,33.0,33.0,30.0,750,2005,12,2,5,13119
30.0,32.5,30.0,32.5,650,2005,12,5,1,13122
31.5,32.5,32.5,31.5,2150,2005,12,6,2,13123
31.5,32.5,32.5,31.5,150,2005,12,7,3,13124
30.0,31.5,30.5,30.0,1670,2005,12,8,4,13125
30.0,31.5,31.0,30.0,1940,2005,12,9,5,13126
30.0,30.0,30.0,30.0,0,2005,12,12,1,13129
30.0,30.5,30.5,30.0,150,2005,12,13,2,13130
30.0,30.0,30.0,30.0,60,2005,12,14,3,13131
29.399999618530273,30.0,30.0,29.399999618530273,250,2005,12,15,4,13132
29.399999618530273,30.0,29.399999618530273,30.0,240,2005,12,16,5,13133
30.0,30.0,30.0,30.0,0,2005,12,19,1,13136
30.0,30.0,30.0,30.0,0,2005,12,20,2,13137
30.0,30.0,30.0,30.0,0,2005,12,21,3,13138
30.0,30.0,30.0,30.0,0,2005,12,22,4,13139
29.5,30.0,29.700000762939453,29.5,10900,2005,12,23,5,13140
29.5,30.0,29.5,30.0,390,2005,12,27,2,13144
29.700000762939453,29.700000762939453,29.700000762939453,29.700000762939453,50,2005,12,28,3,13145
29.700000762939453,29.700000762939453,29.700000762939453,29.700000762939453,0,2005,12,29,4,13146
28.0,29.5,29.5,28.0,410,2005,12,30,5,13147
29.0,29.0,29.0,29.0,50,2006,1,3,2,13151
28.0,28.5,28.0,28.5,70,2006,1,4,3,13152
28.5,28.5,28.5,28.5,0,2006,1,5,4,13153
28.5,30.5,28.5,30.5,400,2006,1,6,5,13154
30.0,32.0,30.5,31.5,16280,2006,1,9,1,13157
31.0,32.5,31.0,32.5,1150,2006,1,10,2,13158
31.5,32.20000076293945,31.5,31.5,1750,2006,1,11,3,13159
30.5,32.0,32.0,31.0,930,2006,1,12,4,13160
30.0,32.5,31.0,31.0,1400,2006,1,13,5,13161
30.5,32.5,32.5,31.0,2030,2006,1,17,2,13165
31.0,33.0,31.0,31.0,950,2006,1,18,3,13166
30.5,31.5,31.5,30.5,770,2006,1,19,4,13167
30.5,31.0,31.0,30.899999618530273,450,2006,1,20,5,13168
31.0,31.0,31.0,31.0,100,2006,1,23,1,13171
29.5,30.600000381469727,29.5,30.0,650,2006,1,24,2,13172
30.0,32.400001525878906,30.0,31.799999237060547,7230,2006,1,25,3,13173
21.5,31.5,31.5,31.0,9540,2006,1,26,4,13174
30.5,31.0,30.5,31.0,110,2006,1,27,5,13175
30.0,30.0,30.0,30.0,100,2006,1,30,1,13178
30.0,30.0,30.0,30.0,100,2006,1,31,2,13179
30.0,30.0,30.0,30.0,0,2006,2,1,3,13180
29.5,29.5,29.5,29.5,120,2006,2,2,4,13181
29.0,29.5,29.5,29.0,450,2006,2,3,5,13182
29.5,30.0,29.5,29.5,1150,2006,2,6,1,13185
30.0,30.0,30.0,30.0,50,2006,2,7,2,13186
29.899999618530273,29.899999618530273,29.899999618530273,29.899999618530273,10,2006,2,8,3,13187
27.5,28.5,27.5,28.5,1350,2006,2,9,4,13188
25.0,28.0,26.5,27.5,1360,2006,2,10,5,13189
24.0,26.0,25.5,24.0,520,2006,2,13,1,13192
24.0,24.0,24.0,24.0,50,2006,2,14,2,13193
25.0,25.0,25.0,25.0,100,2006,2,15,3,13194
25.0,25.0,25.0,25.0,0,2006,2,16,4,13195
25.0,25.0,25.0,25.0,80,2006,2,17,5,13196
24.0,24.0,24.0,24.0,40,2006,2,21,2,13200
24.0,25.0,25.0,24.0,150,2006,2,22,3,13201
24.0,25.0,24.0,24.0,340,2006,2,23,4,13202
24.0,24.0,24.0,24.0,0,2006,2,24,5,13203
24.0,24.0,24.0,24.0,0,2006,2,27,1,13206
24.0,24.0,24.0,24.0,0,2006,2,28,2,13207
24.0,24.0,24.0,24.0,30,2006,3,1,3,13208
19.0,24.0,20.0,24.0,1700,2006,3,2,4,13209
20.0,22.0,20.0,20.0,380,2006,3,3,5,13210
18.399999618530273,19.0,19.0,18.799999237060547,550,2006,3,6,1,13213
18.0,20.0,18.200000762939453,18.5,1030,2006,3,7,2,13214
18.5,18.5,18.5,18.5,50,2006,3,8,3,13215
18.5,31.0,18.5,26.5,21360,2006,3,9,4,13216
27.0,30.0,29.0,28.0,14470,2006,3,10,5,13217
24.799999237060547,30.5,30.0,26.899999618530273,7160,2006,3,13,1,13220
25.5,28.0,28.0,26.5,2900,2006,3,14,2,13221
26.5,28.0,28.0,27.0,3670,2006,3,15,3,13222
22.399999618530273,27.0,27.0,23.0,5330,2006,3,16,4,13223
21.0,24.0,22.5,21.5,620,2006,3,17,5,13224
19.5,21.5,21.5,19.5,1760,2006,3,20,1,13227
19.0,22.5,19.0,22.399999618530273,610,2006,3,21,2,13228
18.899999618530273,22.399999618530273,22.399999618530273,18.899999618530273,350,2006,3,22,3,13229
17.0,22.0,18.5,22.0,4570,2006,3,23,4,13230
17.5,22.0,22.0,20.5,1260,2006,3,24,5,13231
19.5,21.0,20.5,20.0,1790,2006,3,27,1,13234
19.700000762939453,20.5,19.799999237060547,20.399999618530273,1660,2006,3,28,2,13235
18.5,20.0,19.5,20.0,1440,2006,3,29,3,13236
18.600000381469727,19.5,19.0,18.600000381469727,660,2006,3,30,4,13237
18.600000381469727,18.700000762939453,18.600000381469727,18.700000762939453,120,2006,3,31,5,13238
18.5,18.700000762939453,18.5,18.700000762939453,290,2006,4,3,1,13241
18.5,18.600000381469727,18.600000381469727,18.600000381469727,390,2006,4,4,2,13242
18.5,19.0,18.5,19.0,1230,2006,4,5,3,13243
18.600000381469727,19.0,19.0,18.600000381469727,330,2006,4,6,4,13244
18.5,20.0,20.0,19.0,1400,2006,4,7,5,13245
17.5,19.0,19.0,18.5,730,2006,4,10,1,13248
16.0,18.0,17.5,16.5,1840,2006,4,11,2,13249
14.0,16.5,16.5,15.0,1620,2006,4,12,3,13250
