low,high,open,close,volume,year,month,day,weekday,days
3098.0,3540.0,3540.0,3297.0,87620,2011,3,30,3,15063
3297.0,3452.0,3452.0,3363.0,28820,2011,3,31,4,15064
3363.0,3429.0,3363.0,3363.0,26730,2011,4,1,5,15065
3319.0,3407.0,3385.0,3319.0,15180,2011,4,4,1,15068
3164.0,3407.0,3407.0,3164.0,52410,2011,4,5,2,15069
3120.0,3319.0,3208.0,3319.0,39100,2011,4,6,3,15070
3208.0,3319.0,3208.0,3208.0,11020,2011,4,7,4,15071
3142.0,3208.0,3186.0,3142.0,33250,2011,4,8,5,15072
3009.0,3164.0,3009.0,3009.0,17930,2011,4,13,3,15077
2876.0,3098.0,2943.0,2943.0,25100,2011,4,14,4,15078
2898.0,3009.0,2987.0,3009.0,22140,2011,4,15,5,15079
2876.0,3075.0,2921.0,2921.0,18250,2011,4,18,1,15082
2788.0,2921.0,2921.0,2788.0,14000,2011,4,19,2,15083
2810.0,2921.0,2810.0,2921.0,22130,2011,4,20,3,15084
2898.0,3031.0,3031.0,2943.0,17990,2011,4,21,4,15085
2832.0,2832.0,2832.0,2832.0,5000,2011,4,22,5,15086
2876.0,2965.0,2921.0,2876.0,5190,2011,4,25,1,15089
2788.0,2876.0,2788.0,2854.0,12190,2011,4,26,2,15090
2721.0,2788.0,2788.0,2721.0,14310,2011,4,27,3,15091
2611.0,2633.0,2611.0,2633.0,10020,2011,4,28,4,15092
2655.0,2721.0,2655.0,2655.0,4080,2011,4,29,5,15093
2655.0,2788.0,2788.0,2766.0,2700,2011,5,4,3,15098
2699.0,2766.0,2699.0,2766.0,4910,2011,5,5,4,15099
2721.0,2721.0,2721.0,2721.0,3400,2011,5,6,5,15100
2721.0,2721.0,2721.0,2721.0,100,2011,5,9,1,15103
2744.0,2810.0,2744.0,2810.0,5520,2011,5,10,2,15104
2744.0,2766.0,2766.0,2744.0,4000,2011,5,11,3,15105
2744.0,2832.0,2766.0,2832.0,8140,2011,5,12,4,15106
2699.0,2766.0,2766.0,2766.0,24000,2011,5,13,5,15107
2699.0,2699.0,2699.0,2699.0,10000,2011,5,16,1,15110
2633.0,2699.0,2699.0,2655.0,7370,2011,5,17,2,15111
2744.0,2788.0,2744.0,2788.0,16960,2011,5,18,3,15112
2788.0,2921.0,2921.0,2832.0,51290,2011,5,19,4,15113
2788.0,2876.0,2832.0,2788.0,14440,2011,5,20,5,15114
2655.0,2721.0,2721.0,2721.0,16740,2011,5,23,1,15117
2589.0,2633.0,2611.0,2589.0,5510,2011,5,24,2,15118
2478.0,2589.0,2589.0,2478.0,21620,2011,5,25,3,15119
2367.0,2589.0,2367.0,2589.0,20070,2011,5,26,4,15120
2655.0,2699.0,2699.0,2699.0,32760,2011,5,27,5,15121
2567.0,2752.0,2752.0,2567.0,1060,2011,5,30,1,15124
2487.0,2646.0,2567.0,2567.0,9270,2011,5,31,2,15125
2646.0,2673.0,2646.0,2673.0,7260,2011,6,1,3,15126
2646.0,2752.0,2752.0,2699.0,10660,2011,6,2,4,15127
2646.0,2752.0,2752.0,2646.0,13030,2011,6,3,5,15128
2646.0,2752.0,2752.0,2646.0,19350,2011,6,6,1,15131
2726.0,2779.0,2752.0,2779.0,20620,2011,6,7,2,15132
2646.0,2858.0,2858.0,2646.0,18290,2011,6,8,3,15133
2726.0,2752.0,2726.0,2752.0,11010,2011,6,9,4,15134
2752.0,2805.0,2805.0,2805.0,7700,2011,6,10,5,15135
2699.0,2779.0,2699.0,2779.0,15250,2011,6,13,1,15138
2752.0,2779.0,2752.0,2752.0,17190,2011,6,14,2,15139
2646.0,2752.0,2752.0,2726.0,80900,2011,6,15,3,15140
2673.0,2726.0,2726.0,2726.0,24520,2011,6,16,4,15141
2699.0,2752.0,2699.0,2726.0,12020,2011,6,17,5,15142
2646.0,2726.0,2646.0,2699.0,3000,2011,6,20,1,15145
2699.0,2699.0,2699.0,2699.0,3000,2011,6,21,2,15146
2673.0,2726.0,2726.0,2673.0,7030,2011,6,22,3,15147
2567.0,2726.0,2726.0,2567.0,1010,2011,6,23,4,15148
2620.0,2646.0,2646.0,2620.0,8000,2011,6,24,5,15149
2620.0,2646.0,2620.0,2646.0,8380,2011,6,27,1,15152
2620.0,2673.0,2673.0,2620.0,4080,2011,6,28,2,15153
2540.0,2646.0,2646.0,2646.0,2500,2011,6,29,3,15154
2540.0,2646.0,2646.0,2540.0,7500,2011,6,30,4,15155
2646.0,2646.0,2646.0,2646.0,10,2011,7,1,5,15156
2514.0,2540.0,2514.0,2540.0,1490,2011,7,4,1,15159
2540.0,2593.0,2593.0,2540.0,1450,2011,7,5,2,15160
2540.0,2646.0,2646.0,2540.0,1010,2011,7,6,3,15161
2540.0,2646.0,2646.0,2540.0,2090,2011,7,7,4,15162
2567.0,2620.0,2567.0,2620.0,11510,2011,7,8,5,15163
2567.0,2567.0,2567.0,2567.0,1000,2011,7,11,1,15166
2514.0,2514.0,2514.0,2514.0,20,2011,7,12,2,15167
2408.0,2567.0,2514.0,2408.0,11130,2011,7,13,3,15168
2408.0,2514.0,2408.0,2408.0,2030,2011,7,14,4,15169
2329.0,2514.0,2329.0,2408.0,1670,2011,7,15,5,15170
2408.0,2461.0,2408.0,2408.0,1240,2011,7,18,1,15173
2408.0,2435.0,2408.0,2435.0,8450,2011,7,19,2,15174
2435.0,2461.0,2461.0,2435.0,6040,2011,7,20,3,15175
2382.0,2435.0,2435.0,2382.0,6670,2011,7,21,4,15176
2355.0,2355.0,2355.0,2355.0,30,2011,7,22,5,15177
2382.0,2382.0,2382.0,2382.0,200,2011,7,25,1,15180
2382.0,2382.0,2382.0,2382.0,500,2011,7,26,2,15181
2408.0,2408.0,2408.0,2408.0,1500,2011,7,27,3,15182
2435.0,2435.0,2435.0,2435.0,20,2011,7,28,4,15183
2408.0,2408.0,2408.0,2408.0,200,2011,7,29,5,15184
2329.0,2461.0,2355.0,2329.0,1310,2011,8,1,1,15187
2249.0,2249.0,2249.0,2249.0,400,2011,8,2,2,15188
