low,high,open,close,volume,year,month,day,weekday,days
12.0,12.375,12.25,12.125,1241000,1997,1,31,5,9892
12.125,12.375,12.375,12.25,179700,1997,2,3,1,9895
12.0,12.375,12.25,12.0,113200,1997,2,4,2,9896
12.0,12.375,12.0,12.0,236100,1997,2,5,3,9897
12.0,12.25,12.0,12.0,191600,1997,2,6,4,9898
10.625,12.125,12.0,11.75,103200,1997,2,7,5,9899
11.5,11.875,11.5,11.5,45900,1997,2,10,1,9902
9.875,11.75,11.5,10.125,91100,1997,2,11,2,9903
10.0,10.5,10.5,10.4375,80800,1997,2,12,3,9904
10.375,10.5,10.5,10.5,36100,1997,2,13,4,9905
9.125,10.5,10.375,9.125,109700,1997,2,14,5,9906
9.125,9.25,9.125,9.125,7900,1997,2,18,2,9910
8.25,9.125,9.125,8.25,124400,1997,2,19,3,9911
7.75,8.5,8.5,7.75,24100,1997,2,20,4,9912
7.75,8.25,7.75,7.875,28100,1997,2,21,5,9913
8.0,8.4375,8.25,8.375,94300,1997,2,24,1,9916
9.375,11.375,9.625,11.125,333700,1997,2,25,2,9917
10.875,11.625,11.5,11.375,137700,1997,2,26,3,9918
10.875,11.375,11.375,10.875,71000,1997,2,27,4,9919
9.875,11.0,11.0,9.875,73500,1997,2,28,5,9920
9.5,10.125,10.125,9.5,53300,1997,3,3,1,9923
9.5,10.0,9.5,9.6875,36500,1997,3,4,2,9924
9.125,9.75,9.5,9.5,57500,1997,3,5,3,9925
9.125,9.5,9.125,9.375,9400,1997,3,6,4,9926
9.375,9.75,9.75,9.375,3100,1997,3,7,5,9927
9.75,11.125,9.75,10.625,74800,1997,3,10,1,9930
11.0,11.625,11.25,11.625,45500,1997,3,11,2,9931
11.375,11.875,11.625,11.5,57600,1997,3,12,3,9932
11.375,11.75,11.75,11.375,9100,1997,3,13,4,9933
10.625,11.625,11.625,10.875,19700,1997,3,14,5,9934
10.5,10.75,10.625,10.625,48600,1997,3,17,1,9937
9.75,10.625,10.5,9.875,14000,1997,3,18,2,9938
9.75,10.0,9.75,9.75,9800,1997,3,19,3,9939
9.25,10.0,10.0,9.5,17900,1997,3,20,4,9940
9.25,9.75,9.25,9.375,5100,1997,3,21,5,9941
9.375,9.875,9.75,9.875,24700,1997,3,24,1,9944
9.625,10.125,9.875,9.875,18500,1997,3,25,2,9945
10.0,11.25,10.25,11.015625,50300,1997,3,26,3,9946
11.0,11.625,11.125,11.125,57200,1997,3,27,4,9947
10.875,11.25,11.25,10.875,18900,1997,3,31,1,9951
10.875,11.0,10.875,10.875,12900,1997,4,1,2,9952
10.75,11.125,10.875,10.75,36700,1997,4,2,3,9953
10.875,11.125,11.125,10.9375,7600,1997,4,3,4,9954
10.875,11.25,10.875,11.125,8900,1997,4,4,5,9955
11.0,11.5,11.25,11.125,8600,1997,4,7,1,9958
11.25,12.0,11.5,12.0,17600,1997,4,8,2,9959
11.875,12.75,12.0,11.875,42800,1997,4,9,3,9960
11.375,12.25,11.5,12.0,31000,1997,4,10,4,9961
11.875,12.5,11.875,12.25,24000,1997,4,11,5,9962
11.5,12.5,12.5,11.875,18000,1997,4,14,1,9965
11.5,12.0,11.5,11.625,51100,1997,4,15,2,9966
11.5,11.625,11.625,11.5,3900,1997,4,16,3,9967
11.125,11.75,11.625,11.125,5100,1997,4,17,4,9968
10.875,11.0,11.0,10.875,3900,1997,4,18,5,9969
11.0,11.375,11.25,11.125,5500,1997,4,21,1,9972
11.125,11.125,11.125,11.125,0,1997,4,22,2,9973
10.875,11.25,10.875,11.25,7400,1997,4,23,3,9974
10.75,11.25,10.875,10.875,35500,1997,4,24,4,9975
10.875,11.25,10.875,10.875,9100,1997,4,25,5,9976
10.875,11.25,10.875,11.25,5100,1997,4,28,1,9979
10.875,11.25,10.875,10.875,9800,1997,4,29,2,9980
11.125,11.25,11.125,11.25,5500,1997,4,30,3,9981
11.0,11.25,11.0,11.25,2300,1997,5,1,4,9982
11.0,11.25,11.0,11.25,2500,1997,5,2,5,9983
11.0,12.25,11.375,12.0,19300,1997,5,5,1,9986
11.875,12.25,11.875,11.875,3800,1997,5,6,2,9987
11.0,12.25,12.25,11.0,30600,1997,5,7,3,9988
10.25,11.375,11.0,11.0,45400,1997,5,8,4,9989
10.875,11.125,11.0,11.125,7500,1997,5,9,5,9990
10.75,11.125,11.125,10.75,7600,1997,5,12,1,9993
10.75,11.125,11.125,11.125,3600,1997,5,13,2,9994
10.75,11.25,11.25,10.875,3800,1997,5,14,3,9995
10.75,11.125,11.125,10.75,800,1997,5,15,4,9996
10.75,11.25,10.75,11.0,12400,1997,5,16,5,9997
11.0,11.25,11.25,11.125,1700,1997,5,19,1,10000
11.25,11.25,11.25,11.25,5000,1997,5,20,2,10001
11.0,11.5,11.25,11.5,4400,1997,5,21,3,10002
11.625,12.125,11.75,11.625,5700,1997,5,22,4,10003
11.75,12.25,12.25,12.125,4100,1997,5,23,5,10004
11.75,12.375,12.25,12.0,9000,1997,5,27,2,10008
12.0,12.0,12.0,12.0,2900,1997,5,28,3,10009
11.75,12.5,12.5,11.75,9600,1997,5,29,4,10010
11.625,12.0,11.75,11.875,5100,1997,5,30,5,10011
11.375,11.75,11.375,11.75,1900,1997,6,2,1,10014
11.125,11.75,11.125,11.125,1900,1997,6,3,2,10015
11.0,11.75,11.75,11.25,6200,1997,6,4,3,10016
11.25,11.5,11.375,11.375,6700,1997,6,5,4,10017
11.0,11.5,11.0,11.25,1400,1997,6,6,5,10018
11.0,11.0,11.0,11.0,1000,1997,6,9,1,10021
10.875,11.5,11.5,10.875,1900,1997,6,10,2,10022
10.875,11.625,10.875,11.25,8500,1997,6,11,3,10023
11.25,11.625,11.25,11.625,1000,1997,6,12,4,10024
11.25,11.625,11.25,11.5,7800,1997,6,13,5,10025
11.25,11.5,11.5,11.25,600,1997,6,16,1,10028
11.125,11.75,11.75,11.125,8000,1997,6,17,2,10029
