low,high,open,close,volume,year,month,day,weekday,days
5449.0,5726.0,6010.0,5720.0,5100,2016,6,7,2,16959
5205.0,5412.0,5223.0,5388.0,1400,2016,6,8,3,16960
5181.0,5489.0,4891.0,5181.0,600,2016,6,9,4,16961
4663.0,5604.0,4725.0,5471.0,6700,2016,6,10,5,16962
5086.0,5885.0,5471.0,5803.0,14100,2016,6,13,1,16965
5803.0,5803.0,5803.0,5803.0,2000,2016,6,14,2,16966
5281.0,5655.0,5264.0,5637.0,2100,2016,6,15,3,16967
5803.0,5803.0,5803.0,5803.0,12000,2016,6,16,4,16968
5121.0,6049.0,5264.0,5637.0,5400,2016,6,17,5,16969
5771.0,6057.0,6135.0,5886.0,10200,2016,6,20,1,16972
5325.0,6274.0,5347.0,5927.0,13400,2016,6,21,2,16973
6010.0,6010.0,6010.0,6010.0,4000,2016,6,22,3,16974
6010.0,6010.0,6010.0,6010.0,0,2016,6,23,4,16975
5471.0,5471.0,5471.0,5471.0,100,2016,6,24,5,16976
5053.0,6106.0,4974.0,6010.0,1100,2016,6,27,1,16979
5894.0,7100.0,5471.0,6591.0,5300,2016,6,28,2,16980
6591.0,6591.0,6591.0,6591.0,0,2016,6,29,3,16981
6039.0,6080.0,6010.0,6052.0,40000,2016,6,30,4,16982
6137.0,6179.0,6135.0,6176.0,11800,2016,7,1,5,16983
6176.0,6176.0,6176.0,6176.0,0,2016,7,4,1,16986
5783.0,6335.0,5637.0,6176.0,22000,2016,7,5,2,16987
5676.0,6176.0,6135.0,6135.0,1200,2016,7,6,3,16988
6148.0,6274.0,6093.0,6217.0,18100,2016,7,7,4,16989
6071.0,7142.0,5637.0,6383.0,3800,2016,7,8,5,16990
5818.0,6233.0,5803.0,6217.0,2600,2016,7,11,1,16993
5760.0,6052.0,5720.0,6010.0,5700,2016,7,12,2,16994
5486.0,6442.0,5471.0,6217.0,3200,2016,7,13,3,16995
6217.0,6217.0,6217.0,6217.0,10500,2016,7,14,4,16996
6217.0,6217.0,6217.0,6217.0,0,2016,7,15,5,16997
6217.0,6217.0,6217.0,6217.0,400,2016,7,18,1,17000
6195.0,6322.0,6093.0,6217.0,9100,2016,7,19,2,17001
6217.0,6217.0,6217.0,6217.0,0,2016,7,20,3,17002
6425.0,6425.0,6425.0,6425.0,3800,2016,7,21,4,17003
6217.0,6217.0,6217.0,6217.0,2500,2016,7,22,5,17004
6217.0,6217.0,6217.0,6217.0,0,2016,7,25,1,17007
5723.0,6733.0,5637.0,6632.0,2800,2016,7,26,2,17008
6204.0,6846.0,6010.0,6632.0,600,2016,7,27,3,17009
6010.0,6632.0,6010.0,6425.0,400,2016,7,28,4,17010
6425.0,6425.0,6425.0,6425.0,0,2016,7,29,5,17011
6217.0,6217.0,6217.0,6217.0,100,2016,8,1,1,17014
5848.0,6014.0,5844.0,6010.0,5100,2016,8,2,2,17015
5752.0,5835.0,5762.0,5803.0,4100,2016,8,3,3,17016
5803.0,5803.0,5803.0,5803.0,0,2016,8,4,4,17017
5803.0,5803.0,5803.0,5803.0,0,2016,8,5,5,17018
5803.0,5803.0,5803.0,5803.0,0,2016,8,8,1,17021
5476.0,6200.0,5637.0,5803.0,1600,2016,8,9,2,17022
5803.0,5803.0,5803.0,5803.0,0,2016,8,10,3,17023
5287.0,6216.0,5430.0,5844.0,600,2016,8,11,4,17024
5844.0,5844.0,5844.0,5844.0,0,2016,8,12,5,17025
5844.0,5844.0,5844.0,5844.0,400,2016,8,15,1,17028
6217.0,6217.0,6217.0,6217.0,200,2016,8,16,2,17029
6191.0,6404.0,6010.0,6217.0,4000,2016,8,17,3,17030
5920.0,6530.0,5637.0,6217.0,28100,2016,8,18,4,17031
