low,high,open,close,volume,year,month,day,weekday,days
3.75,5.0,3.875,4.0,366200,1993,11,10,3,8714
3.5,4.0,4.0,3.5,114100,1993,11,11,4,8715
3.5,3.75,3.5,3.5,22400,1993,11,12,5,8716
3.5,3.75,3.75,3.5625,9200,1993,11,15,1,8719
3.5,3.75,3.625,3.5,35000,1993,11,16,2,8720
3.5,3.75,3.625,3.75,61700,1993,11,17,3,8721
3.5,3.75,3.75,3.5,40500,1993,11,18,4,8722
3.5,3.75,3.75,3.5,16500,1993,11,19,5,8723
3.5,3.75,3.5,3.5,40400,1993,11,22,1,8726
3.5,3.75,3.75,3.5,7400,1993,11,23,2,8727
3.5,3.625,3.5,3.5625,12500,1993,11,24,3,8728
3.5,3.5625,3.5,3.5,6100,1993,11,26,5,8730
3.5,4.375,3.5,4.25,171800,1993,11,29,1,8733
3.875,4.28125,4.25,4.0,58900,1993,11,30,2,8734
4.0,4.625,4.0625,4.5625,234800,1993,12,1,3,8735
4.4375,4.6875,4.5625,4.5625,116800,1993,12,2,4,8736
4.5,5.5,4.5,5.3125,264500,1993,12,3,5,8737
5.0,5.875,5.5,5.25,164800,1993,12,6,1,8740
5.25,6.0,5.4375,6.0,138000,1993,12,7,2,8741
5.75,6.625,6.0,6.1875,182700,1993,12,8,3,8742
5.875,6.25,6.125,5.875,57800,1993,12,9,4,8743
5.875,6.25,6.1875,6.0,22100,1993,12,10,5,8744
5.25,6.0,5.8125,5.75,121900,1993,12,13,1,8747
5.625,6.5,5.625,6.4375,90000,1993,12,14,2,8748
5.9375,6.6875,6.46875,6.0,68000,1993,12,15,3,8749
5.625,6.125,6.125,6.0625,65000,1993,12,16,4,8750
6.0,6.625,6.125,6.625,69800,1993,12,17,5,8751
6.0,6.625,6.4375,6.0625,41600,1993,12,20,1,8754
5.5,6.0625,6.0625,5.5,48400,1993,12,21,2,8755
5.625,5.9375,5.6875,5.9375,19400,1993,12,22,3,8756
5.625,5.9375,5.8125,5.75,36600,1993,12,23,4,8757
5.8125,6.5,5.875,6.375,74500,1993,12,27,1,8761
6.1875,6.375,6.375,6.25,60900,1993,12,28,2,8762
6.25,6.625,6.5,6.3125,30700,1993,12,29,3,8763
6.0,6.375,6.3125,6.125,30000,1993,12,30,4,8764
6.0,6.25,6.25,6.0,21100,1993,12,31,5,8765
5.875,6.125,6.125,6.0,13500,1994,1,3,1,8768
5.875,6.25,6.125,5.9375,25900,1994,1,4,2,8769
6.0625,6.375,6.25,6.25,20200,1994,1,5,3,8770
6.0,6.375,6.25,6.0,42200,1994,1,6,4,8771
6.0,6.375,6.375,6.375,41700,1994,1,7,5,8772
6.375,6.5,6.5,6.375,49500,1994,1,10,1,8775
6.375,6.75,6.375,6.5625,33600,1994,1,11,2,8776
6.375,6.625,6.5625,6.5,11300,1994,1,12,3,8777
6.25,6.625,6.375,6.5,12800,1994,1,13,4,8778
6.125,6.5,6.5,6.125,21900,1994,1,14,5,8779
5.8125,6.125,6.0,6.125,4000,1994,1,17,1,8782
5.8125,6.3125,5.8125,6.3125,16800,1994,1,18,2,8783
6.25,6.75,6.25,6.75,67200,1994,1,19,3,8784
6.5,6.9375,6.625,6.5,73100,1994,1,20,4,8785
6.5,6.8125,6.75,6.75,47500,1994,1,21,5,8786
6.6875,6.875,6.8125,6.875,28700,1994,1,24,1,8789
6.75,7.0625,7.0,6.875,28900,1994,1,25,2,8790
6.8125,7.0,6.8125,7.0,62400,1994,1,26,3,8791
6.875,7.25,7.0,7.0,30400,1994,1,27,4,8792
6.875,7.25,7.0,6.875,12200,1994,1,28,5,8793
6.75,6.875,6.875,6.8125,7400,1994,1,31,1,8796
6.375,6.75,6.625,6.75,21000,1994,2,1,2,8797
6.625,6.875,6.625,6.75,24400,1994,2,2,3,8798
6.75,7.625,6.875,7.375,71600,1994,2,3,4,8799
7.375,7.75,7.625,7.375,40800,1994,2,4,5,8800
7.125,7.5,7.25,7.125,17400,1994,2,7,1,8803
7.125,7.375,7.375,7.125,1400,1994,2,8,2,8804
6.75,7.25,7.125,7.125,39400,1994,2,9,3,8805
6.875,7.25,7.25,6.875,8200,1994,2,10,4,8806
6.875,7.25,7.25,6.875,1800,1994,2,11,5,8807
6.75,7.125,7.125,6.75,5000,1994,2,14,1,8810
6.875,7.4375,7.125,7.25,29400,1994,2,15,2,8811
6.875,7.25,7.25,7.0,13600,1994,2,16,3,8812
6.875,7.125,7.125,6.875,31300,1994,2,17,4,8813
6.75,7.125,6.875,6.875,37300,1994,2,18,5,8814
6.625,6.875,6.875,6.625,5300,1994,2,22,2,8818
6.75,6.875,6.875,6.75,5300,1994,2,23,3,8819
6.5,6.75,6.75,6.5,2600,1994,2,24,4,8820
6.125,6.625,6.625,6.125,18800,1994,2,25,5,8821
6.0,6.375,6.125,6.0,15100,1994,2,28,1,8824
5.75,6.125,5.875,6.125,14600,1994,3,1,2,8825
6.125,6.625,6.125,6.125,39000,1994,3,2,3,8826
6.25,6.5,6.5,6.25,9400,1994,3,3,4,8827
6.0,6.5,6.5,6.125,19700,1994,3,4,5,8828
6.25,6.75,6.25,6.5625,18700,1994,3,7,1,8831
6.0,6.75,6.75,6.0,27300,1994,3,8,2,8832
5.625,6.0,5.875,5.625,7900,1994,3,9,3,8833
5.75,6.0,5.75,6.0,4000,1994,3,10,4,8834
5.875,6.0,6.0,5.875,9300,1994,3,11,5,8835
5.125,5.875,5.875,5.625,24000,1994,3,14,1,8838
5.625,6.0,5.875,5.625,20000,1994,3,15,2,8839
5.625,5.875,5.625,5.625,13900,1994,3,16,3,8840
5.875,5.875,5.875,5.875,200,1994,3,17,4,8841
5.625,5.875,5.875,5.875,7300,1994,3,18,5,8842
5.75,6.0,6.0,6.0,4300,1994,3,21,1,8845
6.0,6.25,6.0,6.0,20000,1994,3,22,2,8846
6.125,6.375,6.25,6.25,23900,1994,3,23,3,8847
6.25,6.375,6.25,6.25,17800,1994,3,24,4,8848
5.875,6.375,6.375,6.0,17400,1994,3,25,5,8849
5.875,6.125,5.875,5.875,2700,1994,3,28,1,8852
5.75,6.125,6.125,5.75,8000,1994,3,29,2,8853
5.625,5.875,5.625,5.875,16700,1994,3,30,3,8854
5.125,5.5,5.5,5.1875,37100,1994,3,31,4,8855
4.875,5.375,5.375,5.125,25700,1994,4,4,1,8859
4.75,5.125,5.0,5.0,31900,1994,4,5,2,8860
4.75,5.0,4.75,5.0,7500,1994,4,6,3,8861
4.75,5.0,4.75,4.8125,10000,1994,4,7,4,8862
4.75,5.0,5.0,5.0,8900,1994,4,8,5,8863
4.625,5.0,4.75,4.75,15000,1994,4,11,1,8866
4.5,4.875,4.875,4.625,11900,1994,4,12,2,8867
4.125,4.5,4.5,4.125,10400,1994,4,13,3,8868
4.125,4.5,4.125,4.5,7200,1994,4,14,4,8869
4.25,4.5,4.5,4.3125,2900,1994,4,15,5,8870
4.25,4.5,4.25,4.25,4200,1994,4,18,1,8873
3.75,4.5,4.25,3.75,16900,1994,4,19,2,8874
3.75,4.25,4.25,3.75,9400,1994,4,20,3,8875
4.125,4.125,4.125,4.125,2300,1994,4,21,4,8876
3.75,4.125,4.125,4.125,11100,1994,4,22,5,8877
4.0,4.125,4.125,4.0,600,1994,4,25,1,8880
4.125,4.125,4.125,4.125,200,1994,4,26,2,8881
3.625,4.125,4.125,3.625,9900,1994,4,28,4,8883
3.25,3.625,3.625,3.25,11700,1994,4,29,5,8884
3.25,3.625,3.25,3.625,24400,1994,5,2,1,8887
3.5,4.125,3.671875,3.75,22500,1994,5,3,2,8888
3.75,4.0,3.75,4.0,28500,1994,5,4,3,8889
3.5,4.0,4.0,3.5,13500,1994,5,5,4,8890
3.5,3.875,3.625,3.625,2400,1994,5,6,5,8891
3.5,3.875,3.875,3.5,6000,1994,5,9,1,8894
3.5,3.75,3.5,3.75,2100,1994,5,10,2,8895
3.5,3.75,3.5,3.5,7700,1994,5,11,3,8896
3.5,3.5,3.5,3.5,6600,1994,5,12,4,8897
3.5,3.75,3.75,3.625,7400,1994,5,13,5,8898
3.375,3.75,3.75,3.375,3900,1994,5,16,1,8901
3.375,3.625,3.625,3.375,2700,1994,5,17,2,8902
3.375,3.625,3.375,3.625,9800,1994,5,18,3,8903
3.375,3.625,3.375,3.375,5600,1994,5,19,4,8904
