low,high,open,close,volume,year,month,day,weekday,days
372.0,372.0,372.0,400.0,0,2017,2,8,3,17205
372.0,372.0,372.0,400.0,0,2017,2,9,4,17206
372.0,372.0,372.0,400.0,0,2017,2,10,5,17207
372.0,372.0,372.0,400.0,0,2017,2,13,1,17210
372.0,372.0,372.0,400.0,0,2017,2,14,2,17211
372.0,372.0,372.0,400.0,0,2017,2,15,3,17212
372.0,372.0,372.0,400.0,0,2017,2,16,4,17213
372.0,372.0,372.0,400.0,0,2017,2,17,5,17214
372.0,372.0,372.0,400.0,0,2017,2,20,1,17217
372.0,372.0,372.0,400.0,0,2017,2,21,2,17218
372.0,372.0,372.0,400.0,0,2017,2,22,3,17219
372.0,372.0,372.0,400.0,0,2017,2,23,4,17220
372.0,372.0,372.0,400.0,0,2017,2,24,5,17221
372.0,372.0,372.0,400.0,0,2017,2,27,1,17224
372.0,372.0,372.0,400.0,0,2017,2,28,2,17225
372.0,372.0,372.0,400.0,0,2017,3,1,3,17226
372.0,372.0,372.0,400.0,0,2017,3,2,4,17227
372.0,372.0,372.0,400.0,0,2017,3,3,5,17228
372.0,372.0,372.0,400.0,0,2017,3,6,1,17231
372.0,372.0,372.0,400.0,0,2017,3,7,2,17232
372.0,372.0,372.0,400.0,0,2017,3,8,3,17233
372.0,372.0,372.0,400.0,0,2017,3,9,4,17234
372.0,372.0,372.0,400.0,0,2017,3,10,5,17235
372.0,372.0,372.0,400.0,0,2017,3,13,1,17238
372.0,372.0,372.0,400.0,0,2017,3,14,2,17239
372.0,372.0,372.0,400.0,0,2017,3,15,3,17240
372.0,372.0,372.0,400.0,0,2017,3,16,4,17241
372.0,372.0,372.0,400.0,0,2017,3,17,5,17242
372.0,372.0,372.0,400.0,0,2017,3,20,1,17245
372.0,372.0,252.0,400.0,0,2017,3,21,2,17246
372.0,372.0,252.0,400.0,0,2017,3,22,3,17247
372.0,372.0,252.0,400.0,0,2017,3,23,4,17248
372.0,372.0,252.0,400.0,0,2017,3,24,5,17249
372.0,372.0,252.0,400.0,0,2017,3,27,1,17252
372.0,372.0,252.0,400.0,0,2017,3,28,2,17253
372.0,372.0,252.0,400.0,0,2017,3,29,3,17254
372.0,372.0,252.0,400.0,0,2017,3,30,4,17255
372.0,372.0,252.0,400.0,0,2017,3,31,5,17256
372.0,372.0,252.0,400.0,0,2017,4,3,1,17259
372.0,372.0,252.0,400.0,0,2017,4,4,2,17260
372.0,372.0,252.0,400.0,0,2017,4,5,3,17261
372.0,372.0,252.0,400.0,0,2017,4,7,5,17263
372.0,372.0,252.0,400.0,0,2017,4,10,1,17266
372.0,372.0,252.0,400.0,0,2017,4,11,2,17267
372.0,372.0,252.0,400.0,0,2017,4,12,3,17268
372.0,372.0,252.0,400.0,0,2017,4,13,4,17269
372.0,372.0,252.0,400.0,0,2017,4,14,5,17270
372.0,372.0,252.0,400.0,0,2017,4,17,1,17273
372.0,372.0,252.0,400.0,0,2017,4,18,2,17274
372.0,372.0,252.0,400.0,0,2017,4,19,3,17275
372.0,372.0,252.0,400.0,0,2017,4,20,4,17276
372.0,372.0,252.0,400.0,0,2017,4,21,5,17277
372.0,372.0,252.0,400.0,0,2017,4,24,1,17280
372.0,372.0,252.0,400.0,0,2017,4,25,2,17281
372.0,372.0,252.0,400.0,0,2017,4,26,3,17282
372.0,372.0,252.0,400.0,0,2017,4,27,4,17283
372.0,372.0,252.0,400.0,0,2017,4,28,5,17284
372.0,372.0,252.0,400.0,0,2017,5,3,3,17289
372.0,372.0,252.0,400.0,0,2017,5,4,4,17290
372.0,372.0,252.0,400.0,0,2017,5,5,5,17291
372.0,372.0,252.0,400.0,0,2017,5,8,1,17294
372.0,372.0,252.0,400.0,0,2017,5,9,2,17295
372.0,372.0,252.0,400.0,0,2017,5,10,3,17296
372.0,372.0,252.0,400.0,0,2017,5,11,4,17297
372.0,372.0,252.0,400.0,0,2017,5,12,5,17298
372.0,372.0,252.0,400.0,0,2017,5,15,1,17301
372.0,372.0,252.0,400.0,0,2017,5,16,2,17302
372.0,372.0,252.0,400.0,0,2017,5,17,3,17303
309.0,309.0,251.0,300.0,0,2017,5,18,4,17304
309.0,309.0,251.0,300.0,0,2017,5,19,5,17305
309.0,309.0,251.0,300.0,0,2017,5,22,1,17308
309.0,309.0,251.0,300.0,0,2017,5,23,2,17309
309.0,309.0,251.0,300.0,0,2017,5,24,3,17310
309.0,309.0,251.0,300.0,0,2017,5,25,4,17311
309.0,309.0,251.0,300.0,0,2017,5,26,5,17312
309.0,309.0,251.0,300.0,0,2017,5,29,1,17315
309.0,309.0,251.0,300.0,0,2017,5,30,2,17316
309.0,309.0,251.0,300.0,0,2017,5,31,3,17317
251.0,251.0,251.0,300.0,0,2017,6,1,4,17318
251.0,251.0,251.0,300.0,0,2017,6,2,5,17319
251.0,251.0,251.0,300.0,0,2017,6,5,1,17322
251.0,251.0,251.0,300.0,0,2017,6,6,2,17323
251.0,251.0,251.0,300.0,0,2017,6,7,3,17324
251.0,251.0,251.0,300.0,0,2017,6,8,4,17325
251.0,251.0,251.0,300.0,0,2017,6,9,5,17326
251.0,251.0,251.0,300.0,0,2017,6,12,1,17329
251.0,251.0,251.0,300.0,0,2017,6,13,2,17330
251.0,251.0,251.0,300.0,0,2017,6,14,3,17331
251.0,251.0,251.0,300.0,0,2017,6,15,4,17332
251.0,251.0,251.0,300.0,0,2017,6,16,5,17333
251.0,251.0,251.0,300.0,0,2017,6,19,1,17336
251.0,251.0,251.0,300.0,0,2017,6,20,2,17337
251.0,251.0,251.0,300.0,0,2017,6,21,3,17338
251.0,251.0,251.0,300.0,0,2017,6,22,4,17339
251.0,251.0,251.0,300.0,0,2017,6,23,5,17340
251.0,251.0,251.0,300.0,0,2017,6,26,1,17343
251.0,251.0,251.0,300.0,0,2017,6,27,2,17344
251.0,251.0,251.0,300.0,0,2017,6,28,3,17345
251.0,251.0,251.0,300.0,0,2017,6,29,4,17346
251.0,251.0,251.0,300.0,0,2017,6,30,5,17347
251.0,251.0,251.0,300.0,0,2017,7,3,1,17350
251.0,251.0,251.0,300.0,0,2017,7,4,2,17351
