low,high,open,close,volume,year,month,day,weekday,days
2.5,2.875,2.5,2.625,598000,1992,10,22,4,8330
2.5,2.75,2.5,2.5625,162000,1992,10,23,5,8331
2.5,2.625,2.625,2.5625,147200,1992,10,26,1,8334
2.5625,2.625,2.625,2.625,30000,1992,10,27,2,8335
2.5625,2.625,2.5625,2.625,74600,1992,10,28,3,8336
2.5625,2.625,2.625,2.625,74600,1992,10,29,4,8337
2.625,2.875,2.625,2.6875,41200,1992,10,30,5,8338
2.5625,2.6875,2.5625,2.6875,48000,1992,11,2,1,8341
2.5625,2.6875,2.5625,2.6875,28400,1992,11,3,2,8342
2.5625,2.6875,2.625,2.5625,42000,1992,11,4,3,8343
2.6875,2.6875,2.6875,2.6875,5000,1992,11,5,4,8344
2.5,2.6875,2.6875,2.5,7600,1992,11,6,5,8345
2.5,2.6875,2.5,2.6875,32800,1992,11,9,1,8348
2.5,2.6875,2.6875,2.5,33000,1992,11,10,2,8349
2.5,2.6875,2.6875,2.5,9800,1992,11,11,3,8350
2.5,2.625,2.625,2.625,40000,1992,11,12,4,8351
2.5,2.625,2.5625,2.5,21800,1992,11,13,5,8352
2.5625,2.5625,2.5625,2.5625,800,1992,11,16,1,8355
2.5,2.625,2.625,2.625,15400,1992,11,17,2,8356
2.5,2.625,2.5,2.5,20400,1992,11,18,3,8357
2.5,2.625,2.625,2.625,61800,1992,11,19,4,8358
2.5,2.5,2.5,2.5,18600,1992,11,20,5,8359
2.5,2.6875,2.6875,2.5,29600,1992,11,23,1,8362
2.5,2.6875,2.5,2.5,31600,1992,11,24,2,8363
2.5,2.5,2.5,2.5,26600,1992,11,25,3,8364
2.5,2.5,2.5,2.5,0,1992,11,27,5,8366
2.375,2.5,2.5,2.5,28200,1992,11,30,1,8369
2.5,2.75,2.5,2.75,11000,1992,12,1,2,8370
2.4375,2.5625,2.5,2.5625,32000,1992,12,2,3,8371
2.625,2.6875,2.625,2.625,74000,1992,12,3,4,8372
2.5625,2.75,2.6875,2.625,57000,1992,12,4,5,8373
2.625,2.9375,2.625,2.9375,73000,1992,12,7,1,8376
2.75,2.875,2.875,2.75,4000,1992,12,8,2,8377
2.875,3.0,3.0,3.0,22000,1992,12,9,3,8378
2.75,3.0,3.0,2.75,8200,1992,12,10,4,8379
2.75,2.8125,2.75,2.8125,25000,1992,12,11,5,8380
2.75,2.8125,2.75,2.8125,34000,1992,12,14,1,8383
2.75,2.9375,2.75,2.9375,9600,1992,12,15,2,8384
2.9375,2.9375,2.9375,2.9375,400,1992,12,16,3,8385
2.75,2.875,2.75,2.75,51000,1992,12,17,4,8386
