low,high,open,close,volume,year,month,day,weekday,days
0.96875,1.25,1.03125,1.15625,2994400,1994,2,10,4,8806
1.15625,1.21875,1.15625,1.15625,996000,1994,2,11,5,8807
1.125,1.21875,1.1875,1.15625,808000,1994,2,14,1,8810
1.1875,1.25,1.25,1.1875,800800,1994,2,15,2,8811
1.09375,1.25,1.1875,1.125,1128000,1994,2,16,3,8812
1.0625,1.15625,1.15625,1.125,704000,1994,2,17,4,8813
1.0625,1.125,1.125,1.09375,260800,1994,2,18,5,8814
1.0625,1.125,1.125,1.0625,164800,1994,2,22,2,8818
1.0625,1.15625,1.125,1.15625,128000,1994,2,23,3,8819
1.09375,1.15625,1.15625,1.15625,237600,1994,2,24,4,8820
1.0625,1.15625,1.15625,1.09375,115200,1994,2,25,5,8821
1.0625,1.125,1.125,1.125,33600,1994,2,28,1,8824
1.0625,1.125,1.125,1.0625,179200,1994,3,1,2,8825
1.0625,1.125,1.0625,1.0625,376000,1994,3,2,3,8826
1.0625,1.125,1.125,1.125,71200,1994,3,3,4,8827
1.0625,1.125,1.125,1.125,200000,1994,3,4,5,8828
1.0625,1.125,1.0625,1.0625,65600,1994,3,7,1,8831
1.0625,1.125,1.125,1.0625,28000,1994,3,8,2,8832
1.0625,1.125,1.125,1.0625,64800,1994,3,9,3,8833
1.0625,1.125,1.125,1.078125,105600,1994,3,10,4,8834
1.0625,1.125,1.125,1.0625,939200,1994,3,11,5,8835
1.0625,1.125,1.125,1.078125,87200,1994,3,14,1,8838
1.0625,1.125,1.125,1.125,64800,1994,3,15,2,8839
1.0625,1.125,1.0625,1.0625,66400,1994,3,16,3,8840
1.0625,1.125,1.0625,1.09375,45600,1994,3,17,4,8841
1.0625,1.125,1.125,1.125,145600,1994,3,18,5,8842
1.0625,1.125,1.125,1.0625,100000,1994,3,21,1,8845
1.0625,1.125,1.125,1.078125,285600,1994,3,22,2,8846
1.0625,1.125,1.0625,1.09375,238400,1994,3,23,3,8847
1.03125,1.09375,1.03125,1.0625,188800,1994,3,24,4,8848
1.03125,1.09375,1.03125,1.09375,12800,1994,3,25,5,8849
1.0,1.0625,1.03125,1.0,196000,1994,3,28,1,8852
1.0,1.0625,1.0,1.0625,80000,1994,3,29,2,8853
1.0,1.0625,1.046875,1.0625,20800,1994,3,30,3,8854
1.0,1.0625,1.0,1.015625,85600,1994,3,31,4,8855
0.96875,1.0625,1.0,1.0625,36800,1994,4,4,1,8859
0.96875,1.0625,0.96875,1.0625,31200,1994,4,5,2,8860
1.0,1.0625,1.0625,1.0,73600,1994,4,6,3,8861
0.96875,1.0625,1.0625,0.96875,16000,1994,4,7,4,8862
0.96875,1.0625,0.96875,0.96875,398400,1994,4,8,5,8863
1.0,1.0625,1.0,1.0625,23200,1994,4,11,1,8866
1.0,1.0625,1.0625,1.0625,144000,1994,4,12,2,8867
1.03125,1.171875,1.03125,1.078125,149600,1994,4,13,3,8868
1.0625,1.09375,1.0625,1.0625,49600,1994,4,14,4,8869
1.0625,1.125,1.0625,1.0625,75200,1994,4,15,5,8870
1.03125,1.125,1.125,1.0625,218400,1994,4,18,1,8873
1.03125,1.09375,1.03125,1.046875,184000,1994,4,19,2,8874
1.03125,1.09375,1.03125,1.03125,128800,1994,4,20,3,8875
1.03125,1.09375,1.0625,1.09375,4800,1994,4,21,4,8876
1.03125,1.09375,1.03125,1.03125,11200,1994,4,22,5,8877
1.03125,1.09375,1.09375,1.09375,35200,1994,4,25,1,8880
1.03125,1.09375,1.03125,1.09375,57600,1994,4,26,2,8881
1.0,1.09375,1.0,1.0,23200,1994,4,28,4,8883
1.0,1.09375,1.0625,1.09375,10400,1994,4,29,5,8884
1.0,1.09375,1.0625,1.0625,53600,1994,5,2,1,8887
1.0,1.09375,1.0,1.0,31200,1994,5,3,2,8888
0.96875,1.03125,1.0,1.03125,87200,1994,5,4,3,8889
0.96875,1.03125,1.03125,0.96875,14400,1994,5,5,4,8890
1.03125,1.03125,1.03125,1.03125,1600,1994,5,6,5,8891
0.96875,1.03125,0.96875,0.984375,28800,1994,5,9,1,8894
0.96875,1.03125,0.96875,0.96875,9600,1994,5,10,2,8895
0.96875,1.03125,0.984375,1.0,113600,1994,5,11,3,8896
0.90625,0.96875,0.9375,0.96875,132800,1994,5,12,4,8897
0.90625,0.96875,0.96875,0.90625,8800,1994,5,13,5,8898
0.953125,0.96875,0.953125,0.96875,5600,1994,5,16,1,8901
0.90625,0.96875,0.96875,0.953125,44800,1994,5,17,2,8902
0.9375,0.953125,0.9375,0.953125,12000,1994,5,18,3,8903
0.90625,0.9375,0.9375,0.90625,7200,1994,5,19,4,8904
0.90625,0.96875,0.96875,0.9375,78400,1994,5,20,5,8905
0.9375,0.9375,0.9375,0.9375,30400,1994,5,23,1,8908
0.90625,0.96875,0.9375,0.96875,48800,1994,5,24,2,8909
0.9375,0.96875,0.953125,0.953125,60800,1994,5,25,3,8910
0.9375,1.0,1.0,0.9375,1600,1994,5,26,4,8911
0.9375,1.0,0.9375,1.0,6400,1994,5,27,5,8912
0.9375,1.0,1.0,1.0,55200,1994,5,31,2,8916
0.9375,1.0,1.0,0.9375,34400,1994,6,1,3,8917
0.9375,0.9375,0.9375,0.9375,0,1994,6,2,4,8918
0.96875,1.0,1.0,0.96875,5600,1994,6,3,5,8919
