low,high,open,close,volume,year,month,day,weekday,days
8018.0,8635.0,8388.0,8388.0,3855500,2015,3,31,2,16525
7833.0,8327.0,8142.0,7833.0,2209490,2015,4,1,3,16526
7833.0,8142.0,7833.0,8142.0,935310,2015,4,2,4,16527
8080.0,8265.0,8142.0,8265.0,569350,2015,4,3,5,16528
8142.0,8573.0,8203.0,8512.0,2636480,2015,4,6,1,16531
8450.0,8635.0,8573.0,8512.0,1453580,2015,4,7,2,16532
8450.0,8635.0,8573.0,8512.0,1311780,2015,4,8,3,16533
8388.0,8573.0,8512.0,8573.0,1637810,2015,4,9,4,16534
8512.0,8635.0,8573.0,8512.0,1644610,2015,4,10,5,16535
8450.0,8573.0,8512.0,8450.0,682090,2015,4,13,1,16538
8327.0,8450.0,8450.0,8327.0,865310,2015,4,14,2,16539
8265.0,8450.0,8327.0,8388.0,641430,2015,4,15,3,16540
8327.0,8450.0,8450.0,8327.0,910930,2015,4,16,4,16541
8327.0,8388.0,8388.0,8388.0,539770,2015,4,17,5,16542
8327.0,8450.0,8388.0,8388.0,683100,2015,4,20,1,16545
8265.0,8450.0,8265.0,8327.0,659760,2015,4,21,2,16546
8265.0,8388.0,8265.0,8327.0,681400,2015,4,22,3,16547
8265.0,8388.0,8327.0,8327.0,238820,2015,4,23,4,16548
8203.0,8327.0,8265.0,8265.0,265140,2015,4,24,5,16549
8142.0,8327.0,8327.0,8265.0,215330,2015,4,27,1,16552
7956.0,8203.0,8203.0,7956.0,678920,2015,5,4,1,16559
7771.0,8080.0,7895.0,7956.0,244100,2015,5,5,2,16560
7895.0,8018.0,7956.0,7956.0,356100,2015,5,6,3,16561
7895.0,8018.0,7956.0,7956.0,463020,2015,5,7,4,16562
7895.0,8018.0,7895.0,8018.0,273760,2015,5,8,5,16563
7956.0,8018.0,8018.0,7956.0,162530,2015,5,11,1,16566
7895.0,8018.0,7956.0,7956.0,870250,2015,5,12,2,16567
7895.0,8080.0,8018.0,8018.0,531500,2015,5,13,3,16568
7956.0,8018.0,8018.0,7956.0,287330,2015,5,14,4,16569
7956.0,8018.0,8018.0,7956.0,435650,2015,5,15,5,16570
7833.0,7956.0,7895.0,7956.0,733610,2015,5,18,1,16573
7895.0,7956.0,7956.0,7956.0,782140,2015,5,19,2,16574
7956.0,8080.0,7956.0,8080.0,759920,2015,5,20,3,16575
7956.0,8080.0,8080.0,8018.0,696260,2015,5,21,4,16576
7956.0,8080.0,8018.0,8018.0,1130330,2015,5,22,5,16577
7956.0,8018.0,8018.0,8018.0,456140,2015,5,25,1,16580
7956.0,8018.0,8018.0,7956.0,519830,2015,5,26,2,16581
7895.0,8018.0,7956.0,7956.0,677060,2015,5,27,3,16582
7956.0,8018.0,7956.0,7956.0,678810,2015,5,28,4,16583
7895.0,8080.0,7895.0,7956.0,753100,2015,5,29,5,16584
7895.0,8018.0,7895.0,7956.0,296930,2015,6,1,1,16587
7895.0,8018.0,7956.0,7956.0,467000,2015,6,2,2,16588
7895.0,8018.0,7956.0,7956.0,519090,2015,6,3,3,16589
7895.0,8018.0,7956.0,7956.0,415990,2015,6,4,4,16590
7895.0,8018.0,7956.0,7956.0,443250,2015,6,5,5,16591
8018.0,8512.0,8018.0,8265.0,1700970,2015,6,8,1,16594
8080.0,8265.0,8203.0,8142.0,239150,2015,6,9,2,16595
8080.0,8265.0,8142.0,8142.0,156810,2015,6,10,3,16596
8080.0,8203.0,8142.0,8142.0,971140,2015,6,11,4,16597
8018.0,8142.0,8142.0,8080.0,410880,2015,6,12,5,16598
8018.0,8142.0,8018.0,8142.0,830820,2015,6,15,1,16601
8080.0,8203.0,8142.0,8080.0,588200,2015,6,16,2,16602
8080.0,8142.0,8080.0,8080.0,390230,2015,6,17,3,16603
8080.0,8265.0,8080.0,8142.0,554880,2015,6,18,4,16604
