low,high,open,close,volume,year,month,day,weekday,days
,,,,0,2008,2,18,1,13927
8851.0,8851.0,8851.0,8851.0,13100,2009,6,10,3,14405
9454.0,9454.0,9454.0,9454.0,600,2009,6,11,4,14406
10108.0,10108.0,10108.0,10108.0,300,2009,6,12,5,14407
10812.0,10812.0,10812.0,10812.0,26300,2009,6,15,1,14410
9625.0,11068.0,10058.0,10058.0,50900,2009,6,16,2,14411
10841.0,12231.0,9806.0,11064.0,25400,2009,6,17,3,14412
10661.0,10661.0,10661.0,10661.0,21200,2009,6,18,4,14413
10458.0,10913.0,10862.0,10812.0,13100,2009,6,19,5,14414
10008.0,10508.0,10561.0,10058.0,9500,2009,6,22,1,14417
9404.0,9404.0,9404.0,9404.0,5400,2009,6,23,2,14418
9115.0,10477.0,8750.0,10058.0,21400,2009,6,24,3,14419
9187.0,10317.0,10058.0,9957.0,5000,2009,6,25,4,14420
9252.0,9457.0,9102.0,9303.0,8300,2009,6,26,5,14421
9153.0,9153.0,9153.0,9153.0,400,2009,6,29,1,14424
8549.0,8549.0,8549.0,8549.0,6600,2009,6,30,2,14425
8549.0,8549.0,8549.0,8549.0,0,2009,7,1,3,14426
8646.0,9461.0,7996.0,8700.0,2400,2009,7,2,4,14427
7837.0,8360.0,7644.0,8046.0,3100,2009,7,3,5,14428
8046.0,8247.0,8046.0,8247.0,11100,2009,7,6,1,14431
8598.0,8851.0,8801.0,8801.0,2800,2009,7,7,2,14432
8446.0,8808.0,8197.0,8549.0,800,2009,7,8,3,14433
8648.0,8902.0,8549.0,8801.0,200,2009,7,9,4,14434
8244.0,8651.0,8147.0,8549.0,1500,2009,7,10,5,14435
8549.0,8549.0,8549.0,8549.0,600,2009,7,13,1,14438
8447.0,8856.0,8700.0,8549.0,3600,2009,7,14,2,14439
8801.0,8801.0,8801.0,8801.0,100,2009,7,15,3,14440
8801.0,8801.0,8801.0,8801.0,500,2009,7,16,4,14441
8101.0,8347.0,8549.0,8298.0,1900,2009,7,17,5,14442
8287.0,8916.0,8046.0,8549.0,5300,2009,7,20,1,14445
8197.0,8197.0,8197.0,8197.0,1000,2009,7,21,2,14446
8001.0,8344.0,8449.0,8197.0,3600,2009,7,22,3,14447
8495.0,8856.0,8298.0,8650.0,2800,2009,7,23,4,14448
8801.0,9002.0,9002.0,9002.0,13400,2009,7,24,5,14449
9107.0,9402.0,9555.0,9303.0,7200,2009,7,27,1,14452
9345.0,10036.0,8851.0,9505.0,4000,2009,7,28,2,14453
8690.0,9314.0,8449.0,9002.0,4000,2009,7,29,3,14454
8573.0,9851.0,8097.0,9052.0,9900,2009,7,30,4,14455
8951.0,9052.0,9052.0,9002.0,2600,2009,7,31,5,14456
8654.0,9097.0,9303.0,8851.0,7500,2009,8,3,1,14459
8793.0,9311.0,8549.0,9052.0,200,2009,8,4,2,14460
8350.0,8698.0,8449.0,8549.0,900,2009,8,5,3,14461
8347.0,8650.0,8298.0,8599.0,1100,2009,8,6,4,14462
8101.0,8347.0,8298.0,8298.0,700,2009,8,7,5,14463
8398.0,8449.0,8449.0,8449.0,700,2009,8,10,1,14466
8449.0,8449.0,8449.0,8449.0,4900,2009,8,11,2,14467
7856.0,8244.0,8449.0,8147.0,4600,2009,8,12,3,14468
8292.0,8753.0,8147.0,8599.0,6800,2009,8,13,4,14469
8549.0,8750.0,8549.0,8650.0,6700,2009,8,14,5,14470
8598.0,8901.0,8801.0,8851.0,3500,2009,8,17,1,14473
8901.0,9053.0,8801.0,8951.0,11400,2009,8,18,2,14474
9148.0,9615.0,8851.0,9303.0,16000,2009,8,19,3,14475
8650.0,8650.0,8650.0,8650.0,100,2009,8,20,4,14476
8348.0,9253.0,9253.0,8499.0,5000,2009,8,21,5,14477
8700.0,9052.0,8901.0,9002.0,16400,2009,8,24,1,14480
9052.0,9404.0,9052.0,9102.0,12500,2009,8,25,2,14481
9002.0,9253.0,9253.0,9002.0,3000,2009,8,26,3,14482
9002.0,9052.0,9002.0,9002.0,3100,2009,8,27,4,14483
8952.0,9502.0,9555.0,9002.0,8800,2009,8,28,5,14484
8549.0,9153.0,9153.0,9002.0,8500,2009,8,31,1,14487
9002.0,9153.0,9002.0,9002.0,13100,2009,9,1,2,14488
9002.0,9605.0,9002.0,9404.0,26700,2009,9,3,4,14490
9957.0,10058.0,10058.0,10058.0,74000,2009,9,4,5,14491
10561.0,10762.0,10561.0,10762.0,42000,2009,9,7,1,14494
11064.0,11466.0,11064.0,11416.0,17300,2009,9,8,2,14495
12069.0,12170.0,12120.0,12120.0,78400,2009,9,9,3,14496
12120.0,12924.0,12824.0,12824.0,83100,2009,9,10,4,14497
12572.0,13528.0,13327.0,13276.0,30400,2009,9,11,5,14498
12371.0,12472.0,12472.0,12421.0,37100,2009,9,14,1,14501
11567.0,11969.0,11567.0,11768.0,30800,2009,9,15,2,14502
11567.0,11868.0,11818.0,11768.0,19600,2009,9,16,3,14503
11365.0,11567.0,11516.0,11516.0,6700,2009,9,17,4,14504
10812.0,11717.0,11164.0,11265.0,7400,2009,9,18,5,14505
10561.0,11969.0,11064.0,11466.0,43200,2009,9,21,1,14508
11567.0,12069.0,11567.0,11868.0,46200,2009,9,22,2,14509
11667.0,12069.0,11868.0,11868.0,10100,2009,9,23,3,14510
11315.0,11818.0,11567.0,11516.0,2500,2009,9,24,4,14511
10712.0,11818.0,10712.0,11567.0,8600,2009,9,25,5,14512
11214.0,11567.0,11214.0,11365.0,7000,2009,9,28,1,14515
10862.0,12069.0,11365.0,11516.0,33400,2009,9,29,2,14516
11567.0,12271.0,11567.0,12120.0,28600,2009,9,30,3,14517
12924.0,12924.0,12924.0,12924.0,54000,2009,10,1,4,14518
13075.0,13779.0,13578.0,13477.0,62400,2009,10,2,5,14519
13880.0,14383.0,14383.0,14282.0,54000,2009,10,5,1,14522
15087.0,15238.0,15238.0,15238.0,66100,2009,10,6,2,14523
14182.0,16294.0,16294.0,14684.0,87300,2009,10,7,3,14524
13679.0,14584.0,13679.0,14131.0,58900,2009,10,8,4,14525
14332.0,15036.0,14584.0,14534.0,42100,2009,10,9,5,14526
13528.0,15539.0,15539.0,15137.0,107100,2009,10,12,1,14529
14383.0,16093.0,15590.0,15338.0,45000,2009,10,13,2,14530
14282.0,14986.0,14986.0,14534.0,51800,2009,10,14,3,14531
14483.0,15338.0,14534.0,14785.0,66500,2009,10,15,4,14532
14182.0,14584.0,14584.0,14483.0,16300,2009,10,16,5,14533
14031.0,14483.0,14483.0,14131.0,12000,2009,10,19,1,14536
14081.0,14383.0,14383.0,14232.0,31100,2009,10,20,2,14537
13578.0,14182.0,14182.0,13880.0,29000,2009,10,21,3,14538
14081.0,14332.0,14081.0,14131.0,37800,2009,10,22,4,14539
14332.0,15087.0,14584.0,14986.0,74300,2009,10,23,5,14540
14131.0,15740.0,15740.0,14936.0,15600,2009,10,26,1,14543
13930.0,14332.0,14332.0,13980.0,11400,2009,10,27,2,14544
13327.0,14081.0,14081.0,13880.0,15800,2009,10,28,3,14545
12924.0,14081.0,13327.0,13125.0,25100,2009,10,29,4,14546
14031.0,14031.0,14031.0,14031.0,105500,2009,10,30,5,14547
13578.0,14835.0,14835.0,14081.0,16200,2009,11,2,1,14550
13125.0,13327.0,13327.0,13125.0,14000,2009,11,3,2,14551
12572.0,13327.0,12824.0,12924.0,13100,2009,11,4,3,14552
13075.0,13779.0,13075.0,13779.0,42900,2009,11,5,4,14553
13075.0,14584.0,14081.0,13930.0,44400,2009,11,6,5,14554
12975.0,13377.0,13125.0,13176.0,24800,2009,11,9,1,14557
12572.0,13729.0,13578.0,13427.0,2800,2009,11,10,2,14558
