low,high,open,close,volume,year,month,day,weekday,days
23967.0,24724.0,23967.0,23967.0,3379950,2007,11,5,1,13822
22832.0,22832.0,22832.0,22832.0,572750,2007,11,6,2,13823
21697.0,23210.0,21697.0,22327.0,2758160,2007,11,7,3,13824
21697.0,22453.0,22327.0,21823.0,1424890,2007,11,8,4,13825
20940.0,21318.0,21192.0,21192.0,2272600,2007,11,9,5,13826
20940.0,21570.0,21318.0,21444.0,1667190,2007,11,12,1,13829
20940.0,21570.0,21570.0,21318.0,2910860,2007,11,13,2,13830
21318.0,22327.0,22327.0,22327.0,2139660,2007,11,14,3,13831
21444.0,22075.0,22075.0,21444.0,1016050,2007,11,15,4,13832
20940.0,21318.0,21066.0,21066.0,855700,2007,11,16,5,13833
20814.0,21192.0,20940.0,20814.0,887740,2007,11,19,1,13836
20309.0,20435.0,20435.0,20309.0,1203340,2007,11,20,2,13837
19931.0,20183.0,20057.0,20183.0,1338580,2007,11,21,3,13838
20183.0,20561.0,20183.0,20183.0,900600,2007,11,22,4,13839
19931.0,20309.0,20183.0,19931.0,588830,2007,11,23,5,13840
19931.0,20183.0,19931.0,19931.0,528680,2007,11,26,1,13843
19931.0,20183.0,20183.0,19931.0,615750,2007,11,27,2,13844
19678.0,20057.0,19931.0,19678.0,667720,2007,11,28,3,13845
19426.0,19678.0,19678.0,19426.0,834760,2007,11,29,4,13846
19174.0,19552.0,19174.0,19552.0,848210,2007,11,30,5,13847
19804.0,19931.0,19804.0,19931.0,630220,2007,12,3,1,13850
19931.0,20183.0,20057.0,20057.0,796420,2007,12,4,2,13851
19678.0,20057.0,19931.0,19804.0,973250,2007,12,5,3,13852
19678.0,19804.0,19804.0,19804.0,456540,2007,12,6,4,13853
19552.0,19804.0,19678.0,19678.0,377460,2007,12,7,5,13854
18921.0,19426.0,19174.0,18921.0,852870,2007,12,10,1,13857
18038.0,18921.0,18291.0,18417.0,1485050,2007,12,11,2,13858
18417.0,19048.0,18417.0,18795.0,581180,2007,12,12,3,13859
18543.0,18921.0,18795.0,18543.0,427130,2007,12,13,4,13860
18417.0,18543.0,18543.0,18417.0,492400,2007,12,14,5,13861
17786.0,18291.0,18291.0,17786.0,384540,2007,12,17,1,13864
17786.0,18417.0,17912.0,18417.0,1043170,2007,12,18,2,13865
18669.0,19300.0,18795.0,19174.0,948480,2007,12,19,3,13866
18543.0,19174.0,19048.0,18543.0,524070,2007,12,20,4,13867
18543.0,18669.0,18543.0,18669.0,425260,2007,12,21,5,13868
18291.0,18669.0,18417.0,18543.0,532460,2007,12,24,1,13871
18165.0,18417.0,18417.0,18291.0,552150,2007,12,25,2,13872
18165.0,18291.0,18291.0,18291.0,537030,2007,12,26,3,13873
18291.0,18417.0,18417.0,18291.0,389360,2007,12,27,4,13874
18165.0,18669.0,18291.0,18669.0,539370,2007,12,28,5,13875
18543.0,18669.0,18543.0,18669.0,700320,2008,1,2,3,13880
18291.0,18543.0,18417.0,18291.0,336450,2008,1,3,4,13881
18165.0,18417.0,18291.0,18165.0,277810,2008,1,4,5,13882
17660.0,18165.0,18165.0,17660.0,650020,2008,1,7,1,13885
17912.0,18165.0,18038.0,17912.0,630360,2008,1,8,2,13886
17660.0,18038.0,17786.0,17660.0,678580,2008,1,9,3,13887
17029.0,17534.0,17534.0,17155.0,789140,2008,1,10,4,13888
17282.0,17534.0,17408.0,17282.0,706860,2008,1,11,5,13889
16777.0,17408.0,17408.0,16777.0,567450,2008,1,14,1,13892
16020.0,16399.0,16399.0,16020.0,1022110,2008,1,15,2,13893
