low,high,open,close,volume,year,month,day,weekday,days
5.3125,6.25,0.0,5.3125,1200,1983,12,1,4,5082
5.3125,6.25,0.0,5.3125,1400,1983,12,2,5,5083
5.3125,6.25,0.0,5.3125,420,1983,12,5,1,5086
5.0,5.625,0.0,5.0,2480,1983,12,6,2,5087
4.375,5.3125,0.0,4.375,400,1983,12,7,3,5088
4.375,5.3125,0.0,4.375,4040,1983,12,8,4,5089
4.375,5.3125,0.0,4.375,400,1983,12,9,5,5090
4.375,5.0,0.0,4.375,900,1983,12,12,1,5093
3.75,4.6875,0.0,3.75,620,1983,12,13,2,5094
3.75,3.75,3.75,3.75,0,1983,12,14,3,5095
3.75,4.6875,0.0,3.75,60,1983,12,15,4,5096
3.75,4.6875,0.0,3.75,2040,1983,12,16,5,5097
3.75,4.6875,0.0,3.75,200,1983,12,19,1,5100
3.75,3.75,3.75,3.75,0,1983,12,20,2,5101
3.75,4.6875,0.0,3.75,100,1983,12,21,3,5102
3.75,3.75,3.75,3.75,0,1983,12,22,4,5103
3.4375,4.0625,0.0,3.4375,4500,1983,12,23,5,5104
3.4375,3.4375,3.4375,3.4375,0,1983,12,27,2,5108
3.4375,4.375,0.0,3.4375,200,1983,12,28,3,5109
3.4375,3.4375,3.4375,3.4375,0,1983,12,29,4,5110
3.4375,4.375,0.0,3.4375,400,1983,12,30,5,5111
3.4375,4.375,0.0,3.4375,500,1984,1,3,2,5115
3.75,4.6875,0.0,3.75,1300,1984,1,4,3,5116
4.0625,4.6875,0.0,4.0625,600,1984,1,5,4,5117
4.0625,4.0625,4.0625,4.0625,0,1984,1,6,5,5118
4.0625,4.6875,0.0,4.0625,440,1984,1,9,1,5121
4.0625,4.0625,4.0625,4.0625,0,1984,1,10,2,5122
4.0625,5.0,0.0,4.0625,200,1984,1,11,3,5123
4.0625,4.6875,0.0,4.0625,660,1984,1,12,4,5124
4.0625,4.375,0.0,4.0625,120,1984,1,13,5,5125
4.0625,4.0625,4.0625,4.0625,0,1984,1,16,1,5128
4.0625,4.375,0.0,4.0625,200,1984,1,17,2,5129
3.75,4.375,0.0,3.75,2700,1984,1,18,3,5130
3.75,4.0625,0.0,3.75,700,1984,1,19,4,5131
3.125,4.0625,0.0,3.125,1000,1984,1,20,5,5132
3.125,3.125,3.125,3.125,0,1984,1,23,1,5135
3.125,4.0625,0.0,3.125,1240,1984,1,24,2,5136
3.125,4.0625,0.0,3.125,2400,1984,1,25,3,5137
3.125,4.0625,0.0,3.125,40,1984,1,26,4,5138
3.125,3.125,3.125,3.125,0,1984,1,27,5,5139
3.125,3.125,3.125,3.125,0,1984,1,30,1,5142
3.125,4.0625,0.0,3.125,320,1984,1,31,2,5143
3.125,3.125,3.125,3.125,0,1984,2,1,3,5144
3.125,3.125,3.125,3.125,0,1984,2,2,4,5145
3.125,3.75,0.0,3.125,1220,1984,2,3,5,5146
