low,high,open,close,volume,year,month,day,weekday,days
9954.0,9954.0,9954.0,9954.0,7230,2013,5,15,3,15840
9280.0,9280.0,9280.0,9280.0,130,2013,5,16,4,15841
8658.0,8658.0,8658.0,8658.0,10,2013,5,17,5,15842
8088.0,8088.0,8088.0,8088.0,40310,2013,5,20,1,15845
7569.0,7777.0,7569.0,7777.0,2723800,2013,5,21,2,15846
8036.0,8295.0,8140.0,8295.0,1274270,2013,5,22,3,15847
8606.0,8866.0,8866.0,8866.0,1239310,2013,5,23,4,15848
8295.0,9021.0,8866.0,8295.0,2523500,2013,5,24,5,15849
7725.0,8192.0,7881.0,7725.0,1470620,2013,5,27,1,15852
7207.0,7518.0,7466.0,7518.0,1198810,2013,5,28,2,15853
6999.0,7466.0,7155.0,7207.0,998580,2013,5,29,3,15854
7051.0,7621.0,7051.0,7362.0,374470,2013,5,30,4,15855
6999.0,7466.0,7258.0,6999.0,615720,2013,5,31,5,15856
6947.0,7207.0,6999.0,7103.0,379690,2013,6,3,1,15859
6688.0,7155.0,7103.0,6688.0,374230,2013,6,4,2,15860
6636.0,6947.0,6844.0,6688.0,284950,2013,6,5,3,15861
6584.0,6844.0,6636.0,6584.0,351130,2013,6,6,4,15862
6584.0,6792.0,6584.0,6688.0,437330,2013,6,7,5,15863
6429.0,6844.0,6740.0,6481.0,264570,2013,6,10,1,15866
6481.0,6895.0,6481.0,6895.0,1176730,2013,6,11,2,15867
6999.0,7362.0,6999.0,7362.0,2428790,2013,6,12,3,15868
7362.0,7673.0,7621.0,7362.0,1185800,2013,6,13,4,15869
7155.0,7414.0,7310.0,7207.0,933890,2013,6,14,5,15870
6740.0,7207.0,7103.0,6740.0,1093200,2013,6,17,1,15873
6688.0,6895.0,6740.0,6740.0,497460,2013,6,18,2,15874
6895.0,7207.0,6947.0,7207.0,983840,2013,6,19,3,15875
7207.0,7518.0,7207.0,7310.0,1522520,2013,6,20,4,15876
7051.0,7310.0,7258.0,7258.0,466530,2013,6,21,5,15877
6895.0,7414.0,7414.0,6947.0,506810,2013,6,24,1,15880
6481.0,6947.0,6947.0,6481.0,1310770,2013,6,25,2,15881
6429.0,6688.0,6481.0,6481.0,467450,2013,6,26,3,15882
6533.0,6636.0,6584.0,6584.0,241780,2013,6,27,4,15883
6481.0,6688.0,6636.0,6584.0,333650,2013,6,28,5,15884
6429.0,6636.0,6533.0,6481.0,202700,2013,7,1,1,15887
6481.0,6584.0,6481.0,6584.0,149220,2013,7,2,2,15888
6481.0,6636.0,6533.0,6533.0,188220,2013,7,3,3,15889
6533.0,6636.0,6533.0,6533.0,196440,2013,7,4,4,15890
6481.0,6584.0,6533.0,6533.0,217050,2013,7,5,5,15891
6377.0,6533.0,6533.0,6377.0,199980,2013,7,8,1,15894
6377.0,6429.0,6429.0,6377.0,105230,2013,7,9,2,15895
6273.0,6481.0,6429.0,6273.0,205060,2013,7,10,3,15896
6170.0,6325.0,6273.0,6170.0,273790,2013,7,11,4,15897
6170.0,6377.0,6170.0,6273.0,194040,2013,7,12,5,15898
6325.0,6481.0,6325.0,6429.0,267370,2013,7,15,1,15901
6325.0,6481.0,6377.0,6377.0,94400,2013,7,16,2,15902
6273.0,6377.0,6377.0,6273.0,209240,2013,7,17,3,15903
6170.0,6325.0,6221.0,6221.0,91700,2013,7,18,4,15904
6221.0,6273.0,6273.0,6221.0,135160,2013,7,19,5,15905
6118.0,6221.0,6170.0,6118.0,136260,2013,7,22,1,15908
6066.0,6221.0,6118.0,6066.0,141880,2013,7,23,2,15909
6118.0,6273.0,6221.0,6221.0,227000,2013,7,24,3,15910
5910.0,6221.0,6221.0,5910.0,198360,2013,7,25,4,15911
5599.0,5962.0,5910.0,5599.0,398540,2013,7,26,5,15912
5340.0,5651.0,5651.0,5340.0,319090,2013,7,29,1,15915
5288.0,5444.0,5340.0,5340.0,292330,2013,7,30,2,15916
5081.0,5340.0,5288.0,5133.0,356570,2013,7,31,3,15917
5081.0,5444.0,5081.0,5444.0,429570,2013,8,1,4,15918
5340.0,5703.0,5547.0,5340.0,192300,2013,8,2,5,15919
5340.0,5703.0,5340.0,5599.0,411390,2013,8,5,1,15922
5496.0,5703.0,5547.0,5651.0,154640,2013,8,6,2,15923
5496.0,5651.0,5651.0,5599.0,152770,2013,8,7,3,15924
5547.0,5807.0,5547.0,5599.0,254270,2013,8,8,4,15925
5496.0,5599.0,5599.0,5496.0,110140,2013,8,9,5,15926
5340.0,5496.0,5444.0,5444.0,131850,2013,8,12,1,15929
5236.0,5444.0,5392.0,5340.0,313750,2013,8,13,2,15930
5236.0,5392.0,5288.0,5340.0,180930,2013,8,14,3,15931
5236.0,5444.0,5340.0,5340.0,189690,2013,8,15,4,15932
5340.0,5547.0,5340.0,5444.0,253500,2013,8,16,5,15933
5392.0,5547.0,5444.0,5496.0,242690,2013,8,19,1,15936
5392.0,5599.0,5547.0,5496.0,171610,2013,8,20,2,15937
5392.0,5496.0,5496.0,5444.0,225680,2013,8,21,3,15938
5288.0,5496.0,5444.0,5288.0,180220,2013,8,22,4,15939
5288.0,5392.0,5340.0,5392.0,261370,2013,8,23,5,15940
5288.0,5392.0,5392.0,5392.0,129180,2013,8,26,1,15943
5288.0,5392.0,5392.0,5288.0,47520,2013,8,27,2,15944
5133.0,5288.0,5288.0,5288.0,310700,2013,8,28,3,15945
5133.0,5340.0,5288.0,5185.0,115700,2013,8,29,4,15946
5081.0,5236.0,5185.0,5185.0,109620,2013,8,30,5,15947
5081.0,5185.0,5185.0,5133.0,57030,2013,9,3,2,15951
4977.0,5133.0,5081.0,4977.0,176330,2013,9,4,3,15952
4822.0,5029.0,5029.0,4873.0,172970,2013,9,5,4,15953
4822.0,5029.0,5029.0,4925.0,39670,2013,9,6,5,15954
4666.0,4925.0,4925.0,4666.0,176860,2013,9,9,1,15957
4666.0,4770.0,4666.0,4718.0,83250,2013,9,10,2,15958
4666.0,4822.0,4770.0,4666.0,77360,2013,9,11,3,15959
4562.0,4666.0,4666.0,4666.0,81000,2013,9,12,4,15960
4511.0,4666.0,4666.0,4562.0,55050,2013,9,13,5,15961
4251.0,4614.0,4511.0,4303.0,332140,2013,9,16,1,15964
4303.0,4562.0,4303.0,4562.0,192760,2013,9,17,2,15965
