low,high,open,close,volume,year,month,day,weekday,days
5.0625,7.921875,5.125,7.4375,7386600,1999,6,4,5,10746
7.3125,8.3125,7.90625,7.75,1234600,1999,6,7,1,10749
7.75,10.1875,7.8125,9.84375,1477200,1999,6,8,2,10750
9.3125,10.59375,10.0,9.6875,1332600,1999,6,9,3,10751
8.5,9.84375,9.6875,8.59375,545600,1999,6,10,4,10752
7.9375,8.6875,8.625,8.0,446200,1999,6,11,5,10753
7.25,8.0,7.96875,7.625,503600,1999,6,14,1,10756
7.4375,8.0625,7.4375,7.75,384400,1999,6,15,2,10757
7.8125,8.9375,7.875,8.34375,135400,1999,6,16,3,10758
8.375,10.40625,8.4375,10.03125,814000,1999,6,17,4,10759
9.28125,11.0625,10.25,9.3125,428600,1999,6,18,5,10760
9.5,10.875,9.9375,9.75,410400,1999,6,21,1,10763
9.625,10.25,10.25,9.875,207600,1999,6,22,2,10764
9.125,9.8125,9.75,9.3125,337800,1999,6,23,3,10765
8.5625,9.3125,9.21875,9.0,198200,1999,6,24,4,10766
8.84375,11.6875,9.0,11.3125,1423000,1999,6,25,5,10767
11.5,14.5,12.25,13.9375,1403200,1999,6,28,1,10770
12.875,18.25,14.03125,15.75,2018200,1999,6,29,2,10771
16.0,22.5625,16.96875,20.5,2313600,1999,6,30,3,10772
19.0,23.0,21.875,19.25,1578400,1999,7,1,4,10773
17.0,19.9375,18.9375,18.5,1060600,1999,7,2,5,10774
18.0625,21.3125,18.375,20.78125,736800,1999,7,6,2,10778
18.75,21.5,21.0,19.75,587400,1999,7,7,3,10779
20.25,22.0,20.625,21.96875,672000,1999,7,8,4,10780
22.0,25.9375,22.40625,25.375,1105600,1999,7,9,5,10781
26.5,28.25,27.5,27.46875,1173600,1999,7,12,1,10784
23.75,27.3125,27.25,25.34375,697800,1999,7,13,2,10785
26.1875,27.625,26.25,26.71875,339200,1999,7,14,3,10786
27.8125,37.0,28.5,35.625,2381000,1999,7,15,4,10787
33.03125,42.5,35.59375,34.5625,3667000,1999,7,16,5,10788
32.75,36.375,36.0,34.5,1256000,1999,7,19,1,10791
30.84375,34.0,33.625,31.40625,900400,1999,7,20,2,10792
27.75,35.75,32.8125,29.34375,1656400,1999,7,21,3,10793
28.0,31.5625,31.0,30.40625,918800,1999,7,22,4,10794
