low,high,open,close,volume,year,month,day,weekday,days
12.5,12.5,12.5,12.5,22000,2012,4,26,4,15456
12.0,12.0,12.0,12.0,5100,2012,4,27,5,15457
12.0,12.0,12.0,12.0,0,2012,4,30,1,15460
11.25,11.4399995803833,11.40999984741211,11.25,15000,2012,5,1,2,15461
11.0,12.25,12.25,11.149999618530273,4700,2012,5,2,3,15462
11.149999618530273,11.149999618530273,11.149999618530273,11.149999618530273,0,2012,5,3,4,15463
11.050000190734863,11.25,11.050000190734863,11.149999618530273,2000,2012,5,4,5,15464
11.100000381469727,11.1899995803833,11.100000381469727,11.100000381469727,5200,2012,5,7,1,15467
10.949999809265137,11.930000305175781,11.199999809265137,11.5,490700,2012,5,8,2,15468
11.100000381469727,12.829999923706055,11.199999809265137,12.350000381469727,435400,2012,5,9,3,15469
12.25,12.550000190734863,12.359999656677246,12.529999732971191,246000,2012,5,10,4,15470
12.180000305175781,12.869999885559082,12.369999885559082,12.25,257500,2012,5,11,5,15471
11.899999618530273,12.239999771118164,11.899999618530273,12.149999618530273,93000,2012,5,14,1,15474
12.079999923706055,12.239999771118164,12.149999618530273,12.100000381469727,177000,2012,5,15,2,15475
12.100000381469727,12.350000381469727,12.100000381469727,12.140000343322754,31000,2012,5,16,3,15476
12.020000457763672,12.149999618530273,12.149999618530273,12.029999732971191,274600,2012,5,17,4,15477
11.619999885559082,12.100000381469727,12.0,11.699999809265137,103000,2012,5,18,5,15478
11.670000076293945,12.15999984741211,11.699999809265137,12.020000457763672,118600,2012,5,21,1,15481
11.5,12.149999618530273,12.100000381469727,11.75,135500,2012,5,22,2,15482
11.449999809265137,11.789999961853027,11.579999923706055,11.699999809265137,141900,2012,5,23,3,15483
11.65999984741211,12.5,11.65999984741211,12.300000190734863,410600,2012,5,24,4,15484
12.15999984741211,12.680000305175781,12.359999656677246,12.289999961853027,131300,2012,5,25,5,15485
12.279999732971191,12.569999694824219,12.329999923706055,12.34000015258789,412200,2012,5,29,2,15489
12.09000015258789,12.300000190734863,12.270000457763672,12.170000076293945,97500,2012,5,30,3,15490
12.100000381469727,12.430000305175781,12.130000114440918,12.199999809265137,45300,2012,5,31,4,15491
11.510000228881836,12.220000267028809,11.930000305175781,12.029999732971191,141400,2012,6,1,5,15492
11.640000343322754,12.050000190734863,12.0,12.0,113200,2012,6,4,1,15495
11.649999618530273,11.979999542236328,11.970000267028809,11.760000228881836,86200,2012,6,5,2,15496
11.720000267028809,12.460000038146973,11.850000381469727,12.350000381469727,469200,2012,6,6,3,15497
12.289999961853027,12.6899995803833,12.350000381469727,12.359999656677246,87000,2012,6,7,4,15498
12.319999694824219,12.84000015258789,12.380000114440918,12.710000038146973,29500,2012,6,8,5,15499
12.289999961853027,12.75,12.75,12.289999961853027,386800,2012,6,11,1,15502
12.0,12.680000305175781,12.399999618530273,12.109999656677246,40600,2012,6,12,2,15503
11.869999885559082,12.5,12.079999923706055,11.989999771118164,104900,2012,6,13,3,15504
11.770000457763672,12.069999694824219,11.949999809265137,12.029999732971191,230800,2012,6,14,4,15505
12.050000190734863,12.319999694824219,12.0600004196167,12.09000015258789,82600,2012,6,15,5,15506
11.930000305175781,12.0600004196167,12.039999961853027,12.0600004196167,40900,2012,6,18,1,15509
12.130000114440918,12.630000114440918,12.130000114440918,12.399999618530273,89500,2012,6,19,2,15510
12.25,13.100000381469727,12.350000381469727,13.0,632000,2012,6,20,3,15511
12.670000076293945,13.029999732971191,13.029999732971191,12.75,87500,2012,6,21,4,15512
12.420000076293945,12.720000267028809,12.640000343322754,12.529999732971191,768900,2012,6,22,5,15513
12.40999984741211,12.779999732971191,12.600000381469727,12.529999732971191,38500,2012,6,25,1,15516
12.130000114440918,12.739999771118164,12.59000015258789,12.59000015258789,178800,2012,6,26,2,15517
11.859999656677246,12.789999961853027,12.550000190734863,12.75,155500,2012,6,27,3,15518
12.260000228881836,12.800000190734863,12.619999885559082,12.770000457763672,55800,2012,6,28,4,15519
12.739999771118164,13.40999984741211,12.819999694824219,13.229999542236328,792100,2012,6,29,5,15520
12.90999984741211,13.15999984741211,12.90999984741211,13.15999984741211,113000,2012,7,2,1,15523
13.100000381469727,13.880000114440918,13.199999809265137,13.869999885559082,163700,2012,7,3,2,15524
13.699999809265137,14.5600004196167,13.880000114440918,14.529999732971191,899400,2012,7,5,4,15526
13.640000343322754,14.449999809265137,13.640000343322754,14.369999885559082,482500,2012,7,6,5,15527
13.949999809265137,14.609999656677246,13.949999809265137,14.529999732971191,110900,2012,7,9,1,15530
14.460000038146973,14.59000015258789,14.59000015258789,14.520000457763672,45500,2012,7,10,2,15531
14.420000076293945,15.100000381469727,14.550000190734863,14.970000267028809,302700,2012,7,11,3,15532
14.65999984741211,15.119999885559082,14.65999984741211,15.079999923706055,149900,2012,7,12,4,15533
14.989999771118164,15.880000114440918,15.149999618530273,15.5600004196167,154500,2012,7,13,5,15534
15.100000381469727,15.680000305175781,15.529999732971191,15.119999885559082,84900,2012,7,16,1,15537
15.119999885559082,15.640000343322754,15.229999542236328,15.550000190734863,57600,2012,7,17,2,15538
15.479999542236328,16.229999542236328,15.5,15.920000076293945,72500,2012,7,18,3,15539
15.25,16.030000686645508,16.0,15.630000114440918,65400,2012,7,19,4,15540
14.510000228881836,15.449999809265137,15.4399995803833,15.0,185900,2012,7,20,5,15541
14.380000114440918,15.0600004196167,14.770000457763672,14.970000267028809,77600,2012,7,23,1,15544
14.739999771118164,15.109999656677246,15.0,14.970000267028809,62200,2012,7,24,2,15545
14.729999542236328,15.109999656677246,15.0,15.020000457763672,85700,2012,7,25,3,15546
14.9399995803833,15.180000305175781,15.140000343322754,15.039999961853027,188200,2012,7,26,4,15547
14.920000076293945,15.25,15.09000015258789,15.149999618530273,113300,2012,7,27,5,15548
