low,high,open,close,volume,year,month,day,weekday,days
32106.0,32106.0,32106.0,32100.0,10100,2022,3,8,2,19059
36876.0,36876.0,36876.0,36900.0,100,2022,3,9,3,19060
42380.0,42380.0,42380.0,42400.0,5009100,2022,3,10,4,19061
43573.0,48710.0,48618.0,44800.0,2999500,2022,3,11,5,19062
42289.0,45683.0,44490.0,44000.0,547200,2022,3,14,1,19065
38161.0,43573.0,43573.0,39800.0,957000,2022,3,15,2,19066
36785.0,45683.0,39628.0,41500.0,587800,2022,3,16,3,19067
39445.0,41830.0,39445.0,41100.0,257300,2022,3,17,4,19068
39353.0,41096.0,41096.0,39900.0,298500,2022,3,18,5,19069
37610.0,39445.0,39445.0,38700.0,305100,2022,3,21,1,19072
37794.0,39078.0,38528.0,38400.0,323700,2022,3,22,2,19073
38344.0,38986.0,38528.0,38500.0,358400,2022,3,23,3,19074
38069.0,40087.0,38069.0,39500.0,253664,2022,3,24,4,19075
33574.0,40362.0,38895.0,39400.0,311236,2022,3,25,5,19076
38986.0,40179.0,39445.0,39500.0,368523,2022,3,28,1,19079
39445.0,40179.0,39628.0,39900.0,258514,2022,3,29,2,19080
39720.0,40913.0,39904.0,40300.0,382200,2022,3,30,3,19081
39720.0,40821.0,40362.0,40400.0,393200,2022,3,31,4,19082
39904.0,40821.0,40546.0,40200.0,268650,2022,4,1,5,19083
39720.0,40454.0,40362.0,40100.0,301800,2022,4,4,1,19086
39445.0,39995.0,39995.0,39600.0,289800,2022,4,5,2,19087
34858.0,39262.0,38528.0,37400.0,547953,2022,4,6,3,19088
36693.0,38436.0,37610.0,37500.0,322400,2022,4,7,4,19089
35134.0,38252.0,38252.0,36500.0,188000,2022,4,8,5,19090
35134.0,36510.0,35134.0,35700.0,119201,2022,4,12,2,19094
34400.0,35776.0,35776.0,34900.0,371700,2022,4,13,3,19095
34767.0,36051.0,35959.0,35000.0,327600,2022,4,14,4,19096
34400.0,36234.0,36234.0,34800.0,163800,2022,4,15,5,19097
33574.0,35500.0,34767.0,34200.0,67802,2022,4,18,1,19100
29997.0,34400.0,34400.0,31900.0,271000,2022,4,19,2,19101
30363.0,32106.0,31923.0,31200.0,48500,2022,4,20,3,19102
28437.0,34858.0,28437.0,31800.0,231100,2022,4,21,4,19103
31831.0,33849.0,33849.0,32600.0,111800,2022,4,22,5,19104
27978.0,33941.0,33941.0,30200.0,190000,2022,4,25,1,19107
27520.0,30730.0,29354.0,29700.0,35700,2022,4,26,2,19108
30730.0,33941.0,30730.0,32100.0,142500,2022,4,27,3,19109
33207.0,36785.0,33482.0,35400.0,274400,2022,4,28,4,19110
35042.0,36601.0,36601.0,35300.0,32300,2022,4,29,5,19111
35130.0,36636.0,35789.0,35400.0,116800,2022,5,4,3,19116
35318.0,37013.0,36448.0,36500.0,136600,2022,5,5,4,19117
35130.0,36919.0,36354.0,35800.0,141800,2022,5,6,5,19118
32116.0,37202.0,35695.0,34800.0,69700,2022,5,9,1,19121
30609.0,33717.0,32022.0,32400.0,39300,2022,5,10,2,19122
32681.0,33246.0,32869.0,32900.0,21050,2022,5,11,3,19123
29667.0,33529.0,33529.0,30800.0,31300,2022,5,12,4,19124
28254.0,30891.0,30797.0,29000.0,101900,2022,5,13,5,19125
29196.0,32210.0,29196.0,30600.0,37800,2022,5,16,1,19128
28631.0,32587.0,28914.0,30700.0,143811,2022,5,17,2,19129
31551.0,33905.0,32963.0,32400.0,46200,2022,5,18,3,19130
32398.0,32963.0,32493.0,32800.0,19600,2022,5,19,4,19131
32775.0,33999.0,33246.0,33700.0,61100,2022,5,20,5,19132
32022.0,34847.0,34376.0,32800.0,9700,2022,5,23,1,19135
32681.0,33340.0,33340.0,32900.0,2700,2022,5,24,2,19136
32398.0,34847.0,32775.0,33800.0,64744,2022,5,25,3,19137
34376.0,35789.0,34847.0,35200.0,24700,2022,5,26,4,19138
34376.0,35035.0,35035.0,34600.0,145100,2022,5,27,5,19139
34188.0,35318.0,35318.0,34300.0,197100,2022,5,30,1,19142
33905.0,34376.0,34376.0,34000.0,65000,2022,5,31,2,19143
32210.0,33999.0,32210.0,33200.0,90805,2022,6,1,3,19144
32963.0,34753.0,34753.0,33300.0,18900,2022,6,2,4,19145
32398.0,34282.0,34282.0,33400.0,13805,2022,6,3,5,19146
32963.0,33811.0,33811.0,33200.0,13300,2022,6,6,1,19149
32575.0,33534.0,33246.0,33000.0,12900,2022,6,7,2,19150
33150.0,34492.0,33534.0,33600.0,23100,2022,6,8,3,19151
33534.0,34492.0,33629.0,34100.0,39103,2022,6,9,4,19152
33534.0,34396.0,34300.0,33700.0,27215,2022,6,10,5,19153
31617.0,33438.0,33438.0,32600.0,23800,2022,6,13,1,19156
31809.0,36408.0,33054.0,32800.0,68626,2022,6,14,2,19157
30659.0,36408.0,33054.0,34700.0,72400,2022,6,15,3,19158
31905.0,34587.0,31905.0,32100.0,21600,2022,6,16,4,19159
31426.0,32959.0,31713.0,31600.0,17500,2022,6,17,5,19160
29605.0,31809.0,31809.0,30100.0,50700,2022,6,20,1,19163
26060.0,30659.0,28839.0,29300.0,19900,2022,6,21,2,19164
29701.0,31426.0,31426.0,30700.0,12800,2022,6,22,3,19165
28839.0,31042.0,28839.0,30600.0,9800,2022,6,23,4,19166
