low,high,open,close,volume,year,month,day,weekday,days
2373.0,2373.0,2373.0,2373.0,4000,2006,12,22,5,13504
2283.0,2395.0,2283.0,2395.0,12700,2006,12,25,1,13507
2480.0,2505.0,2480.0,2505.0,6200,2006,12,26,2,13508
2501.0,2602.0,2501.0,2602.0,50,2006,12,27,3,13509
2722.0,2722.0,2722.0,2722.0,24110,2006,12,28,4,13510
2843.0,2843.0,2843.0,2843.0,13030,2006,12,29,5,13511
2913.0,2964.0,2913.0,2964.0,9910,2007,1,2,2,13515
2859.0,3060.0,3060.0,3060.0,22630,2007,1,3,3,13516
2915.0,2915.0,2915.0,2915.0,11200,2007,1,4,4,13517
2785.0,3011.0,2910.0,3011.0,7840,2007,1,5,5,13518
3011.0,3111.0,3111.0,3011.0,4220,2007,1,8,1,13521
2913.0,2964.0,2964.0,2964.0,7150,2007,1,9,2,13522
2843.0,2969.0,2968.0,2843.0,1500,2007,1,10,3,13523
2746.0,2821.0,2821.0,2771.0,3590,2007,1,11,4,13524
2722.0,2772.0,2722.0,2722.0,3500,2007,1,12,5,13525
2602.0,2728.0,2727.0,2627.0,5740,2007,1,15,1,13528
2505.0,2632.0,2632.0,2505.0,11800,2007,1,16,2,13529
2501.0,2602.0,2602.0,2602.0,28250,2007,1,17,3,13530
2596.0,2722.0,2722.0,2722.0,2650,2007,1,18,4,13531
2718.0,2843.0,2843.0,2843.0,850,2007,1,19,5,13532
2838.0,2964.0,2964.0,2964.0,4100,2007,1,22,1,13535
3084.0,3084.0,3084.0,3084.0,20800,2007,1,23,2,13536
3084.0,3234.0,3234.0,3084.0,39380,2007,1,24,3,13537
2940.0,2940.0,2940.0,2940.0,13680,2007,1,25,4,13538
2863.0,2964.0,2964.0,2964.0,9100,2007,1,26,5,13539
2891.0,2966.0,2966.0,2891.0,9800,2007,1,29,1,13542
2790.0,2891.0,2891.0,2891.0,16160,2007,1,30,2,13543
2818.0,2894.0,2893.0,2818.0,10520,2007,1,31,3,13544
2795.0,2870.0,2869.0,2795.0,16450,2007,2,1,4,13545
2915.0,2915.0,2915.0,2915.0,11650,2007,2,2,5,13546
3036.0,3036.0,3036.0,3036.0,27400,2007,2,5,1,13549
2911.0,3036.0,3036.0,3036.0,19790,2007,2,6,2,13550
2937.0,2987.0,2987.0,2987.0,16820,2007,2,7,3,13551
2867.0,2993.0,2993.0,2867.0,20650,2007,2,8,4,13552
2768.0,2869.0,2868.0,2818.0,17940,2007,2,9,5,13553
2739.0,2915.0,2915.0,2915.0,26450,2007,2,12,1,13556
2964.0,2989.0,2988.0,2964.0,11150,2007,2,13,2,13557
2962.0,2987.0,2987.0,2987.0,8170,2007,2,14,3,13558
3057.0,3107.0,3107.0,3107.0,11240,2007,2,15,4,13559
3203.0,3253.0,3252.0,3253.0,29940,2007,2,26,1,13570
3347.0,3396.0,3396.0,3396.0,20560,2007,2,27,2,13571
3542.0,3542.0,3542.0,3542.0,40640,2007,2,28,3,13572
3396.0,3396.0,3396.0,3396.0,11330,2007,3,1,4,13573
3297.0,3396.0,3396.0,3396.0,21750,2007,3,2,5,13574
3492.0,3542.0,3542.0,3542.0,22380,2007,3,5,1,13577
3709.0,3709.0,3709.0,3709.0,29840,2007,3,6,2,13578
3878.0,3878.0,3878.0,3878.0,18220,2007,3,7,3,13579
4047.0,4047.0,4047.0,4047.0,11470,2007,3,8,4,13580
4240.0,4240.0,4240.0,4240.0,43630,2007,3,9,5,13581
4360.0,4410.0,4409.0,4360.0,52260,2007,3,12,1,13584
4167.0,4217.0,4216.0,4167.0,7040,2007,3,13,2,13585
3975.0,3975.0,3975.0,3975.0,4450,2007,3,14,3,13586
3782.0,3782.0,3782.0,3782.0,4450,2007,3,15,4,13587
3608.0,3782.0,3682.0,3782.0,40380,2007,3,16,5,13588
3951.0,3951.0,3951.0,3951.0,29490,2007,3,19,1,13591
3807.0,3956.0,3956.0,3807.0,11600,2007,3,20,2,13592
3686.0,3810.0,3809.0,3686.0,12520,2007,3,21,3,13593
3538.0,3688.0,3688.0,3638.0,17910,2007,3,22,4,13594
3466.0,3591.0,3591.0,3591.0,8110,2007,3,23,5,13595
3420.0,3595.0,3595.0,3420.0,12130,2007,3,26,1,13598
3276.0,3301.0,3301.0,3276.0,6430,2007,3,27,2,13599
3133.0,3133.0,3133.0,3133.0,13290,2007,3,28,3,13600
3276.0,3276.0,3276.0,3276.0,3250,2007,3,29,4,13601
3395.0,3420.0,3420.0,3420.0,11060,2007,3,30,5,13602
3276.0,3426.0,3426.0,3276.0,7680,2007,4,2,1,13605
3155.0,3180.0,3180.0,3180.0,5470,2007,4,3,2,13606
3175.0,3325.0,3325.0,3325.0,10300,2007,4,4,3,13607
3348.0,3398.0,3397.0,3373.0,19040,2007,4,5,4,13608
3253.0,3378.0,3377.0,3253.0,6730,2007,4,6,5,13609
3178.0,3253.0,3253.0,3253.0,4160,2007,4,9,1,13612
3204.0,3254.0,3253.0,3204.0,9080,2007,4,10,2,13613
3060.0,3210.0,3210.0,3060.0,11920,2007,4,11,3,13614
3060.0,3110.0,3060.0,3060.0,11230,2007,4,12,4,13615
3057.0,3107.0,3107.0,3107.0,6700,2007,4,13,5,13616
3011.0,3111.0,3111.0,3011.0,8000,2007,4,16,1,13619
2915.0,2940.0,2940.0,2940.0,6660,2007,4,17,2,13620
2884.0,3060.0,3060.0,3060.0,2450,2007,4,18,3,13621
3060.0,3110.0,3109.0,3060.0,15270,2007,4,19,4,13622
2915.0,2915.0,2915.0,2915.0,6370,2007,4,20,5,13623
2795.0,2795.0,2795.0,2795.0,7450,2007,4,23,1,13626
2674.0,2674.0,2674.0,2674.0,8200,2007,4,24,2,13627
2574.0,2674.0,2674.0,2674.0,7880,2007,4,25,3,13628
2674.0,2674.0,2674.0,2674.0,7920,2007,5,2,3,13635
2670.0,2746.0,2746.0,2746.0,4020,2007,5,3,4,13636
2672.0,2722.0,2722.0,2722.0,2700,2007,5,4,5,13637
2720.0,2746.0,2746.0,2746.0,6130,2007,5,7,1,13640
2725.0,2750.0,2725.0,2725.0,11500,2007,5,8,2,13641
2746.0,2771.0,2771.0,2771.0,5660,2007,5,9,3,13642
2771.0,2771.0,2771.0,2771.0,2600,2007,5,10,4,13643
2720.0,2846.0,2746.0,2746.0,4700,2007,5,11,5,13644
2867.0,2867.0,2867.0,2867.0,8660,2007,5,14,1,13647
2987.0,2987.0,2987.0,2987.0,5860,2007,5,15,2,13648
2987.0,3113.0,3112.0,2987.0,24670,2007,5,16,3,13649
2985.0,3060.0,3060.0,3060.0,14050,2007,5,17,4,13650
3060.0,3060.0,3060.0,3060.0,7550,2007,5,18,5,13651
3057.0,3133.0,3133.0,3133.0,10000,2007,5,21,1,13654
3226.0,3276.0,3251.0,3276.0,23660,2007,5,22,2,13655
3276.0,3276.0,3276.0,3276.0,13580,2007,5,23,3,13656
3156.0,3181.0,3181.0,3156.0,5000,2007,5,24,4,13657
3056.0,3156.0,3156.0,3156.0,5240,2007,5,25,5,13658
3203.0,3278.0,3253.0,3253.0,12750,2007,5,28,1,13661
3180.0,3255.0,3255.0,3180.0,8900,2007,5,29,2,13662
3156.0,3206.0,3206.0,3156.0,8480,2007,5,30,3,13663
3030.0,3180.0,3180.0,3180.0,9840,2007,5,31,4,13664
3325.0,3325.0,3325.0,3325.0,34050,2007,6,1,5,13665
3469.0,3469.0,3469.0,3469.0,64070,2007,6,4,1,13668
