low,high,open,close,volume,year,month,day,weekday,days
15564.0,15564.0,15564.0,15564.0,0,2007,1,15,1,13528
14798.0,14798.0,14798.0,14798.0,0,2007,1,17,3,13530
14798.0,14798.0,14798.0,14798.0,0,2007,1,18,4,13531
14798.0,14798.0,14798.0,14798.0,0,2007,1,19,5,13532
14080.0,14080.0,14080.0,14080.0,0,2007,1,26,5,13539
14080.0,14080.0,14080.0,14080.0,0,2007,1,29,1,13542
14080.0,14080.0,14080.0,14080.0,0,2007,1,30,2,13543
3754.0,3754.0,3754.0,3754.0,4700,2009,6,15,1,14410
3998.0,3998.0,3998.0,3998.0,64700,2009,6,16,2,14411
4052.0,4268.0,4268.0,4214.0,25500,2009,6,17,3,14412
4484.0,4484.0,4484.0,4484.0,6800,2009,6,18,4,14413
4592.0,4781.0,4781.0,4592.0,24400,2009,6,19,5,14414
4376.0,4727.0,4727.0,4376.0,18100,2009,6,22,1,14417
4241.0,4241.0,4241.0,4241.0,1400,2009,6,23,2,14418
3971.0,4241.0,3971.0,4241.0,16500,2009,6,24,3,14419
3835.0,4295.0,4268.0,3835.0,20000,2009,6,25,4,14420
3862.0,3916.0,3916.0,3862.0,7200,2009,6,26,5,14421
3619.0,3971.0,3971.0,3619.0,5700,2009,6,29,1,14424
3916.0,3916.0,3916.0,3916.0,100,2009,6,30,2,14425
3646.0,3646.0,3646.0,3646.0,2000,2009,7,1,3,14426
3403.0,3889.0,3889.0,3781.0,13900,2009,7,2,4,14427
3457.0,3754.0,3754.0,3457.0,9900,2009,7,3,5,14428
3700.0,3727.0,3727.0,3700.0,900,2009,7,6,1,14431
3727.0,3889.0,3889.0,3727.0,500,2009,7,7,2,14432
3511.0,3700.0,3511.0,3511.0,3200,2009,7,8,3,14433
3349.0,3646.0,3646.0,3376.0,7200,2009,7,9,4,14434
3214.0,3646.0,3646.0,3565.0,21800,2009,7,10,5,14435
3106.0,3484.0,3484.0,3133.0,2600,2009,7,13,1,14438
2917.0,3349.0,3349.0,3295.0,3500,2009,7,14,2,14439
3214.0,3376.0,3349.0,3214.0,10200,2009,7,15,3,14440
3295.0,3511.0,3430.0,3511.0,22300,2009,7,16,4,14441
3241.0,3673.0,3241.0,3565.0,10100,2009,7,17,5,14442
3592.0,3592.0,3592.0,3592.0,500,2009,7,20,1,14445
3349.0,3619.0,3619.0,3619.0,3800,2009,7,21,2,14446
3376.0,3511.0,3511.0,3511.0,500,2009,7,22,3,14447
3241.0,3511.0,3349.0,3511.0,9800,2009,7,23,4,14448
3511.0,3646.0,3646.0,3646.0,32900,2009,7,24,5,14449
3835.0,3835.0,3835.0,3835.0,100,2009,7,27,1,14452
3592.0,3998.0,3998.0,3592.0,1500,2009,7,28,2,14453
3511.0,3862.0,3646.0,3511.0,3400,2009,7,29,3,14454
3457.0,3781.0,3781.0,3457.0,9500,2009,7,30,4,14455
3376.0,3646.0,3646.0,3376.0,7600,2009,7,31,5,14456
3484.0,3619.0,3619.0,3511.0,8600,2009,8,3,1,14459
3646.0,3727.0,3727.0,3646.0,1000,2009,8,4,2,14460
3430.0,3484.0,3457.0,3484.0,32900,2009,8,5,3,14461
3241.0,3511.0,3241.0,3457.0,4700,2009,8,6,4,14462
3241.0,3673.0,3241.0,3457.0,8400,2009,8,7,5,14463
3241.0,3619.0,3241.0,3619.0,3200,2009,8,10,1,14466
3295.0,3511.0,3295.0,3430.0,2900,2009,8,11,2,14467
3511.0,3565.0,3511.0,3565.0,6700,2009,8,12,3,14468
3538.0,3646.0,3646.0,3565.0,4800,2009,8,13,4,14469
3511.0,3538.0,3538.0,3511.0,2800,2009,8,14,5,14470
