low,high,open,close,volume,year,month,day,weekday,days
3500.0,3500.0,3500.0,3500.0,0,2011,11,10,4,15288
3500.0,3500.0,3500.0,3500.0,0,2011,11,11,5,15289
3500.0,3500.0,3500.0,3500.0,0,2011,11,14,1,15292
3500.0,3500.0,3500.0,3500.0,0,2011,11,15,2,15293
3500.0,3500.0,3500.0,3500.0,0,2011,11,16,3,15294
3500.0,3500.0,3500.0,3500.0,0,2011,11,17,4,15295
3500.0,3500.0,3500.0,3500.0,0,2011,11,18,5,15296
3500.0,3500.0,3500.0,3500.0,0,2011,11,21,1,15299
3500.0,3500.0,3500.0,3500.0,0,2011,11,22,2,15300
3500.0,3500.0,3500.0,3500.0,0,2011,11,23,3,15301
2100.0,2100.0,2100.0,2100.0,10000,2011,11,24,4,15302
2100.0,2100.0,2100.0,2100.0,0,2011,11,25,5,15303
2100.0,2100.0,2100.0,2100.0,0,2011,11,28,1,15306
2100.0,2100.0,2100.0,2100.0,0,2011,11,29,2,15307
2100.0,2100.0,2100.0,2100.0,0,2011,11,30,3,15308
2100.0,2100.0,2100.0,2100.0,0,2011,12,1,4,15309
2100.0,2100.0,2100.0,2100.0,0,2011,12,2,5,15310
2100.0,2100.0,2100.0,2100.0,0,2011,12,5,1,15313
2100.0,2100.0,2100.0,2100.0,0,2011,12,6,2,15314
2100.0,2100.0,2100.0,2100.0,0,2011,12,7,3,15315
2100.0,2100.0,2100.0,2100.0,0,2011,12,8,4,15316
2100.0,2100.0,2100.0,2100.0,0,2011,12,9,5,15317
2100.0,2100.0,2100.0,2100.0,0,2011,12,12,1,15320
2100.0,2100.0,2100.0,2100.0,0,2011,12,13,2,15321
2100.0,2100.0,2100.0,2100.0,0,2011,12,14,3,15322
2100.0,2100.0,2100.0,2100.0,0,2011,12,15,4,15323
2100.0,2100.0,2100.0,2100.0,0,2011,12,16,5,15324
2100.0,2100.0,2100.0,2100.0,0,2011,12,19,1,15327
2100.0,2100.0,2100.0,2100.0,0,2011,12,20,2,15328
2100.0,2100.0,2100.0,2100.0,0,2011,12,21,3,15329
2100.0,2100.0,2100.0,2100.0,0,2011,12,22,4,15330
2100.0,2100.0,2100.0,2100.0,0,2011,12,23,5,15331
2100.0,2100.0,2100.0,2100.0,0,2011,12,26,1,15334
2100.0,2100.0,2100.0,2100.0,0,2011,12,27,2,15335
2000.0,2000.0,2000.0,2000.0,10000,2011,12,28,3,15336
2000.0,2000.0,2000.0,2000.0,0,2011,12,29,4,15337
2000.0,2000.0,2000.0,2000.0,0,2011,12,30,5,15338
2000.0,2000.0,2000.0,2000.0,0,2012,1,3,2,15342
2000.0,2000.0,2000.0,2000.0,0,2012,1,4,3,15343
2000.0,2000.0,2000.0,2000.0,0,2012,1,5,4,15344
2000.0,2000.0,2000.0,2000.0,0,2012,1,6,5,15345
2000.0,2000.0,2000.0,2000.0,0,2012,1,9,1,15348
2000.0,2000.0,2000.0,2000.0,0,2012,1,10,2,15349
2000.0,2000.0,2000.0,2000.0,0,2012,1,11,3,15350
2000.0,2000.0,2000.0,2000.0,0,2012,1,12,4,15351
2000.0,2000.0,2000.0,2000.0,0,2012,1,16,1,15355
2000.0,2000.0,2000.0,2000.0,0,2012,1,17,2,15356
2000.0,2000.0,2000.0,2000.0,0,2012,1,18,3,15357
2000.0,2000.0,2000.0,2000.0,0,2012,1,19,4,15358
2000.0,2000.0,2000.0,2000.0,0,2012,1,20,5,15359
2000.0,2000.0,2000.0,2000.0,0,2012,1,30,1,15369
2000.0,2000.0,2000.0,2000.0,0,2012,1,31,2,15370
2000.0,2000.0,2000.0,2000.0,0,2012,2,1,3,15371
2000.0,2000.0,2000.0,2000.0,0,2012,2,2,4,15372
2000.0,2000.0,2000.0,2000.0,0,2012,2,3,5,15373
2000.0,2000.0,2000.0,2000.0,0,2012,2,6,1,15376
2000.0,2000.0,2000.0,2000.0,0,2012,2,7,2,15377
2000.0,2000.0,2000.0,2000.0,0,2012,2,8,3,15378
2000.0,2000.0,2000.0,2000.0,0,2012,2,9,4,15379
2000.0,2000.0,2000.0,2000.0,0,2012,2,10,5,15380
2000.0,2000.0,2000.0,2000.0,0,2012,2,13,1,15383
2000.0,2000.0,2000.0,2000.0,0,2012,2,14,2,15384
2000.0,2000.0,2000.0,2000.0,0,2012,2,15,3,15385
2000.0,2000.0,2000.0,2000.0,0,2012,2,16,4,15386
2000.0,2000.0,2000.0,2000.0,0,2012,2,17,5,15387
2000.0,2000.0,2000.0,2000.0,0,2012,2,20,1,15390
2000.0,2000.0,2000.0,2000.0,0,2012,2,21,2,15391
2000.0,2000.0,2000.0,2000.0,0,2012,2,22,3,15392
2000.0,2000.0,2000.0,2000.0,0,2012,2,23,4,15393
2000.0,2000.0,2000.0,2000.0,0,2012,2,24,5,15394
2000.0,2000.0,2000.0,2000.0,0,2012,2,27,1,15397
2000.0,2000.0,2000.0,2000.0,0,2012,2,28,2,15398
2000.0,2000.0,2000.0,2000.0,0,2012,2,29,3,15399
2000.0,2000.0,2000.0,2000.0,0,2012,3,1,4,15400
2000.0,2000.0,2000.0,2000.0,0,2012,3,2,5,15401
2000.0,2000.0,2000.0,2000.0,0,2012,3,5,1,15404
2000.0,2000.0,2000.0,2000.0,0,2012,3,6,2,15405
2000.0,2000.0,2000.0,2000.0,0,2012,3,7,3,15406
2000.0,2000.0,2000.0,2000.0,0,2012,3,8,4,15407
2000.0,2000.0,2000.0,2000.0,0,2012,3,9,5,15408
2000.0,2000.0,2000.0,2000.0,0,2012,3,12,1,15411
2000.0,2000.0,2000.0,2000.0,0,2012,3,13,2,15412
2000.0,2000.0,2000.0,2000.0,0,2012,3,14,3,15413
2000.0,2000.0,2000.0,2000.0,0,2012,3,15,4,15414
2000.0,2000.0,2000.0,2000.0,0,2012,3,16,5,15415
2000.0,2000.0,2000.0,2000.0,0,2012,3,19,1,15418
2000.0,2000.0,2000.0,2000.0,0,2012,3,20,2,15419
2000.0,2000.0,2000.0,2000.0,0,2012,3,21,3,15420
2000.0,2000.0,2000.0,2000.0,0,2012,3,22,4,15421
2000.0,2000.0,2000.0,2000.0,0,2012,3,23,5,15422
2000.0,2000.0,2000.0,2000.0,0,2012,3,26,1,15425
2000.0,2000.0,2000.0,2000.0,0,2012,3,27,2,15426
2000.0,2000.0,2000.0,2000.0,0,2012,3,28,3,15427
2000.0,2000.0,2000.0,2000.0,0,2012,3,29,4,15428
2000.0,2000.0,2000.0,2000.0,0,2012,3,30,5,15429
2000.0,2000.0,2000.0,2000.0,0,2012,4,3,2,15433
2000.0,2000.0,2000.0,2000.0,0,2012,4,4,3,15434
2000.0,2000.0,2000.0,2000.0,0,2012,4,5,4,15435
2000.0,2000.0,2000.0,2000.0,0,2012,4,6,5,15436
2000.0,2000.0,2000.0,2000.0,0,2012,4,9,1,15439
2000.0,2000.0,2000.0,2000.0,0,2012,4,10,2,15440
2000.0,2000.0,2000.0,2000.0,0,2012,4,11,3,15441
2000.0,2000.0,2000.0,2000.0,0,2012,4,12,4,15442
2000.0,2000.0,2000.0,2000.0,0,2012,4,13,5,15443
2000.0,2000.0,2000.0,2000.0,0,2012,4,16,1,15446
2000.0,2000.0,2000.0,2000.0,0,2012,4,17,2,15447
2000.0,2000.0,2000.0,2000.0,0,2012,4,18,3,15448
2000.0,2000.0,2000.0,2000.0,0,2012,4,19,4,15449
2000.0,2000.0,2000.0,2000.0,0,2012,4,20,5,15450
2000.0,2000.0,2000.0,2000.0,0,2012,4,23,1,15453
2000.0,2000.0,2000.0,2000.0,0,2012,4,24,2,15454
2000.0,2000.0,2000.0,2000.0,0,2012,4,25,3,15455
2000.0,2000.0,2000.0,2000.0,0,2012,4,26,4,15456
2000.0,2000.0,2000.0,2000.0,0,2012,4,27,5,15457
2000.0,2000.0,2000.0,2000.0,0,2012,5,2,3,15462
2000.0,2000.0,2000.0,2000.0,0,2012,5,3,4,15463
2000.0,2000.0,2000.0,2000.0,0,2012,5,4,5,15464
2000.0,2000.0,2000.0,2000.0,0,2012,5,7,1,15467
2000.0,2000.0,2000.0,2000.0,0,2012,5,8,2,15468
2000.0,2000.0,2000.0,2000.0,0,2012,5,9,3,15469
2000.0,2000.0,2000.0,2000.0,0,2012,5,10,4,15470
2000.0,2000.0,2000.0,2000.0,0,2012,5,11,5,15471
2000.0,2000.0,2000.0,2000.0,0,2012,5,14,1,15474
2000.0,2000.0,2000.0,2000.0,0,2012,5,15,2,15475
2000.0,2000.0,2000.0,2000.0,0,2012,5,16,3,15476
2000.0,2000.0,2000.0,2000.0,0,2012,5,17,4,15477
2000.0,2000.0,2000.0,2000.0,0,2012,5,18,5,15478
2000.0,2000.0,2000.0,2000.0,0,2012,5,21,1,15481
2000.0,2000.0,2000.0,2000.0,0,2012,5,22,2,15482
2000.0,2000.0,2000.0,2000.0,0,2012,5,23,3,15483
2000.0,2000.0,2000.0,2000.0,0,2012,5,24,4,15484
2000.0,2000.0,2000.0,2000.0,0,2012,5,25,5,15485
2000.0,2000.0,2000.0,2000.0,0,2012,5,28,1,15488
2000.0,2000.0,2000.0,2000.0,0,2012,5,29,2,15489
2000.0,2000.0,2000.0,2000.0,0,2012,5,30,3,15490
2000.0,2000.0,2000.0,2000.0,0,2012,5,31,4,15491
2000.0,2000.0,2000.0,2000.0,0,2012,6,1,5,15492
2000.0,2000.0,2000.0,2000.0,0,2012,6,4,1,15495
2000.0,2000.0,2000.0,2000.0,0,2012,6,5,2,15496
2000.0,2000.0,2000.0,2000.0,0,2012,6,6,3,15497
2000.0,2000.0,2000.0,2000.0,0,2012,6,7,4,15498
2000.0,2000.0,2000.0,2000.0,0,2012,6,8,5,15499
2000.0,2000.0,2000.0,2000.0,0,2012,6,11,1,15502
2000.0,2000.0,2000.0,2000.0,0,2012,6,12,2,15503
2000.0,2000.0,2000.0,2000.0,0,2012,6,13,3,15504
