low,high,open,close,volume,year,month,day,weekday,days
9176.0,9176.0,9176.0,9200.0,100,2015,10,14,3,16722
8258.0,9176.0,9176.0,9000.0,3000,2015,10,15,4,16723
8258.0,8258.0,8258.0,8300.0,0,2015,10,16,5,16724
8258.0,8258.0,8258.0,8300.0,0,2015,10,19,1,16727
8258.0,8258.0,8258.0,8300.0,0,2015,10,20,2,16728
8258.0,8258.0,8258.0,8300.0,0,2015,10,21,3,16729
8258.0,8258.0,8258.0,8300.0,0,2015,10,22,4,16730
8258.0,8258.0,8258.0,8300.0,0,2015,10,23,5,16731
8258.0,8258.0,8258.0,8300.0,0,2015,10,26,1,16734
9176.0,9176.0,9176.0,9200.0,5555,2015,10,27,2,16735
9635.0,9635.0,9635.0,9600.0,1000,2015,10,28,3,16736
9176.0,9176.0,9176.0,9200.0,6000,2015,10,29,4,16737
9176.0,9176.0,9176.0,9200.0,2000,2015,10,30,5,16738
9176.0,9176.0,9176.0,9200.0,0,2015,11,2,1,16741
9176.0,9176.0,9176.0,9200.0,0,2015,11,3,2,16742
8258.0,8258.0,8258.0,8300.0,200,2015,11,4,3,16743
8258.0,8258.0,8258.0,8300.0,100,2015,11,5,4,16744
8258.0,8258.0,8258.0,8300.0,0,2015,11,6,5,16745
8258.0,8258.0,8258.0,8300.0,100,2015,11,9,1,16748
8258.0,8258.0,8258.0,8300.0,100,2015,11,10,2,16749
8258.0,8258.0,8258.0,8300.0,0,2015,11,11,3,16750
8258.0,8258.0,8258.0,8300.0,0,2015,11,12,4,16751
8258.0,8258.0,8258.0,8300.0,200,2015,11,13,5,16752
8258.0,8258.0,8258.0,8300.0,0,2015,11,16,1,16755
8258.0,8258.0,8258.0,8300.0,0,2015,11,17,2,16756
8258.0,8258.0,8258.0,8300.0,0,2015,11,18,3,16757
8258.0,8258.0,8258.0,8300.0,0,2015,11,19,4,16758
8258.0,8258.0,8258.0,8300.0,0,2015,11,20,5,16759
8258.0,8258.0,8258.0,8300.0,0,2015,11,23,1,16762
9176.0,9176.0,9176.0,9200.0,3000,2015,11,24,2,16763
9176.0,9176.0,9176.0,9200.0,0,2015,11,25,3,16764
9176.0,9176.0,9176.0,9200.0,0,2015,11,26,4,16765
8717.0,8717.0,8717.0,8700.0,200,2015,11,27,5,16766
8717.0,8717.0,8717.0,8700.0,0,2015,11,30,1,16769
8717.0,8717.0,8717.0,8700.0,200,2015,12,1,2,16770
8717.0,8717.0,8717.0,8700.0,0,2015,12,2,3,16771
8717.0,8717.0,8717.0,8700.0,0,2015,12,3,4,16772
8717.0,8717.0,8717.0,8700.0,0,2015,12,4,5,16773
8717.0,8717.0,8717.0,8700.0,0,2015,12,7,1,16776
8717.0,8717.0,8717.0,8700.0,0,2015,12,8,2,16777
8717.0,8717.0,8717.0,8700.0,0,2015,12,9,3,16778
8717.0,8717.0,8717.0,8700.0,0,2015,12,10,4,16779
8717.0,8717.0,8717.0,8700.0,0,2015,12,11,5,16780
8717.0,8717.0,8717.0,8700.0,0,2015,12,14,1,16783
8717.0,8717.0,8717.0,8700.0,0,2015,12,15,2,16784
8717.0,8717.0,8717.0,8700.0,0,2015,12,16,3,16785
8717.0,8717.0,8717.0,8700.0,0,2015,12,17,4,16786
8717.0,8717.0,8717.0,8700.0,0,2015,12,18,5,16787
8442.0,8442.0,8442.0,8400.0,100,2015,12,21,1,16790
8442.0,8442.0,8442.0,8400.0,0,2015,12,22,2,16791
8442.0,8442.0,8442.0,8400.0,0,2015,12,23,3,16792
8992.0,8992.0,8992.0,9000.0,400,2015,12,24,4,16793
8992.0,8992.0,8992.0,9000.0,0,2015,12,25,5,16794
8992.0,8992.0,8992.0,9000.0,0,2015,12,28,1,16797
8992.0,8992.0,8992.0,9000.0,0,2015,12,29,2,16798
9176.0,9176.0,9176.0,9200.0,4900,2015,12,30,3,16799
9176.0,9176.0,9176.0,9200.0,0,2015,12,31,4,16800
9176.0,9176.0,9176.0,9200.0,0,2016,1,4,1,16804
9176.0,9176.0,9176.0,9200.0,0,2016,1,5,2,16805
9176.0,9176.0,9176.0,9200.0,0,2016,1,6,3,16806
9176.0,9176.0,9176.0,9200.0,0,2016,1,7,4,16807
9176.0,9176.0,9176.0,9200.0,0,2016,1,8,5,16808
9176.0,9176.0,9176.0,9200.0,0,2016,1,11,1,16811
9176.0,9176.0,9176.0,9200.0,0,2016,1,12,2,16812
8809.0,8809.0,8809.0,8800.0,500,2016,1,13,3,16813
8809.0,8809.0,8809.0,8800.0,0,2016,1,14,4,16814
8625.0,8717.0,8717.0,8600.0,600,2016,1,15,5,16815
8625.0,8625.0,8625.0,8600.0,0,2016,1,18,1,16818
8717.0,8717.0,8717.0,8700.0,1000,2016,1,19,2,16819
8717.0,8717.0,8717.0,8700.0,0,2016,1,20,3,16820
8717.0,8717.0,8717.0,8700.0,0,2016,1,21,4,16821
8717.0,8717.0,8717.0,8700.0,0,2016,1,22,5,16822
8717.0,8717.0,8717.0,8700.0,0,2016,1,25,1,16825
8717.0,8717.0,8717.0,8700.0,0,2016,1,26,2,16826
8717.0,8717.0,8717.0,8700.0,0,2016,1,27,3,16827
8717.0,8717.0,8717.0,8700.0,0,2016,1,28,4,16828
8717.0,8717.0,8717.0,8700.0,0,2016,1,29,5,16829
8717.0,8717.0,8717.0,8700.0,0,2016,2,1,1,16832
8717.0,8717.0,8717.0,8700.0,0,2016,2,2,2,16833
8717.0,8717.0,8717.0,8700.0,0,2016,2,3,3,16834
8717.0,8717.0,8717.0,8700.0,0,2016,2,4,4,16835
8717.0,8717.0,8717.0,8700.0,0,2016,2,5,5,16836
8717.0,8717.0,8717.0,8700.0,0,2016,2,15,1,16846
8717.0,8717.0,8717.0,8700.0,0,2016,2,16,2,16847
8717.0,8717.0,8717.0,8700.0,0,2016,2,17,3,16848
8717.0,8717.0,8717.0,8700.0,0,2016,2,18,4,16849
8717.0,8717.0,8717.0,8700.0,0,2016,2,19,5,16850
8717.0,8717.0,8717.0,8700.0,0,2016,2,22,1,16853
8717.0,8717.0,8717.0,8700.0,0,2016,2,23,2,16854
8717.0,8717.0,8717.0,8700.0,0,2016,2,24,3,16855
7433.0,7433.0,7433.0,7400.0,3500,2016,2,25,4,16856
7433.0,7433.0,7433.0,7400.0,0,2016,2,26,5,16857
7433.0,7433.0,7433.0,7400.0,0,2016,2,29,1,16860
7433.0,7433.0,7433.0,7400.0,0,2016,3,1,2,16861
7433.0,7433.0,7433.0,7400.0,0,2016,3,2,3,16862
7433.0,7433.0,7433.0,7400.0,0,2016,3,3,4,16863
7433.0,7433.0,7433.0,7400.0,0,2016,3,4,5,16864
7433.0,7433.0,7433.0,7400.0,0,2016,3,7,1,16867
7433.0,7433.0,7433.0,7400.0,0,2016,3,8,2,16868
7433.0,7433.0,7433.0,7400.0,0,2016,3,9,3,16869
7433.0,7433.0,7433.0,7400.0,0,2016,3,10,4,16870
7433.0,7433.0,7433.0,7400.0,0,2016,3,11,5,16871
7433.0,7433.0,7433.0,7400.0,0,2016,3,14,1,16874
7433.0,7433.0,7433.0,7400.0,0,2016,3,15,2,16875
7433.0,7433.0,7433.0,7400.0,0,2016,3,16,3,16876
7433.0,7433.0,7433.0,7400.0,0,2016,3,17,4,16877
7433.0,7433.0,7433.0,7400.0,0,2016,3,18,5,16878
7433.0,7433.0,7433.0,7400.0,0,2016,3,21,1,16881
7433.0,7433.0,7433.0,7400.0,0,2016,3,22,2,16882
7433.0,7433.0,7433.0,7400.0,0,2016,3,23,3,16883
7433.0,7433.0,7433.0,7400.0,0,2016,3,24,4,16884
7433.0,7433.0,7433.0,7400.0,0,2016,3,25,5,16885
7433.0,7433.0,7433.0,7400.0,0,2016,3,28,1,16888
7433.0,7433.0,7433.0,7400.0,0,2016,3,29,2,16889
7433.0,7433.0,7433.0,7400.0,0,2016,3,30,3,16890
7433.0,7433.0,7433.0,7400.0,0,2016,3,31,4,16891
7433.0,7433.0,7433.0,7400.0,0,2016,4,1,5,16892
7433.0,7433.0,7433.0,7400.0,0,2016,4,4,1,16895
7433.0,7433.0,7433.0,7400.0,0,2016,4,5,2,16896
7433.0,7433.0,7433.0,7400.0,0,2016,4,6,3,16897
7433.0,7433.0,7433.0,7400.0,0,2016,4,7,4,16898
7433.0,7433.0,7433.0,7400.0,0,2016,4,8,5,16899
7433.0,7433.0,7433.0,7400.0,0,2016,4,11,1,16902
7433.0,7433.0,7433.0,7400.0,0,2016,4,12,2,16903
7433.0,7433.0,7433.0,7400.0,0,2016,4,13,3,16904
7433.0,7433.0,7433.0,7400.0,0,2016,4,14,4,16905
7433.0,7433.0,7433.0,7400.0,0,2016,4,15,5,16906
7433.0,7433.0,7433.0,7400.0,0,2016,4,19,2,16910
7433.0,7433.0,7433.0,7400.0,1500,2016,4,20,3,16911
7433.0,7433.0,7433.0,7400.0,0,2016,4,21,4,16912
7433.0,7433.0,7433.0,7400.0,0,2016,4,22,5,16913
7433.0,7433.0,7433.0,7400.0,0,2016,4,25,1,16916
7433.0,7433.0,7433.0,7400.0,0,2016,4,26,2,16917
7433.0,7433.0,7433.0,7400.0,0,2016,4,27,3,16918
7433.0,7433.0,7433.0,7400.0,0,2016,4,28,4,16919
7433.0,7433.0,7433.0,7400.0,0,2016,4,29,5,16920
7433.0,7433.0,7433.0,7400.0,0,2016,5,4,3,16925
7800.0,7800.0,7800.0,7800.0,3000,2016,5,5,4,16926
7800.0,7800.0,7800.0,7800.0,0,2016,5,6,5,16927
