low,high,open,close,volume,year,month,day,weekday,days
9.5,10.0,0.0,9.5,584600,1989,11,17,5,7260
9.5,9.875,0.0,9.625,56500,1989,11,20,1,7263
9.5,9.875,0.0,9.5,58600,1989,11,21,2,7264
8.5,9.75,0.0,8.5,61700,1989,11,22,3,7265
8.5,8.625,0.0,8.625,12400,1989,11,24,5,7267
8.5,9.0,0.0,8.5,9500,1989,11,27,1,7270
8.5,9.0,0.0,8.5,20300,1989,11,28,2,7271
8.375,9.0,0.0,8.5,9700,1989,11,29,3,7272
8.5,9.0,0.0,8.75,25300,1989,11,30,4,7273
8.75,9.0,0.0,8.75,36500,1989,12,1,5,7274
8.75,9.0,0.0,9.0,2600,1989,12,4,1,7277
8.75,9.0,0.0,8.75,10500,1989,12,5,2,7278
8.75,9.0,0.0,8.75,2400,1989,12,6,3,7279
8.75,9.0,0.0,8.75,31800,1989,12,7,4,7280
8.5,8.5,0.0,8.5,4900,1989,12,8,5,7281
8.5,8.5,0.0,8.5,3300,1989,12,11,1,7284
8.75,9.0,0.0,9.0,21900,1989,12,12,2,7285
8.75,9.0,0.0,9.0,15600,1989,12,13,3,7286
8.75,8.875,0.0,8.875,7700,1989,12,14,4,7287
8.5,9.0,0.0,9.0,13400,1989,12,15,5,7288
8.25,9.0,0.0,8.25,21800,1989,12,18,1,7291
8.0,8.25,0.0,8.125,9500,1989,12,19,2,7292
8.0,8.25,0.0,8.0,10800,1989,12,20,3,7293
7.75,8.25,0.0,8.25,8700,1989,12,21,4,7294
7.75,8.25,0.0,7.75,64800,1989,12,22,5,7295
7.75,7.75,0.0,7.75,700,1989,12,26,2,7299
7.75,8.0,0.0,7.75,3200,1989,12,27,3,7300
7.75,7.75,7.75,7.75,0,1989,12,28,4,7301
7.75,8.25,0.0,8.0,4700,1989,12,29,5,7302
7.75,8.25,0.0,8.25,700,1990,1,2,2,7306
8.25,8.25,0.0,8.25,400,1990,1,3,3,7307
8.0,8.25,0.0,8.0,4500,1990,1,4,4,7308
8.0,8.25,0.0,8.0,16000,1990,1,5,5,7309
8.0,8.25,0.0,8.25,6000,1990,1,8,1,7312
8.25,8.25,0.0,8.25,800,1990,1,9,2,7313
7.75,8.25,0.0,8.125,11500,1990,1,10,3,7314
8.0,8.25,0.0,8.25,18300,1990,1,11,4,7315
7.75,8.25,0.0,7.75,7000,1990,1,12,5,7316
7.75,8.25,0.0,7.75,1900,1990,1,15,1,7319
7.75,8.0,0.0,8.0,4000,1990,1,16,2,7320
7.75,8.25,0.0,8.0,14700,1990,1,17,3,7321
7.5,7.875,0.0,7.5,3900,1990,1,18,4,7322
7.25,7.75,0.0,7.75,5100,1990,1,19,5,7323
6.75,7.5,0.0,7.5,11500,1990,1,22,1,7326
7.5,7.5,0.0,7.5,1100,1990,1,23,2,7327
