low,high,open,close,volume,year,month,day,weekday,days
1.46875,1.875,1.75,1.75,333200,1993,8,10,2,8622
1.5,1.9375,1.6875,1.9375,1454400,1993,8,11,3,8623
1.75,1.9375,1.9375,1.9375,289600,1993,8,12,4,8624
1.6875,1.9375,1.9375,1.6875,191200,1993,8,13,5,8625
1.6875,1.875,1.875,1.6875,184000,1993,8,16,1,8628
1.375,1.8125,1.6875,1.8125,468800,1993,8,17,2,8629
1.59375,1.8125,1.59375,1.8125,228800,1993,8,18,3,8630
1.625,1.8125,1.8125,1.8125,120400,1993,8,19,4,8631
1.625,1.8125,1.625,1.625,378400,1993,8,20,5,8632
1.625,1.8125,1.625,1.6875,188000,1993,8,23,1,8635
1.625,1.75,1.625,1.71875,344400,1993,8,24,2,8636
1.59375,1.6875,1.625,1.59375,319200,1993,8,25,3,8637
1.59375,1.75,1.65625,1.625,326800,1993,8,26,4,8638
1.625,1.71875,1.71875,1.625,85200,1993,8,27,5,8639
1.625,1.71875,1.625,1.625,116800,1993,8,30,1,8642
1.625,1.71875,1.625,1.71875,330000,1993,8,31,2,8643
1.6171879768371582,1.75,1.625,1.625,240400,1993,9,1,3,8644
1.59375,1.75,1.625,1.6875,126800,1993,9,2,4,8645
1.59375,1.6875,1.59375,1.6875,19200,1993,9,3,5,8646
1.59375,1.6875,1.6875,1.6875,168400,1993,9,7,2,8650
1.5,1.65625,1.59375,1.625,106000,1993,9,8,3,8651
1.5,1.625,1.5,1.625,124400,1993,9,9,4,8652
1.5,1.625,1.5,1.625,64400,1993,9,10,5,8653
1.5,1.625,1.5,1.625,201200,1993,9,13,1,8656
1.5,1.625,1.5,1.625,99200,1993,9,14,2,8657
1.5,1.625,1.5,1.5,107600,1993,9,15,3,8658
1.5,1.625,1.5,1.5625,90800,1993,9,16,4,8659
1.46875,1.5625,1.5,1.46875,102000,1993,9,17,5,8660
1.46875,1.6875,1.46875,1.6875,315200,1993,9,20,1,8663
1.53125,1.75,1.6875,1.53125,90800,1993,9,21,2,8664
1.53125,1.75,1.53125,1.65625,102000,1993,9,22,3,8665
1.53125,1.75,1.53125,1.53125,92000,1993,9,23,4,8666
1.53125,1.6875,1.53125,1.6875,108000,1993,9,24,5,8667
1.53125,1.6875,1.625,1.625,85600,1993,9,27,1,8670
1.53125,1.65625,1.53125,1.53125,114000,1993,9,28,2,8671
1.53125,1.65625,1.53125,1.65625,205200,1993,9,29,3,8672
1.53125,1.8125,1.53125,1.8125,421600,1993,9,30,4,8673
1.625,1.8125,1.625,1.8125,120000,1993,10,1,5,8674
1.625,1.78125,1.625,1.625,82800,1993,10,4,1,8677
1.625,1.78125,1.78125,1.625,93200,1993,10,5,2,8678
1.625,1.78125,1.78125,1.75,96400,1993,10,6,3,8679
1.59375,1.78125,1.78125,1.78125,189200,1993,10,7,4,8680
1.53125,1.78125,1.59375,1.59375,163200,1993,10,8,5,8681
1.59375,1.78125,1.78125,1.78125,45600,1993,10,11,1,8684
1.59375,1.78125,1.78125,1.59375,146400,1993,10,12,2,8685
1.59375,1.78125,1.59375,1.59375,93200,1993,10,13,3,8686
1.59375,1.78125,1.59375,1.59375,124400,1993,10,14,4,8687
1.59375,1.78125,1.78125,1.78125,88800,1993,10,15,5,8688
1.59375,1.78125,1.59375,1.59375,28400,1993,10,18,1,8691
1.59375,1.78125,1.59375,1.78125,78800,1993,10,19,2,8692
1.59375,1.78125,1.59375,1.59375,47200,1993,10,20,3,8693
1.59375,1.78125,1.59375,1.78125,66800,1993,10,21,4,8694
1.59375,1.78125,1.59375,1.78125,81200,1993,10,22,5,8695
1.59375,1.78125,1.59375,1.65625,86000,1993,10,25,1,8698
1.59375,1.78125,1.59375,1.65625,124800,1993,10,26,2,8699
1.59375,1.78125,1.59375,1.75,130000,1993,10,27,3,8700
1.59375,1.75,1.75,1.59375,100000,1993,10,28,4,8701
1.59375,2.0,1.75,2.0,231200,1993,10,29,5,8702
1.6875,2.0,2.0,1.6875,71600,1993,11,1,1,8705
1.65625,1.9375,1.8125,1.6875,94800,1993,11,2,2,8706
1.6875,1.9375,1.6875,1.9375,97600,1993,11,3,3,8707
1.6875,2.0,1.6875,2.0,126800,1993,11,4,4,8708
1.6875,2.0,1.875,2.0,248400,1993,11,5,5,8709
1.75,2.0,1.9375,1.75,40400,1993,11,8,1,8712
1.75,2.0,1.75,1.9375,63600,1993,11,9,2,8713
1.75,2.0,1.875,2.0,130800,1993,11,10,3,8714
1.75,2.0,1.75,2.0,132800,1993,11,11,4,8715
1.78125,2.0,1.875,2.0,130000,1993,11,12,5,8716
1.75,2.0,2.0,1.75,80400,1993,11,15,1,8719
1.75,2.0,1.75,2.0,25600,1993,11,16,2,8720
1.6875,2.0,1.75,1.75,147200,1993,11,17,3,8721
1.75,2.0,2.0,2.0,117200,1993,11,18,4,8722
1.75,2.0,1.8125,2.0,195200,1993,11,19,5,8723
1.75,2.0,1.75,1.75,56400,1993,11,22,1,8726
1.75,2.0,1.75,1.84375,148400,1993,11,23,2,8727
1.75,2.0,1.75,2.0,91200,1993,11,24,3,8728
1.75,2.0,1.875,2.0,9200,1993,11,26,5,8730
1.75,2.0,2.0,1.75,184400,1993,11,29,1,8733
1.75,2.0,2.0,2.0,331600,1993,11,30,2,8734
1.75,2.0,1.75,1.75,49200,1993,12,1,3,8735
1.6875,2.0,1.75,2.0,32400,1993,12,2,4,8736
1.6875,2.0,2.0,1.9765629768371582,18800,1993,12,3,5,8737
1.6875,2.0,1.6875,2.0,191600,1993,12,6,1,8740
1.6875,2.0,1.796875,2.0,129600,1993,12,7,2,8741
1.6875,2.0,2.0,1.9375,194000,1993,12,8,3,8742
1.6875,1.9375,1.75,1.75,92800,1993,12,9,4,8743
1.75,1.9375,1.75,1.9375,167200,1993,12,10,5,8744
1.75,1.9375,1.9375,1.9375,26400,1993,12,13,1,8747
1.75,1.9375,1.75,1.9375,93200,1993,12,14,2,8748
1.6875,1.9375,1.75,1.75,87600,1993,12,15,3,8749
1.75,1.875,1.75,1.75,45200,1993,12,16,4,8750
1.75,1.875,1.75,1.875,63200,1993,12,17,5,8751
1.75,1.875,1.75,1.75,15600,1993,12,20,1,8754
1.75,1.875,1.75,1.75,18400,1993,12,21,2,8755
1.75,1.875,1.75,1.875,122000,1993,12,22,3,8756
1.75,1.875,1.75,1.75,26000,1993,12,23,4,8757
1.75,1.875,1.75,1.875,43600,1993,12,27,1,8761
1.75,1.875,1.875,1.875,47600,1993,12,28,2,8762
1.75,1.875,1.875,1.875,60000,1993,12,29,3,8763
1.75,1.875,1.75,1.875,108000,1993,12,30,4,8764
1.75,1.875,1.765625,1.75,288400,1993,12,31,5,8765
1.75,1.78125,1.75,1.75,25600,1994,1,3,1,8768
1.75,1.875,1.75,1.75,302800,1994,1,4,2,8769
1.75,1.875,1.75,1.8125,173200,1994,1,5,3,8770
1.75,1.875,1.75,1.75,68000,1994,1,6,4,8771
1.75,1.875,1.875,1.875,38800,1994,1,7,5,8772
1.75,1.875,1.75,1.75,25600,1994,1,10,1,8775
1.75,1.875,1.75,1.75,104000,1994,1,11,2,8776
1.75,1.875,1.75,1.75,28000,1994,1,12,3,8777
1.75,1.875,1.75,1.75,12000,1994,1,13,4,8778
1.75,1.875,1.75,1.875,69600,1994,1,14,5,8779
1.75,1.875,1.875,1.75,9200,1994,1,17,1,8782
1.75,1.8125,1.75,1.75,46800,1994,1,18,2,8783
1.75,1.875,1.75,1.75,100000,1994,1,19,3,8784
1.75,1.875,1.75,1.75,68800,1994,1,20,4,8785
1.71875,1.8125,1.78125,1.75,225200,1994,1,21,5,8786
1.75,1.8125,1.75,1.8125,29600,1994,1,24,1,8789
1.75,1.875,1.8125,1.8125,59200,1994,1,25,2,8790
1.75,1.875,1.75,1.78125,40000,1994,1,26,3,8791
1.78125,1.9375,1.78125,1.875,654400,1994,1,27,4,8792
1.875,1.9375,1.875,1.9375,135600,1994,1,28,5,8793
