low,high,open,close,volume,year,month,day,weekday,days
20.510000228881836,24.700000762939453,21.0,24.700000762939453,6518498.0,2004,4,30,5,12538
22.299999237060547,24.739999771118164,24.549999237060547,23.06999969482422,738604.0,2004,5,3,1,12541
22.0,23.5,23.100000381469727,22.200000762939453,568477.0,2004,5,4,2,12542
22.0,22.989999771118164,22.299999237060547,22.0,269954.0,2004,5,5,3,12543
22.0,23.739999771118164,22.270000457763672,23.649999618530273,175658.0,2004,5,6,4,12544
23.440000534057617,24.100000381469727,23.670000076293945,23.959999084472656,198238.0,2004,5,7,5,12545
23.0,24.280000686645508,23.25,24.270000457763672,140235.0,2004,5,10,1,12548
23.610000610351562,27.0,24.579999923706055,27.0,186593.0,2004,5,11,2,12549
23.579999923706055,27.0,25.850000381469727,25.0,174755.0,2004,5,12,3,12550
23.209999084472656,24.65999984741211,24.0,23.299999237060547,276276.0,2004,5,13,4,12551
23.260000228881836,23.950000762939453,23.700000762939453,23.399999618530273,61053.0,2004,5,14,5,12552
21.899999618530273,23.200000762939453,23.200000762939453,22.780000686645508,201881.0,2004,5,17,1,12555
22.139999389648438,23.06999969482422,22.600000381469727,23.049999237060547,69445.0,2004,5,18,2,12556
22.780000686645508,24.0,23.0,23.979999542236328,53377.0,2004,5,19,3,12557
22.850000381469727,24.0,23.440000534057617,23.75,123027.0,2004,5,20,4,12558
22.25,23.829999923706055,23.639999389648438,23.290000915527344,67647.0,2004,5,21,5,12559
22.030000686645508,23.969999313354492,23.100000381469727,22.200000762939453,30680.0,2004,5,24,1,12562
22.0,23.0,22.549999237060547,22.25,75878.0,2004,5,25,2,12563
22.010000228881836,23.0,22.020000457763672,22.229999542236328,120910.0,2004,5,26,3,12564
22.100000381469727,22.850000381469727,22.200000762939453,22.600000381469727,62235.0,2004,5,27,4,12565
22.510000228881836,23.75,22.75,22.670000076293945,33646.0,2004,5,28,5,12566
22.5,23.799999237060547,23.799999237060547,22.670000076293945,155759.0,2004,6,1,2,12570
22.579999923706055,23.049999237060547,22.780000686645508,22.719999313354492,129860.0,2004,6,2,3,12571
22.5,23.639999389648438,22.719999313354492,22.75,83673.0,2004,6,3,4,12572
22.5,23.299999237060547,22.959999084472656,23.260000228881836,54233.0,2004,6,4,5,12573
22.510000228881836,23.399999618530273,22.510000228881836,23.25,28257.0,2004,6,7,1,12576
22.770000457763672,23.399999618530273,23.200000762939453,22.979999542236328,77853.0,2004,6,8,2,12577
22.5,22.979999542236328,22.979999542236328,22.75,20094.0,2004,6,9,3,12578
22.010000228881836,23.100000381469727,23.100000381469727,22.5,216069.0,2004,6,10,4,12579
22.5,23.299999237060547,22.5,22.8799991607666,89947.0,2004,6,14,1,12583
22.75,23.149999618530273,23.0,23.149999618530273,71830.0,2004,6,15,2,12584
22.8799991607666,24.0,23.18000030517578,24.0,20983.0,2004,6,16,3,12585
22.860000610351562,24.0,22.8799991607666,23.989999771118164,24993.0,2004,6,17,4,12586
23.510000228881836,26.0,23.799999237060547,25.6299991607666,56279.0,2004,6,18,5,12587
24.68000030517578,25.899999618530273,25.010000228881836,24.81999969482422,136166.0,2004,6,21,1,12590
24.5,25.649999618530273,24.5,25.56999969482422,37568.0,2004,6,22,2,12591
24.350000381469727,27.329999923706055,25.260000228881836,27.239999771118164,61767.0,2004,6,23,3,12592
25.8700008392334,27.450000762939453,27.450000762939453,26.610000610351562,92829.0,2004,6,24,4,12593
25.030000686645508,26.0,25.18000030517578,25.979999542236328,343971.0,2004,6,25,5,12594
25.010000228881836,26.149999618530273,26.149999618530273,25.5,101530.0,2004,6,28,1,12597
23.889999389648438,26.0,26.0,24.09000015258789,80827.0,2004,6,29,2,12598
23.350000381469727,24.360000610351562,23.40999984741211,23.989999771118164,141691.0,2004,6,30,3,12599
23.200000762939453,23.950000762939453,23.200000762939453,23.6200008392334,97245.0,2004,7,1,4,12600
23.6299991607666,23.950000762939453,23.6299991607666,23.950000762939453,36468.0,2004,7,2,5,12601
23.25,23.979999542236328,23.450000762939453,23.389999389648438,66841.0,2004,7,6,2,12605
23.149999618530273,23.920000076293945,23.299999237060547,23.239999771118164,80140.0,2004,7,7,3,12606
22.520999908447266,24.110000610351562,24.0,22.979999542236328,22108.0,2004,7,8,4,12607
22.75,23.25,22.75,23.0,49556.0,2004,7,9,5,12608
22.209999084472656,23.040000915527344,22.43000030517578,22.540000915527344,65443.0,2004,7,12,1,12611
21.649999618530273,22.84000015258789,22.799999237060547,21.959999084472656,36890.0,2004,7,13,2,12612
21.0,22.108999252319336,22.020000457763672,21.399999618530273,85520.0,2004,7,14,3,12613
21.010000228881836,21.75,21.639999389648438,21.209999084472656,397753.0,2004,7,15,4,12614
20.450000762939453,21.360000610351562,21.270000457763672,21.06999969482422,28426.0,2004,7,16,5,12615
20.850000381469727,21.549999237060547,20.951000213623047,21.049999237060547,36735.0,2004,7,19,1,12618
20.90999984741211,21.549999237060547,21.549999237060547,20.969999313354492,48499.0,2004,7,20,2,12619
19.610000610351562,21.31999969482422,20.969999313354492,20.0,77296.0,2004,7,21,3,12620
19.5,21.139999389648438,20.020000457763672,20.649999618530273,49584.0,2004,7,22,4,12621
19.989999771118164,21.100000381469727,20.149999618530273,20.280000686645508,12215.0,2004,7,23,5,12622
19.610000610351562,20.65999984741211,20.510000228881836,20.059999465942383,17733.0,2004,7,26,1,12625
16.950000762939453,20.450000762939453,20.0,17.190000534057617,147065.0,2004,7,27,2,12626
