low,high,open,close,volume,year,month,day,weekday,days
11924.0,12001.0,11924.0,12000.0,20000,2015,12,18,5,16787
12001.0,12001.0,12001.0,12000.0,0,2015,12,21,1,16790
12001.0,12001.0,12001.0,12000.0,0,2015,12,22,2,16791
12001.0,12001.0,12001.0,12000.0,0,2015,12,23,3,16792
12001.0,12001.0,12001.0,12000.0,0,2015,12,24,4,16793
10220.0,10220.0,10220.0,10200.0,100,2015,12,25,5,16794
8749.0,8749.0,8749.0,8700.0,100,2015,12,28,1,16797
7510.0,7510.0,7510.0,7500.0,100,2015,12,29,2,16798
6426.0,6426.0,6426.0,6400.0,100,2015,12,30,3,16799
5497.0,5497.0,5497.0,5500.0,100,2015,12,31,4,16800
4723.0,4723.0,4723.0,4700.0,100,2016,1,4,1,16804
4026.0,4026.0,4026.0,4000.0,6000,2016,1,5,2,16805
3484.0,4491.0,3484.0,4000.0,200,2016,1,6,3,16806
3484.0,3484.0,3484.0,3500.0,200,2016,1,7,4,16807
3407.0,3949.0,3949.0,3500.0,600,2016,1,8,5,16808
3097.0,3949.0,3949.0,3400.0,300,2016,1,11,1,16811
3484.0,3484.0,3484.0,3500.0,1500,2016,1,12,2,16812
3484.0,3484.0,3484.0,3500.0,0,2016,1,13,3,16813
3484.0,3484.0,3484.0,3500.0,0,2016,1,14,4,16814
3097.0,3794.0,3794.0,3400.0,200,2016,1,15,5,16815
3097.0,3097.0,3097.0,3100.0,0,2016,1,18,1,16818
3407.0,3407.0,3407.0,3400.0,100,2016,1,19,2,16819
3407.0,3407.0,3407.0,3400.0,0,2016,1,20,3,16820
3407.0,3407.0,3407.0,3400.0,0,2016,1,21,4,16821
3407.0,3407.0,3407.0,3400.0,0,2016,1,22,5,16822
3407.0,3407.0,3407.0,3400.0,0,2016,1,25,1,16825
3407.0,3407.0,3407.0,3400.0,0,2016,1,26,2,16826
3407.0,3407.0,3407.0,3400.0,0,2016,1,27,3,16827
3020.0,3871.0,3794.0,3900.0,20500,2016,1,28,4,16828
3407.0,3484.0,3407.0,3500.0,9000,2016,1,29,5,16829
3407.0,3407.0,3407.0,3400.0,100,2016,2,1,1,16832
3407.0,3407.0,3407.0,3400.0,0,2016,2,2,2,16833
3407.0,3407.0,3407.0,3400.0,4500,2016,2,3,3,16834
3020.0,3871.0,3871.0,3400.0,200,2016,2,4,4,16835
3020.0,3020.0,3020.0,3000.0,0,2016,2,5,5,16836
3020.0,3020.0,3020.0,3000.0,0,2016,2,15,1,16846
3020.0,3020.0,3020.0,3000.0,0,2016,2,16,2,16847
3407.0,3407.0,3407.0,3400.0,100,2016,2,17,3,16848
3407.0,3407.0,3407.0,3400.0,0,2016,2,18,4,16849
3407.0,3407.0,3407.0,3400.0,0,2016,2,19,5,16850
3407.0,3407.0,3407.0,3400.0,0,2016,2,22,1,16853
3407.0,3407.0,3407.0,3400.0,0,2016,2,23,2,16854
3407.0,3407.0,3407.0,3400.0,0,2016,2,24,3,16855
3407.0,3407.0,3407.0,3400.0,0,2016,2,25,4,16856
3562.0,3562.0,3562.0,3600.0,100,2016,2,26,5,16857
3097.0,4026.0,3717.0,3500.0,1600,2016,2,29,1,16860
3407.0,3407.0,3407.0,3400.0,0,2016,3,1,2,16861
3097.0,3639.0,3562.0,3400.0,500,2016,3,2,3,16862
3639.0,3639.0,3639.0,3600.0,0,2016,3,3,4,16863
3717.0,3871.0,3717.0,3800.0,2000,2016,3,4,5,16864
3407.0,4026.0,3407.0,3900.0,1800,2016,3,7,1,16867
3484.0,4026.0,3484.0,3900.0,3200,2016,3,8,2,16868
3407.0,3949.0,3407.0,3900.0,2300,2016,3,9,3,16869
3562.0,3871.0,3562.0,3700.0,400,2016,3,10,4,16870
3871.0,3871.0,3871.0,3900.0,0,2016,3,11,5,16871
3949.0,4026.0,3949.0,4000.0,400,2016,3,14,1,16874
3562.0,3949.0,3562.0,3900.0,21300,2016,3,15,2,16875
3562.0,3794.0,3562.0,3700.0,300,2016,3,16,3,16876
3329.0,3871.0,3329.0,3800.0,5500,2016,3,17,4,16877
3871.0,4026.0,3871.0,3900.0,2500,2016,3,18,5,16878
3484.0,4026.0,3484.0,3800.0,800,2016,3,21,1,16881
3949.0,3949.0,3949.0,3900.0,1700,2016,3,22,2,16882
3484.0,4491.0,3484.0,4500.0,10800,2016,3,23,3,16883
4568.0,4646.0,4568.0,4600.0,35600,2016,3,24,4,16884
4800.0,5188.0,4955.0,5100.0,14000,2016,3,25,5,16885
5730.0,5730.0,5730.0,5700.0,35500,2016,3,28,1,16888
6581.0,6581.0,6581.0,6600.0,133620,2016,3,29,2,16889
7433.0,7510.0,7510.0,7500.0,234280,2016,3,30,3,16890
8517.0,8594.0,8594.0,8600.0,209286,2016,3,31,4,16891
7356.0,8517.0,8517.0,7500.0,130754,2016,4,1,5,16892
6426.0,7433.0,6426.0,6900.0,115500,2016,4,4,1,16895
6968.0,7898.0,6968.0,7700.0,172940,2016,4,5,2,16896
8517.0,8749.0,8517.0,8700.0,196128,2016,4,6,3,16897
8130.0,9988.0,9988.0,9200.0,296008,2016,4,7,4,16898
8517.0,9291.0,8982.0,8700.0,172400,2016,4,8,5,16899
7743.0,8517.0,8517.0,8100.0,115174,2016,4,11,1,16902
6891.0,7743.0,7356.0,7000.0,203550,2016,4,12,2,16903
6504.0,7123.0,6504.0,6700.0,60300,2016,4,13,3,16904
6426.0,7046.0,7046.0,6700.0,55450,2016,4,14,4,16905
5962.0,6659.0,6349.0,6200.0,114624,2016,4,15,5,16906
6194.0,6891.0,6349.0,6600.0,70500,2016,4,19,2,16910
6581.0,7201.0,6581.0,6900.0,57400,2016,4,20,3,16911
6581.0,7278.0,6968.0,6800.0,29024,2016,4,21,4,16912
6039.0,6814.0,6814.0,6300.0,39300,2016,4,22,5,16913
5884.0,6194.0,6194.0,6100.0,51000,2016,4,25,1,16916
6039.0,6426.0,6039.0,6200.0,97750,2016,4,26,2,16917
5962.0,6349.0,6117.0,6100.0,87300,2016,4,27,3,16918
6117.0,6272.0,6194.0,6200.0,39700,2016,4,28,4,16919
6039.0,6272.0,6117.0,6200.0,54700,2016,4,29,5,16920
