low,high,open,close,volume,year,month,day,weekday,days
7.5,7.6875,7.625,7.6875,8933400,1992,3,5,4,8099
7.625,7.75,7.625,7.75,1441600,1992,3,6,5,8100
7.6875,7.8125,7.6875,7.75,532600,1992,3,9,1,8103
7.8125,8.125,7.8125,8.0625,937600,1992,3,10,2,8104
7.8125,8.0625,8.0625,7.8125,740400,1992,3,11,3,8105
7.8125,7.9375,7.8125,7.8125,279600,1992,3,12,4,8106
7.6875,7.8125,7.8125,7.75,536600,1992,3,13,5,8107
7.625,7.6875,7.6875,7.625,168000,1992,3,16,1,8110
7.625,7.75,7.625,7.75,354400,1992,3,17,2,8111
7.8125,7.9375,7.8125,7.9375,697800,1992,3,18,3,8112
8.0,8.375,8.0,8.25,524800,1992,3,19,4,8113
8.3125,8.625,8.3125,8.625,215600,1992,3,20,5,8114
8.4375,8.875,8.625,8.8125,348400,1992,3,23,1,8117
8.8125,9.125,8.8125,9.0625,314000,1992,3,24,2,8118
8.9375,9.25,9.0625,9.25,358800,1992,3,25,3,8119
9.0,9.25,9.25,9.0,276800,1992,3,26,4,8120
8.6875,9.0,9.0,8.6875,157600,1992,3,27,5,8121
8.625,8.6875,8.625,8.6875,78000,1992,3,30,1,8124
8.375,8.625,8.625,8.4375,75800,1992,3,31,2,8125
8.375,8.5,8.4375,8.5,298000,1992,4,1,3,8126
8.5,8.625,8.5625,8.5,407400,1992,4,2,4,8127
8.1875,8.375,8.375,8.25,498400,1992,4,3,5,8128
8.25,8.6875,8.25,8.6875,189800,1992,4,6,1,8131
8.375,8.6875,8.625,8.4375,298400,1992,4,7,2,8132
7.9375,8.3125,8.3125,8.0,566600,1992,4,8,3,8133
8.0,8.1875,8.0,8.125,361600,1992,4,9,4,8134
8.125,8.1875,8.1875,8.1875,66600,1992,4,10,5,8135
8.125,8.1875,8.1875,8.125,24200,1992,4,13,1,8138
8.125,8.3125,8.1875,8.3125,634200,1992,4,14,2,8139
8.1875,8.3125,8.3125,8.25,254400,1992,4,15,3,8140
7.75,8.1875,8.1875,8.0,351600,1992,4,16,4,8141
7.8125,7.9375,7.9375,7.8125,127200,1992,4,20,1,8145
7.25,7.75,7.75,7.25,287600,1992,4,21,2,8146
7.0,7.25,7.25,7.125,517600,1992,4,22,3,8147
6.75,7.125,7.125,6.75,261000,1992,4,23,4,8148
5.125,6.875,6.875,6.1875,1172600,1992,4,24,5,8149
6.1875,6.5,6.1875,6.25,590600,1992,4,27,1,8152
6.1875,6.25,6.25,6.1875,216400,1992,4,28,2,8153
6.0,6.1875,6.1875,6.0,83000,1992,4,29,3,8154
5.5625,6.25,5.875,6.25,344600,1992,4,30,4,8155
6.4375,6.625,6.4375,6.5,209200,1992,5,1,5,8156
6.0625,6.5,6.4375,6.125,131400,1992,5,4,1,8159
5.875,6.0625,6.0625,5.9375,126000,1992,5,5,2,8160
5.8125,6.75,5.9375,6.75,180400,1992,5,6,3,8161
6.5,6.75,6.6875,6.5,155800,1992,5,7,4,8162
6.25,6.4375,6.4375,6.25,221600,1992,5,8,5,8163
6.25,6.3125,6.3125,6.25,98400,1992,5,11,1,8166
6.25,6.25,6.25,6.25,97400,1992,5,12,2,8167
