low,high,open,close,volume,year,month,day,weekday,days
2062.0,2062.0,2062.0,2062.0,21300,2002,8,19,1,11918
2006.0,2006.0,2006.0,2006.0,13000,2002,8,20,2,11919
1956.0,1956.0,1956.0,1956.0,53500,2002,8,21,3,11920
2014.0,2014.0,2014.0,2014.0,25600,2002,8,22,4,11921
2062.0,2062.0,2062.0,2062.0,29700,2002,8,23,5,11922
2062.0,2062.0,2062.0,2062.0,7900,2002,8,26,1,11925
2062.0,2062.0,2062.0,2062.0,17500,2002,8,27,2,11926
2062.0,2062.0,2062.0,2062.0,12000,2002,8,28,3,11927
2073.0,2073.0,2073.0,2073.0,11800,2002,8,29,4,11928
2101.0,2101.0,2101.0,2101.0,5500,2002,8,30,5,11929
2109.0,2109.0,2109.0,2109.0,2500,2002,9,3,2,11933
2140.0,2140.0,2140.0,2140.0,3500,2002,9,4,3,11934
2140.0,2140.0,2140.0,2140.0,1600,2002,9,5,4,11935
2140.0,2140.0,2140.0,2140.0,2000,2002,9,6,5,11936
2157.0,2157.0,2157.0,2157.0,3400,2002,9,9,1,11939
2196.0,2196.0,2196.0,2196.0,3000,2002,9,10,2,11940
2207.0,2207.0,2207.0,2207.0,7800,2002,9,11,3,11941
2207.0,2207.0,2207.0,2207.0,3500,2002,9,12,4,11942
2207.0,2207.0,2207.0,2207.0,3000,2002,9,13,5,11943
2207.0,2207.0,2207.0,2207.0,6600,2002,9,16,1,11946
2207.0,2207.0,2207.0,2207.0,9200,2002,9,17,2,11947
2207.0,2207.0,2207.0,2207.0,3500,2002,9,18,3,11948
2207.0,2207.0,2207.0,2207.0,11300,2002,9,19,4,11949
2207.0,2207.0,2207.0,2207.0,10500,2002,9,20,5,11950
2207.0,2207.0,2207.0,2207.0,1000,2002,9,23,1,11953
2207.0,2207.0,2207.0,2207.0,9500,2002,9,24,2,11954
2207.0,2207.0,2207.0,2207.0,5400,2002,9,25,3,11955
2216.0,2216.0,2216.0,2216.0,2000,2002,9,26,4,11956
2244.0,2244.0,2244.0,2244.0,6000,2002,9,27,5,11957
2255.0,2255.0,2255.0,2255.0,2100,2002,9,30,1,11960
2255.0,2255.0,2255.0,2255.0,8300,2002,10,1,2,11961
2255.0,2255.0,2255.0,2255.0,4900,2002,10,2,3,11962
2255.0,2255.0,2255.0,2255.0,7700,2002,10,3,4,11963
2255.0,2255.0,2255.0,2255.0,5500,2002,10,4,5,11964
2303.0,2303.0,2303.0,2303.0,2100,2002,10,7,1,11967
2322.0,2322.0,2322.0,2322.0,400,2002,10,8,2,11968
2322.0,2322.0,2322.0,2322.0,300,2002,10,9,3,11969
2330.0,2330.0,2330.0,2330.0,1300,2002,10,10,4,11970
2330.0,2330.0,2330.0,2330.0,2200,2002,10,11,5,11971
2330.0,2330.0,2330.0,2330.0,3100,2002,10,14,1,11974
2330.0,2330.0,2330.0,2330.0,3500,2002,10,15,2,11975
2330.0,2330.0,2330.0,2330.0,6400,2002,10,16,3,11976
2275.0,2275.0,2275.0,2275.0,1900,2002,10,17,4,11977
2275.0,2275.0,2275.0,2275.0,19300,2002,10,18,5,11978
2275.0,2275.0,2275.0,2275.0,400,2002,10,21,1,11981
2263.0,2263.0,2263.0,2263.0,6700,2002,10,22,2,11982
2207.0,2207.0,2207.0,2207.0,9500,2002,10,23,3,11983
2207.0,2207.0,2207.0,2207.0,14800,2002,10,24,4,11984
2207.0,2207.0,2207.0,2207.0,9000,2002,10,25,5,11985
2207.0,2207.0,2207.0,2207.0,2200,2002,10,28,1,11988
2207.0,2207.0,2207.0,2207.0,7000,2002,10,29,2,11989
2207.0,2207.0,2207.0,2207.0,9500,2002,10,30,3,11990
2196.0,2196.0,2196.0,2196.0,7700,2002,10,31,4,11991
2207.0,2207.0,2207.0,2207.0,9700,2002,11,1,5,11992
2207.0,2207.0,2207.0,2207.0,10000,2002,11,4,1,11995
2207.0,2207.0,2207.0,2207.0,8300,2002,11,5,2,11996
2196.0,2196.0,2196.0,2196.0,7000,2002,11,6,3,11997
2177.0,2177.0,2177.0,2177.0,3200,2002,11,7,4,11998
2177.0,2177.0,2177.0,2177.0,6700,2002,11,8,5,11999
2196.0,2196.0,2196.0,2196.0,200,2002,11,11,1,12002
2207.0,2207.0,2207.0,2207.0,3600,2002,11,12,2,12003
