low,high,open,close,volume,year,month,day,weekday,days
3822.0,5627.0,5627.0,4459.0,900,2010,11,15,1,14928
4742.0,4742.0,4742.0,4742.0,100,2010,11,16,2,14929
5026.0,5026.0,5026.0,5026.0,100,2010,11,17,3,14930
5344.0,5344.0,5344.0,5344.0,100,2010,11,18,4,14931
5627.0,5627.0,5627.0,5627.0,100,2010,11,19,5,14932
5839.0,5839.0,5839.0,5839.0,100,2010,11,22,1,14935
5450.0,5450.0,5450.0,5450.0,1000,2010,11,23,2,14936
5450.0,5450.0,5450.0,5450.0,0,2010,11,24,3,14937
5733.0,5733.0,5733.0,5733.0,200,2010,11,25,4,14938
6087.0,6087.0,6087.0,6087.0,100,2010,11,26,5,14939
6087.0,6087.0,6087.0,6087.0,0,2010,11,29,1,14942
6087.0,6087.0,6087.0,6087.0,0,2010,11,30,2,14943
5663.0,5663.0,5663.0,5663.0,100,2010,12,1,3,14944
5273.0,5663.0,5273.0,5486.0,200,2010,12,2,4,14945
5663.0,5663.0,5486.0,5486.0,0,2010,12,3,5,14946
5132.0,5132.0,5132.0,5132.0,100,2010,12,6,1,14949
5132.0,5132.0,5132.0,5132.0,0,2010,12,7,2,14950
5132.0,5132.0,5132.0,5132.0,0,2010,12,8,3,14951
4778.0,5379.0,4778.0,4849.0,800,2010,12,9,4,14952
5096.0,5096.0,5096.0,5096.0,100,2010,12,10,5,14953
4742.0,5379.0,5379.0,5202.0,400,2010,12,13,1,14956
4849.0,4849.0,4849.0,4849.0,2000,2010,12,14,2,14957
4530.0,4530.0,4530.0,4530.0,100,2010,12,15,3,14958
4813.0,4813.0,4813.0,4813.0,100,2010,12,16,4,14959
4495.0,4495.0,4495.0,4495.0,1500,2010,12,17,5,14960
4247.0,4778.0,4778.0,4530.0,200,2010,12,20,1,14963
4247.0,4247.0,4530.0,4530.0,0,2010,12,21,2,14964
4813.0,4813.0,4813.0,4813.0,100,2010,12,22,3,14965
5061.0,5061.0,5061.0,5061.0,100,2010,12,23,4,14966
5309.0,5309.0,5309.0,5309.0,100,2010,12,24,5,14967
5309.0,5309.0,5309.0,5309.0,100,2010,12,27,1,14970
4955.0,5663.0,5132.0,5132.0,2200,2010,12,28,2,14971
4955.0,4955.0,5132.0,5132.0,0,2010,12,29,3,14972
5273.0,5273.0,5273.0,5273.0,100,2010,12,30,4,14973
5273.0,5273.0,5273.0,5273.0,0,2010,12,31,5,14974
4919.0,5026.0,4919.0,4990.0,1200,2011,1,4,2,14978
5309.0,5309.0,5309.0,5309.0,300,2011,1,5,3,14979
5309.0,5663.0,5663.0,5415.0,600,2011,1,6,4,14980
5415.0,5415.0,5415.0,5415.0,400,2011,1,7,5,14981
5415.0,5415.0,5415.0,5415.0,0,2011,1,10,1,14984
5415.0,5415.0,5415.0,5415.0,0,2011,1,11,2,14985
5415.0,5415.0,5415.0,5415.0,0,2011,1,12,3,14986
5769.0,5769.0,5769.0,5769.0,300,2011,1,13,4,14987
6158.0,6158.0,6158.0,6158.0,100,2011,1,14,5,14988
6158.0,6158.0,6158.0,6158.0,0,2011,1,17,1,14991
6158.0,6158.0,6158.0,6158.0,0,2011,1,18,2,14992
6158.0,6158.0,6158.0,6158.0,0,2011,1,19,3,14993
5733.0,5733.0,5733.0,5733.0,200,2011,1,20,4,14994
5733.0,5733.0,5733.0,5733.0,0,2011,1,21,5,14995
5733.0,5733.0,5733.0,5733.0,0,2011,1,24,1,14998
5733.0,5733.0,5733.0,5733.0,0,2011,1,25,2,14999
6110.0,6110.0,5733.0,5733.0,0,2011,1,26,3,15000
6110.0,6110.0,6110.0,6110.0,100,2011,1,27,4,15001
6110.0,6110.0,6110.0,6110.0,0,2011,1,28,5,15002
6110.0,6110.0,6110.0,6110.0,0,2011,2,8,2,15013
6110.0,6110.0,6110.0,6110.0,0,2011,2,9,3,15014
6525.0,6525.0,6525.0,6525.0,100,2011,2,10,4,15015
6525.0,6525.0,6525.0,6525.0,0,2011,2,11,5,15016
