low,high,open,close,volume,year,month,day,weekday,days
12.0,13.25,12.75,12.75,1406600.0,1996,2,15,4,9541
12.25,12.75,12.5,12.75,421000.0,1996,2,16,5,9542
12.5,12.75,12.5,12.5,129200.0,1996,2,20,2,9546
12.5,12.875,12.5,12.5,94000.0,1996,2,21,3,9547
12.5,13.25,12.5,12.875,158200.0,1996,2,22,4,9548
12.75,15.375,12.75,13.625,174700.0,1996,2,23,5,9549
12.5,13.625,13.625,13.25,395300.0,1996,2,26,1,9552
12.625,13.25,12.630000114440918,13.0,87900.0,1996,2,27,2,9553
12.625,13.5,13.25,13.5,68400.0,1996,2,28,3,9554
13.0,13.5,13.5,13.0,224600.0,1996,2,29,4,9555
13.0,13.5,13.5,13.5,114200.0,1996,3,1,5,9556
,,,,,1996,3,4,1,9559
13.25,13.5,13.5,13.25,67400.0,1996,3,5,2,9560
13.187999725341797,13.5,13.25,13.375,56000.0,1996,3,6,3,9561
13.25,13.5,13.25,13.5,31700.0,1996,3,7,4,9562
12.75,14.125,12.75,13.25,114000.0,1996,3,8,5,9563
13.25,14.0,13.25,13.25,12200.0,1996,3,11,1,9566
13.25,14.0,13.25,14.0,18200.0,1996,3,12,2,9567
13.625,14.25,14.0,14.25,69400.0,1996,3,13,3,9568
14.5,15.5,14.75,15.0,115000.0,1996,3,14,4,9569
15.0,15.75,15.75,15.5,79900.0,1996,3,15,5,9570
15.0,16.0,15.0,16.0,73300.0,1996,3,18,1,9573
15.25,16.0,15.25,15.5,27200.0,1996,3,19,2,9574
15.25,16.5,15.25,15.75,61300.0,1996,3,20,3,9575
16.0,17.0,16.5,16.75,56900.0,1996,3,21,4,9576
16.25,17.0,17.0,16.5,10000.0,1996,3,22,5,9577
16.5,17.5,16.5,17.0,26700.0,1996,3,25,1,9580
17.0,17.5,17.5,17.0,77700.0,1996,3,26,2,9581
16.5,17.5,17.5,16.5,42500.0,1996,3,27,3,9582
16.0,17.0,16.0,16.0,54700.0,1996,3,28,4,9583
15.5,16.25,16.0,16.25,47800.0,1996,3,29,5,9584
15.5,16.25,16.25,16.25,67800.0,1996,4,1,1,9587
15.5,16.25,15.5,16.0,26700.0,1996,4,2,2,9588
15.5,16.25,15.5,15.5,25200.0,1996,4,3,3,9589
15.5,16.25,15.5,16.0,39600.0,1996,4,4,4,9590
15.0,16.0,15.5,15.0,19100.0,1996,4,8,1,9594
15.0,16.0,16.0,15.0,1400.0,1996,4,9,2,9595
15.0,16.0,15.0,15.375,125400.0,1996,4,10,3,9596
15.0,16.0,15.380000114440918,15.375,30100.0,1996,4,11,4,9597
15.0,16.0,15.5,15.375,253100.0,1996,4,12,5,9598
14.75,15.5,15.5,15.375,94100.0,1996,4,15,1,9601
15.5,15.75,15.5,15.5,12300.0,1996,4,16,2,9602
15.0,17.75,15.5,17.75,40100.0,1996,4,17,3,9603
17.0,17.75,17.75,17.25,43200.0,1996,4,18,4,9604
17.0,17.75,17.0,17.75,27900.0,1996,4,19,5,9605
17.0,18.0,17.75,17.5,16500.0,1996,4,22,1,9608
17.5,18.5,18.0,17.75,32800.0,1996,4,23,2,9609
17.5,18.25,17.5,18.25,13400.0,1996,4,24,3,9610
17.5,18.25,18.25,18.25,6400.0,1996,4,25,4,9611
17.5,18.25,18.25,18.0,4300.0,1996,4,26,5,9612
17.5,19.0,17.8799991607666,19.0,17200.0,1996,4,29,1,9615
18.375,19.0,19.0,19.0,37700.0,1996,4,30,2,9616
18.5,19.5,19.5,19.0,7100.0,1996,5,1,3,9617
18.5,19.5,19.5,19.0,18200.0,1996,5,2,4,9618
18.5,19.5,18.5,19.5,5900.0,1996,5,3,5,9619
18.5,19.5,18.5,19.5,20400.0,1996,5,6,1,9622
18.5,19.5,18.5,18.5,4800.0,1996,5,7,2,9623
17.75,19.5,18.5,18.75,25800.0,1996,5,8,3,9624
17.75,18.75,17.75,18.75,7300.0,1996,5,9,4,9625
17.75,18.75,18.75,18.0,32200.0,1996,5,10,5,9626
18.0,18.75,18.0,18.75,2700.0,1996,5,13,1,9629
17.75,19.0,18.75,19.0,28400.0,1996,5,14,2,9630
18.5,19.5,18.5,19.5,26600.0,1996,5,15,3,9631
18.5,19.5,19.5,19.5,9400.0,1996,5,16,4,9632
19.0,19.5,19.0,19.5,3000.0,1996,5,17,5,9633
19.0,20.0,19.0,19.0,2700.0,1996,5,20,1,9636
19.0,20.0,19.0,20.0,24800.0,1996,5,21,2,9637
