low,high,open,close,volume,year,month,day,weekday,days
5.625,7.0,6.75,6.0625,794700,1999,5,13,4,10724
5.875,6.25,6.125,6.21875,181500,1999,5,14,5,10725
5.75,6.34375,6.125,6.0,47100,1999,5,17,1,10728
5.59375,6.125,6.0,5.8125,72100,1999,5,18,2,10729
5.6875,5.9375,5.6875,5.75,23100,1999,5,19,3,10730
5.5625,5.875,5.6875,5.625,44200,1999,5,20,4,10731
5.5625,5.875,5.625,5.625,29200,1999,5,21,5,10732
4.875,5.75,5.75,4.875,56500,1999,5,24,1,10735
4.625,5.125,5.0,5.0,89300,1999,5,25,2,10736
4.9375,5.375,5.125,4.9375,44300,1999,5,26,3,10737
4.8125,5.0625,5.0625,4.8125,43200,1999,5,27,4,10738
4.8125,5.375,4.9375,5.3125,28800,1999,5,28,5,10739
5.1875,5.5,5.34375,5.3125,41600,1999,6,1,2,10743
4.5625,5.3125,5.1875,4.6875,104700,1999,6,2,3,10744
4.875,5.0,5.0,4.875,31900,1999,6,3,4,10745
4.625,5.125,4.875,5.0,22800,1999,6,4,5,10746
4.5,4.8125,4.75,4.75,16400,1999,6,7,1,10749
4.375,4.75,4.75,4.5,43300,1999,6,8,2,10750
4.5,4.75,4.5,4.625,11600,1999,6,9,3,10751
4.375,4.625,4.375,4.625,15000,1999,6,10,4,10752
4.5,5.25,4.5,4.875,45800,1999,6,11,5,10753
4.625,4.9375,4.9375,4.625,43700,1999,6,14,1,10756
4.125,4.625,4.625,4.3125,37800,1999,6,15,2,10757
4.1875,4.5,4.34375,4.1875,26900,1999,6,16,3,10758
4.1875,4.25,4.1875,4.25,11500,1999,6,17,4,10759
4.25,4.5,4.25,4.375,15400,1999,6,18,5,10760
4.25,4.5,4.5,4.25,29600,1999,6,21,1,10763
3.9375,4.25,4.25,4.0625,56400,1999,6,22,2,10764
3.9375,4.0,4.0,3.9375,15600,1999,6,23,3,10765
3.625,4.0,4.0,3.875,27200,1999,6,24,4,10766
3.8125,4.1875,3.8125,4.1875,28300,1999,6,25,5,10767
3.9375,4.125,4.0,4.0,25000,1999,6,28,1,10770
4.0,4.3125,4.0625,4.3125,29400,1999,6,29,2,10771
4.125,4.3125,4.125,4.125,4200,1999,6,30,3,10772
4.125,4.3125,4.28125,4.25,7800,1999,7,1,4,10773
4.1875,4.28125,4.265625,4.1875,16300,1999,7,2,5,10774
4.1875,4.6875,4.1875,4.5,68600,1999,7,6,2,10778
4.0625,4.5625,4.4375,4.0625,33900,1999,7,7,3,10779
4.125,4.25,4.1875,4.25,12400,1999,7,8,4,10780
4.0625,4.25,4.0625,4.125,11300,1999,7,9,5,10781
3.875,4.3125,4.3125,4.0,15300,1999,7,12,1,10784
3.75,4.0,3.96875,3.75,14400,1999,7,13,2,10785
3.625,3.875,3.75,3.6875,21600,1999,7,14,3,10786
3.5625,3.6875,3.65625,3.6875,9500,1999,7,15,4,10787
3.625,3.9375,3.6875,3.9375,6700,1999,7,16,5,10788
3.625,3.9375,3.9375,3.6875,10100,1999,7,19,1,10791
3.5625,3.625,3.625,3.5625,2100,1999,7,20,2,10792
3.5625,3.75,3.71875,3.6875,26400,1999,7,21,3,10793
3.5,3.6875,3.5625,3.6875,13800,1999,7,22,4,10794
3.75,3.9375,3.875,3.875,23700,1999,7,23,5,10795
3.75,4.0,3.90625,3.875,6300,1999,7,26,1,10798
3.75,3.96875,3.96875,3.75,16900,1999,7,27,2,10799
3.5,3.625,3.625,3.5625,8400,1999,7,28,3,10800
3.25,3.75,3.625,3.25,5900,1999,7,29,4,10801
3.0625,3.5,3.3125,3.0625,30800,1999,7,30,5,10802
3.25,3.375,3.375,3.25,19600,1999,8,2,1,10805
3.0,3.25,3.25,3.0,7600,1999,8,3,2,10806
3.0625,3.3125,3.0625,3.25,14100,1999,8,4,3,10807
3.0625,3.5,3.25,3.3125,18400,1999,8,5,4,10808
3.125,3.6875,3.25,3.6875,13500,1999,8,6,5,10809
3.5625,3.8125,3.8125,3.6875,17600,1999,8,9,1,10812
3.34375,3.6875,3.6875,3.34375,5000,1999,8,10,2,10813
3.34375,3.375,3.375,3.375,3300,1999,8,11,3,10814
3.34375,3.375,3.34375,3.375,4500,1999,8,12,4,10815
3.25,3.375,3.25,3.375,11800,1999,8,13,5,10816
3.0,3.34375,3.34375,3.25,76500,1999,8,16,1,10819
3.125,3.1875,3.125,3.1875,9500,1999,8,17,2,10820
3.0,3.125,3.0,3.09375,16000,1999,8,18,3,10821
3.0,3.0,3.0,3.0,1000,1999,8,19,4,10822
3.125,3.25,3.125,3.125,16800,1999,8,20,5,10823
3.125,3.125,3.125,3.125,5700,1999,8,23,1,10826
3.125,3.125,3.125,3.125,5600,1999,8,24,2,10827
3.0,3.125,3.125,3.0,35800,1999,8,25,3,10828
3.0,3.1875,3.1875,3.0625,24900,1999,8,26,4,10829
3.0,3.0,3.0,3.0,300,1999,8,27,5,10830
3.03125,3.125,3.03125,3.0625,7100,1999,8,30,1,10833
3.15625,3.3125,3.15625,3.3125,7600,1999,8,31,2,10834
3.21875,3.625,3.375,3.625,13000,1999,9,1,3,10835
3.34375,3.5625,3.5625,3.34375,13800,1999,9,2,4,10836
3.34375,3.4375,3.4375,3.34375,6700,1999,9,3,5,10837
3.15625,3.3125,3.28125,3.3125,24600,1999,9,7,2,10841
3.25,3.3125,3.3125,3.25,3000,1999,9,8,3,10842
3.0625,3.125,3.125,3.125,8700,1999,9,9,4,10843
3.21875,3.375,3.21875,3.375,15400,1999,9,10,5,10844
3.25,3.375,3.375,3.25,16900,1999,9,13,1,10847
3.1875,3.5,3.3125,3.5,43300,1999,9,14,2,10848
3.5,3.5625,3.5,3.5,21800,1999,9,15,3,10849
3.515625,3.875,3.515625,3.875,23200,1999,9,16,4,10850
3.875,4.25,3.875,4.125,39100,1999,9,17,5,10851
3.875,4.125,4.0625,4.0,21200,1999,9,20,1,10854
3.875,4.109375,4.109375,3.875,16800,1999,9,21,2,10855
3.875,4.0625,3.875,3.90625,38600,1999,9,22,3,10856
3.875,4.0,3.9375,4.0,12500,1999,9,23,4,10857
4.0,4.0,4.0,4.0,3000,1999,9,24,5,10858
3.3125,4.03125,4.03125,3.3125,14000,1999,9,27,1,10861
3.3125,3.75,3.4375,3.375,10000,1999,9,28,2,10862
3.375,3.4375,3.375,3.4375,1300,1999,9,29,3,10863
3.25,3.375,3.3125,3.25,6400,1999,9,30,4,10864
3.0625,3.5625,3.0625,3.5625,25400,1999,10,1,5,10865
3.25,3.53125,3.4375,3.25,12000,1999,10,4,1,10868
3.375,3.5625,3.375,3.4375,8400,1999,10,5,2,10869
3.25,3.25,3.25,3.25,100,1999,10,6,3,10870
3.1875,3.25,3.25,3.25,3400,1999,10,7,4,10871
2.9375,3.125,3.09375,2.9375,12300,1999,10,8,5,10872
3.0,3.09375,3.0,3.09375,12700,1999,10,11,1,10875
2.9375,3.375,3.0,3.0625,65300,1999,10,12,2,10876
3.0,3.25,3.25,3.0,6800,1999,10,13,3,10877
