low,high,open,close,volume,year,month,day,weekday,days
5.46875,6.625,6.5,5.46875,18922800,1998,4,23,4,10339
5.59375,6.40625,6.0,6.140625,4247200,1998,4,24,5,10340
5.375,6.125,6.09375,5.671875,3006800,1998,4,27,1,10343
5.59375,6.21875,6.125,5.59375,1848400,1998,4,28,2,10344
5.40625,5.8125,5.75,5.65625,1175600,1998,4,29,3,10345
5.5625,5.875,5.75,5.65625,830800,1998,4,30,4,10346
5.5,5.75,5.71875,5.5625,330000,1998,5,1,5,10347
5.5,5.65625,5.59375,5.59375,534400,1998,5,4,1,10350
5.5625,5.625,5.625,5.5625,373600,1998,5,5,2,10351
5.375,5.625,5.5625,5.5,291200,1998,5,6,3,10352
4.875,5.4375,5.4375,4.90625,1057600,1998,5,7,4,10353
4.96875,5.5,5.03125,5.40625,763200,1998,5,8,5,10354
5.0625,5.421875,5.375,5.09375,279200,1998,5,11,1,10357
4.703125,5.125,5.125,4.90625,1971200,1998,5,12,2,10358
4.75,5.125,4.8125,4.953125,585600,1998,5,13,3,10359
4.6875,4.9375,4.9375,4.703125,427200,1998,5,14,4,10360
4.4375,4.671875,4.65625,4.5625,1168800,1998,5,15,5,10361
4.375,4.65625,4.53125,4.46875,688800,1998,5,18,1,10364
4.625,5.375,4.625,5.25,2302400,1998,5,19,2,10365
5.09375,5.34375,5.34375,5.09375,556400,1998,5,20,3,10366
4.90625,5.15625,5.15625,4.9375,551200,1998,5,21,4,10367
4.90625,5.15625,4.96875,5.15625,249200,1998,5,22,5,10368
4.84375,5.15625,5.15625,4.875,142400,1998,5,26,2,10372
4.78125,4.9375,4.875,4.90625,930400,1998,5,27,3,10373
4.875,5.09375,5.0,4.875,208000,1998,5,28,4,10374
4.84375,5.09375,4.875,5.0,485600,1998,5,29,5,10375
4.90625,5.25,4.90625,5.140625,199600,1998,6,1,1,10378
5.1875,5.25,5.21875,5.25,178000,1998,6,2,2,10379
5.203125,5.59375,5.265625,5.375,196400,1998,6,3,3,10380
5.09375,5.625,5.46875,5.21875,272000,1998,6,4,4,10381
5.15625,5.28125,5.28125,5.21875,158800,1998,6,5,5,10382
4.90625,5.28125,5.21875,5.03125,172400,1998,6,8,1,10385
4.953125,5.09375,5.0,4.984375,103200,1998,6,9,2,10386
4.90625,5.09375,5.09375,4.9375,20400,1998,6,10,3,10387
4.9375,5.15625,5.0,5.0,94000,1998,6,11,4,10388
4.875,5.0,4.9375,5.0,162400,1998,6,12,5,10389
4.96875,5.1875,5.0,5.0625,88800,1998,6,15,1,10392
5.0625,5.34375,5.1875,5.3125,327200,1998,6,16,2,10393
5.28125,5.375,5.3125,5.34375,471600,1998,6,17,3,10394
5.3125,5.375,5.375,5.3125,142000,1998,6,18,4,10395
5.3125,5.359375,5.3125,5.3125,122400,1998,6,19,5,10396
5.25,5.46875,5.3125,5.28125,305600,1998,6,22,1,10399
5.1875,5.296875,5.25,5.1875,252000,1998,6,23,2,10400
