low,high,open,close,volume,year,month,day,weekday,days
375.0,479.3999938964844,375.0,450.0,5527,2003,12,18,4,12404
450.0,594.0,471.0,456.0,3008,2003,12,19,5,12405
465.0,570.0,507.0,510.0,1333,2003,12,22,1,12408
510.0,771.0,546.0,720.0,3550,2003,12,23,2,12409
604.7999877929688,779.4000244140625,729.0,619.7999877929688,1608,2003,12,24,3,12410
639.0,684.0,676.2000122070312,645.5999755859375,585,2003,12,26,5,12412
646.2000122070312,702.5999755859375,681.5999755859375,660.0,695,2003,12,29,1,12415
606.0,700.7999877929688,700.7999877929688,660.5999755859375,843,2003,12,30,2,12416
639.0,729.5999755859375,661.2000122070312,706.2000122070312,573,2003,12,31,3,12417
654.0,738.0,705.0,738.0,515,2004,1,2,5,12419
690.0,774.5999755859375,771.0,707.4000244140625,525,2004,1,5,1,12422
705.0,779.4000244140625,775.7999877929688,736.2000122070312,447,2004,1,6,2,12423
735.0,754.7999877929688,748.2000122070312,750.0,435,2004,1,7,3,12424
750.0,780.0,777.0,765.0,412,2004,1,8,4,12425
727.7999877929688,786.0,786.0,729.5999755859375,460,2004,1,9,5,12426
666.0,783.0,723.0,720.0,762,2004,1,12,1,12429
684.0,720.0,720.0,704.4000244140625,378,2004,1,13,2,12430
690.0,726.0,690.0,705.0,285,2004,1,14,3,12431
675.0,702.0,675.0,701.4000244140625,305,2004,1,15,4,12432
672.0,726.0,701.4000244140625,726.0,182,2004,1,16,5,12433
696.0,750.0,722.4000244140625,723.0,357,2004,1,20,2,12437
690.0,762.0,762.0,729.0,198,2004,1,21,3,12438
709.2000122070312,735.0,735.0,711.0,123,2004,1,22,4,12439
690.0,734.4000244140625,720.0,703.2000122070312,288,2004,1,23,5,12440
684.0,732.0,690.0,705.5999755859375,1043,2004,1,26,1,12443
682.7999877929688,718.7999877929688,682.7999877929688,709.7999877929688,428,2004,1,27,2,12444
684.0,711.0,711.0,684.0,212,2004,1,28,3,12445
612.5999755859375,699.0,699.0,644.4000244140625,218,2004,1,29,4,12446
600.0,699.0,699.0,683.4000244140625,368,2004,1,30,5,12447
662.4000244140625,684.0,683.4000244140625,684.0,362,2004,2,2,1,12450
651.5999755859375,702.0,690.0,664.2000122070312,237,2004,2,3,2,12451
630.0,705.0,705.0,690.0,168,2004,2,4,3,12452
615.0,690.0,660.0,683.4000244140625,220,2004,2,5,4,12453
690.0,705.0,690.0,696.0,172,2004,2,6,5,12454
648.0,741.0,720.0,684.5999755859375,428,2004,2,9,1,12457
648.0,692.4000244140625,648.0,692.4000244140625,155,2004,2,10,2,12458
660.5999755859375,786.0,693.0,766.2000122070312,1078,2004,2,11,3,12459
699.0,786.0,699.0,751.2000122070312,392,2004,2,12,4,12460
639.5999755859375,771.0,771.0,695.4000244140625,378,2004,2,13,5,12461
655.2000122070312,708.0,703.7999877929688,655.2000122070312,238,2004,2,17,2,12465
661.2000122070312,675.0,666.5999755859375,668.4000244140625,133,2004,2,18,3,12466
636.0,680.4000244140625,680.4000244140625,644.4000244140625,72,2004,2,19,4,12467
612.0,654.0,644.4000244140625,624.0,112,2004,2,20,5,12468
552.0,649.7999877929688,649.7999877929688,552.0,637,2004,2,23,1,12471
457.79998779296875,584.4000244140625,552.5999755859375,491.3999938964844,1760,2004,2,24,2,12472
465.0,675.0,465.0,598.7999877929688,1358,2004,2,25,3,12473
603.0,678.0,603.0,635.4000244140625,858,2004,2,26,4,12474
612.0,690.0,612.0,660.5999755859375,420,2004,2,27,5,12475
630.0,680.4000244140625,660.0,680.4000244140625,290,2004,3,1,1,12478
645.0,691.7999877929688,655.7999877929688,684.0,140,2004,3,2,2,12479
631.2000122070312,666.0,666.0,635.4000244140625,327,2004,3,3,3,12480
581.4000244140625,631.7999877929688,631.7999877929688,596.4000244140625,217,2004,3,4,4,12481
