low,high,open,close,volume,year,month,day,weekday,days
6205.0,6205.0,6205.0,6200.0,0,2016,6,1,3,16953
6205.0,6205.0,6205.0,6200.0,0,2016,6,2,4,16954
6205.0,6205.0,6205.0,6200.0,0,2016,6,3,5,16955
6205.0,6205.0,6205.0,6200.0,0,2016,6,6,1,16958
6205.0,6205.0,6205.0,6200.0,0,2016,6,7,2,16959
6205.0,6205.0,6205.0,6200.0,0,2016,6,8,3,16960
6205.0,6205.0,6205.0,6200.0,0,2016,6,9,4,16961
6205.0,6205.0,6205.0,6200.0,0,2016,6,10,5,16962
6205.0,6205.0,6205.0,6200.0,0,2016,6,13,1,16965
6205.0,6205.0,6205.0,6200.0,0,2016,6,14,2,16966
6205.0,6205.0,6205.0,6200.0,0,2016,6,15,3,16967
6205.0,6205.0,6205.0,6200.0,0,2016,6,16,4,16968
6205.0,6205.0,6205.0,6200.0,0,2016,6,17,5,16969
6205.0,6205.0,6205.0,6200.0,0,2016,6,20,1,16972
6205.0,6205.0,6205.0,6200.0,0,2016,6,21,2,16973
6205.0,6205.0,6205.0,6200.0,0,2016,6,22,3,16974
6205.0,6205.0,6205.0,6200.0,0,2016,6,23,4,16975
6205.0,6205.0,6205.0,6200.0,0,2016,6,24,5,16976
6205.0,6205.0,6205.0,6200.0,0,2016,6,27,1,16979
6205.0,6205.0,6205.0,6200.0,0,2016,6,28,2,16980
6205.0,6205.0,6205.0,6200.0,0,2016,6,29,3,16981
6205.0,6205.0,6205.0,6200.0,0,2016,6,30,4,16982
6205.0,6205.0,6205.0,6200.0,0,2016,7,1,5,16983
6205.0,6205.0,6205.0,6200.0,0,2016,7,4,1,16986
6205.0,6205.0,6205.0,6200.0,0,2016,7,5,2,16987
6205.0,6205.0,6205.0,6200.0,0,2016,7,6,3,16988
6205.0,6205.0,6205.0,6200.0,0,2016,7,7,4,16989
6205.0,6205.0,6205.0,6200.0,0,2016,7,8,5,16990
6205.0,6205.0,6205.0,6200.0,0,2016,7,11,1,16993
6205.0,6205.0,6205.0,6200.0,0,2016,7,12,2,16994
6205.0,6205.0,6205.0,6200.0,0,2016,7,13,3,16995
6205.0,6205.0,6205.0,6200.0,0,2016,7,14,4,16996
6205.0,6205.0,6205.0,6200.0,0,2016,7,15,5,16997
6205.0,6205.0,6205.0,6200.0,0,2016,7,18,1,17000
6205.0,6205.0,6205.0,6200.0,0,2016,7,19,2,17001
6205.0,6205.0,6205.0,6200.0,0,2016,7,20,3,17002
6205.0,6205.0,6205.0,6200.0,0,2016,7,21,4,17003
6205.0,6205.0,6205.0,6200.0,0,2016,7,22,5,17004
6205.0,6205.0,6205.0,6200.0,0,2016,7,25,1,17007
6205.0,6205.0,6205.0,6200.0,0,2016,7,26,2,17008
6205.0,6205.0,6205.0,6200.0,0,2016,7,27,3,17009
6205.0,6205.0,6205.0,6200.0,0,2016,7,28,4,17010
6205.0,6205.0,6205.0,6200.0,0,2016,7,29,5,17011
6205.0,6205.0,6205.0,6200.0,0,2016,8,1,1,17014
6205.0,6205.0,6205.0,6200.0,0,2016,8,2,2,17015
6205.0,6205.0,6205.0,6200.0,0,2016,8,3,3,17016
6205.0,6205.0,6205.0,6200.0,0,2016,8,4,4,17017
6205.0,6205.0,6205.0,6200.0,0,2016,8,5,5,17018
6205.0,6205.0,6205.0,6200.0,0,2016,8,8,1,17021
6205.0,6205.0,6205.0,6200.0,0,2016,8,9,2,17022
6205.0,6205.0,6205.0,6200.0,0,2016,8,10,3,17023
6205.0,6205.0,6205.0,6200.0,0,2016,8,11,4,17024
6205.0,6205.0,6205.0,6200.0,0,2016,8,12,5,17025
6205.0,6205.0,6205.0,6200.0,0,2016,8,15,1,17028
6205.0,6205.0,6205.0,6200.0,0,2016,8,16,2,17029
6205.0,6205.0,6205.0,6200.0,0,2016,8,17,3,17030
6205.0,6205.0,6205.0,6200.0,0,2016,8,18,4,17031
6205.0,6205.0,6205.0,6200.0,0,2016,8,19,5,17032
6205.0,6205.0,6205.0,6200.0,0,2016,8,22,1,17035
6205.0,6205.0,6205.0,6200.0,0,2016,8,23,2,17036
6205.0,6205.0,6205.0,6200.0,0,2016,8,24,3,17037
6205.0,6205.0,6205.0,6200.0,0,2016,8,25,4,17038
6205.0,6205.0,6205.0,6200.0,0,2016,8,26,5,17039
6205.0,6205.0,6205.0,6200.0,0,2016,8,29,1,17042
6205.0,6205.0,6205.0,6200.0,0,2016,8,30,2,17043
6205.0,6205.0,6205.0,6200.0,0,2016,8,31,3,17044
6205.0,6205.0,6205.0,6200.0,0,2016,9,1,4,17045
6205.0,6205.0,6205.0,6200.0,0,2016,9,5,1,17049
6205.0,6205.0,6205.0,6200.0,0,2016,9,6,2,17050
6205.0,6205.0,6205.0,6200.0,0,2016,9,7,3,17051
6205.0,6205.0,6205.0,6200.0,0,2016,9,8,4,17052
6205.0,6205.0,6205.0,6200.0,0,2016,9,9,5,17053
