low,high,open,close,volume,year,month,day,weekday,days
5252.0,5795.0,5795.0,5343.0,39030,2010,6,23,3,14783
5116.0,5343.0,5343.0,5116.0,20190,2010,6,24,4,14784
4890.0,5297.0,4890.0,4980.0,112760,2010,6,25,5,14785
4890.0,4980.0,4980.0,4980.0,13000,2010,6,28,1,14788
4799.0,5116.0,4845.0,4845.0,34570,2010,6,29,2,14789
4709.0,4845.0,4845.0,4845.0,19820,2010,6,30,3,14790
4618.0,4754.0,4754.0,4618.0,31670,2010,7,1,4,14791
4573.0,4845.0,4573.0,4845.0,17240,2010,7,2,5,14792
4935.0,4980.0,4980.0,4935.0,11100,2010,7,5,1,14795
4799.0,4845.0,4845.0,4845.0,17710,2010,7,6,2,14796
4799.0,4845.0,4799.0,4845.0,4910,2010,7,7,3,14797
4709.0,4845.0,4709.0,4709.0,23900,2010,7,8,4,14798
4754.0,4799.0,4799.0,4754.0,23010,2010,7,9,5,14799
4709.0,4845.0,4845.0,4709.0,4740,2010,7,12,1,14802
4709.0,4935.0,4935.0,4890.0,17130,2010,7,13,2,14803
4754.0,4890.0,4754.0,4754.0,21750,2010,7,14,3,14804
4799.0,4845.0,4799.0,4799.0,36960,2010,7,15,4,14805
4799.0,4845.0,4799.0,4799.0,26500,2010,7,16,5,14806
4754.0,4845.0,4799.0,4754.0,35930,2010,7,19,1,14809
4754.0,4845.0,4754.0,4845.0,37680,2010,7,20,2,14810
4799.0,4845.0,4799.0,4845.0,35680,2010,7,21,3,14811
4799.0,4845.0,4799.0,4845.0,21290,2010,7,22,4,14812
4890.0,5071.0,4890.0,5071.0,78670,2010,7,23,5,14813
4980.0,5252.0,5252.0,4980.0,88060,2010,7,26,1,14816
4890.0,4935.0,4890.0,4890.0,22370,2010,7,27,2,14817
4799.0,5071.0,5071.0,4890.0,32060,2010,7,28,3,14818
4754.0,4799.0,4799.0,4799.0,6000,2010,7,29,4,14819
4754.0,4935.0,4754.0,4799.0,93000,2010,7,30,5,14820
4799.0,4845.0,4799.0,4799.0,20440,2010,8,2,1,14823
4845.0,4890.0,4845.0,4845.0,37760,2010,8,3,2,14824
4754.0,4845.0,4845.0,4799.0,27100,2010,8,4,3,14825
4754.0,4799.0,4799.0,4799.0,19890,2010,8,5,4,14826
4709.0,4799.0,4799.0,4799.0,21460,2010,8,6,5,14827
