low,high,open,close,volume,year,month,day,weekday,days
4.65625,5.0,5.0,4.875,13300,1995,6,12,1,9293
4.5,5.125,4.875,5.125,76000,1995,6,13,2,9294
4.890625,5.125,5.125,5.125,2500,1995,6,14,3,9295
4.875,5.25,5.125,5.015625,29500,1995,6,15,4,9296
5.125,5.375,5.125,5.375,14300,1995,6,16,5,9297
5.375,5.5,5.375,5.5,26800,1995,6,19,1,9300
5.5,5.875,5.5,5.828125,29900,1995,6,20,2,9301
5.5,6.0,5.875,5.5,54500,1995,6,21,3,9302
5.5,5.875,5.875,5.625,17000,1995,6,22,4,9303
5.5,5.75,5.75,5.5,16400,1995,6,23,5,9304
5.5,5.75,5.75,5.5,34400,1995,6,26,1,9307
5.5,5.75,5.75,5.75,23900,1995,6,27,2,9308
5.375,5.75,5.75,5.375,35400,1995,6,28,3,9309
5.375,5.625,5.375,5.625,16300,1995,6,29,4,9310
5.25,5.625,5.625,5.625,24100,1995,6,30,5,9311
5.25,5.625,5.25,5.625,3300,1995,7,3,1,9314
5.375,5.75,5.625,5.375,14900,1995,7,5,3,9316
5.375,5.75,5.375,5.5,18600,1995,7,6,4,9317
5.25,5.625,5.25,5.5,6000,1995,7,7,5,9318
5.375,5.625,5.625,5.625,9300,1995,7,10,1,9321
5.375,5.75,5.375,5.609375,9900,1995,7,11,2,9322
5.375,5.625,5.625,5.375,13100,1995,7,12,3,9323
5.25,5.5625,5.5625,5.3125,18100,1995,7,13,4,9324
5.3125,5.5625,5.5625,5.5,17700,1995,7,14,5,9325
5.375,6.0,5.875,5.953125,17100,1995,7,17,1,9328
5.8125,6.0,6.0,6.0,15200,1995,7,18,2,9329
5.625,6.0,6.0,5.75,10500,1995,7,19,3,9330
5.5,5.875,5.75,5.703125,4500,1995,7,20,4,9331
5.5,5.875,5.875,5.5,8900,1995,7,21,5,9332
5.5,5.875,5.5,5.640625,8200,1995,7,24,1,9335
5.5,5.75,5.75,5.75,11600,1995,7,25,2,9336
5.5,6.0,5.75,5.8125,29100,1995,7,26,3,9337
5.75,6.0,5.75,5.8125,25400,1995,7,27,4,9338
5.625,5.875,5.875,5.875,23200,1995,7,28,5,9339
5.625,6.0,5.875,5.796875,12400,1995,7,31,1,9342
5.625,6.0,6.0,5.765625,71900,1995,8,1,2,9343
5.796875,6.0,5.875,6.0,26000,1995,8,2,3,9344
5.625,5.875,5.8125,5.875,24200,1995,8,3,4,9345
5.625,6.125,5.875,6.125,39000,1995,8,4,5,9346
5.875,6.125,6.125,6.125,4200,1995,8,7,1,9349
5.875,6.375,5.875,5.9375,13500,1995,8,8,2,9350
5.9375,6.375,6.375,6.375,61200,1995,8,9,3,9351
5.875,6.375,6.375,6.0,29200,1995,8,10,4,9352
6.0,6.375,6.375,6.25,11300,1995,8,11,5,9353
5.875,6.5,6.25,6.5,39000,1995,8,14,1,9356
6.25,6.5,6.5,6.25,20300,1995,8,15,2,9357
6.125,6.4375,6.4375,6.28125,131700,1995,8,16,3,9358
6.125,6.75,6.125,6.65625,93400,1995,8,17,4,9359
6.5,6.875,6.75,6.875,44400,1995,8,18,5,9360
6.75,7.5,6.875,7.3125,108300,1995,8,21,1,9363
7.0,7.375,7.375,7.375,16500,1995,8,22,2,9364
6.875,7.25,7.25,6.875,39000,1995,8,23,3,9365
6.875,7.125,7.125,6.9375,27300,1995,8,24,4,9366
6.9375,7.125,7.125,7.03125,22000,1995,8,25,5,9367
6.9375,7.1875,7.125,7.0,64100,1995,8,28,1,9370
7.0,7.375,7.1875,7.0,49100,1995,8,29,2,9371
6.625,7.25,7.0,6.625,38900,1995,8,30,3,9372
6.375,6.875,6.625,6.75,56200,1995,8,31,4,9373
6.375,6.875,6.5,6.875,58600,1995,9,1,5,9374
6.625,6.875,6.875,6.75,8800,1995,9,5,2,9378
6.75,7.125,6.875,7.125,32000,1995,9,6,3,9379
6.875,7.375,6.875,7.25,70600,1995,9,7,4,9380
7.09375,7.375,7.375,7.125,18300,1995,9,8,5,9381
7.125,7.5,7.125,7.5,49900,1995,9,11,1,9384
7.25,7.5,7.5,7.25,32100,1995,9,12,2,9385
7.375,7.75,7.5,7.421875,27400,1995,9,13,3,9386
7.375,7.625,7.5,7.625,12200,1995,9,14,4,9387
7.125,7.625,7.375,7.125,29100,1995,9,15,5,9388
7.125,7.5,7.375,7.5,25800,1995,9,18,1,9391
7.125,7.5,7.5,7.375,52800,1995,9,19,2,9392
7.0,7.375,7.125,7.25,36900,1995,9,20,3,9393
7.0,7.375,7.0,7.375,3600,1995,9,21,4,9394
