low,high,open,close,volume,year,month,day,weekday,days
14.649999618530273,16.200000762939453,14.75,15.829999923706055,468500,2001,7,31,2,11534
15.569999694824219,16.649999618530273,15.65999984741211,16.6200008392334,263500,2001,8,1,3,11535
15.34000015258789,17.040000915527344,16.75,15.850000381469727,332600,2001,8,2,4,11536
14.600000381469727,15.359999656677246,15.359999656677246,15.109999656677246,115500,2001,8,3,5,11537
14.800000190734863,15.699999809265137,14.899999618530273,15.0600004196167,81900,2001,8,6,1,11540
14.899999618530273,15.25,15.1899995803833,14.949999809265137,385500,2001,8,7,2,11541
14.899999618530273,15.119999885559082,15.039999961853027,15.050000190734863,247500,2001,8,8,3,11542
14.899999618530273,15.050000190734863,15.020000457763672,14.949999809265137,84600,2001,8,9,4,11543
14.109999656677246,14.989999771118164,14.960000038146973,14.199999809265137,320300,2001,8,10,5,11544
14.199999809265137,14.619999885559082,14.350000381469727,14.609999656677246,28300,2001,8,13,1,11547
14.600000381469727,16.459999084472656,14.609999656677246,16.149999618530273,82500,2001,8,14,2,11548
15.300000190734863,16.25,16.100000381469727,15.350000381469727,210300,2001,8,15,3,11549
14.550000190734863,15.300000190734863,15.300000190734863,14.550000190734863,19200,2001,8,16,4,11550
13.819999694824219,14.600000381469727,14.550000190734863,14.140000343322754,113700,2001,8,17,5,11551
13.850000381469727,14.010000228881836,14.010000228881836,13.949999809265137,106200,2001,8,20,1,11554
14.0,14.350000381469727,14.039999961853027,14.300000190734863,110500,2001,8,21,2,11555
14.100000381469727,14.34000015258789,14.300000190734863,14.270000457763672,13900,2001,8,22,3,11556
14.029999732971191,17.420000076293945,14.100000381469727,14.579999923706055,124700,2001,8,23,4,11557
13.899999618530273,15.039999961853027,14.609999656677246,14.050000190734863,81900,2001,8,24,5,11558
13.899999618530273,14.550000190734863,14.0,14.399999618530273,91000,2001,8,27,1,11561
13.859999656677246,15.0,14.569999694824219,14.0,69400,2001,8,28,2,11562
13.899999618530273,14.25,14.25,14.25,77700,2001,8,29,3,11563
13.899999618530273,14.350000381469727,14.0600004196167,14.300000190734863,252200,2001,8,30,4,11564
14.199999809265137,15.0,14.210000038146973,14.399999618530273,23600,2001,8,31,5,11565
14.149999618530273,14.649999618530273,14.5,14.149999618530273,118500,2001,9,4,2,11569
14.25,14.600000381469727,14.5,14.260000228881836,192600,2001,9,5,3,11570
13.949999809265137,14.399999618530273,14.199999809265137,14.100000381469727,40500,2001,9,6,4,11571
13.949999809265137,14.149999618530273,13.949999809265137,13.979999542236328,28000,2001,9,7,5,11572
13.960000038146973,14.350000381469727,13.960000038146973,14.350000381469727,6500,2001,9,10,1,11575
13.710000038146973,14.109999656677246,14.010000228881836,13.75,97700,2001,9,17,1,11582
12.75,13.850000381469727,13.710000038146973,12.75,122600,2001,9,18,2,11583
10.149999618530273,12.75,12.720000267028809,11.09000015258789,235000,2001,9,19,3,11584
10.800000190734863,11.65999984741211,11.100000381469727,11.65999984741211,163700,2001,9,20,4,11585
10.100000381469727,11.25,11.069999694824219,10.5,190100,2001,9,21,5,11586
10.5,10.9399995803833,10.600000381469727,10.65999984741211,93000,2001,9,24,1,11589
10.609999656677246,11.050000190734863,10.609999656677246,10.75,43600,2001,9,25,2,11590
10.449999809265137,10.859999656677246,10.800000190734863,10.800000190734863,311900,2001,9,26,3,11591
9.649999618530273,10.65999984741211,10.649999618530273,9.899999618530273,199100,2001,9,27,4,11592
9.850000381469727,10.300000190734863,9.899999618530273,10.25,283600,2001,9,28,5,11593
10.0,10.25,10.25,10.0,220600,2001,10,1,1,11596
9.899999618530273,10.300000190734863,9.970000267028809,10.300000190734863,76800,2001,10,2,2,11597
10.09000015258789,11.449999809265137,10.199999809265137,11.229999542236328,83200,2001,10,3,3,11598
11.449999809265137,12.449999809265137,11.449999809265137,12.359999656677246,7400,2001,10,4,4,11599
11.899999618530273,14.0,11.90999984741211,14.0,21900,2001,10,5,5,11600
13.739999771118164,14.199999809265137,13.739999771118164,14.0,2800,2001,10,8,1,11603
13.210000038146973,14.699999809265137,13.65999984741211,14.699999809265137,21700,2001,10,9,2,11604
14.569999694824219,15.109999656677246,14.699999809265137,15.109999656677246,9900,2001,10,10,3,11605
15.0,15.5600004196167,15.130000114440918,15.399999618530273,55200,2001,10,11,4,11606
15.0,15.460000038146973,15.15999984741211,15.0,102700,2001,10,12,5,11607
14.729999542236328,15.050000190734863,14.899999618530273,14.920000076293945,21900,2001,10,15,1,11610
15.0,15.640000343322754,15.0,15.199999809265137,5100,2001,10,16,2,11611
15.300000190734863,17.0,15.5,16.450000762939453,51000,2001,10,17,3,11612
15.470000267028809,17.200000762939453,15.479999542236328,17.059999465942383,44000,2001,10,18,4,11613
16.90999984741211,18.600000381469727,16.90999984741211,18.350000381469727,130800,2001,10,19,5,11614
18.299999237060547,18.799999237060547,18.600000381469727,18.549999237060547,544600,2001,10,22,1,11617
18.299999237060547,18.75,18.579999923706055,18.399999618530273,88900,2001,10,23,2,11618
17.0,18.450000762939453,18.450000762939453,17.0,163600,2001,10,24,3,11619
16.149999618530273,17.0,17.0,16.350000381469727,122400,2001,10,25,4,11620
16.15999984741211,16.600000381469727,16.15999984741211,16.40999984741211,81700,2001,10,26,5,11621
16.200000762939453,16.84000015258789,16.3799991607666,16.739999771118164,92400,2001,10,29,1,11624
16.280000686645508,16.799999237060547,16.649999618530273,16.649999618530273,196200,2001,10,30,2,11625
16.649999618530273,16.899999618530273,16.899999618530273,16.649999618530273,21600,2001,10,31,3,11626
15.899999618530273,17.0,16.709999084472656,16.0,137100,2001,11,1,4,11627
15.699999809265137,16.100000381469727,15.90999984741211,15.699999809265137,18800,2001,11,2,5,11628
14.699999809265137,15.800000190734863,15.640000343322754,15.050000190734863,62300,2001,11,5,1,11631
15.239999771118164,16.020000457763672,15.239999771118164,15.699999809265137,620000,2001,11,6,2,11632
15.399999618530273,15.899999618530273,15.699999809265137,15.699999809265137,219900,2001,11,7,3,11633
14.949999809265137,16.100000381469727,15.800000190734863,14.949999809265137,163600,2001,11,8,4,11634
14.899999618530273,15.600000381469727,14.899999618530273,15.600000381469727,345100,2001,11,9,5,11635
15.5,15.899999618530273,15.5,15.600000381469727,74800,2001,11,12,1,11638
15.510000228881836,15.850000381469727,15.600000381469727,15.800000190734863,97500,2001,11,13,2,11639
15.75,16.200000762939453,15.800000190734863,15.800000190734863,15800,2001,11,14,3,11640
15.399999618530273,16.399999618530273,15.699999809265137,16.0,34400,2001,11,15,4,11641
15.989999771118164,16.549999237060547,16.389999389648438,16.100000381469727,189700,2001,11,16,5,11642
16.219999313354492,17.0,16.219999313354492,16.600000381469727,93100,2001,11,19,1,11645
16.5,16.889999389648438,16.889999389648438,16.5,51400,2001,11,20,2,11646
16.450000762939453,16.950000762939453,16.889999389648438,16.950000762939453,6400,2001,11,21,3,11647
