low,high,open,close,volume,year,month,day,weekday,days
12827.0,24051.0,12827.0,16275.0,35900,2010,8,18,3,14839
15152.0,15393.0,15313.0,15233.0,3900,2010,8,19,4,14840
14190.0,14271.0,14271.0,14271.0,6500,2010,8,20,5,14841
13308.0,13308.0,13308.0,13308.0,500,2010,8,23,1,14844
12427.0,13308.0,13308.0,12747.0,1300,2010,8,24,2,14845
11865.0,11865.0,11865.0,11865.0,100,2010,8,25,3,14846
11064.0,11064.0,11064.0,11064.0,9200,2010,8,26,4,14847
10342.0,10342.0,10342.0,10342.0,9800,2010,8,27,5,14848
11064.0,11064.0,11064.0,11064.0,7600,2010,8,30,1,14851
10422.0,11705.0,10422.0,11304.0,4600,2010,8,31,2,14852
10583.0,10743.0,10743.0,10583.0,10400,2010,9,1,3,14853
10182.0,11304.0,10502.0,10823.0,22600,2010,9,6,1,14858
10102.0,11545.0,10422.0,11224.0,12300,2010,9,7,2,14859
10583.0,11946.0,10823.0,11224.0,2800,2010,9,8,3,14860
10903.0,11545.0,11224.0,11304.0,3500,2010,9,9,4,14861
10663.0,12026.0,10663.0,11785.0,7000,2010,9,10,5,14862
11304.0,12587.0,11465.0,12106.0,33200,2010,9,13,1,14865
12346.0,12908.0,12908.0,12827.0,36400,2010,9,14,2,14866
12026.0,12186.0,12106.0,12106.0,6700,2010,9,15,3,14867
11304.0,12346.0,11384.0,11625.0,3900,2010,9,16,4,14868
10984.0,12427.0,10984.0,11465.0,15800,2010,9,17,5,14869
11144.0,11465.0,11144.0,11224.0,3800,2010,9,20,1,14872
11865.0,11946.0,11946.0,11946.0,6000,2010,9,21,2,14873
12026.0,12747.0,12026.0,12667.0,10100,2010,9,22,3,14874
13228.0,13549.0,13549.0,13469.0,87100,2010,9,23,4,14875
14271.0,14351.0,14351.0,14351.0,16000,2010,9,24,5,14876
13549.0,15313.0,15313.0,15152.0,54600,2010,9,27,1,14879
15233.0,16034.0,15633.0,15553.0,22300,2010,9,28,2,14880
14511.0,14511.0,14511.0,14511.0,3100,2010,9,29,3,14881
13549.0,13549.0,13549.0,13549.0,12100,2010,9,30,4,14882
12667.0,13228.0,12667.0,12827.0,32600,2010,10,1,5,14883
12507.0,13469.0,12988.0,12827.0,6500,2010,10,4,1,14886
12026.0,12908.0,12026.0,12266.0,9800,2010,10,5,2,14887
13068.0,13068.0,13068.0,13068.0,1600,2010,10,6,3,14888
13148.0,13950.0,13870.0,13469.0,7100,2010,10,7,4,14889
13228.0,13629.0,13629.0,13629.0,5600,2010,10,8,5,14890
12827.0,13709.0,13709.0,12988.0,8600,2010,10,11,1,14893
13308.0,13469.0,13308.0,13389.0,1000,2010,10,12,2,14894
12827.0,13469.0,13469.0,12988.0,6500,2010,10,13,3,14895
13308.0,13308.0,13308.0,13308.0,1000,2010,10,14,4,14896
