low,high,open,close,volume,year,month,day,weekday,days
2.28125,2.5625,2.375,2.375,4909600,1996,11,15,5,9815
2.3125,2.4375,2.4375,2.3125,578000,1996,11,18,1,9818
2.25,2.375,2.3125,2.265625,340800,1996,11,19,2,9819
2.25,2.34375,2.25,2.28125,174800,1996,11,20,3,9820
2.25,2.3125,2.25,2.25,378400,1996,11,21,4,9821
2.1875,2.28125,2.25,2.1875,53600,1996,11,22,5,9822
2.1875,2.1875,2.1875,2.1875,77600,1996,11,25,1,9825
2.1875,2.25,2.25,2.1875,74400,1996,11,26,2,9826
2.25,2.34375,2.25,2.28125,322400,1996,11,27,3,9827
2.28125,2.28125,2.28125,2.28125,20000,1996,11,29,5,9829
2.28125,2.34375,2.28125,2.28125,60800,1996,12,2,1,9832
2.28125,2.3125,2.28125,2.28125,182000,1996,12,3,2,9833
2.28125,2.40625,2.34375,2.40625,204400,1996,12,4,3,9834
2.3125,2.375,2.3125,2.375,20800,1996,12,5,4,9835
2.3125,2.375,2.34375,2.3125,112400,1996,12,6,5,9836
2.3125,2.375,2.3125,2.375,100400,1996,12,9,1,9839
2.3125,2.375,2.3125,2.375,36000,1996,12,10,2,9840
2.3125,2.34375,2.34375,2.3125,44000,1996,12,11,3,9841
2.3125,2.375,2.3125,2.375,84000,1996,12,12,4,9842
2.3125,2.3125,2.3125,2.3125,42000,1996,12,13,5,9843
2.3125,2.3125,2.3125,2.3125,0,1996,12,16,1,9846
2.28125,2.28125,2.28125,2.28125,29600,1996,12,17,2,9847
2.28125,2.28125,2.28125,2.28125,4000,1996,12,18,3,9848
2.28125,2.28125,2.28125,2.28125,4000,1996,12,19,4,9849
2.28125,2.34375,2.28125,2.34375,303200,1996,12,20,5,9850
2.34375,2.34375,2.34375,2.34375,180000,1996,12,23,1,9853
2.34375,2.34375,2.34375,2.34375,0,1996,12,24,2,9854
2.34375,2.34375,2.34375,2.34375,0,1996,12,26,4,9856
2.34375,2.34375,2.34375,2.34375,0,1996,12,27,5,9857
2.34375,2.34375,2.34375,2.34375,0,1996,12,30,1,9860
2.34375,2.4375,2.4375,2.375,73600,1996,12,31,2,9861
2.34375,2.4375,2.34375,2.375,60000,1997,1,2,4,9863
2.34375,2.34375,2.34375,2.34375,2000,1997,1,3,5,9864
2.34375,2.34375,2.34375,2.34375,0,1997,1,6,1,9867
2.34375,2.40625,2.34375,2.390625,468800,1997,1,7,2,9868
2.40625,2.4375,2.4375,2.40625,4800,1997,1,8,3,9869
2.34375,2.4375,2.34375,2.34375,32400,1997,1,9,4,9870
2.34375,2.40625,2.34375,2.40625,52000,1997,1,10,5,9871
2.4375,2.65625,2.4375,2.65625,61600,1997,1,13,1,9874
2.625,2.65625,2.65625,2.625,16000,1997,1,14,2,9875
2.625,2.75,2.6875,2.75,14000,1997,1,15,3,9876
2.75,2.75,2.75,2.75,0,1997,1,16,4,9877
2.625,2.71875,2.625,2.71875,80800,1997,1,17,5,9878
2.6875,2.8125,2.8125,2.8125,11200,1997,1,20,1,9881
2.84375,3.03125,2.875,2.875,56400,1997,1,21,2,9882
2.9375,3.0625,3.03125,2.96875,87200,1997,1,22,3,9883
3.0625,3.25,3.0625,3.25,70000,1997,1,23,4,9884
3.125,3.25,3.25,3.25,24800,1997,1,24,5,9885
3.15625,3.4375,3.25,3.4375,52000,1997,1,27,1,9888
3.25,3.625,3.5,3.375,59600,1997,1,28,2,9889
3.375,3.375,3.375,3.375,4000,1997,1,29,3,9890
3.25,3.25,3.25,3.25,64000,1997,1,30,4,9891
