low,high,open,close,volume,year,month,day,weekday,days
10780.0,10780.0,10780.0,10800.0,1500,2022,6,17,5,19160
12390.0,12390.0,12390.0,12400.0,5700,2022,6,20,1,19163
14210.0,14210.0,14210.0,14200.0,19600,2022,6,21,2,19164
16310.0,16310.0,16310.0,16300.0,11200,2022,6,22,3,19165
18130.0,18690.0,18690.0,18300.0,193900,2022,6,23,4,19166
18200.0,19180.0,18200.0,18700.0,168500,2022,6,24,5,19167
18410.0,19180.0,18760.0,18800.0,146900,2022,6,27,1,19170
18200.0,18690.0,18690.0,18400.0,78900,2022,6,28,2,19171
18340.0,18550.0,18550.0,18400.0,104100,2022,6,29,3,19172
18340.0,18970.0,18340.0,18700.0,127200,2022,6,30,4,19173
18480.0,18830.0,18620.0,18700.0,118200,2022,7,1,5,19174
18690.0,18970.0,18760.0,18800.0,111000,2022,7,4,1,19177
18410.0,19250.0,18900.0,18800.0,139600,2022,7,5,2,19178
18550.0,18760.0,18690.0,18700.0,40000,2022,7,6,3,19179
18550.0,18760.0,18690.0,18700.0,92800,2022,7,7,4,19180
18690.0,18830.0,18760.0,18800.0,49900,2022,7,8,5,19181
18760.0,18900.0,18760.0,18900.0,44200,2022,7,11,1,19184
18620.0,19250.0,18900.0,19000.0,302800,2022,7,12,2,19185
18830.0,19250.0,19250.0,19000.0,170500,2022,7,13,3,19186
19040.0,19250.0,19040.0,19100.0,69600,2022,7,14,4,19187
19040.0,19600.0,19250.0,19400.0,104400,2022,7,15,5,19188
18970.0,19320.0,19320.0,19100.0,84500,2022,7,18,1,19191
19110.0,19250.0,19110.0,19200.0,62900,2022,7,19,2,19192
18830.0,19320.0,18900.0,19100.0,100900,2022,7,20,3,19193
18830.0,19320.0,19040.0,19100.0,70300,2022,7,21,4,19194
19040.0,19250.0,19180.0,19100.0,90300,2022,7,22,5,19195
19040.0,19320.0,19180.0,19100.0,149700,2022,7,25,1,19198
19110.0,19320.0,19320.0,19200.0,95500,2022,7,26,2,19199
18900.0,19250.0,19250.0,19100.0,54700,2022,7,27,3,19200
18970.0,19740.0,19250.0,19400.0,112500,2022,7,28,4,19201
19670.0,19880.0,19740.0,19700.0,49900,2022,7,29,5,19202
19180.0,19950.0,19670.0,19600.0,71100,2022,8,1,1,19205
19600.0,20020.0,19950.0,19700.0,48200,2022,8,2,2,19206
19670.0,20160.0,19810.0,19800.0,56100,2022,8,3,3,19207
19950.0,20300.0,20160.0,20100.0,39100,2022,8,4,4,19208
19740.0,20230.0,20090.0,20000.0,44000,2022,8,5,5,19209
19320.0,19810.0,19810.0,19500.0,70300,2022,8,8,1,19212
19320.0,19600.0,19530.0,19500.0,51900,2022,8,9,2,19213
19250.0,19880.0,19600.0,19600.0,45900,2022,8,10,3,19214
19670.0,19950.0,19880.0,19800.0,43600,2022,8,11,4,19215
19670.0,20090.0,19670.0,19800.0,60300,2022,8,12,5,19216
19530.0,19740.0,19740.0,19600.0,33300,2022,8,15,1,19219
19320.0,20020.0,19600.0,19600.0,57900,2022,8,16,2,19220
19810.0,20230.0,19950.0,19800.0,37500,2022,8,17,3,19221
20160.0,20440.0,20230.0,20200.0,35600,2022,8,18,4,19222
19950.0,20370.0,20370.0,20100.0,50500,2022,8,19,5,19223
20090.0,20510.0,20090.0,20200.0,69900,2022,8,22,1,19226
20090.0,20300.0,20300.0,20200.0,28600,2022,8,23,2,19227
19880.0,20370.0,20160.0,20100.0,53200,2022,8,24,3,19228
20300.0,20580.0,20370.0,20500.0,29900,2022,8,25,4,19229
20370.0,20650.0,20580.0,20500.0,37900,2022,8,26,5,19230
20230.0,20580.0,20370.0,20300.0,52500,2022,8,29,1,19233
20160.0,20370.0,20300.0,20300.0,35500,2022,8,30,2,19234
20020.0,20370.0,20370.0,20200.0,43600,2022,8,31,3,19235
19740.0,20090.0,20090.0,19900.0,64700,2022,9,5,1,19240
19880.0,20020.0,19950.0,20000.0,32200,2022,9,6,2,19241
19950.0,20370.0,19950.0,20100.0,50400,2022,9,7,3,19242
20020.0,20160.0,20160.0,20100.0,36500,2022,9,8,4,19243
19950.0,20090.0,20090.0,20000.0,45400,2022,9,9,5,19244
20020.0,20230.0,20020.0,20100.0,42700,2022,9,12,1,19247
19950.0,20090.0,20090.0,20000.0,30200,2022,9,13,2,19248
