low,high,open,close,volume,year,month,day,weekday,days
42094.0,42094.0,42094.0,42100.0,174000,2016,12,20,2,17155
36832.0,48408.0,48408.0,40800.0,358284,2016,12,21,3,17156
34727.0,38335.0,38335.0,35100.0,511765,2016,12,22,4,17157
32360.0,38335.0,32360.0,35400.0,200197,2016,12,23,5,17158
35930.0,37170.0,37170.0,36100.0,65420,2016,12,26,1,17161
36005.0,36193.0,36080.0,36100.0,106647,2016,12,27,2,17162
35705.0,36156.0,36118.0,35800.0,79476,2016,12,28,3,17163
35329.0,35893.0,35517.0,35700.0,78400,2016,12,29,4,17164
35329.0,35893.0,35705.0,35700.0,96960,2016,12,30,5,17165
35780.0,36080.0,35893.0,36000.0,55344,2017,1,3,2,17169
35968.0,36644.0,36080.0,36400.0,77150,2017,1,4,3,17170
36458.0,37402.0,36722.0,37100.0,127379,2017,1,5,4,17171
37138.0,37894.0,37138.0,37700.0,139310,2017,1,6,5,17172
37742.0,39858.0,37742.0,38800.0,123351,2017,1,9,1,17175
39291.0,41180.0,39291.0,40300.0,221390,2017,1,10,2,17176
39669.0,41558.0,40047.0,41000.0,159433,2017,1,11,3,17177
41180.0,42314.0,41369.0,41700.0,229238,2017,1,12,4,17178
40047.0,42314.0,42314.0,41500.0,110598,2017,1,13,5,17179
38914.0,41143.0,41143.0,39800.0,69045,2017,1,16,1,17182
37402.0,39669.0,38574.0,38500.0,134672,2017,1,17,2,17183
38536.0,40236.0,38536.0,39800.0,62197,2017,1,18,3,17184
39480.0,40387.0,40387.0,39700.0,45974,2017,1,19,4,17185
39405.0,39858.0,39480.0,39600.0,76399,2017,1,20,5,17186
38914.0,39858.0,39669.0,39600.0,62000,2017,1,23,1,17189
39669.0,40047.0,39669.0,39900.0,23723,2017,1,24,2,17190
39896.0,41143.0,39896.0,40600.0,33930,2017,1,25,3,17191
40576.0,41558.0,40576.0,41300.0,59391,2017,2,2,4,17199
41294.0,42276.0,41294.0,41900.0,149507,2017,2,3,5,17200
41218.0,42654.0,41936.0,41700.0,91966,2017,2,6,1,17203
41067.0,41861.0,41445.0,41300.0,68222,2017,2,7,2,17204
41294.0,41558.0,41558.0,41300.0,42074,2017,2,8,3,17205
41180.0,41898.0,41180.0,41500.0,164362,2017,2,9,4,17206
41521.0,41898.0,41596.0,41600.0,60500,2017,2,10,5,17207
41218.0,41747.0,41558.0,41400.0,41493,2017,2,13,1,17210
41256.0,41747.0,41256.0,41400.0,80849,2017,2,14,2,17211
41256.0,41558.0,41558.0,41400.0,15910,2017,2,15,3,17212
41180.0,41558.0,41558.0,41200.0,87256,2017,2,16,4,17213
41105.0,41294.0,41180.0,41200.0,60830,2017,2,17,5,17214
40992.0,41445.0,41407.0,41200.0,99858,2017,2,20,1,17217
41180.0,41747.0,41180.0,41500.0,96494,2017,2,21,2,17218
41483.0,41861.0,41483.0,41700.0,133807,2017,2,22,3,17219
41861.0,42238.0,41861.0,42100.0,117653,2017,2,23,4,17220
42087.0,45147.0,42238.0,43300.0,308714,2017,2,24,5,17221
43674.0,44959.0,44203.0,44500.0,125834,2017,2,27,1,17224
44770.0,46432.0,44770.0,45700.0,133763,2017,2,28,2,17225
44656.0,46470.0,46092.0,45400.0,99920,2017,3,1,3,17226
44921.0,45903.0,45903.0,45100.0,60621,2017,3,2,4,17227
44770.0,45336.0,44959.0,44900.0,86180,2017,3,3,5,17228
44883.0,45714.0,44883.0,45500.0,109760,2017,3,6,1,17231
45374.0,45903.0,45487.0,45700.0,99309,2017,3,7,2,17232
45525.0,46243.0,45639.0,46000.0,75111,2017,3,8,3,17233
46356.0,46696.0,46432.0,46500.0,80215,2017,3,9,4,17234
46545.0,46848.0,46621.0,46700.0,119764,2017,3,10,5,17235
46243.0,46999.0,46848.0,46700.0,95060,2017,3,13,1,17238
46130.0,46696.0,46696.0,46400.0,121050,2017,3,14,2,17239
46659.0,46999.0,46659.0,46900.0,83658,2017,3,15,3,17240
46810.0,46961.0,46885.0,46900.0,62160,2017,3,16,4,17241
46923.0,47565.0,46923.0,47300.0,116626,2017,3,17,5,17242
47603.0,48661.0,47603.0,48500.0,61310,2017,3,20,1,17245
47603.0,48661.0,48510.0,48300.0,64739,2017,3,21,2,17246
41067.0,47603.0,47603.0,47400.0,98400,2017,3,22,3,17247
47452.0,47603.0,47603.0,47500.0,25000,2017,3,23,4,17248
47565.0,47792.0,47603.0,47700.0,36410,2017,3,24,5,17249
40500.0,47905.0,47905.0,47500.0,46417,2017,3,27,1,17252
