low,high,open,close,volume,year,month,day,weekday,days
43.5,45.5,45.0,44.0,84050,1997,9,25,4,10129
44.0,47.0,44.0,45.5,34350,1997,9,26,5,10130
44.5,47.0,44.5,45.0,14275,1997,9,29,1,10133
44.5,47.5,45.0,47.0,42200,1997,9,30,2,10134
44.0,47.5,47.5,44.0,15450,1997,10,1,3,10135
44.0,45.0,45.0,44.5,1900,1997,10,2,4,10136
44.0,45.5,45.5,44.0,8375,1997,10,3,5,10137
44.0,45.5,44.0,44.0,1525,1997,10,6,1,10140
44.0,45.5,45.5,44.0,5375,1997,10,7,2,10141
44.0,45.5,44.0,44.5,32775,1997,10,8,3,10142
44.0,46.0,45.0,44.0,61150,1997,10,9,4,10143
43.5,45.0,45.0,43.5,18050,1997,10,10,5,10144
39.0,44.5,44.5,40.0,29275,1997,10,13,1,10147
39.0,41.0,40.0,40.5,23525,1997,10,14,2,10148
39.0,40.5,40.0,39.0,41625,1997,10,15,3,10149
37.5,40.0,39.5,37.5,55550,1997,10,16,4,10150
36.0,38.0,37.5,36.0,16525,1997,10,17,5,10151
36.0,40.0,36.0,39.0,106550,1997,10,20,1,10154
38.5,41.0,39.5,38.5,34875,1997,10,21,2,10155
38.5,40.0,40.0,38.75,12975,1997,10,22,3,10156
36.5,38.5,37.0,38.5,6950,1997,10,23,4,10157
36.5,39.5,38.125,37.25,19700,1997,10,24,5,10158
29.5,37.0,37.0,30.5,23100,1997,10,27,1,10161
28.5,38.0,29.5,38.0,55975,1997,10,28,2,10162
38.0,40.0,39.0,38.75,22450,1997,10,29,3,10163
36.75,38.5,38.0,37.0,5450,1997,10,30,4,10164
37.0,39.5,38.0,37.0,9825,1997,10,31,5,10165
37.0,37.5,37.5,37.0,6950,1997,11,3,1,10168
36.0,38.0,37.0,36.0,6500,1997,11,4,2,10169
36.0,36.5,36.0,36.5,9825,1997,11,5,3,10170
36.0,36.5,36.0,36.5,11625,1997,11,6,4,10171
35.5,37.5,36.0,37.0,10350,1997,11,7,5,10172
37.0,39.0,38.0,39.0,16125,1997,11,10,1,10175
38.0,39.5,38.0,39.5,15175,1997,11,11,2,10176
36.0,40.0,40.0,37.0,37675,1997,11,12,3,10177
36.5,37.5,36.5,37.0,43625,1997,11,13,4,10178
37.0,37.5,37.0,37.0,15550,1997,11,14,5,10179
37.0,38.0,38.0,37.5,5300,1997,11,17,1,10182
37.0,38.25,37.0,37.0,46175,1997,11,18,2,10183
37.0,37.5,37.0,37.0,10400,1997,11,19,3,10184
36.5,37.5,37.5,36.5,16650,1997,11,20,4,10185
