low,high,open,close,volume,year,month,day,weekday,days
18481.0,18481.0,18481.0,18500.0,800,2021,4,12,1,18729
21240.0,21240.0,21240.0,21200.0,200,2021,4,13,2,18730
24385.0,24385.0,24385.0,24400.0,100,2021,4,14,3,18731
28042.0,28042.0,28042.0,28000.0,900,2021,4,15,4,18732
32213.0,32213.0,32213.0,32200.0,176900,2021,4,16,5,18733
32406.0,37026.0,37026.0,36900.0,415100,2021,4,19,1,18736
41711.0,42352.0,42352.0,42300.0,475500,2021,4,20,2,18737
45561.0,48705.0,45561.0,47200.0,28200,2021,4,22,4,18739
46844.0,54288.0,54288.0,51200.0,73300,2021,4,23,5,18740
51978.0,58844.0,51978.0,58700.0,89100,2021,4,26,1,18743
64170.0,67507.0,67379.0,67400.0,78500,2021,4,27,2,18744
57304.0,75721.0,74437.0,62700.0,45900,2021,4,28,3,18745
53325.0,64170.0,53325.0,56300.0,88700,2021,4,29,4,18746
54545.0,62245.0,54545.0,59100.0,12100,2021,5,4,2,18751
51978.0,56470.0,54801.0,54300.0,22950,2021,5,5,3,18752
51336.0,57560.0,51978.0,55900.0,39630,2021,5,6,4,18753
47486.0,55828.0,55828.0,49900.0,34002,2021,5,7,5,18754
48769.0,51336.0,50053.0,50300.0,35601,2021,5,10,1,18757
49411.0,51464.0,50694.0,51200.0,6008,2021,5,11,2,18758
49475.0,51978.0,51336.0,51100.0,15910,2021,5,12,3,18759
50758.0,54545.0,53261.0,51500.0,15301,2021,5,13,4,18760
49411.0,51336.0,49411.0,50600.0,14900,2021,5,14,5,18761
47486.0,50566.0,50566.0,48200.0,7000,2021,5,17,1,18764
43956.0,47486.0,47486.0,45500.0,15850,2021,5,18,2,18765
40748.0,44598.0,43636.0,42000.0,14700,2021,5,19,3,18766
37604.0,41711.0,41711.0,38500.0,14520,2021,5,20,4,18767
41711.0,44277.0,42352.0,43600.0,9107,2021,5,21,5,18768
49796.0,50053.0,50053.0,50000.0,4000,2021,5,24,1,18771
42609.0,49732.0,43956.0,46800.0,3602,2021,5,25,2,18772
46780.0,46844.0,46780.0,46800.0,700,2021,5,26,3,18773
41069.0,46202.0,46202.0,41600.0,4200,2021,5,27,4,18774
38502.0,44277.0,43636.0,41400.0,8918,2021,5,28,5,18775
39785.0,44919.0,44919.0,41100.0,15400,2021,5,31,1,18778
39785.0,44855.0,44855.0,40800.0,17900,2021,6,1,2,18779
38502.0,44277.0,43315.0,40500.0,23400,2021,6,2,3,18780
39914.0,43251.0,43251.0,40600.0,8500,2021,6,3,4,18781
38374.0,41005.0,39144.0,39000.0,27600,2021,6,4,5,18782
37989.0,40427.0,40427.0,38600.0,16500,2021,6,7,1,18785
32855.0,39144.0,38823.0,36500.0,12500,2021,6,8,2,18786
34010.0,39144.0,39144.0,35900.0,25900,2021,6,9,3,18787
35358.0,39144.0,39144.0,38200.0,27800,2021,6,10,4,18788
39080.0,39465.0,39080.0,39100.0,11300,2021,6,11,5,18789
35294.0,39144.0,38759.0,36800.0,72900,2021,6,14,1,18792
34074.0,37860.0,37860.0,35300.0,125610,2021,6,15,2,18793
32406.0,35294.0,35294.0,33100.0,147640,2021,6,16,3,18794
32919.0,35422.0,34010.0,33900.0,101900,2021,6,17,4,18795
33882.0,36898.0,35229.0,35500.0,106900,2021,6,18,5,18796
35550.0,38502.0,37219.0,36900.0,124810,2021,6,21,1,18799
36641.0,41069.0,36962.0,38500.0,163730,2021,6,22,2,18800
38438.0,44277.0,38438.0,42500.0,204000,2021,6,23,3,18801
46523.0,48898.0,46523.0,48900.0,43413,2021,6,24,4,18802
48898.0,56213.0,56213.0,54300.0,237830,2021,6,25,5,18803
47486.0,53389.0,50373.0,49800.0,173100,2021,6,28,1,18806
49924.0,54480.0,54480.0,52900.0,262700,2021,6,29,2,18807
50373.0,52940.0,52940.0,51900.0,310100,2021,6,30,3,18808
