low,high,open,close,volume,year,month,day,weekday,days
12124.0,12715.0,12124.0,12715.0,30,2007,1,30,2,13543
14670.0,14670.0,14670.0,14670.0,0,2007,4,18,3,13621
15364.0,15364.0,15364.0,15364.0,0,2007,4,20,5,13623
13143.0,13442.0,13381.0,13183.0,3600,2009,7,30,4,14455
13481.0,13481.0,13481.0,13481.0,100,2009,7,31,5,14456
13375.0,13983.0,13084.0,13679.0,200,2009,8,3,1,14459
12787.0,12984.0,13084.0,12886.0,200,2009,8,4,2,14460
12073.0,12568.0,12588.0,12291.0,1100,2009,8,5,3,14461
12744.0,13311.0,12489.0,12886.0,800,2009,8,6,4,14462
13059.0,13724.0,12846.0,13381.0,3400,2009,8,7,5,14463
13794.0,14281.0,13481.0,13956.0,1700,2009,8,10,1,14466
13561.0,13757.0,13877.0,13679.0,500,2009,8,11,2,14467
13856.0,14257.0,14075.0,13976.0,8100,2009,8,12,3,14468
14210.0,14759.0,13877.0,14373.0,8100,2009,8,13,4,14469
13877.0,13877.0,13877.0,13877.0,1000,2009,8,14,5,14470
13679.0,13679.0,13679.0,13679.0,2000,2009,8,17,1,14473
13659.0,13758.0,13679.0,13679.0,700,2009,8,18,2,14474
13995.0,14297.0,13778.0,14075.0,1500,2009,8,19,3,14475
14075.0,14075.0,14075.0,14075.0,100,2009,8,20,4,14476
14075.0,14075.0,14075.0,14075.0,300,2009,8,21,5,14477
14075.0,14075.0,14075.0,14075.0,800,2009,8,24,1,14480
13877.0,14075.0,14055.0,14036.0,2500,2009,8,25,2,14481
13917.0,14174.0,13917.0,13996.0,1700,2009,8,26,3,14482
13976.0,13976.0,13996.0,13996.0,0,2009,8,27,4,14483
13996.0,13996.0,13679.0,13996.0,200,2009,8,28,5,14484
13877.0,13877.0,13877.0,13877.0,100,2009,8,31,1,14487
13720.0,14681.0,13877.0,13877.0,4500,2009,9,1,2,14488
13877.0,15007.0,14868.0,14333.0,2900,2009,9,3,4,14490
13877.0,14571.0,14571.0,14075.0,700,2009,9,4,5,14491
13877.0,14075.0,14075.0,13917.0,1200,2009,9,7,1,14494
13877.0,14472.0,14472.0,14016.0,1300,2009,9,8,2,14495
13877.0,14274.0,13877.0,14135.0,1900,2009,9,9,3,14496
13877.0,14135.0,14135.0,13897.0,2000,2009,9,10,4,14497
14174.0,14174.0,14174.0,14174.0,1200,2009,9,11,5,14498
14174.0,14174.0,14174.0,14174.0,0,2009,9,14,1,14501
14174.0,14174.0,14174.0,14174.0,2500,2009,9,15,2,14502
13877.0,13877.0,13877.0,13877.0,2400,2009,9,16,3,14503
13877.0,13877.0,13877.0,13877.0,0,2009,9,17,4,14504
14075.0,14075.0,14075.0,14075.0,400,2009,9,18,5,14505
13976.0,14075.0,14075.0,14016.0,1200,2009,9,21,1,14508
13124.0,14016.0,14016.0,13619.0,900,2009,9,22,2,14509
13481.0,13481.0,13481.0,13481.0,100,2009,9,23,3,14510
13481.0,13481.0,13481.0,13481.0,0,2009,9,24,4,14511
14274.0,14412.0,14412.0,14353.0,200,2009,9,25,5,14512
13481.0,13877.0,13877.0,13600.0,700,2009,9,28,1,14515
13877.0,13877.0,13877.0,13877.0,100,2009,9,29,2,14516
13084.0,13877.0,13877.0,13223.0,700,2009,9,30,3,14517
14075.0,14135.0,14135.0,14115.0,200,2009,10,1,4,14518
14075.0,14075.0,14115.0,14115.0,0,2009,10,2,5,14519
13481.0,13481.0,13481.0,13481.0,100,2009,10,5,1,14522
13481.0,13877.0,13877.0,13857.0,2100,2009,10,6,2,14523
13481.0,13481.0,13857.0,13857.0,0,2009,10,7,3,14524
13481.0,13481.0,13481.0,13481.0,200,2009,10,8,4,14525
12569.0,12569.0,12569.0,12569.0,100,2009,10,9,5,14526
12886.0,13441.0,13441.0,13302.0,800,2009,10,12,1,14529
13877.0,13877.0,13877.0,13877.0,100,2009,10,13,2,14530
13877.0,13877.0,13877.0,13877.0,200,2009,10,14,3,14531
13282.0,13282.0,13282.0,13282.0,200,2009,10,15,4,14532
13084.0,13877.0,13084.0,13282.0,400,2009,10,16,5,14533
13877.0,13877.0,13877.0,13877.0,1000,2009,10,19,1,14536
13877.0,13877.0,13877.0,13877.0,1100,2009,10,20,2,14537
13481.0,13481.0,13481.0,13481.0,100,2009,10,21,3,14538
13481.0,13481.0,13481.0,13481.0,300,2009,10,22,4,14539
14412.0,14412.0,14412.0,14412.0,100,2009,10,23,5,14540
13441.0,14274.0,13441.0,13738.0,700,2009,10,26,1,14543
13679.0,14075.0,13679.0,13937.0,1000,2009,10,27,2,14544
14075.0,14075.0,13937.0,13937.0,0,2009,10,28,3,14545
13976.0,13976.0,13976.0,13976.0,300,2009,10,29,4,14546
13976.0,13976.0,13976.0,13976.0,0,2009,10,30,5,14547
13282.0,13282.0,13282.0,13282.0,200,2009,11,2,1,14550
12886.0,12886.0,12886.0,12886.0,1100,2009,11,3,2,14551
13778.0,13778.0,13778.0,13778.0,500,2009,11,4,3,14552
14075.0,14472.0,14174.0,14194.0,700,2009,11,5,4,14553
15185.0,15185.0,15185.0,15185.0,200,2009,11,6,5,14554
15185.0,15185.0,15185.0,15185.0,0,2009,11,9,1,14557
14135.0,14135.0,14135.0,14135.0,100,2009,11,10,2,14558
13183.0,14135.0,13183.0,13837.0,1500,2009,11,11,3,14559
13203.0,14254.0,14214.0,13937.0,1700,2009,11,12,4,14560
14075.0,14075.0,14075.0,14075.0,600,2009,11,13,5,14561
14075.0,14075.0,14075.0,14075.0,0,2009,11,16,1,14564
14075.0,14075.0,14075.0,14075.0,0,2009,11,17,2,14565
14075.0,14075.0,14075.0,14075.0,0,2009,11,18,3,14566
13282.0,14075.0,14075.0,13500.0,500,2009,11,19,4,14567
14075.0,14075.0,14075.0,14075.0,100,2009,11,20,5,14568
14135.0,15047.0,14135.0,14749.0,300,2009,11,23,1,14571
15047.0,15047.0,14749.0,14749.0,0,2009,11,24,2,14572
13718.0,13718.0,13718.0,13718.0,500,2009,11,25,3,14573
13718.0,13718.0,13718.0,13718.0,0,2009,11,26,4,14574
14472.0,14472.0,14472.0,14472.0,100,2009,11,27,5,14575
14472.0,14472.0,14472.0,14472.0,0,2009,11,30,1,14578
14472.0,14472.0,14472.0,14472.0,0,2009,12,1,2,14579
14868.0,14868.0,14868.0,14868.0,100,2009,12,2,3,14580
14868.0,14868.0,14868.0,14868.0,0,2009,12,3,4,14581
14868.0,14868.0,14868.0,14868.0,0,2009,12,4,5,14582
14868.0,14868.0,14868.0,14868.0,0,2009,12,7,1,14585
14868.0,14868.0,14868.0,14868.0,0,2009,12,8,2,14586
14868.0,14868.0,14868.0,14868.0,0,2009,12,9,3,14587
14868.0,14868.0,14868.0,14868.0,0,2009,12,10,4,14588
14868.0,14868.0,14868.0,14868.0,0,2009,12,11,5,14589
14868.0,14868.0,14868.0,14868.0,0,2009,12,14,1,14592
13837.0,13837.0,13837.0,13837.0,1000,2009,12,15,2,14593
12886.0,14571.0,14571.0,13124.0,700,2009,12,16,3,14594
13084.0,13084.0,13084.0,13084.0,700,2009,12,17,4,14595
13084.0,13084.0,13084.0,13084.0,0,2009,12,18,5,14596
13996.0,13996.0,13996.0,13996.0,100,2009,12,21,1,14599
13996.0,13996.0,13996.0,13996.0,0,2009,12,22,2,14600
14769.0,14769.0,14769.0,14769.0,100,2009,12,23,3,14601
14769.0,14769.0,14769.0,14769.0,0,2009,12,24,4,14602
13738.0,13738.0,13738.0,13738.0,2700,2009,12,25,5,14603
12787.0,12787.0,12787.0,12787.0,200,2009,12,28,1,14606
12787.0,12787.0,12787.0,12787.0,0,2009,12,29,2,14607
13679.0,13679.0,13679.0,13679.0,100,2009,12,30,3,14608
13679.0,13679.0,13679.0,13679.0,0,2009,12,31,4,14609
13679.0,13679.0,13679.0,13679.0,0,2010,1,4,1,14613
12787.0,12787.0,12787.0,12787.0,100,2010,1,5,2,14614
12787.0,12787.0,12787.0,12787.0,0,2010,1,6,3,14615
12787.0,12787.0,12787.0,12787.0,0,2010,1,7,4,14616
13084.0,13084.0,13084.0,13084.0,1000,2010,1,8,5,14617
13084.0,13084.0,13084.0,13084.0,0,2010,1,11,1,14620
13084.0,13084.0,13084.0,13084.0,0,2010,1,12,2,14621
13956.0,13956.0,13956.0,13956.0,100,2010,1,13,3,14622
12985.0,12985.0,12985.0,12985.0,200,2010,1,14,4,14623
