low,high,open,close,volume,year,month,day,weekday,days
5290.0,6318.0,5672.0,5819.0,1828600,2009,6,25,4,14420
5848.0,6171.0,6098.0,5922.0,1163400,2009,6,26,5,14421
5848.0,6157.0,5936.0,5951.0,1534300,2009,6,29,1,14424
5539.0,5980.0,5951.0,5760.0,867200,2009,6,30,2,14425
5363.0,5407.0,5363.0,5363.0,1488400,2009,7,1,3,14426
4996.0,5437.0,4996.0,5099.0,1581200,2009,7,2,4,14427
4775.0,5128.0,4996.0,5040.0,901100,2009,7,3,5,14428
5055.0,5393.0,5055.0,5304.0,1293600,2009,7,6,1,14431
5319.0,5657.0,5657.0,5437.0,594100,2009,7,7,2,14432
5143.0,5437.0,5334.0,5319.0,197000,2009,7,8,3,14433
5157.0,5334.0,5290.0,5275.0,410500,2009,7,9,4,14434
5275.0,5642.0,5275.0,5584.0,3845100,2009,7,10,5,14435
5363.0,5804.0,5584.0,5569.0,591400,2009,7,13,1,14438
5202.0,5686.0,5657.0,5598.0,557500,2009,7,14,2,14439
5231.0,5657.0,5657.0,5510.0,605600,2009,7,15,3,14440
5231.0,5657.0,5642.0,5393.0,392400,2009,7,16,4,14441
5055.0,5275.0,5260.0,5157.0,140200,2009,7,17,5,14442
4805.0,4849.0,4849.0,4805.0,49500,2009,7,20,1,14445
4482.0,4849.0,4849.0,4614.0,227200,2009,7,21,2,14446
4555.0,4922.0,4673.0,4702.0,474400,2009,7,22,3,14447
4574.0,4950.0,4849.0,4834.0,953400,2009,7,23,4,14448
5246.0,5246.0,5246.0,5246.0,539000,2009,7,24,5,14449
5437.0,5598.0,5584.0,5569.0,1054200,2009,7,27,1,14452
5231.0,5804.0,5657.0,5569.0,730800,2009,7,28,2,14453
5202.0,5437.0,5437.0,5348.0,579200,2009,7,29,3,14454
4981.0,5334.0,5260.0,5113.0,540800,2009,7,30,4,14455
5113.0,5407.0,5290.0,5260.0,569600,2009,7,31,5,14456
4952.0,5260.0,5260.0,5099.0,393300,2009,8,3,1,14459
5025.0,5246.0,5246.0,5113.0,471700,2009,8,4,2,14460
4966.0,5172.0,5069.0,5069.0,309600,2009,8,5,3,14461
4952.0,5128.0,5084.0,5069.0,579100,2009,8,6,4,14462
4775.0,5099.0,4775.0,5025.0,279000,2009,8,7,5,14463
4687.0,5113.0,5055.0,5025.0,567800,2009,8,10,1,14466
4834.0,5040.0,5040.0,4878.0,592500,2009,8,11,2,14467
4775.0,4952.0,4878.0,4864.0,633500,2009,8,12,3,14468
4893.0,5069.0,4996.0,5025.0,464800,2009,8,13,4,14469
4849.0,5143.0,5069.0,4996.0,461700,2009,8,14,5,14470
4702.0,4981.0,4981.0,4805.0,602400,2009,8,17,1,14473
4526.0,4775.0,4702.0,4717.0,396500,2009,8,18,2,14474
4775.0,4922.0,4908.0,4834.0,482200,2009,8,19,3,14475
4687.0,4849.0,4849.0,4761.0,336100,2009,8,20,4,14476
4731.0,4981.0,4790.0,4952.0,882800,2009,8,21,5,14477
4966.0,5216.0,5172.0,5025.0,504300,2009,8,24,1,14480
4849.0,5157.0,5143.0,5055.0,379800,2009,8,25,2,14481
4908.0,5040.0,5025.0,4996.0,318600,2009,8,26,3,14482
4819.0,4981.0,4981.0,4952.0,349800,2009,8,27,4,14483
4878.0,4996.0,4922.0,4952.0,310700,2009,8,28,5,14484
4966.0,5143.0,5040.0,5011.0,403600,2009,8,31,1,14487
4877.0,5114.0,5040.0,5011.0,403200,2009,9,1,2,14488
4834.0,4981.0,4981.0,4893.0,317400,2009,9,3,4,14490
4628.0,4893.0,4864.0,4775.0,176700,2009,9,4,5,14491
4452.0,4849.0,4775.0,4540.0,378300,2009,9,7,1,14494
4555.0,4687.0,4673.0,4628.0,372100,2009,9,8,2,14495
4628.0,4746.0,4702.0,4658.0,361100,2009,9,9,3,14496
4599.0,4746.0,4702.0,4658.0,565600,2009,9,10,4,14497
4849.0,4981.0,4849.0,4981.0,439000,2009,9,11,5,14498
4849.0,5319.0,5319.0,5187.0,714400,2009,9,14,1,14501
5011.0,5304.0,5290.0,5216.0,1010200,2009,9,15,2,14502
5363.0,5554.0,5437.0,5451.0,1172100,2009,9,16,3,14503
5466.0,5672.0,5642.0,5525.0,1168000,2009,9,17,4,14504
5290.0,5804.0,5539.0,5701.0,1889600,2009,9,18,5,14505
5848.0,6098.0,6098.0,6068.0,1540400,2009,9,21,1,14508
6024.0,6480.0,6171.0,6377.0,1422800,2009,9,22,2,14509
6024.0,6818.0,6818.0,6641.0,1591500,2009,9,23,3,14510
6186.0,6318.0,6186.0,6201.0,839700,2009,9,24,4,14511
5775.0,6627.0,5877.0,6201.0,2132400,2009,9,25,5,14512
6171.0,6612.0,6612.0,6304.0,1026000,2009,9,28,1,14515
6024.0,6612.0,6436.0,6304.0,648700,2009,9,29,2,14516
5877.0,6421.0,6318.0,6068.0,708000,2009,9,30,3,14517
5657.0,6083.0,6024.0,5819.0,608600,2009,10,1,4,14518
5422.0,5863.0,5657.0,5701.0,1661500,2009,10,2,5,14519
5363.0,5877.0,5760.0,5613.0,573000,2009,10,5,1,14522
5407.0,5951.0,5584.0,5672.0,737500,2009,10,6,2,14523
5481.0,5789.0,5730.0,5686.0,900500,2009,10,7,3,14524
5481.0,5804.0,5804.0,5657.0,1044600,2009,10,8,4,14525
5613.0,5819.0,5716.0,5716.0,1259700,2009,10,9,5,14526
5730.0,6054.0,5877.0,5892.0,2428900,2009,10,12,1,14529
5951.0,6289.0,6171.0,6127.0,1733700,2009,10,13,2,14530
6068.0,6230.0,6171.0,6157.0,1254900,2009,10,14,3,14531
6157.0,6553.0,6318.0,6245.0,1526000,2009,10,15,4,14532
5819.0,6245.0,6245.0,5966.0,1218800,2009,10,16,5,14533
5642.0,6171.0,6098.0,5819.0,1068600,2009,10,19,1,14536
5584.0,6024.0,6024.0,5833.0,1076200,2009,10,20,2,14537
5510.0,5833.0,5833.0,5672.0,1115700,2009,10,21,3,14538
5569.0,5848.0,5657.0,5716.0,1502200,2009,10,22,4,14539
5437.0,5804.0,5804.0,5686.0,794700,2009,10,23,5,14540
5422.0,5701.0,5539.0,5554.0,744300,2009,10,26,1,14543
5216.0,5716.0,5554.0,5407.0,1392800,2009,10,27,2,14544
5290.0,5554.0,5554.0,5437.0,1013400,2009,10,28,3,14545
5069.0,5539.0,5422.0,5275.0,954600,2009,10,29,4,14546
5275.0,5613.0,5290.0,5437.0,788700,2009,10,30,5,14547
5069.0,5407.0,5290.0,5216.0,461400,2009,11,2,1,14550
4864.0,5172.0,4996.0,4893.0,1306000,2009,11,3,2,14551
4731.0,5231.0,4849.0,5055.0,2235600,2009,11,4,3,14552
5202.0,5407.0,5334.0,5348.0,1214300,2009,11,5,4,14553
5363.0,5716.0,5584.0,5642.0,874700,2009,11,6,5,14554
5260.0,5407.0,5290.0,5290.0,860100,2009,11,9,1,14557
4952.0,5422.0,5422.0,5246.0,385300,2009,11,10,2,14558
5069.0,5598.0,5202.0,5407.0,1274900,2009,11,11,3,14559
5422.0,5701.0,5584.0,5598.0,671900,2009,11,12,4,14560
5290.0,5525.0,5525.0,5422.0,553100,2009,11,13,5,14561
5422.0,5613.0,5510.0,5495.0,601300,2009,11,16,1,14564
5363.0,5686.0,5584.0,5554.0,427200,2009,11,17,2,14565
5348.0,5657.0,5598.0,5510.0,565300,2009,11,18,3,14566
5378.0,5569.0,5378.0,5525.0,600100,2009,11,19,4,14567
5437.0,5598.0,5569.0,5554.0,356200,2009,11,20,5,14568
5260.0,5569.0,5539.0,5481.0,306900,2009,11,23,1,14571
5231.0,5510.0,5290.0,5407.0,163200,2009,11,24,2,14572
5040.0,5187.0,5187.0,5069.0,33700,2009,11,25,3,14573
4717.0,4849.0,4849.0,4717.0,95300,2009,11,26,4,14574
4393.0,4966.0,4393.0,4790.0,893100,2009,11,27,5,14575
4702.0,5113.0,4790.0,4908.0,791700,2009,11,30,1,14578
4996.0,5246.0,5128.0,5187.0,491600,2009,12,1,2,14579
4878.0,5422.0,5393.0,5260.0,159100,2009,12,2,3,14580
4908.0,5407.0,5187.0,5202.0,194000,2009,12,3,4,14581
4952.0,5143.0,5113.0,5040.0,89400,2009,12,4,5,14582
4849.0,5143.0,5143.0,4864.0,30200,2009,12,7,1,14585
4526.0,4849.0,4849.0,4555.0,106600,2009,12,8,2,14586
4246.0,4408.0,4408.0,4246.0,117300,2009,12,9,3,14587
4055.0,4540.0,4114.0,4188.0,93500,2009,12,10,4,14588
3908.0,4335.0,4232.0,4041.0,283800,2009,12,11,5,14589
3850.0,4320.0,3850.0,4217.0,183200,2009,12,14,1,14592
4144.0,4408.0,4408.0,4217.0,39000,2009,12,15,2,14593
3923.0,4144.0,4144.0,3938.0,51100,2009,12,16,3,14594
3673.0,3820.0,3673.0,3673.0,137000,2009,12,17,4,14595
3673.0,3923.0,3673.0,3879.0,312200,2009,12,18,5,14596
3997.0,4144.0,4144.0,4144.0,238600,2009,12,21,1,14599
4026.0,4335.0,4335.0,4144.0,59900,2009,12,22,2,14600
3864.0,4100.0,3894.0,3923.0,255600,2009,12,23,3,14601
3835.0,4129.0,3967.0,4085.0,288000,2009,12,24,4,14602
4129.0,4349.0,4232.0,4276.0,491000,2009,12,25,5,14603
4026.0,4261.0,4261.0,4129.0,84700,2009,12,28,1,14606
3850.0,4100.0,4100.0,3923.0,104300,2009,12,29,2,14607
3820.0,4026.0,3820.0,3923.0,222000,2009,12,30,3,14608
3850.0,4085.0,3997.0,3982.0,221500,2009,12,31,4,14609
4100.0,4246.0,4100.0,4232.0,231300,2010,1,4,1,14613
4467.0,4526.0,4526.0,4526.0,478100,2010,1,5,2,14614
4555.0,4834.0,4628.0,4775.0,751800,2010,1,6,3,14615
4849.0,5099.0,5099.0,5084.0,483600,2010,1,7,4,14616
4731.0,5290.0,5290.0,4893.0,331000,2010,1,8,5,14617
4555.0,4922.0,4893.0,4584.0,274500,2010,1,11,1,14620
4276.0,4482.0,4467.0,4364.0,348000,2010,1,12,2,14621
4070.0,4658.0,4114.0,4188.0,366700,2010,1,13,3,14622
4364.0,4467.0,4452.0,4452.0,193400,2010,1,14,4,14623
4217.0,4628.0,4628.0,4335.0,101600,2010,1,15,5,14624
4041.0,4261.0,4261.0,4085.0,130400,2010,1,18,1,14627
3923.0,4188.0,3923.0,4129.0,125800,2010,1,19,2,14628
3982.0,4188.0,4188.0,4070.0,93900,2010,1,20,3,14629
3820.0,4041.0,3967.0,3894.0,143700,2010,1,21,4,14630
3791.0,4041.0,3908.0,3908.0,121200,2010,1,22,5,14631
3908.0,4173.0,4026.0,4070.0,171000,2010,1,25,1,14634
4114.0,4349.0,4114.0,4335.0,105700,2010,1,26,2,14635
4085.0,4555.0,4482.0,4144.0,63500,2010,1,27,3,14636
