low,high,open,close,volume,year,month,day,weekday,days
5672.0,6937.0,5672.0,6544.0,146020,2010,10,19,2,14901
6239.0,6326.0,6239.0,6239.0,11060,2010,10,20,3,14902
5933.0,5933.0,5933.0,5933.0,25350,2010,10,21,4,14903
5672.0,5933.0,5672.0,5933.0,127930,2010,10,22,5,14904
5759.0,5977.0,5933.0,5977.0,45460,2010,10,25,1,14907
5846.0,6108.0,5846.0,6064.0,68810,2010,10,26,2,14908
5802.0,6064.0,6064.0,5802.0,30300,2010,10,27,3,14909
5802.0,5890.0,5802.0,5890.0,2720,2010,10,28,4,14910
5933.0,6108.0,5933.0,6021.0,35260,2010,10,29,5,14911
5759.0,6021.0,5933.0,5890.0,38460,2010,11,1,1,14914
5715.0,5846.0,5846.0,5715.0,7800,2010,11,2,2,14915
5453.0,5715.0,5715.0,5453.0,46990,2010,11,3,3,14916
5453.0,5584.0,5453.0,5541.0,33740,2010,11,4,4,14917
5672.0,5759.0,5672.0,5759.0,10540,2010,11,5,5,14918
5497.0,5715.0,5715.0,5541.0,37330,2010,11,8,1,14921
5323.0,5366.0,5323.0,5323.0,6750,2010,11,9,2,14922
5279.0,5453.0,5323.0,5410.0,17040,2010,11,10,3,14923
5192.0,5628.0,5192.0,5192.0,24860,2010,11,11,4,14924
5061.0,5366.0,5366.0,5148.0,46570,2010,11,12,5,14925
4930.0,5017.0,5017.0,5017.0,9000,2010,11,15,1,14928
4843.0,5061.0,5061.0,4843.0,15980,2010,11,16,2,14929
4624.0,4974.0,4974.0,4799.0,29740,2010,11,17,3,14930
4799.0,4886.0,4799.0,4886.0,19030,2010,11,18,4,14931
4668.0,4886.0,4755.0,4886.0,3180,2010,11,19,5,14932
4668.0,4799.0,4799.0,4668.0,43650,2010,11,22,1,14935
4581.0,4668.0,4668.0,4668.0,7920,2010,11,23,2,14936
4450.0,4624.0,4624.0,4581.0,30750,2010,11,24,3,14937
4624.0,4799.0,4624.0,4755.0,44500,2010,11,25,4,14938
4537.0,4668.0,4668.0,4624.0,22010,2010,11,26,5,14939
4537.0,4581.0,4581.0,4581.0,29000,2010,11,29,1,14942
4668.0,4799.0,4668.0,4799.0,93580,2010,11,30,2,14943
4755.0,5017.0,4755.0,5017.0,113900,2010,12,1,3,14944
5192.0,5235.0,5192.0,5235.0,25670,2010,12,2,4,14945
5453.0,5497.0,5497.0,5497.0,29820,2010,12,3,5,14946
5497.0,5715.0,5715.0,5497.0,34800,2010,12,6,1,14949
5235.0,5541.0,5497.0,5235.0,17790,2010,12,7,2,14950
4974.0,5235.0,5235.0,4974.0,105250,2010,12,8,3,14951
4755.0,4974.0,4974.0,4755.0,84770,2010,12,9,4,14952
4799.0,4974.0,4974.0,4974.0,105750,2010,12,10,5,14953
5192.0,5192.0,5192.0,5192.0,2200,2010,12,13,1,14956
5235.0,5410.0,5410.0,5323.0,222150,2010,12,14,2,14957
5279.0,5541.0,5366.0,5366.0,52600,2010,12,15,3,14958
5104.0,5235.0,5148.0,5104.0,36500,2010,12,16,4,14959
4886.0,5104.0,4974.0,5104.0,23050,2010,12,17,5,14960
4886.0,5192.0,5148.0,4886.0,90210,2010,12,20,1,14963
4799.0,5104.0,4886.0,5104.0,58950,2010,12,21,2,14964
4974.0,5148.0,5017.0,5061.0,26470,2010,12,22,3,14965
4886.0,5148.0,5148.0,5061.0,2730,2010,12,23,4,14966
4886.0,5061.0,5061.0,5017.0,14390,2010,12,24,5,14967
4843.0,4974.0,4974.0,4930.0,55070,2010,12,27,1,14970
4799.0,5017.0,4930.0,5017.0,36240,2010,12,28,2,14971
4886.0,5061.0,5017.0,4930.0,31230,2010,12,29,3,14972
4799.0,5017.0,4930.0,4930.0,29100,2010,12,30,4,14973
4886.0,4930.0,4930.0,4930.0,6320,2010,12,31,5,14974
4930.0,5148.0,4930.0,5104.0,21120,2011,1,4,2,14978
5061.0,5235.0,5104.0,5104.0,42200,2011,1,5,3,14979
5104.0,5192.0,5104.0,5148.0,25790,2011,1,6,4,14980
5061.0,5279.0,5279.0,5148.0,12180,2011,1,7,5,14981
4974.0,5104.0,5017.0,5017.0,18940,2011,1,10,1,14984
