low,high,open,close,volume,year,month,day,weekday,days
33.125,34.6875,34.6875,33.125,2660,1998,6,1,1,10378
33.75,35.0,33.75,34.375,14100,1998,6,2,2,10379
35.0,35.3125,35.0,35.3125,1980,1998,6,3,3,10380
33.75,35.0,35.0,33.75,1700,1998,6,4,4,10381
33.75,35.0,34.375,35.0,740,1998,6,5,5,10382
34.0625,35.0,35.0,34.0625,740,1998,6,8,1,10385
33.75,34.6875,34.6875,33.75,760,1998,6,9,2,10386
31.875,33.125,33.125,32.5,1420,1998,6,10,3,10387
32.5,33.125,33.125,32.5,3660,1998,6,11,4,10388
31.25,31.875,31.875,31.25,640,1998,6,12,5,10389
30.625,31.875,31.875,30.625,4420,1998,6,15,1,10392
30.625,30.625,30.625,30.625,0,1998,6,16,2,10393
30.625,31.25,30.625,30.625,1000,1998,6,17,3,10394
31.25,33.125,31.25,32.5,3340,1998,6,18,4,10395
33.125,33.125,33.125,33.125,240,1998,6,19,5,10396
33.75,38.75,33.75,38.125,7440,1998,6,22,1,10399
37.5,40.0,38.125,38.125,8120,1998,6,23,2,10400
37.5,38.125,38.125,37.5,3260,1998,6,24,3,10401
36.875,39.375,36.875,38.4375,9340,1998,6,25,4,10402
37.5,38.75,37.5,37.5,1200,1998,6,26,5,10403
35.625,37.1875,36.875,35.625,940,1998,6,29,1,10406
33.75,36.25,36.25,35.0,1140,1998,6,30,2,10407
34.0625,34.6875,34.375,34.0625,640,1998,7,1,3,10408
34.6875,35.3125,34.6875,35.3125,420,1998,7,2,4,10409
33.125,35.0,35.0,33.75,1320,1998,7,6,1,10413
32.5,33.75,33.125,33.125,2880,1998,7,7,2,10414
31.875,33.75,33.4375,31.875,620,1998,7,8,3,10415
30.0,32.1875,32.1875,30.625,4480,1998,7,9,4,10416
30.625,32.5,30.625,31.875,2680,1998,7,10,5,10417
30.625,31.25,31.25,31.25,3580,1998,7,13,1,10420
31.875,32.5,31.875,32.5,300,1998,7,14,2,10421
30.0,31.875,31.875,30.0,4320,1998,7,15,3,10422
30.0,30.625,30.0,30.0,840,1998,7,16,4,10423
30.0,30.0,30.0,30.0,460,1998,7,17,5,10424
29.375,31.25,30.625,31.25,1580,1998,7,20,1,10427
30.3125,31.25,31.25,30.3125,1800,1998,7,21,2,10428
30.3125,30.3125,30.3125,30.3125,140,1998,7,22,3,10429
29.375,30.9375,30.3125,29.375,1240,1998,7,23,4,10430
28.75,30.625,28.75,30.0,3020,1998,7,24,5,10431
30.0,31.25,30.625,31.25,440,1998,7,27,1,10434
30.625,31.875,30.625,31.875,840,1998,7,28,2,10435
31.25,32.5,31.25,31.875,1240,1998,7,29,3,10436
32.5,34.375,32.5,32.8125,3180,1998,7,30,4,10437
33.125,39.0625,33.125,39.0625,11900,1998,7,31,5,10438
37.5,41.25,39.6875,38.75,9500,1998,8,3,1,10441
35.625,40.0,40.0,35.9375,5260,1998,8,4,2,10442
35.625,40.0,36.875,39.6875,8700,1998,8,5,3,10443
38.75,42.5,40.0,40.625,6460,1998,8,6,4,10444
