low,high,open,close,volume,year,month,day,weekday,days
4.875,4.9375,4.9375,4.875,11200,1992,4,21,2,8146
5.234375,5.234375,5.234375,5.234375,800,1992,4,22,3,8147
5.234375,5.234375,5.234375,5.234375,0,1992,4,23,4,8148
5.0625,5.3125,5.3125,5.0625,5600,1992,4,24,5,8149
5.0625,5.5,5.5,5.125,4800,1992,4,27,1,8152
5.125,5.125,5.125,5.125,0,1992,4,28,2,8153
5.125,5.125,5.125,5.125,0,1992,4,29,3,8154
5.5,5.5,5.5,5.5,10400,1992,4,30,4,8155
5.3125,5.3125,5.3125,5.3125,3200,1992,5,1,5,8156
5.5,5.5625,5.5,5.5625,4000,1992,5,4,1,8159
5.5625,5.5625,5.5625,5.5625,0,1992,5,5,2,8160
5.625,5.625,5.625,5.625,800,1992,5,6,3,8161
5.625,5.625,5.625,5.625,0,1992,5,7,4,8162
5.5,5.625,5.625,5.5,3200,1992,5,8,5,8163
5.5,5.5,5.5,5.5,0,1992,5,11,1,8166
5.375,5.6875,5.6875,5.4375,8000,1992,5,12,2,8167
5.4375,5.4375,5.4375,5.4375,0,1992,5,13,3,8168
5.4375,5.4375,5.4375,5.4375,0,1992,5,14,4,8169
5.4375,5.4375,5.4375,5.4375,0,1992,5,15,5,8170
5.375,5.5,5.5,5.375,16000,1992,5,18,1,8173
5.375,5.4375,5.40625,5.4375,30400,1992,5,19,2,8174
5.4375,5.4375,5.4375,5.4375,0,1992,5,20,3,8175
5.3125,5.6875,5.6875,5.625,7200,1992,5,21,4,8176
5.75,5.75,5.75,5.75,1600,1992,5,22,5,8177
5.75,5.75,5.75,5.75,0,1992,5,26,2,8181
5.75,5.75,5.75,5.75,0,1992,5,27,3,8182
5.625,5.625,5.625,5.625,800,1992,5,28,4,8183
5.75,5.75,5.75,5.75,800,1992,5,29,5,8184
5.75,5.75,5.75,5.75,0,1992,6,1,1,8187
5.375,5.625,5.625,5.375,18400,1992,6,2,2,8188
5.5,5.5,5.5,5.5,4000,1992,6,3,3,8189
5.5,5.5,5.5,5.5,0,1992,6,4,4,8190
5.46875,5.6875,5.46875,5.6875,10400,1992,6,5,5,8191
5.8125,5.875,5.875,5.8125,4000,1992,6,8,1,8194
6.0,6.0,6.0,6.0,800,1992,6,9,2,8195
6.0,6.0,6.0,6.0,0,1992,6,10,3,8196
6.0625,6.25,6.0625,6.25,12000,1992,6,11,4,8197
6.25,6.25,6.25,6.25,0,1992,6,12,5,8198
6.1875,6.5,6.5,6.5,12400,1992,6,15,1,8201
6.625,6.625,6.625,6.625,1200,1992,6,16,2,8202
6.28125,6.75,6.5625,6.375,32000,1992,6,17,3,8203
6.25,6.75,6.25,6.75,6800,1992,6,18,4,8204
6.3125,6.75,6.3125,6.75,4000,1992,6,19,5,8205
6.75,6.75,6.75,6.75,0,1992,6,22,1,8208
6.75,6.75,6.75,6.75,0,1992,6,23,2,8209
6.75,6.75,6.75,6.75,0,1992,6,24,3,8210
6.5,6.625,6.625,6.5625,6400,1992,6,25,4,8211
6.4375,6.75,6.5625,6.75,21600,1992,6,26,5,8212
6.375,6.5,6.375,6.5,3600,1992,6,29,1,8215
6.5,6.5,6.5,6.5,0,1992,6,30,2,8216
6.5,6.5,6.5,6.5,0,1992,7,1,3,8217
6.375,6.75,6.75,6.375,1600,1992,7,2,4,8218
6.3125,6.75,6.75,6.3125,10400,1992,7,6,1,8222
6.0625,6.5,6.125,6.375,17200,1992,7,7,2,8223
6.0,6.25,6.0,6.25,5600,1992,7,8,3,8224
6.25,6.25,6.25,6.25,0,1992,7,9,4,8225
5.875,6.25,6.25,6.25,6800,1992,7,10,5,8226
6.0,6.25,6.25,6.0,1200,1992,7,13,1,8229
6.0,6.0,6.0,6.0,0,1992,7,14,2,8230
6.0625,6.25,6.25,6.0625,1600,1992,7,15,3,8231
6.0,6.25,6.25,6.25,9200,1992,7,16,4,8232
6.25,6.25,6.25,6.25,0,1992,7,17,5,8233
6.25,6.25,6.25,6.25,0,1992,7,20,1,8236
6.375,6.375,6.375,6.375,1600,1992,7,21,2,8237
6.0625,6.3125,6.0625,6.3125,4400,1992,7,22,3,8238
6.03125,6.3125,6.03125,6.3125,7200,1992,7,23,4,8239
6.0,6.3125,6.3125,6.0,14400,1992,7,24,5,8240
6.3125,6.3125,6.3125,6.3125,5200,1992,7,27,1,8243
6.03125,6.1875,6.125,6.03125,7200,1992,7,28,2,8244
6.3125,6.3125,6.3125,6.3125,400,1992,7,29,3,8245
