low,high,open,close,volume,year,month,day,weekday,days
2507.0,4559.0,4559.0,2528.0,6800,2008,12,22,1,14235
2880.0,2880.0,2880.0,2880.0,1000,2008,12,23,2,14236
3067.0,3067.0,3067.0,3067.0,200,2008,12,24,3,14237
3274.0,3274.0,3274.0,3274.0,100,2008,12,25,4,14238
3378.0,3502.0,3378.0,3502.0,3900,2008,12,26,5,14239
3709.0,3709.0,3709.0,3709.0,1500,2008,12,29,1,14242
3958.0,3958.0,3958.0,3958.0,400,2008,12,30,2,14243
3689.0,4227.0,4227.0,3689.0,3700,2008,12,31,3,14244
3647.0,3917.0,3647.0,3917.0,1400,2009,1,2,5,14246
3709.0,3709.0,3709.0,3709.0,500,2009,1,5,1,14249
3709.0,3709.0,3709.0,3709.0,0,2009,1,6,2,14250
3461.0,3627.0,3627.0,3461.0,500,2009,1,7,3,14251
3523.0,3523.0,3523.0,3523.0,200,2009,1,8,4,14252
3295.0,3709.0,3295.0,3709.0,900,2009,1,9,5,14253
3171.0,3523.0,3523.0,3171.0,200,2009,1,12,1,14256
3129.0,3316.0,3129.0,3316.0,300,2009,1,13,2,14257
2984.0,2984.0,2984.0,2984.0,900,2009,1,14,3,14258
3108.0,3191.0,3191.0,3108.0,700,2009,1,15,4,14259
3212.0,3336.0,3212.0,3212.0,700,2009,1,16,5,14260
3316.0,3316.0,3316.0,3316.0,200,2009,1,19,1,14263
3357.0,3357.0,3357.0,3357.0,100,2009,1,20,2,14264
3316.0,3316.0,3316.0,3316.0,100,2009,1,21,3,14265
3088.0,3108.0,3088.0,3108.0,400,2009,1,22,4,14266
2901.0,2943.0,2943.0,2901.0,2200,2009,1,23,5,14267
2798.0,2798.0,2798.0,2798.0,1000,2009,2,2,1,14277
2611.0,2984.0,2611.0,2984.0,300,2009,2,3,2,14278
2860.0,2901.0,2860.0,2901.0,600,2009,2,4,3,14279
2860.0,2901.0,2901.0,2860.0,300,2009,2,5,4,14280
2943.0,2943.0,2943.0,2943.0,100,2009,2,6,5,14281
3108.0,3108.0,3108.0,3108.0,100,2009,2,9,1,14284
3108.0,3108.0,3108.0,3108.0,0,2009,2,10,2,14285
3212.0,3212.0,3212.0,3212.0,100,2009,2,11,3,14286
3212.0,3212.0,3212.0,3212.0,0,2009,2,12,4,14287
3212.0,3212.0,3212.0,3212.0,0,2009,2,13,5,14288
3005.0,3212.0,3150.0,3005.0,1500,2009,2,16,1,14291
2922.0,2922.0,2922.0,2922.0,400,2009,2,17,2,14292
2922.0,2922.0,2922.0,2922.0,0,2009,2,18,3,14293
2901.0,2901.0,2901.0,2901.0,500,2009,2,19,4,14294
3005.0,3005.0,3005.0,3005.0,100,2009,2,20,5,14295
3005.0,3005.0,3005.0,3005.0,5000,2009,2,23,1,14298
2901.0,2901.0,2901.0,2901.0,500,2009,2,24,2,14299
2901.0,2901.0,2901.0,2901.0,0,2009,2,25,3,14300
2880.0,2880.0,2880.0,2880.0,500,2009,2,26,4,14301
2880.0,2880.0,2880.0,2880.0,0,2009,2,27,5,14302
2694.0,2694.0,2694.0,2694.0,200,2009,3,2,1,14305
2590.0,2590.0,2590.0,2590.0,1000,2009,3,3,2,14306
2590.0,2590.0,2590.0,2590.0,0,2009,3,4,3,14307
2756.0,2756.0,2756.0,2756.0,2000,2009,3,5,4,14308
2756.0,2756.0,2756.0,2756.0,0,2009,3,6,5,14309
2694.0,2694.0,2694.0,2694.0,1500,2009,3,9,1,14312
2694.0,2694.0,2694.0,2694.0,0,2009,3,10,2,14313
2798.0,2798.0,2798.0,2798.0,1100,2009,3,11,3,14314
2798.0,2880.0,2880.0,2798.0,1100,2009,3,12,4,14315
2798.0,2798.0,2798.0,2798.0,0,2009,3,13,5,14316
2798.0,2798.0,2798.0,2798.0,0,2009,3,16,1,14319
2798.0,2798.0,2798.0,2798.0,0,2009,3,17,2,14320
2798.0,2984.0,2963.0,2901.0,6500,2009,3,18,3,14321
3046.0,3046.0,3046.0,3046.0,500,2009,3,19,4,14322
3046.0,3046.0,3046.0,3046.0,0,2009,3,20,5,14323
2839.0,2839.0,2839.0,2839.0,200,2009,3,23,1,14326
2653.0,2715.0,2715.0,2653.0,8100,2009,3,24,2,14327
2487.0,2860.0,2487.0,2860.0,2800,2009,3,25,3,14328
2445.0,2445.0,2445.0,2445.0,5300,2009,3,26,4,14329
2445.0,2445.0,2445.0,2445.0,0,2009,3,27,5,14330
2611.0,2611.0,2611.0,2611.0,200,2009,3,30,1,14333
2777.0,2777.0,2777.0,2777.0,3400,2009,3,31,2,14334
2901.0,2922.0,2901.0,2922.0,5000,2009,4,1,3,14335
3108.0,3108.0,3108.0,3108.0,1000,2009,4,2,4,14336
2901.0,3233.0,3233.0,2963.0,4300,2009,4,3,5,14337
3005.0,3108.0,3005.0,3067.0,5900,2009,4,7,2,14341
2901.0,2901.0,2901.0,2901.0,2000,2009,4,8,3,14342
3088.0,3088.0,3088.0,3088.0,2100,2009,4,9,4,14343
3129.0,3295.0,3129.0,3295.0,8600,2009,4,10,5,14344
3419.0,3461.0,3440.0,3461.0,8800,2009,4,13,1,14347
3668.0,3668.0,3668.0,3668.0,800,2009,4,14,2,14348
3523.0,3709.0,3709.0,3523.0,3100,2009,4,15,3,14349
3730.0,3730.0,3730.0,3730.0,3000,2009,4,16,4,14350
3481.0,3481.0,3481.0,3481.0,3000,2009,4,17,5,14351
3254.0,3461.0,3316.0,3461.0,3100,2009,4,20,1,14354
3088.0,3295.0,3088.0,3295.0,3100,2009,4,21,2,14355
3088.0,3108.0,3108.0,3108.0,2800,2009,4,22,3,14356
2922.0,3295.0,3108.0,2922.0,5000,2009,4,23,4,14357
2901.0,2901.0,2901.0,2901.0,1500,2009,4,24,5,14358
2901.0,2922.0,2922.0,2901.0,3100,2009,4,27,1,14361
3088.0,3088.0,3088.0,3088.0,2900,2009,4,28,2,14362
3295.0,3295.0,3295.0,3295.0,4000,2009,4,29,3,14363
3523.0,3523.0,3523.0,3523.0,3200,2009,5,4,1,14368
3730.0,3751.0,3751.0,3730.0,16500,2009,5,5,2,14369
3668.0,3896.0,3751.0,3668.0,13000,2009,5,6,3,14370
3730.0,3772.0,3730.0,3751.0,8500,2009,5,7,4,14371
3523.0,3772.0,3523.0,3772.0,7000,2009,5,8,5,14372
3875.0,3979.0,3958.0,3875.0,4500,2009,5,11,1,14375
3875.0,4000.0,3875.0,4000.0,1300,2009,5,12,2,14376
3937.0,4041.0,4000.0,4020.0,3400,2009,5,13,3,14377
3937.0,3937.0,3937.0,3937.0,800,2009,5,14,4,14378
3937.0,4020.0,3937.0,4020.0,3200,2009,5,15,5,14379
3937.0,3958.0,3937.0,3937.0,9600,2009,5,18,1,14382
4186.0,4207.0,4207.0,4207.0,7400,2009,5,19,2,14383
4476.0,4497.0,4497.0,4497.0,8800,2009,5,20,3,14384
4704.0,4808.0,4808.0,4725.0,4400,2009,5,21,4,14385
4414.0,4642.0,4642.0,4414.0,4700,2009,5,22,5,14386
4352.0,4601.0,4601.0,4455.0,13400,2009,5,25,1,14389
4227.0,4435.0,4248.0,4435.0,7200,2009,5,26,2,14390
4041.0,4269.0,4269.0,4145.0,5200,2009,5,27,3,14391
4000.0,4331.0,4331.0,4000.0,3800,2009,5,28,4,14392
3834.0,4227.0,3834.0,4207.0,1100,2009,5,29,5,14393
3834.0,4207.0,4186.0,4207.0,14300,2009,6,1,1,14396
4455.0,4455.0,4455.0,4455.0,13000,2009,6,2,2,14397
4766.0,4766.0,4766.0,4766.0,19400,2009,6,3,3,14398
