low,high,open,close,volume,year,month,day,weekday,days
8734.0,8734.0,8734.0,8734.0,4110,2011,10,5,3,15252
8323.0,8323.0,8323.0,8323.0,100,2011,10,6,4,15253
7912.0,8323.0,8323.0,7912.0,1070,2011,10,7,5,15254
7553.0,7553.0,7553.0,7553.0,170,2011,10,10,1,15257
7193.0,7193.0,7193.0,7193.0,350,2011,10,11,2,15258
6833.0,6833.0,6833.0,6833.0,510,2011,10,12,3,15259
6525.0,6525.0,6525.0,6525.0,30,2011,10,13,4,15260
6217.0,6217.0,6217.0,6217.0,150,2011,10,14,5,15261
5908.0,5908.0,5908.0,5908.0,20,2011,10,17,1,15264
5652.0,5652.0,5652.0,5652.0,20,2011,10,18,2,15265
5395.0,5395.0,5395.0,5395.0,20,2011,10,19,3,15266
5138.0,5138.0,5138.0,5138.0,10,2011,10,20,4,15267
4881.0,5138.0,5138.0,4881.0,40,2011,10,21,5,15268
4675.0,4675.0,4675.0,4675.0,300,2011,10,24,1,15271
4470.0,4470.0,4470.0,4470.0,2420,2011,10,25,2,15272
4264.0,4470.0,4470.0,4264.0,70,2011,10,26,3,15273
4059.0,4059.0,4059.0,4059.0,4070,2011,10,27,4,15274
4059.0,4213.0,4059.0,4213.0,9540,2011,10,28,5,15275
4213.0,4418.0,4213.0,4418.0,8290,2011,10,31,1,15278
4624.0,4624.0,4624.0,4624.0,300,2011,11,1,2,15279
4418.0,4830.0,4624.0,4830.0,3300,2011,11,2,3,15280
4624.0,4830.0,4624.0,4624.0,3540,2011,11,3,4,15281
4521.0,4830.0,4830.0,4624.0,2070,2011,11,4,5,15282
4418.0,4624.0,4624.0,4624.0,970,2011,11,7,1,15285
4727.0,4727.0,4727.0,4727.0,10,2011,11,8,2,15286
4521.0,4778.0,4727.0,4778.0,1110,2011,11,9,3,15287
4573.0,4727.0,4727.0,4573.0,1110,2011,11,10,4,15288
4367.0,4367.0,4367.0,4367.0,310,2011,11,11,5,15289
4162.0,4573.0,4573.0,4367.0,30,2011,11,14,1,15292
4162.0,4418.0,4418.0,4367.0,40,2011,11,15,2,15293
4162.0,4264.0,4264.0,4162.0,1050,2011,11,16,3,15294
3956.0,4162.0,3956.0,3956.0,990,2011,11,17,4,15295
3802.0,3802.0,3802.0,3802.0,820,2011,11,18,5,15296
3648.0,3648.0,3648.0,3648.0,200,2011,11,21,1,15299
3494.0,3494.0,3494.0,3494.0,210,2011,11,22,2,15300
3340.0,3340.0,3340.0,3340.0,10,2011,11,23,3,15301
3185.0,3494.0,3185.0,3340.0,350,2011,11,24,4,15302
3391.0,3391.0,3391.0,3391.0,90,2011,11,25,5,15303
3545.0,3545.0,3545.0,3545.0,10,2011,11,28,1,15306
3391.0,3699.0,3699.0,3648.0,520,2011,11,29,2,15307
3751.0,3751.0,3751.0,3751.0,10,2011,11,30,3,15308
3853.0,3853.0,3853.0,3853.0,10,2011,12,1,4,15309
3699.0,3853.0,3699.0,3699.0,400,2011,12,2,5,15310
3751.0,3802.0,3802.0,3751.0,140,2011,12,5,1,15313
3751.0,3853.0,3751.0,3853.0,170,2011,12,6,2,15314
3853.0,3853.0,3853.0,3853.0,0,2011,12,7,3,15315
3802.0,3802.0,3802.0,3802.0,50,2011,12,8,4,15316
3802.0,3802.0,3802.0,3802.0,0,2011,12,9,5,15317
3802.0,3802.0,3802.0,3802.0,0,2011,12,12,1,15320
3802.0,3802.0,3802.0,3802.0,90,2011,12,13,2,15321
3802.0,3802.0,3802.0,3802.0,20,2011,12,14,3,15322
3699.0,3699.0,3699.0,3699.0,20,2011,12,15,4,15323
3699.0,3699.0,3699.0,3699.0,20,2011,12,16,5,15324
3699.0,3699.0,3699.0,3699.0,20,2011,12,19,1,15327
3699.0,3699.0,3699.0,3699.0,50,2011,12,20,2,15328
3699.0,3699.0,3699.0,3699.0,0,2011,12,21,3,15329
3699.0,3699.0,3699.0,3699.0,10,2011,12,22,4,15330
3699.0,3699.0,3699.0,3699.0,50,2011,12,23,5,15331
3699.0,3699.0,3699.0,3699.0,10,2011,12,26,1,15334
3699.0,3699.0,3699.0,3699.0,50,2011,12,27,2,15335
