low,high,open,close,volume,year,month,day,weekday,days
12143.0,12191.0,12191.0,12191.0,515600,2018,5,25,5,17676
12905.0,13000.0,13000.0,13000.0,399000,2018,5,28,1,17679
13572.0,13905.0,13905.0,13905.0,665890,2018,5,29,2,17680
13619.0,14238.0,14096.0,13619.0,604060,2018,5,30,3,17681
13286.0,13619.0,13572.0,13334.0,237300,2018,5,31,4,17682
13191.0,13381.0,13286.0,13334.0,181350,2018,6,1,5,17683
13238.0,13381.0,13334.0,13286.0,161900,2018,6,4,1,17686
13191.0,13429.0,13286.0,13381.0,206220,2018,6,5,2,17687
13238.0,13381.0,13381.0,13334.0,268940,2018,6,6,3,17688
13238.0,13381.0,13334.0,13334.0,115630,2018,6,7,4,17689
13238.0,14238.0,13334.0,14238.0,1296600,2018,6,8,5,17690
13810.0,15191.0,14238.0,15191.0,987650,2018,6,11,1,17693
14286.0,15715.0,15238.0,14381.0,494530,2018,6,12,2,17694
13381.0,14238.0,14238.0,13762.0,702310,2018,6,13,3,17695
13286.0,13857.0,13762.0,13810.0,323710,2018,6,14,4,17696
13619.0,13857.0,13810.0,13762.0,200880,2018,6,15,5,17697
13619.0,13953.0,13762.0,13857.0,251610,2018,6,18,1,17700
13619.0,13905.0,13857.0,13810.0,232120,2018,6,19,2,17701
13667.0,13857.0,13810.0,13810.0,204540,2018,6,20,3,17702
13667.0,13857.0,13810.0,13762.0,184590,2018,6,21,4,17703
13667.0,13810.0,13762.0,13762.0,167800,2018,6,22,5,17704
13429.0,14715.0,13762.0,14715.0,1022220,2018,6,25,1,17707
13715.0,14762.0,14762.0,14048.0,1508370,2018,6,26,2,17708
14048.0,14334.0,14048.0,14191.0,737080,2018,6,27,3,17709
13905.0,14286.0,14191.0,14191.0,153020,2018,6,28,4,17710
14096.0,14238.0,14191.0,14143.0,127490,2018,6,29,5,17711
13953.0,14143.0,14143.0,14096.0,136500,2018,7,2,1,17714
14000.0,14143.0,14096.0,14096.0,116180,2018,7,3,2,17715
13953.0,14238.0,14096.0,14191.0,189460,2018,7,4,3,17716
14096.0,14476.0,14191.0,14476.0,291910,2018,7,5,4,17717
14191.0,14572.0,14524.0,14334.0,199970,2018,7,6,5,17718
14191.0,14476.0,14334.0,14381.0,248010,2018,7,9,1,17721
14238.0,14429.0,14381.0,14286.0,206680,2018,7,10,2,17722
13905.0,14381.0,14286.0,14334.0,241840,2018,7,11,3,17723
14238.0,15334.0,14334.0,15334.0,634820,2018,7,12,4,17724
15334.0,16286.0,15381.0,16286.0,444580,2018,7,13,5,17725
16286.0,17048.0,16286.0,17048.0,259300,2018,7,16,1,17728
17000.0,17762.0,17048.0,17762.0,301050,2018,7,17,2,17729
17429.0,17810.0,17762.0,17619.0,158730,2018,7,18,3,17730
17524.0,18191.0,17619.0,18191.0,297460,2018,7,19,4,17731
16953.0,18286.0,18238.0,17619.0,439970,2018,7,20,5,17732
17572.0,18334.0,17619.0,18334.0,321680,2018,7,23,1,17735
17953.0,18572.0,18334.0,18477.0,336570,2018,7,24,2,17736
18238.0,19286.0,18477.0,19286.0,799840,2018,7,25,3,17737
19286.0,20619.0,19334.0,20000.0,1175960,2018,7,26,4,17738
19524.0,21334.0,20048.0,21334.0,750420,2018,7,27,5,17739
19858.0,21286.0,21239.0,19858.0,113180,2018,7,30,1,17742
18477.0,19905.0,19048.0,18477.0,141130,2018,7,31,2,17743
17191.0,18524.0,18286.0,18477.0,791190,2018,8,1,3,17744
18048.0,18810.0,18524.0,18096.0,421060,2018,8,2,4,17745
17667.0,18143.0,18096.0,18143.0,152830,2018,8,3,5,17746
17810.0,18191.0,18143.0,18096.0,96150,2018,8,6,1,17749
17905.0,19334.0,18096.0,19334.0,676670,2018,8,7,2,17750
19429.0,20667.0,19429.0,20667.0,128930,2018,8,8,3,17751
21700.0,22100.0,21700.0,22100.0,58100,2018,8,9,4,17752
23100.0,23600.0,23100.0,23600.0,307180,2018,8,10,5,17753
22100.0,25250.0,24000.0,25250.0,375780,2018,8,13,1,17756
23800.0,27000.0,25600.0,27000.0,506980,2018,8,14,2,17757
25150.0,27650.0,27400.0,26550.0,739340,2018,8,15,3,17758
24700.0,26550.0,26550.0,25500.0,566110,2018,8,16,4,17759
25100.0,26800.0,25500.0,26500.0,289950,2018,8,17,5,17760
26000.0,28350.0,26550.0,28350.0,397260,2018,8,20,1,17763
26400.0,30300.0,28500.0,30300.0,797150,2018,8,21,2,17764
28600.0,30650.0,30500.0,29000.0,142850,2018,8,22,3,17765
28600.0,29050.0,29000.0,29050.0,343420,2018,8,23,4,17766
27050.0,29000.0,29000.0,28300.0,407470,2018,8,24,5,17767
27800.0,28550.0,28300.0,28350.0,222550,2018,8,27,1,17770
27900.0,28350.0,28350.0,28100.0,91750,2018,8,28,2,17771
26150.0,28300.0,28100.0,28300.0,266060,2018,8,29,3,17772
26350.0,28300.0,28300.0,28050.0,126020,2018,8,30,4,17773
26100.0,28050.0,28050.0,27000.0,16490,2018,8,31,5,17774
25150.0,26950.0,26800.0,25150.0,54450,2018,9,4,2,17778
23400.0,24500.0,24500.0,23400.0,7130,2018,9,5,3,17779
21800.0,21800.0,21800.0,21800.0,790,2018,9,6,4,17780
20300.0,20300.0,20300.0,20300.0,7560,2018,9,7,5,17781
18900.0,18900.0,18900.0,18900.0,8460,2018,9,10,1,17784
17600.0,18500.0,17600.0,18000.0,61180,2018,9,11,2,17785
16750.0,19000.0,18000.0,19000.0,157880,2018,9,12,3,17786
17700.0,19700.0,19050.0,19550.0,163280,2018,9,13,4,17787
18200.0,19650.0,19550.0,19000.0,138280,2018,9,14,5,17788
17700.0,19000.0,19000.0,18500.0,450060,2018,9,17,1,17791
17250.0,18850.0,18400.0,18850.0,500440,2018,9,18,2,17792
17550.0,18900.0,18850.0,18850.0,400050,2018,9,19,3,17793
17550.0,18800.0,18800.0,17550.0,204000,2018,9,20,4,17794
16350.0,17700.0,17600.0,16350.0,614270,2018,9,21,5,17795
15250.0,16000.0,15250.0,15250.0,70040,2018,9,24,1,17798
14200.0,14200.0,14200.0,14200.0,212930,2018,9,25,2,17799
13250.0,15150.0,13250.0,15150.0,873740,2018,9,26,3,17800
14100.0,16000.0,16000.0,15000.0,471160,2018,9,27,4,17801
13950.0,15800.0,15000.0,15800.0,782430,2018,9,28,5,17802
14700.0,15400.0,15400.0,14700.0,169430,2018,10,1,1,17805
13700.0,14200.0,13700.0,13700.0,247580,2018,10,2,2,17806
12750.0,13700.0,13700.0,13300.0,1114960,2018,10,3,3,17807
12400.0,13300.0,13300.0,12400.0,628500,2018,10,4,4,17808
11550.0,13000.0,12400.0,11550.0,377200,2018,10,5,5,17809
10750.0,11500.0,11500.0,10750.0,591040,2018,10,8,1,17812
10000.0,11500.0,10200.0,11200.0,633670,2018,10,9,2,17813
10450.0,11150.0,11150.0,10450.0,449850,2018,10,10,3,17814
9720.0,10000.0,9720.0,9720.0,86420,2018,10,11,4,17815
9040.0,10400.0,9040.0,10400.0,1350640,2018,10,12,5,17816
9680.0,10850.0,10850.0,10000.0,510740,2018,10,15,1,17819
9300.0,10100.0,9900.0,9900.0,144090,2018,10,16,2,17820
9210.0,9880.0,9880.0,9700.0,835090,2018,10,17,3,17821
9030.0,9590.0,9100.0,9030.0,741710,2018,10,18,4,17822
8400.0,9500.0,8400.0,9500.0,325470,2018,10,19,5,17823
8840.0,10000.0,9500.0,10000.0,268190,2018,10,22,1,17826
9300.0,10000.0,9900.0,9500.0,201200,2018,10,23,2,17827
8840.0,9470.0,9470.0,8840.0,2423440,2018,10,24,3,17828
8230.0,8400.0,8230.0,8230.0,2112390,2018,10,25,4,17829
7750.0,8500.0,8230.0,8000.0,83510,2018,10,26,5,17830
7440.0,7790.0,7790.0,7440.0,35710,2018,10,29,1,17833
6920.0,6930.0,6920.0,6920.0,48150,2018,10,30,2,17834
6440.0,6990.0,6440.0,6990.0,283730,2018,10,31,3,17835
6560.0,7450.0,6990.0,7190.0,216580,2018,11,1,4,17836
6690.0,7340.0,7340.0,7100.0,176570,2018,11,2,5,17837
6610.0,7100.0,6990.0,6610.0,236180,2018,11,5,1,17840
6900.0,7070.0,6900.0,7070.0,899660,2018,11,6,2,17841
7280.0,7560.0,7290.0,7560.0,823280,2018,11,7,3,17842
7560.0,8080.0,8000.0,8080.0,800430,2018,11,8,4,17843
7520.0,8360.0,8360.0,7900.0,948270,2018,11,9,5,17844
7350.0,7900.0,7900.0,7350.0,1028580,2018,11,12,1,17847
6840.0,6840.0,6840.0,6840.0,489080,2018,11,13,2,17848
6370.0,6830.0,6370.0,6800.0,1000220,2018,11,14,3,17849
6330.0,7270.0,6850.0,6780.0,1580400,2018,11,15,4,17850
6310.0,7050.0,7050.0,6780.0,1195820,2018,11,16,5,17851
6310.0,6780.0,6780.0,6500.0,1392510,2018,11,19,1,17854
6050.0,6450.0,6050.0,6050.0,1362560,2018,11,20,2,17855
6000.0,6250.0,6000.0,6200.0,232800,2018,11,21,3,17856
6000.0,6250.0,6250.0,6200.0,234250,2018,11,22,4,17857
6000.0,6200.0,6200.0,6150.0,255270,2018,11,23,5,17858
5850.0,6100.0,6100.0,6100.0,138030,2018,11,26,1,17861
5680.0,6250.0,6100.0,5950.0,1276380,2018,11,27,2,17862
5540.0,6360.0,5800.0,6360.0,2266090,2018,11,28,3,17863
5920.0,6800.0,6500.0,6280.0,2234060,2018,11,29,4,17864
5850.0,6100.0,5850.0,6000.0,1596880,2018,11,30,5,17865
5580.0,6000.0,6000.0,5580.0,1541850,2018,12,3,1,17868
5190.0,5700.0,5300.0,5550.0,1766690,2018,12,4,2,17869
5170.0,5170.0,5170.0,5170.0,971580,2018,12,5,3,17870
4810.0,4810.0,4810.0,4810.0,172180,2018,12,6,4,17871
4480.0,4580.0,4580.0,4480.0,707800,2018,12,7,5,17872
4170.0,4470.0,4470.0,4170.0,1308040,2018,12,10,1,17875
3880.0,4200.0,3880.0,4200.0,1143120,2018,12,11,2,17876
3910.0,4200.0,4200.0,4080.0,1420510,2018,12,12,3,17877
3800.0,4060.0,4000.0,4000.0,1192030,2018,12,13,4,17878
3730.0,3900.0,3760.0,3900.0,153570,2018,12,14,5,17879
3650.0,3850.0,3850.0,3800.0,145190,2018,12,17,1,17882
3540.0,3700.0,3600.0,3540.0,145660,2018,12,18,2,17883
3300.0,3530.0,3320.0,3300.0,203530,2018,12,19,3,17884
3070.0,3480.0,3080.0,3350.0,207510,2018,12,20,4,17885
3300.0,3580.0,3350.0,3580.0,112610,2018,12,21,5,17886
3820.0,3830.0,3830.0,3830.0,826230,2018,12,24,1,17889
3780.0,4080.0,3820.0,3860.0,2422110,2018,12,25,2,17890
3590.0,3990.0,3800.0,3590.0,73800,2018,12,26,3,17891
3340.0,3600.0,3600.0,3340.0,304060,2018,12,27,4,17892
3110.0,3190.0,3110.0,3110.0,149720,2018,12,28,5,17893
2900.0,3000.0,2900.0,2900.0,153320,2019,1,2,3,17898
2700.0,3100.0,2700.0,2730.0,514180,2019,1,3,4,17899
2540.0,2720.0,2700.0,2540.0,290350,2019,1,4,5,17900
2400.0,2670.0,2600.0,2650.0,139450,2019,1,7,1,17903
2650.0,2830.0,2750.0,2820.0,154760,2019,1,8,2,17904
2750.0,2880.0,2750.0,2880.0,126260,2019,1,9,3,17905
2710.0,3080.0,2750.0,3080.0,876680,2019,1,10,4,17906
