low,high,open,close,volume,year,month,day,weekday,days
14664.0,18397.0,18397.0,16200.0,392800,2017,12,8,5,17508
15997.0,17241.0,17241.0,16100.0,79854,2017,12,11,1,17511
15997.0,16086.0,16086.0,16100.0,300,2017,12,12,2,17512
13686.0,15108.0,13775.0,13900.0,110800,2017,12,13,3,17513
13420.0,14397.0,13420.0,13900.0,9554,2017,12,14,4,17514
13864.0,14664.0,13864.0,14100.0,21210,2017,12,15,5,17515
13775.0,14220.0,14131.0,14000.0,50900,2017,12,18,1,17518
13775.0,14042.0,13864.0,13900.0,31800,2017,12,19,2,17519
13953.0,14042.0,13953.0,14000.0,16100,2017,12,20,3,17520
13953.0,14220.0,14220.0,14100.0,4100,2017,12,21,4,17521
13864.0,13953.0,13953.0,13900.0,500,2017,12,22,5,17522
13775.0,13864.0,13775.0,13800.0,8400,2017,12,25,1,17525
13331.0,13775.0,13775.0,13500.0,46200,2017,12,26,2,17526
13242.0,13775.0,13775.0,13400.0,22700,2017,12,27,3,17527
13331.0,13775.0,13331.0,13500.0,6100,2017,12,28,4,17528
13686.0,15464.0,15375.0,14900.0,90000,2017,12,29,5,17529
15108.0,17152.0,17152.0,16800.0,26700,2018,1,2,2,17533
14486.0,15641.0,15641.0,14800.0,52600,2018,1,3,3,17534
14308.0,14486.0,14486.0,14300.0,1100,2018,1,4,4,17535
13775.0,15997.0,13775.0,14000.0,36700,2018,1,5,5,17536
13775.0,14131.0,14042.0,14000.0,70700,2018,1,8,1,17539
14131.0,14220.0,14131.0,14200.0,400,2018,1,9,2,17540
14131.0,15553.0,14131.0,15100.0,123300,2018,1,10,3,17541
14664.0,15997.0,14664.0,15200.0,200100,2018,1,11,4,17542
15019.0,16264.0,15997.0,15300.0,130900,2018,1,12,5,17543
14931.0,15286.0,15197.0,15100.0,65910,2018,1,15,1,17546
14397.0,15019.0,15019.0,14600.0,68800,2018,1,16,2,17547
14131.0,15108.0,14397.0,14300.0,126100,2018,1,17,3,17548
14131.0,14575.0,14308.0,14300.0,20800,2018,1,18,4,17549
14220.0,14842.0,14220.0,14400.0,19200,2018,1,19,5,17550
14220.0,14753.0,14220.0,14600.0,70700,2018,1,22,1,17553
14575.0,14931.0,14931.0,14600.0,85380,2018,1,23,2,17554
14486.0,14842.0,14486.0,14700.0,51400,2018,1,24,3,17555
14397.0,14753.0,14753.0,14500.0,73300,2018,1,25,4,17556
14397.0,14575.0,14486.0,14400.0,14808,2018,1,26,5,17557
14397.0,14397.0,14397.0,14400.0,6200,2018,1,29,1,17560
14042.0,14486.0,14486.0,14200.0,32000,2018,1,30,2,17561
14042.0,14220.0,14220.0,14100.0,13300,2018,1,31,3,17562
14042.0,14220.0,14042.0,14100.0,18900,2018,2,1,4,17563
14042.0,14220.0,14220.0,14100.0,19800,2018,2,2,5,17564
13953.0,14131.0,14131.0,14100.0,17900,2018,2,5,1,17567
12087.0,13686.0,12087.0,12500.0,8900,2018,2,6,2,17568
13597.0,14220.0,14220.0,14100.0,7300,2018,2,7,3,17569
13686.0,13953.0,13953.0,13800.0,200,2018,2,8,4,17570
12620.0,13864.0,13775.0,13700.0,3500,2018,2,9,5,17571
13153.0,13509.0,13420.0,13300.0,10400,2018,2,12,1,17574
13331.0,14220.0,14131.0,13800.0,9300,2018,2,13,2,17575
13242.0,14131.0,13331.0,13600.0,3900,2018,2,21,3,17583
13331.0,13775.0,13686.0,13400.0,4500,2018,2,22,4,17584
13153.0,14042.0,13331.0,13500.0,6400,2018,2,23,5,17585
12886.0,13686.0,13686.0,13200.0,42800,2018,2,26,1,17588
13242.0,13864.0,13509.0,13500.0,9818,2018,2,27,2,17589
13331.0,13775.0,13331.0,13500.0,5800,2018,2,28,3,17590
13064.0,13509.0,13331.0,13200.0,12700,2018,3,1,4,17591
12975.0,13597.0,13153.0,13300.0,6300,2018,3,2,5,17592
13242.0,13775.0,13242.0,13500.0,12500,2018,3,5,1,17595
13153.0,13686.0,13331.0,13400.0,13800,2018,3,6,2,17596
13153.0,13331.0,13331.0,13300.0,1100,2018,3,7,3,17597
13153.0,13420.0,13420.0,13200.0,28800,2018,3,8,4,17598
13064.0,13509.0,13509.0,13200.0,40390,2018,3,9,5,17599
13064.0,13242.0,13242.0,13200.0,11900,2018,3,12,1,17602
12975.0,13242.0,13242.0,13100.0,9000,2018,3,13,2,17603
13064.0,13331.0,13331.0,13100.0,15200,2018,3,14,3,17604
12975.0,13331.0,13331.0,13000.0,6000,2018,3,15,4,17605
12886.0,12975.0,12975.0,12900.0,22600,2018,3,16,5,17606
12709.0,12798.0,12709.0,12800.0,14300,2018,3,19,1,17609
13153.0,13509.0,13153.0,13300.0,4900,2018,3,20,2,17610
12798.0,13331.0,13331.0,12900.0,6000,2018,3,21,3,17611
13597.0,14842.0,13597.0,14300.0,11400,2018,3,22,4,17612
13509.0,14220.0,14220.0,13800.0,2200,2018,3,23,5,17613
14220.0,14220.0,14220.0,14200.0,100,2018,3,26,1,17616
13331.0,13953.0,13953.0,13600.0,2800,2018,3,27,2,17617
12886.0,13686.0,12886.0,13100.0,3100,2018,3,28,3,17618
13775.0,13775.0,13775.0,13800.0,100,2018,3,29,4,17619
13775.0,13775.0,13775.0,13800.0,0,2018,3,30,5,17620
13775.0,14664.0,13775.0,14000.0,8500,2018,4,2,1,17623
13331.0,13509.0,13509.0,13400.0,1000,2018,4,3,2,17624
14042.0,15108.0,14220.0,15100.0,382323,2018,4,4,3,17625
13775.0,14220.0,13775.0,14000.0,8700,2018,4,5,4,17626
13953.0,13953.0,13953.0,14000.0,0,2018,4,6,5,17627
13331.0,13331.0,13331.0,13300.0,200,2018,4,9,1,17630
13953.0,13953.0,13953.0,14000.0,100,2018,4,10,2,17631
13509.0,13864.0,13864.0,13600.0,610,2018,4,11,3,17632
13509.0,13597.0,13597.0,13500.0,600,2018,4,12,4,17633
12886.0,13331.0,13331.0,13100.0,6500,2018,4,13,5,17634
13064.0,13064.0,13064.0,13100.0,400,2018,4,16,1,17637
12886.0,13153.0,13153.0,12900.0,5500,2018,4,17,2,17638
12442.0,12709.0,12442.0,12700.0,500,2018,4,18,3,17639
12442.0,12620.0,12620.0,12500.0,8600,2018,4,19,4,17640
11731.0,12087.0,12087.0,12100.0,2800,2018,4,20,5,17641
12175.0,12175.0,12175.0,12200.0,122,2018,4,23,1,17644
11731.0,12709.0,11731.0,12100.0,7900,2018,4,24,2,17645
12087.0,12087.0,12087.0,12100.0,0,2018,4,26,4,17647
12353.0,12353.0,12353.0,12400.0,1000,2018,4,27,5,17648
12353.0,12353.0,12353.0,12400.0,0,2018,5,2,3,17653
13064.0,13064.0,13064.0,13100.0,127,2018,5,3,4,17654
13064.0,13064.0,13064.0,13100.0,0,2018,5,4,5,17655
13064.0,13064.0,13064.0,13100.0,0,2018,5,7,1,17658
12886.0,12886.0,12886.0,12900.0,1030,2018,5,8,2,17659
12886.0,12886.0,12886.0,12900.0,0,2018,5,9,3,17660
12886.0,12886.0,12886.0,12900.0,0,2018,5,10,4,17661
12886.0,12886.0,12886.0,12900.0,0,2018,5,11,5,17662
12886.0,12886.0,12886.0,12900.0,0,2018,5,14,1,17665
12886.0,12886.0,12886.0,12900.0,0,2018,5,15,2,17666
12886.0,12886.0,12886.0,12900.0,0,2018,5,16,3,17667
12886.0,12886.0,12886.0,12900.0,100,2018,5,17,4,17668
12886.0,12886.0,12886.0,12900.0,0,2018,5,18,5,17669
11020.0,12886.0,11109.0,11900.0,600,2018,5,21,1,17672
12353.0,12353.0,12353.0,12400.0,200,2018,5,22,2,17673
12353.0,12353.0,12353.0,12400.0,0,2018,5,23,3,17674
12353.0,12353.0,12353.0,12400.0,0,2018,5,24,4,17675
12353.0,12353.0,12353.0,12400.0,0,2018,5,25,5,17676
12353.0,12353.0,12353.0,12400.0,0,2018,5,28,1,17679
12353.0,12353.0,12353.0,12400.0,0,2018,5,29,2,17680
12353.0,12353.0,12353.0,12400.0,0,2018,5,30,3,17681
12353.0,12353.0,12353.0,12400.0,0,2018,5,31,4,17682
12353.0,12353.0,12353.0,12400.0,0,2018,6,1,5,17683
12709.0,12709.0,12709.0,12700.0,500,2018,6,4,1,17686
12709.0,12709.0,12709.0,12700.0,0,2018,6,5,2,17687
12709.0,12709.0,12709.0,12700.0,0,2018,6,6,3,17688
12709.0,12709.0,12709.0,12700.0,0,2018,6,7,4,17689
12709.0,12709.0,12709.0,12700.0,0,2018,6,8,5,17690
12709.0,12709.0,12709.0,12700.0,0,2018,6,11,1,17693
12709.0,12709.0,12709.0,12700.0,0,2018,6,12,2,17694
12709.0,12709.0,12709.0,12700.0,100,2018,6,13,3,17695
12709.0,12709.0,12709.0,12700.0,200,2018,6,14,4,17696
12709.0,12709.0,12709.0,12700.0,0,2018,6,15,5,17697
12709.0,12709.0,12709.0,12700.0,0,2018,6,18,1,17700
12709.0,12709.0,12709.0,12700.0,0,2018,6,19,2,17701
12709.0,12709.0,12709.0,12700.0,0,2018,6,20,3,17702
12709.0,12709.0,12709.0,12700.0,0,2018,6,21,4,17703
12709.0,12709.0,12709.0,12700.0,0,2018,6,22,5,17704
12709.0,12709.0,12709.0,12700.0,0,2018,6,25,1,17707
12709.0,12709.0,12709.0,12700.0,0,2018,6,26,2,17708
12709.0,12709.0,12709.0,12700.0,0,2018,6,27,3,17709
11553.0,11553.0,11553.0,11600.0,1000,2018,6,28,4,17710
11553.0,13242.0,11553.0,12500.0,4000,2018,6,29,5,17711
11553.0,11553.0,11553.0,11600.0,200,2018,7,2,1,17714
11553.0,11553.0,11553.0,11600.0,0,2018,7,3,2,17715
11553.0,11553.0,11553.0,11600.0,0,2018,7,4,3,17716
12353.0,12353.0,12353.0,12400.0,1200,2018,7,5,4,17717
10576.0,12264.0,10576.0,11100.0,300,2018,7,6,5,17718
11109.0,11109.0,11109.0,11100.0,100,2018,7,9,1,17721
11465.0,11465.0,11465.0,11500.0,100,2018,7,10,2,17722
11465.0,11465.0,11465.0,11500.0,0,2018,7,11,3,17723
11465.0,11465.0,11465.0,11500.0,0,2018,7,12,4,17724
11465.0,11465.0,11465.0,11500.0,0,2018,7,13,5,17725
11465.0,11465.0,11465.0,11500.0,0,2018,7,16,1,17728
11465.0,11465.0,11465.0,11500.0,0,2018,7,17,2,17729
11465.0,11465.0,11465.0,11500.0,800,2018,7,18,3,17730
12442.0,12886.0,12442.0,12700.0,200,2018,7,19,4,17731
10842.0,11553.0,10842.0,11000.0,500,2018,7,20,5,17732
9420.0,9776.0,9776.0,11000.0,1200,2018,7,23,1,17735
9509.0,9509.0,9509.0,9500.0,800,2018,7,24,2,17736
9509.0,9776.0,9509.0,9800.0,3500,2018,7,25,3,17737
9776.0,9776.0,9776.0,9800.0,0,2018,7,26,4,17738
10487.0,10487.0,10487.0,10500.0,100,2018,7,27,5,17739
10487.0,10487.0,10487.0,10500.0,0,2018,7,30,1,17742
9776.0,10309.0,10220.0,10100.0,2500,2018,7,31,2,17743
9065.0,9154.0,9154.0,9100.0,3100,2018,8,1,3,17744
8887.0,9776.0,9065.0,8900.0,2700,2018,8,2,4,17745
9687.0,9776.0,9687.0,9700.0,600,2018,8,3,5,17746
9687.0,9687.0,9687.0,9700.0,0,2018,8,6,1,17749
8887.0,9598.0,8887.0,9000.0,900,2018,8,7,2,17750
9065.0,10220.0,9954.0,9300.0,3600,2018,8,8,3,17751
9154.0,9154.0,9154.0,9200.0,1300,2018,8,9,4,17752
9154.0,9154.0,9154.0,9200.0,1000,2018,8,10,5,17753
9687.0,9687.0,9687.0,9700.0,200,2018,8,13,1,17756
9332.0,9332.0,9332.0,9300.0,1000,2018,8,14,2,17757
8887.0,8976.0,8976.0,8900.0,500,2018,8,15,3,17758
8887.0,8887.0,8887.0,8900.0,0,2018,8,16,4,17759
10220.0,10220.0,10220.0,10200.0,100,2018,8,17,5,17760
10220.0,10220.0,10220.0,10200.0,0,2018,8,20,1,17763
8887.0,9332.0,9332.0,9100.0,3400,2018,8,21,2,17764
9154.0,9154.0,9154.0,9200.0,500,2018,8,22,3,17765
8887.0,8887.0,8887.0,8900.0,1200,2018,8,23,4,17766
9776.0,9776.0,9776.0,9800.0,2000,2018,8,24,5,17767
9776.0,9776.0,9776.0,9800.0,0,2018,8,27,1,17770
9776.0,9776.0,9776.0,9800.0,0,2018,8,28,2,17771
9776.0,9776.0,9776.0,9800.0,0,2018,8,29,3,17772
