low,high,open,close,volume,year,month,day,weekday,days
7386.0,14771.0,12309.0,8000.0,21180,2009,10,27,2,14544
7087.0,8333.0,7088.0,7400.0,10100,2009,10,28,3,14545
7406.0,8108.0,7406.0,7600.0,4020,2009,10,29,4,14546
7004.0,7627.0,7627.0,7200.0,8500,2009,10,30,5,14547
7479.0,7479.0,7238.0,7200.0,0,2009,11,2,1,14550
7640.0,7640.0,7640.0,7600.0,1000,2009,11,3,2,14551
8095.0,9696.0,8096.0,8300.0,750,2009,11,4,3,14552
7077.0,7077.0,7077.0,7100.0,1000,2009,11,5,4,14553
6589.0,7906.0,7906.0,6800.0,25990,2009,11,6,5,14554
6675.0,6675.0,6836.0,6800.0,0,2009,11,9,1,14557
6675.0,6675.0,6836.0,6800.0,0,2009,11,10,2,14558
6675.0,6675.0,6836.0,6800.0,0,2009,11,11,3,14559
6354.0,7228.0,7228.0,6400.0,4100,2009,11,12,4,14560
6031.0,6836.0,6836.0,6000.0,2010,2009,11,13,5,14561
6433.0,6772.0,6433.0,6400.0,1100,2009,11,16,1,14564
6595.0,6595.0,6595.0,6600.0,600,2009,11,17,2,14565
6595.0,6595.0,6595.0,6600.0,0,2009,11,18,3,14566
5791.0,5950.0,5950.0,5900.0,26200,2009,11,23,1,14571
4546.0,4546.0,4986.0,5000.0,2800,2009,11,26,4,14574
4986.0,4986.0,4986.0,5000.0,0,2009,11,30,1,14578
5629.0,5951.0,5951.0,5600.0,905,2009,12,2,3,14580
6433.0,6433.0,6433.0,6400.0,5000,2009,12,9,3,14587
6916.0,6916.0,6916.0,6900.0,10,2009,12,15,2,14593
6353.0,6353.0,6353.0,6400.0,5000,2009,12,23,3,14601
6675.0,6675.0,6836.0,6800.0,0,2010,1,5,2,14614
6675.0,6675.0,6595.0,6600.0,0,2010,1,11,1,14620
6836.0,6836.0,6836.0,6800.0,0,2010,1,13,3,14622
6836.0,6836.0,6836.0,6800.0,4000,2010,1,14,4,14623
6836.0,6836.0,6836.0,6800.0,0,2010,1,26,2,14635
6836.0,6836.0,6836.0,6800.0,0,2010,1,27,3,14636
5871.0,5871.0,5871.0,5900.0,0,2010,2,5,5,14645
6433.0,6433.0,6433.0,6400.0,2000,2010,3,1,1,14669
6433.0,6433.0,6433.0,6400.0,0,2010,3,2,2,14670
6836.0,6836.0,6836.0,6800.0,90,2010,3,3,3,14671
5960.0,6348.0,5960.0,6200.0,160,2010,3,4,4,14672
5486.0,6705.0,6704.0,5800.0,40,2010,3,5,5,14673
5549.0,5549.0,5549.0,5500.0,20,2010,3,8,1,14676
6031.0,6031.0,6031.0,6000.0,1010,2010,3,9,2,14677
5468.0,5629.0,5469.0,5600.0,5020,2010,3,10,3,14678
6193.0,6193.0,6193.0,6200.0,10,2010,3,11,4,14679
6675.0,6675.0,6675.0,6700.0,100,2010,3,12,5,14680
7228.0,8222.0,7228.0,7300.0,3200,2010,3,15,1,14683
7158.0,7158.0,7158.0,7200.0,10,2010,3,16,2,14684
7158.0,7158.0,7158.0,7200.0,0,2010,3,17,3,14685
5673.0,6794.0,5674.0,6500.0,160,2010,3,18,4,14686
7479.0,7479.0,6514.0,6500.0,0,2010,3,19,5,14687
6755.0,6755.0,6755.0,6800.0,20,2010,3,22,1,14690
6112.0,6112.0,6112.0,6100.0,20,2010,3,23,2,14691
5549.0,5549.0,5549.0,5500.0,20,2010,3,24,3,14692
5468.0,5629.0,5469.0,5600.0,525,2010,3,26,5,14694
5629.0,5629.0,5629.0,5600.0,0,2010,3,29,1,14697
5573.0,5573.0,6193.0,6200.0,20,2010,3,30,2,14698
5710.0,5710.0,6193.0,6200.0,0,2010,3,31,3,14699
5655.0,6891.0,6185.0,6300.0,50,2010,4,1,4,14700
6032.0,6112.0,6112.0,6100.0,2000,2010,4,2,5,14701
6755.0,6755.0,6755.0,6800.0,10,2010,4,5,1,14704
6755.0,6755.0,6755.0,6800.0,0,2010,4,6,2,14705
6755.0,6755.0,6755.0,6800.0,0,2010,4,7,3,14706
6193.0,6273.0,6193.0,6300.0,3550,2010,4,8,4,14707
6273.0,6273.0,6273.0,6300.0,2000,2010,4,9,5,14708
5951.0,6031.0,5951.0,6000.0,10000,2010,4,12,1,14711
5469.0,5469.0,5469.0,5500.0,5000,2010,4,13,2,14712
5876.0,6131.0,5791.0,5800.0,500,2010,4,14,3,14713
5791.0,6042.0,5791.0,5800.0,2250,2010,4,15,4,14714
5950.0,6113.0,5950.0,6000.0,1900,2010,4,16,5,14715
6433.0,6514.0,6433.0,6500.0,19710,2010,4,19,1,14718
6593.0,6840.0,6675.0,6700.0,4700,2010,4,20,2,14719
7158.0,7158.0,7158.0,7200.0,40,2010,4,21,3,14720
7800.0,7800.0,7800.0,7800.0,30,2010,4,22,4,14721
7077.0,7077.0,7077.0,7100.0,350,2010,4,26,1,14725
6433.0,6433.0,6433.0,6400.0,6000,2010,4,27,2,14726
6980.0,8532.0,6980.0,7100.0,2560,2010,4,28,3,14727
6433.0,6433.0,6433.0,6400.0,3200,2010,4,29,4,14728
6589.0,7159.0,7158.0,7100.0,10740,2010,5,4,2,14733
7147.0,7804.0,7147.0,7600.0,21400,2010,5,5,3,14734
8042.0,8203.0,8203.0,8200.0,24910,2010,5,6,4,14735
8846.0,9007.0,9007.0,9000.0,37120,2010,5,7,5,14736
9811.0,9891.0,9891.0,9900.0,35680,2010,5,10,1,14739
8847.0,9405.0,9405.0,8900.0,4450,2010,5,11,2,14740
8122.0,8444.0,8203.0,8100.0,6740,2010,5,12,3,14741
8603.0,8934.0,8686.0,8700.0,8620,2010,5,13,4,14742
6979.0,8081.0,6979.0,7600.0,11450,2010,5,14,5,14743
7747.0,8832.0,8832.0,8400.0,2660,2010,5,17,1,14746
7231.0,8692.0,7962.0,8000.0,30,2010,5,18,2,14747
7962.0,7962.0,7962.0,8000.0,4400,2010,5,19,3,14748
8121.0,8284.0,8203.0,8200.0,12500,2010,5,20,4,14749
7392.0,8123.0,8123.0,8000.0,4820,2010,5,21,5,14750
7962.0,7962.0,7962.0,8000.0,100,2010,5,25,2,14754
8042.0,8685.0,8686.0,8000.0,1015,2010,5,26,3,14755
8846.0,8846.0,8846.0,8800.0,10,2010,5,27,4,14756
9731.0,9731.0,9731.0,9700.0,10,2010,5,28,5,14757
10696.0,10696.0,10696.0,10700.0,10,2010,5,31,1,14760
9651.0,9651.0,9651.0,9700.0,3520,2010,6,1,2,14761
8686.0,8686.0,8686.0,8700.0,1520,2010,6,2,3,14762
8857.0,10664.0,8857.0,9500.0,30,2010,6,3,4,14763
7421.0,8956.0,7421.0,8400.0,3020,2010,6,7,1,14767
7517.0,9020.0,9020.0,8700.0,75,2010,6,8,2,14768
7560.0,7560.0,7560.0,7600.0,1000,2010,6,10,4,14770
7247.0,8837.0,7246.0,8000.0,1115,2010,6,14,1,14774
6595.0,6595.0,6595.0,6600.0,20,2010,6,15,2,14775
7238.0,7238.0,7238.0,7200.0,0,2010,6,16,3,14776
7238.0,7238.0,7238.0,7200.0,50,2010,6,17,4,14777
7238.0,7238.0,7238.0,7200.0,1300,2010,6,18,5,14778
7551.0,8215.0,8215.0,7800.0,380,2010,6,21,1,14781
6836.0,6996.0,6996.0,6800.0,14100,2010,6,22,2,14782
7313.0,7882.0,7313.0,7800.0,22910,2010,6,24,4,14784
7800.0,7800.0,7800.0,7800.0,13000,2010,6,25,5,14785
6487.0,7077.0,7077.0,7100.0,520,2010,6,28,1,14788
7798.0,8529.0,7799.0,8000.0,19540,2010,6,29,2,14789
7318.0,7318.0,7318.0,7300.0,50,2010,6,30,3,14790
7882.0,7882.0,7882.0,7900.0,1000,2010,7,1,4,14791
7961.0,8605.0,7962.0,8600.0,93910,2010,7,2,5,14792
9409.0,9409.0,9409.0,9400.0,16000,2010,7,5,1,14795
9650.0,10294.0,10294.0,10300.0,219600,2010,7,6,2,14796
10702.0,11098.0,11098.0,11100.0,111025,2010,7,7,3,14797
9967.0,11807.0,11807.0,11500.0,141170,2010,7,8,4,14798
10857.0,13270.0,11420.0,10900.0,46005,2010,7,9,5,14799
10931.0,11983.0,11983.0,11900.0,120230,2010,7,12,1,14802
10629.0,12867.0,10629.0,12800.0,131710,2010,7,13,2,14803
11916.0,13982.0,12711.0,13000.0,138040,2010,7,14,3,14804
12314.0,14209.0,12630.0,12900.0,96713,2010,7,15,4,14805
12473.0,13336.0,13336.0,12800.0,107500,2010,7,19,1,14809
11663.0,13091.0,13092.0,11800.0,98900,2010,7,20,2,14810
10857.0,11259.0,11259.0,10900.0,31500,2010,7,21,3,14811
9892.0,11018.0,11018.0,10500.0,31600,2010,7,22,4,14812
10614.0,10938.0,10938.0,10900.0,14500,2010,7,23,5,14813
9731.0,10776.0,10455.0,9800.0,17000,2010,7,26,1,14816
9154.0,9978.0,9566.0,9700.0,75300,2010,7,27,2,14817
8920.0,9587.0,9587.0,9100.0,22100,2010,7,28,3,14818
8663.0,9818.0,9075.0,9600.0,19000,2010,7,29,4,14819
10226.0,11006.0,10053.0,10100.0,23100,2010,7,30,5,14820
9973.0,10053.0,10053.0,10100.0,600,2010,8,2,1,14823
9156.0,9989.0,9989.0,9500.0,5300,2010,8,4,3,14825
8848.0,9167.0,9006.0,9100.0,19000,2010,8,5,4,14826
9005.0,9251.0,9006.0,9100.0,4300,2010,8,6,5,14827
8759.0,10160.0,10160.0,8800.0,9300,2010,8,9,1,14830
7548.0,8368.0,8368.0,8100.0,6300,2010,8,10,2,14831
8442.0,8767.0,8443.0,8700.0,15600,2010,8,11,3,14832
7724.0,8998.0,8997.0,8000.0,5200,2010,8,12,4,14833
8123.0,8927.0,8122.0,8800.0,26600,2010,8,13,5,14834
9249.0,9570.0,9249.0,9600.0,32500,2010,8,16,1,14837
