low,high,open,close,volume,year,month,day,weekday,days
8414.0,9569.0,9569.0,8500.0,2000,2017,7,17,1,17364
8249.0,8249.0,8249.0,8200.0,300,2017,7,18,2,17365
8249.0,8249.0,8249.0,8200.0,10,2017,7,19,3,17366
7094.0,7094.0,7094.0,7100.0,200,2017,7,20,4,17367
6187.0,6187.0,6187.0,6200.0,200,2017,7,21,5,17368
5279.0,5362.0,5279.0,5300.0,2900,2017,7,24,1,17371
6022.0,6022.0,6022.0,6000.0,800,2017,7,25,2,17372
5197.0,5774.0,5774.0,5700.0,3900,2017,7,26,3,17373
6517.0,6517.0,6517.0,6500.0,100,2017,7,27,4,17374
6517.0,6517.0,6517.0,6500.0,100,2017,7,28,5,17375
5609.0,5609.0,5609.0,5600.0,100,2017,7,31,1,17378
4784.0,5774.0,5774.0,5100.0,3700,2017,8,1,2,17379
4372.0,5692.0,4372.0,5100.0,1700,2017,8,2,3,17380
5114.0,5114.0,5114.0,5100.0,0,2017,8,3,4,17381
4454.0,4454.0,4454.0,4500.0,300,2017,8,4,5,17382
4454.0,4454.0,4454.0,4500.0,0,2017,8,7,1,17385
4125.0,4125.0,4125.0,4100.0,200,2017,8,8,2,17386
3795.0,3795.0,3795.0,3800.0,100,2017,8,9,3,17387
3382.0,3382.0,3382.0,3400.0,300,2017,8,10,4,17388
3877.0,3877.0,3877.0,3900.0,800,2017,8,11,5,17389
3877.0,3877.0,3877.0,3900.0,0,2017,8,14,1,17392
4454.0,4454.0,4454.0,4500.0,100,2017,8,15,2,17393
5114.0,5114.0,5114.0,5100.0,100,2017,8,16,3,17394
5857.0,5857.0,5857.0,5900.0,200,2017,8,17,4,17395
6599.0,6682.0,6682.0,6600.0,2800,2017,8,18,5,17396
6187.0,7589.0,6599.0,6900.0,4000,2017,8,21,1,17399
6929.0,7507.0,6929.0,7400.0,800,2017,8,22,2,17400
6929.0,6929.0,6929.0,6900.0,2000,2017,8,23,3,17401
5939.0,5939.0,5939.0,5900.0,200,2017,8,24,4,17402
6599.0,6764.0,6599.0,6600.0,13200,2017,8,25,5,17403
6599.0,6764.0,6599.0,6600.0,7000,2017,8,28,1,17406
7507.0,7507.0,7507.0,7500.0,100,2017,8,29,2,17407
6599.0,6599.0,6599.0,6600.0,1000,2017,8,30,3,17408
6599.0,6599.0,6599.0,6600.0,3400,2017,8,31,4,17409
6599.0,6599.0,6599.0,6600.0,5000,2017,9,1,5,17410
6599.0,6682.0,6682.0,6600.0,2900,2017,9,5,2,17414
6599.0,6599.0,6599.0,6600.0,3100,2017,9,6,3,17415
6599.0,6682.0,6682.0,6600.0,3300,2017,9,7,4,17416
6682.0,7672.0,7012.0,7300.0,2900,2017,9,8,5,17417
6764.0,7424.0,7342.0,7400.0,1500,2017,9,11,1,17420
6847.0,8414.0,8249.0,8300.0,3100,2017,9,12,2,17421
7094.0,7424.0,7094.0,7200.0,3300,2017,9,13,3,17422
7094.0,8249.0,8249.0,8200.0,7400,2017,9,14,4,17423
8991.0,8991.0,8991.0,9000.0,100,2017,9,15,5,17424
8662.0,8662.0,8662.0,8700.0,1000,2017,9,18,1,17427
8662.0,8662.0,8662.0,8700.0,0,2017,9,19,2,17428
8497.0,8662.0,8662.0,8700.0,4600,2017,9,20,3,17429
7672.0,7672.0,7672.0,7700.0,100,2017,9,21,4,17430
7012.0,7012.0,7012.0,7000.0,100,2017,9,22,5,17431
6764.0,6764.0,6764.0,6800.0,100,2017,9,25,1,17434
7754.0,7754.0,7754.0,7800.0,500,2017,9,26,2,17435
7754.0,7754.0,7754.0,7800.0,0,2017,9,27,3,17436
7424.0,7424.0,7424.0,7400.0,3900,2017,9,28,4,17437
7424.0,7424.0,7424.0,7400.0,1300,2017,9,29,5,17438
7424.0,7424.0,7424.0,7400.0,0,2017,10,2,1,17441
7424.0,7424.0,7424.0,7400.0,0,2017,10,3,2,17442
6764.0,6847.0,6764.0,6800.0,3600,2017,10,4,3,17443
6847.0,6847.0,6847.0,6800.0,0,2017,10,5,4,17444
6847.0,6847.0,6847.0,6800.0,0,2017,10,6,5,17445
6847.0,6847.0,6847.0,6800.0,0,2017,10,9,1,17448
6847.0,6847.0,6847.0,6800.0,0,2017,10,10,2,17449
6847.0,6847.0,6847.0,6800.0,0,2017,10,11,3,17450
6847.0,6847.0,6847.0,6800.0,0,2017,10,12,4,17451
7012.0,7012.0,7012.0,7000.0,1800,2017,10,13,5,17452
7012.0,7012.0,7012.0,7000.0,0,2017,10,16,1,17455
7012.0,7012.0,7012.0,7000.0,0,2017,10,17,2,17456
7012.0,7012.0,7012.0,7000.0,0,2017,10,18,3,17457
7012.0,7012.0,7012.0,7000.0,0,2017,10,19,4,17458
7012.0,7012.0,7012.0,7000.0,1300,2017,10,20,5,17459
7012.0,7012.0,7012.0,7000.0,0,2017,10,23,1,17462
7012.0,7012.0,7012.0,7000.0,0,2017,10,24,2,17463
7012.0,7012.0,7012.0,7000.0,0,2017,10,25,3,17464
7012.0,7012.0,7012.0,7000.0,0,2017,10,26,4,17465
7012.0,7012.0,7012.0,7000.0,500,2017,10,27,5,17466
7012.0,7012.0,7012.0,7000.0,1100,2017,10,30,1,17469
7012.0,7012.0,7012.0,7000.0,0,2017,10,31,2,17470
7424.0,7507.0,7424.0,7500.0,2800,2017,11,1,3,17471
7424.0,7424.0,7424.0,7400.0,0,2017,11,2,4,17472
7424.0,7424.0,7424.0,7400.0,0,2017,11,3,5,17473
6352.0,6352.0,6352.0,6400.0,100,2017,11,6,1,17476
5444.0,5444.0,5444.0,5400.0,100,2017,11,7,2,17477
5444.0,5444.0,5444.0,5400.0,0,2017,11,8,3,17478
5444.0,5444.0,5444.0,5400.0,0,2017,11,9,4,17479
6187.0,6187.0,6187.0,6200.0,100,2017,11,10,5,17480
6187.0,6187.0,6187.0,6200.0,0,2017,11,13,1,17483
5279.0,5279.0,5279.0,5300.0,100,2017,11,14,2,17484
4537.0,4537.0,4537.0,4500.0,100,2017,11,15,3,17485
3960.0,5197.0,5197.0,4100.0,700,2017,11,16,4,17486
3547.0,4702.0,4702.0,3800.0,400,2017,11,17,5,17487
3877.0,3877.0,3877.0,3900.0,0,2017,11,20,1,17490
3300.0,4454.0,4454.0,3700.0,300,2017,11,21,2,17491
4207.0,4207.0,4207.0,4200.0,100,2017,11,22,3,17492
4784.0,4784.0,4784.0,4800.0,100,2017,11,23,4,17493
5444.0,5444.0,5444.0,5400.0,100,2017,11,24,5,17494
6187.0,6187.0,6187.0,6200.0,100,2017,11,27,1,17497
7094.0,7094.0,7094.0,7100.0,100,2017,11,28,2,17498
7094.0,8084.0,7094.0,7300.0,600,2017,11,29,3,17499
7424.0,7424.0,7424.0,7400.0,200,2017,11,30,4,17500
6352.0,6352.0,6352.0,6400.0,100,2017,12,1,5,17501
7177.0,7259.0,7177.0,7200.0,5100,2017,12,4,1,17504
7177.0,7177.0,7177.0,7200.0,0,2017,12,5,2,17505
7177.0,7177.0,7177.0,7200.0,1300,2017,12,6,3,17506
7012.0,7177.0,7012.0,7100.0,3500,2017,12,7,4,17507
7177.0,7177.0,7177.0,7200.0,2300,2017,12,8,5,17508
7177.0,7177.0,7177.0,7200.0,0,2017,12,11,1,17511
6104.0,6104.0,6104.0,6100.0,100,2017,12,12,2,17512
5197.0,5197.0,5197.0,5200.0,100,2017,12,13,3,17513
5197.0,5197.0,5197.0,5200.0,10,2017,12,14,4,17514
4454.0,4454.0,4454.0,4500.0,100,2017,12,15,5,17515
3795.0,3795.0,3795.0,3800.0,100,2017,12,18,1,17518
3382.0,3382.0,3382.0,3400.0,100,2017,12,19,2,17519
3877.0,3877.0,3877.0,3900.0,100,2017,12,20,3,17520
4454.0,4454.0,4454.0,4500.0,110,2017,12,21,4,17521
5114.0,5114.0,5114.0,5100.0,100,2017,12,22,5,17522
5857.0,5857.0,5857.0,5900.0,100,2017,12,25,1,17525
6682.0,6682.0,6682.0,6700.0,100,2017,12,26,2,17526
7672.0,7672.0,7672.0,7700.0,2510,2017,12,27,3,17527
8249.0,8744.0,8744.0,8600.0,1600,2017,12,28,4,17528
8579.0,8579.0,8579.0,8600.0,0,2017,12,29,5,17529
8579.0,8579.0,8579.0,8600.0,0,2018,1,2,2,17533
8579.0,8579.0,8579.0,8600.0,0,2018,1,3,3,17534
8579.0,8579.0,8579.0,8600.0,0,2018,1,4,4,17535
8249.0,9816.0,9816.0,8400.0,1100,2018,1,5,5,17536
8414.0,8414.0,8414.0,8400.0,0,2018,1,8,1,17539
8414.0,8414.0,8414.0,8400.0,0,2018,1,9,2,17540
8414.0,8414.0,8414.0,8400.0,0,2018,1,10,3,17541
7177.0,8249.0,7177.0,8200.0,1150,2018,1,11,4,17542
8167.0,8167.0,8167.0,8200.0,0,2018,1,12,5,17543
8167.0,8167.0,8167.0,8200.0,0,2018,1,15,1,17546
8167.0,8167.0,8167.0,8200.0,0,2018,1,16,2,17547
7012.0,8167.0,7012.0,7200.0,1500,2018,1,17,3,17548
7012.0,8249.0,7012.0,7300.0,1000,2018,1,18,4,17549
8167.0,8167.0,8167.0,8200.0,200,2018,1,19,5,17550
8167.0,8167.0,8167.0,8200.0,0,2018,1,22,1,17553
8167.0,8167.0,8167.0,8200.0,0,2018,1,23,2,17554
8167.0,8167.0,8167.0,8200.0,0,2018,1,24,3,17555
8167.0,8167.0,8167.0,8200.0,0,2018,1,25,4,17556
8167.0,8167.0,8167.0,8200.0,0,2018,1,26,5,17557
8167.0,8167.0,8167.0,8200.0,0,2018,1,29,1,17560
8167.0,8167.0,8167.0,8200.0,0,2018,1,30,2,17561
8167.0,8167.0,8167.0,8200.0,0,2018,1,31,3,17562
8167.0,8167.0,8167.0,8200.0,0,2018,2,1,4,17563
8167.0,8167.0,8167.0,8200.0,0,2018,2,2,5,17564
8167.0,8167.0,8167.0,8200.0,0,2018,2,5,1,17567
8167.0,8167.0,8167.0,8200.0,0,2018,2,6,2,17568
8167.0,8167.0,8167.0,8200.0,140,2018,2,7,3,17569
8167.0,8167.0,8167.0,8200.0,0,2018,2,8,4,17570
8167.0,8167.0,8167.0,8200.0,0,2018,2,9,5,17571
8167.0,8167.0,8167.0,8200.0,0,2018,2,12,1,17574
8167.0,8167.0,8167.0,8200.0,0,2018,2,13,2,17575
8167.0,8167.0,8167.0,8200.0,0,2018,2,21,3,17583
8167.0,8167.0,8167.0,8200.0,0,2018,2,22,4,17584
8167.0,8167.0,8167.0,8200.0,0,2018,2,23,5,17585
8167.0,8167.0,8167.0,8200.0,0,2018,2,26,1,17588
8167.0,8167.0,8167.0,8200.0,40,2018,2,27,2,17589
8167.0,8167.0,8167.0,8200.0,0,2018,2,28,3,17590
8167.0,8167.0,8167.0,8200.0,0,2018,3,1,4,17591
8167.0,8167.0,8167.0,8200.0,20,2018,3,2,5,17592
8167.0,8167.0,8167.0,8200.0,0,2018,3,5,1,17595
8167.0,8167.0,8167.0,8200.0,0,2018,3,6,2,17596
8167.0,8167.0,8167.0,8200.0,38,2018,3,7,3,17597
8167.0,8167.0,8167.0,8200.0,0,2018,3,8,4,17598
8167.0,8167.0,8167.0,8200.0,0,2018,3,9,5,17599
8167.0,8167.0,8167.0,8200.0,0,2018,3,12,1,17602
8167.0,8167.0,8167.0,8200.0,0,2018,3,13,2,17603
8167.0,8167.0,8167.0,8200.0,0,2018,3,14,3,17604
8167.0,8167.0,8167.0,8200.0,0,2018,3,15,4,17605
5114.0,5114.0,5114.0,5100.0,100,2018,3,16,5,17606
4372.0,4372.0,4372.0,4400.0,100,2018,3,19,1,17609
4372.0,4372.0,4372.0,4400.0,0,2018,3,20,2,17610
3960.0,3960.0,3960.0,4000.0,100,2018,3,21,3,17611
3960.0,3960.0,3960.0,4000.0,0,2018,3,22,4,17612
3960.0,3960.0,3960.0,4000.0,0,2018,3,23,5,17613
4537.0,4537.0,4537.0,4500.0,3300,2018,3,26,1,17616
4537.0,4537.0,4537.0,4500.0,0,2018,3,27,2,17617
4537.0,4537.0,4537.0,4500.0,0,2018,3,28,3,17618
4537.0,4537.0,4537.0,4500.0,0,2018,3,29,4,17619
4537.0,4537.0,4537.0,4500.0,0,2018,3,30,5,17620
4125.0,4125.0,4125.0,4100.0,1000,2018,4,2,1,17623
4125.0,4125.0,4125.0,4100.0,0,2018,4,3,2,17624
4125.0,4125.0,4125.0,4100.0,0,2018,4,4,3,17625
4702.0,4702.0,4702.0,4700.0,100,2018,4,5,4,17626
5362.0,5362.0,5362.0,5400.0,100,2018,4,6,5,17627
6104.0,6104.0,6104.0,6100.0,100,2018,4,9,1,17630
7012.0,7012.0,7012.0,7000.0,500,2018,4,10,2,17631
7012.0,7342.0,7012.0,7000.0,1400,2018,4,11,3,17632
7177.0,7177.0,7177.0,7200.0,100,2018,4,12,4,17633
6599.0,7424.0,6599.0,7200.0,5100,2018,4,13,5,17634
7259.0,7259.0,7259.0,7300.0,0,2018,4,16,1,17637
7259.0,7259.0,7259.0,7300.0,0,2018,4,17,2,17638
7259.0,7259.0,7259.0,7300.0,0,2018,4,18,3,17639
7259.0,7259.0,7259.0,7300.0,0,2018,4,19,4,17640
7259.0,7259.0,7259.0,7300.0,0,2018,4,20,5,17641
7259.0,7259.0,7259.0,7300.0,0,2018,4,23,1,17644
7259.0,7259.0,7259.0,7300.0,90,2018,4,24,2,17645
7259.0,7259.0,7259.0,7300.0,0,2018,4,26,4,17647
6187.0,6187.0,6187.0,6200.0,100,2018,4,27,5,17648
6187.0,6187.0,6187.0,6200.0,3900,2018,5,2,3,17653
6187.0,6187.0,6187.0,6200.0,0,2018,5,3,4,17654
7012.0,7012.0,7012.0,7000.0,100,2018,5,4,5,17655
7012.0,7012.0,7012.0,7000.0,0,2018,5,7,1,17658
7012.0,7012.0,7012.0,7000.0,0,2018,5,8,2,17659
7012.0,7012.0,7012.0,7000.0,0,2018,5,9,3,17660
6022.0,6929.0,6929.0,6500.0,200,2018,5,10,4,17661
5609.0,5609.0,5609.0,5600.0,100,2018,5,11,5,17662
4784.0,6434.0,4784.0,6000.0,455,2018,5,14,1,17665
6022.0,6022.0,6022.0,6000.0,0,2018,5,15,2,17666
6022.0,6022.0,6022.0,6000.0,0,2018,5,16,3,17667
6022.0,6022.0,6022.0,6000.0,0,2018,5,17,4,17668
6022.0,6022.0,6022.0,6000.0,0,2018,5,18,5,17669
6022.0,6022.0,6022.0,6000.0,0,2018,5,21,1,17672
6022.0,6022.0,6022.0,6000.0,0,2018,5,22,2,17673
6022.0,6022.0,6022.0,6000.0,0,2018,5,23,3,17674
6022.0,6022.0,6022.0,6000.0,0,2018,5,24,4,17675
6022.0,6022.0,6022.0,6000.0,0,2018,5,25,5,17676
6022.0,6022.0,6022.0,6000.0,0,2018,5,28,1,17679
6022.0,6022.0,6022.0,6000.0,0,2018,5,29,2,17680
6022.0,6022.0,6022.0,6000.0,0,2018,5,30,3,17681
6022.0,6022.0,6022.0,6000.0,0,2018,5,31,4,17682
6022.0,6022.0,6022.0,6000.0,0,2018,6,1,5,17683
6022.0,6022.0,6022.0,6000.0,0,2018,6,4,1,17686
6022.0,6022.0,6022.0,6000.0,0,2018,6,5,2,17687
6022.0,6022.0,6022.0,6000.0,0,2018,6,6,3,17688
