low,high,open,close,volume,year,month,day,weekday,days
18265.0,18265.0,18265.0,18300.0,0,2020,8,24,1,18498
25524.0,25524.0,25524.0,25500.0,1000,2020,8,25,2,18499
29348.0,29348.0,29348.0,29300.0,2100,2020,8,26,3,18500
33719.0,33719.0,33719.0,33700.0,1600,2020,8,27,4,18501
28724.0,37075.0,37075.0,31400.0,6500,2020,8,28,5,18502
31456.0,31456.0,31456.0,31500.0,1,2020,8,31,1,18505
26772.0,26772.0,26772.0,26800.0,601,2020,9,1,2,18506
22792.0,22792.0,22792.0,22800.0,2300,2020,9,3,4,18508
19435.0,19435.0,19435.0,19400.0,500,2020,9,4,5,18509
16547.0,19435.0,16547.0,16600.0,26550,2020,9,7,1,18512
14128.0,14206.0,14128.0,14200.0,12800,2020,9,8,2,18513
12176.0,16235.0,12176.0,13400.0,1308,2020,9,9,3,18514
12176.0,15142.0,12176.0,13700.0,9014,2020,9,10,4,18515
14752.0,15533.0,15533.0,15500.0,2100,2020,9,11,5,18516
14050.0,14518.0,14518.0,14200.0,3900,2020,9,14,1,18519
14440.0,14986.0,14908.0,14800.0,1500,2020,9,15,2,18520
14128.0,14206.0,14206.0,14100.0,769,2020,9,16,3,18521
12489.0,14830.0,14128.0,14100.0,2500,2020,9,17,4,18522
14440.0,14596.0,14518.0,14500.0,1200,2020,9,18,5,18523
14440.0,14440.0,14440.0,14400.0,0,2020,9,21,1,18526
13269.0,13269.0,13269.0,13300.0,1100,2020,9,22,2,18527
13269.0,13269.0,13269.0,13300.0,1000,2020,9,23,3,18528
14050.0,14050.0,14050.0,14000.0,1100,2020,9,24,4,18529
14050.0,16157.0,14050.0,14200.0,1110,2020,9,25,5,18530
14830.0,14830.0,14830.0,14800.0,100,2020,9,28,1,18533
14830.0,14830.0,14830.0,14800.0,100,2020,9,29,2,18534
14830.0,14830.0,14830.0,14800.0,0,2020,9,30,3,18535
12879.0,14050.0,14050.0,13900.0,2120,2020,10,1,4,18536
14752.0,14752.0,14752.0,14800.0,100,2020,10,2,5,18537
13737.0,15142.0,13737.0,14200.0,1200,2020,10,5,1,18540
14050.0,14050.0,14050.0,14000.0,3200,2020,10,6,2,18541
14050.0,14050.0,14050.0,14000.0,0,2020,10,7,3,18542
14050.0,14050.0,14050.0,14000.0,0,2020,10,8,4,18543
14050.0,14050.0,14050.0,14000.0,0,2020,10,9,5,18544
15533.0,15611.0,15611.0,15600.0,200,2020,10,12,1,18547
14050.0,14206.0,14206.0,14100.0,3400,2020,10,13,2,18548
14830.0,14830.0,14830.0,14800.0,100,2020,10,14,3,18549
14830.0,14830.0,14830.0,14800.0,0,2020,10,15,4,18550
14830.0,14830.0,14830.0,14800.0,0,2020,10,16,5,18551
12879.0,12879.0,12879.0,12900.0,1500,2020,10,19,1,18554
11006.0,14284.0,12645.0,12300.0,500,2020,10,20,2,18555
10459.0,10771.0,10771.0,10700.0,500,2020,10,21,3,18556
9366.0,10303.0,9366.0,10200.0,1400,2020,10,22,4,18557
9366.0,11630.0,9366.0,10500.0,200,2020,10,23,5,18558
9366.0,10928.0,10928.0,10700.0,800,2020,10,26,1,18561
9757.0,12098.0,9757.0,11100.0,600,2020,10,27,2,18562
11708.0,11942.0,11708.0,11800.0,500,2020,10,28,3,18563
12489.0,12489.0,12489.0,12500.0,100,2020,10,29,4,18564
13269.0,13269.0,13269.0,13300.0,3500,2020,10,30,5,18565
11318.0,14830.0,11318.0,12500.0,300,2020,11,2,1,18568
14050.0,14050.0,14050.0,14000.0,100,2020,11,3,2,18569
12098.0,14440.0,14440.0,13300.0,200,2020,11,4,3,18570
11396.0,13972.0,13972.0,12700.0,200,2020,11,5,4,18571
11084.0,11084.0,11084.0,11100.0,100,2020,11,6,5,18572
11084.0,11084.0,11084.0,11100.0,0,2020,11,9,1,18575
12645.0,12645.0,12645.0,12600.0,2300,2020,11,10,2,18576
11084.0,11084.0,11084.0,11100.0,100,2020,11,11,3,18577
12489.0,12489.0,12489.0,12500.0,100,2020,11,12,4,18578
11006.0,12879.0,12879.0,12700.0,2000,2020,11,13,5,18579
12723.0,12723.0,12723.0,12700.0,0,2020,11,16,1,18582
12723.0,12723.0,12723.0,12700.0,0,2020,11,17,2,18583
12723.0,12723.0,12723.0,12700.0,0,2020,11,18,3,18584
12723.0,12723.0,12723.0,12700.0,0,2020,11,19,4,18585
12489.0,12567.0,12567.0,12500.0,200,2020,11,20,5,18586
12567.0,12567.0,12567.0,12600.0,0,2020,11,23,1,18589
12567.0,12567.0,12567.0,12600.0,0,2020,11,24,2,18590
12567.0,12567.0,12567.0,12600.0,0,2020,11,25,3,18591
12567.0,12567.0,12567.0,12600.0,0,2020,11,26,4,18592
13972.0,13972.0,13972.0,14000.0,100,2020,11,27,5,18593
13972.0,13972.0,13972.0,14000.0,0,2020,11,30,1,18596
13972.0,13972.0,13972.0,14000.0,0,2020,12,1,2,18597
13972.0,13972.0,13972.0,14000.0,0,2020,12,2,3,18598
13972.0,13972.0,13972.0,14000.0,0,2020,12,3,4,18599
13191.0,13659.0,13659.0,13600.0,1900,2020,12,4,5,18600
11630.0,11630.0,11630.0,11600.0,2700,2020,12,7,1,18603
11630.0,11630.0,11630.0,11600.0,0,2020,12,8,2,18604
12957.0,12957.0,12957.0,13000.0,1200,2020,12,9,3,18605
12957.0,13972.0,12957.0,13700.0,400,2020,12,10,4,18606
13659.0,13659.0,13659.0,13700.0,514,2020,12,11,5,18607
13659.0,13815.0,13659.0,13800.0,1700,2020,12,14,1,18610
14896.0,14896.0,14896.0,14900.0,500,2020,12,15,2,18611
14896.0,14896.0,14896.0,14900.0,0,2020,12,16,3,18612
14896.0,14896.0,14896.0,14900.0,100,2020,12,17,4,18613
14896.0,14896.0,14896.0,14900.0,10,2020,12,18,5,18614
12661.0,12661.0,12661.0,12700.0,370,2020,12,21,1,18617
12661.0,12661.0,12661.0,12700.0,0,2020,12,22,2,18618
12661.0,12661.0,12661.0,12700.0,0,2020,12,23,3,18619
12661.0,12661.0,12661.0,12700.0,0,2020,12,24,4,18620
12661.0,12661.0,12661.0,12700.0,40,2020,12,25,5,18621
12661.0,12661.0,12661.0,12700.0,0,2020,12,28,1,18624
12661.0,12661.0,12661.0,12700.0,0,2020,12,29,2,18625
12661.0,12661.0,12661.0,12700.0,5,2020,12,30,3,18626
12661.0,12661.0,12661.0,12700.0,0,2020,12,31,4,18627
12661.0,12661.0,12661.0,12700.0,0,2021,1,4,1,18631
12661.0,12661.0,12661.0,12700.0,1600,2021,1,5,2,18632
13985.0,13985.0,13985.0,14000.0,100,2021,1,6,3,18633
13985.0,13985.0,13985.0,14000.0,0,2021,1,7,4,18634
14234.0,14647.0,14647.0,14400.0,2000,2021,1,8,5,18635
14316.0,14316.0,14316.0,14300.0,100,2021,1,11,1,18638
14813.0,14813.0,14813.0,14800.0,100,2021,1,12,2,18639
12744.0,12744.0,12744.0,12700.0,1500,2021,1,13,3,18640
13241.0,13241.0,13241.0,13200.0,1017,2021,1,14,4,18641
13241.0,13241.0,13241.0,13200.0,1000,2021,1,15,5,18642
12744.0,12744.0,12744.0,12700.0,100,2021,1,18,1,18645
13489.0,13985.0,13985.0,13700.0,3500,2021,1,19,2,18646
13737.0,14068.0,14068.0,13900.0,3804,2021,1,20,3,18647
13820.0,13820.0,13820.0,13800.0,0,2021,1,21,4,18648
11834.0,13820.0,11834.0,13400.0,500,2021,1,22,5,18649
13406.0,13406.0,13406.0,13400.0,0,2021,1,25,1,18652
13985.0,13985.0,13985.0,14000.0,100,2021,1,26,2,18653
12827.0,12827.0,12827.0,12800.0,100,2021,1,27,3,18654
12827.0,12827.0,12827.0,12800.0,0,2021,1,28,4,18655
12827.0,12827.0,12827.0,12800.0,0,2021,1,29,5,18656
12827.0,12827.0,12827.0,12800.0,0,2021,2,1,1,18659
12827.0,12827.0,12827.0,12800.0,1300,2021,2,2,2,18660
13489.0,13489.0,13489.0,13500.0,100,2021,2,3,3,18661
13075.0,13075.0,13075.0,13100.0,500,2021,2,4,4,18662
13241.0,13241.0,13241.0,13200.0,500,2021,2,5,5,18663
11586.0,13241.0,13075.0,12900.0,3000,2021,2,8,1,18666
12579.0,12827.0,12827.0,12700.0,6800,2021,2,9,2,18667
12661.0,12661.0,12661.0,12700.0,47,2021,2,17,3,18675
12661.0,12661.0,12661.0,12700.0,0,2021,2,18,4,18676
12661.0,12661.0,12661.0,12700.0,1000,2021,2,19,5,18677
12661.0,12661.0,12661.0,12700.0,0,2021,2,22,1,18680
12661.0,12661.0,12661.0,12700.0,0,2021,2,23,2,18681
12661.0,12661.0,12661.0,12700.0,0,2021,2,24,3,18682
11255.0,13241.0,13241.0,12800.0,3217,2021,2,25,4,18683
12744.0,12744.0,12744.0,12700.0,0,2021,2,26,5,18684
12827.0,12827.0,12827.0,12800.0,500,2021,3,1,1,18687
12827.0,12827.0,12827.0,12800.0,300,2021,3,2,2,18688
13654.0,13654.0,13654.0,13700.0,900,2021,3,3,3,18689
13654.0,13654.0,13654.0,13700.0,0,2021,3,4,4,18690
