low,high,open,close,volume,year,month,day,weekday,days
4554.0,4554.0,4554.0,4600.0,64300,2015,6,18,4,16604
4975.0,4975.0,4975.0,5000.0,201000,2015,6,19,5,16605
5473.0,5473.0,5473.0,5500.0,288000,2015,6,22,1,16608
6009.0,6009.0,6009.0,6000.0,147500,2015,6,23,2,16609
5435.0,6583.0,6583.0,5700.0,372900,2015,6,24,3,16610
5167.0,5703.0,5664.0,5300.0,210600,2015,6,25,4,16611
4746.0,4975.0,4746.0,4800.0,89200,2015,6,26,5,16612
4325.0,5243.0,4325.0,4500.0,239900,2015,6,29,1,16615
4095.0,4286.0,4095.0,4100.0,249800,2015,6,30,2,16616
4095.0,4248.0,4172.0,4100.0,177300,2015,7,1,3,16617
3827.0,4248.0,3827.0,4000.0,190700,2015,7,2,4,16618
4019.0,4133.0,4133.0,4100.0,205100,2015,7,3,5,16619
3942.0,4095.0,4095.0,4000.0,253400,2015,7,6,1,16622
4019.0,4172.0,4019.0,4100.0,151500,2015,7,7,2,16623
3980.0,4172.0,4133.0,4100.0,190400,2015,7,8,3,16624
3712.0,4057.0,4057.0,3800.0,172800,2015,7,9,4,16625
3751.0,3942.0,3827.0,3800.0,118800,2015,7,10,5,16626
3751.0,3904.0,3865.0,3800.0,126500,2015,7,13,1,16629
3598.0,3789.0,3751.0,3600.0,123900,2015,7,14,2,16630
3559.0,3712.0,3636.0,3600.0,133700,2015,7,15,3,16631
3636.0,3674.0,3636.0,3600.0,93800,2015,7,16,4,16632
3636.0,3712.0,3636.0,3700.0,94700,2015,7,17,5,16633
3559.0,3712.0,3674.0,3600.0,66600,2015,7,20,1,16636
3521.0,3598.0,3598.0,3500.0,73200,2015,7,21,2,16637
3521.0,3636.0,3559.0,3500.0,87400,2015,7,22,3,16638
3521.0,3598.0,3521.0,3500.0,75200,2015,7,23,4,16639
3444.0,3521.0,3521.0,3500.0,74500,2015,7,24,5,16640
3444.0,3559.0,3483.0,3500.0,67200,2015,7,27,1,16643
3444.0,3598.0,3521.0,3500.0,78200,2015,7,28,2,16644
3483.0,3598.0,3483.0,3500.0,69400,2015,7,29,3,16645
3521.0,3598.0,3521.0,3500.0,41600,2015,7,30,4,16646
3444.0,3636.0,3521.0,3500.0,34300,2015,7,31,5,16647
3406.0,3521.0,3521.0,3500.0,34900,2015,8,3,1,16650
3483.0,3636.0,3521.0,3500.0,69000,2015,8,4,2,16651
3521.0,3674.0,3521.0,3600.0,71300,2015,8,5,3,16652
3559.0,3598.0,3559.0,3600.0,71100,2015,8,6,4,16653
3598.0,3751.0,3598.0,3600.0,76800,2015,8,7,5,16654
3559.0,3598.0,3598.0,3600.0,56600,2015,8,10,1,16657
3598.0,3751.0,3598.0,3600.0,72900,2015,8,11,2,16658
3598.0,3751.0,3636.0,3600.0,86300,2015,8,12,3,16659
3559.0,3712.0,3636.0,3600.0,89300,2015,8,13,4,16660
3559.0,3712.0,3598.0,3600.0,96200,2015,8,14,5,16661
3444.0,3636.0,3598.0,3500.0,92300,2015,8,17,1,16664
3483.0,3598.0,3483.0,3500.0,89800,2015,8,18,2,16665
3483.0,4019.0,3521.0,3500.0,104600,2015,8,19,3,16666
3444.0,3712.0,3559.0,3500.0,155000,2015,8,20,4,16667
3406.0,3521.0,3521.0,3500.0,104000,2015,8,21,5,16668
3444.0,3483.0,3483.0,3500.0,95200,2015,8,24,1,16671
3368.0,3444.0,3444.0,3400.0,161700,2015,8,25,2,16672
3368.0,3559.0,3406.0,3500.0,169300,2015,8,26,3,16673
3483.0,3559.0,3521.0,3500.0,119400,2015,8,27,4,16674
3521.0,3598.0,3521.0,3500.0,113600,2015,8,28,5,16675
3483.0,3521.0,3521.0,3500.0,115700,2015,8,31,1,16678
3521.0,3636.0,3521.0,3600.0,92900,2015,9,1,2,16679
3521.0,3559.0,3559.0,3500.0,63100,2015,9,3,4,16681
3483.0,3559.0,3521.0,3500.0,69800,2015,9,4,5,16682
3483.0,3483.0,3483.0,3500.0,72500,2015,9,7,1,16685
3444.0,3559.0,3483.0,3500.0,77900,2015,9,8,2,16686
3444.0,3483.0,3444.0,3400.0,71900,2015,9,9,3,16687
