low,high,open,close,volume,year,month,day,weekday,days
1725.0,1785.0,0.0,1725.0,308,1980,3,17,1,3728
1905.0,1965.0,0.0,1905.0,303,1980,3,18,2,3729
1860.0,1920.0,0.0,1860.0,128,1980,3,19,3,3730
1860.0,1920.0,0.0,1860.0,43,1980,3,20,4,3731
1830.0,1890.0,0.0,1830.0,238,1980,3,21,5,3732
1800.0,1860.0,0.0,1800.0,103,1980,3,24,1,3735
1785.0,1845.0,0.0,1785.0,52,1980,3,25,2,3736
1740.0,1800.0,0.0,1740.0,127,1980,3,26,3,3737
1365.0,1425.0,0.0,1365.0,292,1980,3,27,4,3738
1515.0,1575.0,0.0,1515.0,492,1980,3,28,5,3739
1575.0,1635.0,0.0,1575.0,258,1980,3,31,1,3742
1830.0,1890.0,0.0,1830.0,433,1980,4,1,2,3743
1890.0,1950.0,0.0,1890.0,237,1980,4,2,3,3744
1890.0,1950.0,0.0,1890.0,228,1980,4,3,4,3745
1710.0,1770.0,0.0,1710.0,237,1980,4,7,1,3749
1680.0,1740.0,0.0,1680.0,72,1980,4,8,2,3750
1665.0,1725.0,0.0,1665.0,32,1980,4,9,3,3751
1800.0,1860.0,0.0,1800.0,348,1980,4,10,4,3752
1770.0,1830.0,0.0,1770.0,250,1980,4,11,5,3753
1695.0,1755.0,0.0,1695.0,238,1980,4,14,1,3756
1650.0,1710.0,0.0,1650.0,232,1980,4,15,2,3757
1590.0,1650.0,0.0,1590.0,80,1980,4,16,3,3758
1560.0,1620.0,0.0,1560.0,142,1980,4,17,4,3759
1267.5,1327.5,0.0,1267.5,997,1980,4,18,5,3760
945.0,1005.0,0.0,945.0,1158,1980,4,21,1,3763
1020.0,1080.0,0.0,1020.0,1407,1980,4,22,2,3764
1020.0,1080.0,0.0,1020.0,442,1980,4,23,3,3765
930.0,990.0,0.0,930.0,550,1980,4,24,4,3766
960.0,1020.0,0.0,960.0,633,1980,4,25,5,3767
900.0,960.0,0.0,900.0,283,1980,4,28,1,3770
855.0,915.0,0.0,855.0,345,1980,4,29,2,3771
945.0,1005.0,0.0,945.0,462,1980,4,30,3,3772
975.0,1035.0,0.0,975.0,303,1980,5,1,4,3773
1110.0,1170.0,0.0,1110.0,1485,1980,5,2,5,3774
1035.0,1095.0,0.0,1035.0,468,1980,5,5,1,3777
1005.0,1065.0,0.0,1005.0,242,1980,5,6,2,3778
930.0,990.0,0.0,930.0,270,1980,5,7,3,3779
960.0,1020.0,0.0,960.0,160,1980,5,8,4,3780
930.0,990.0,0.0,930.0,138,1980,5,9,5,3781
870.0,930.0,0.0,870.0,147,1980,5,12,1,3784
885.0,945.0,0.0,885.0,278,1980,5,13,2,3785
945.0,1005.0,0.0,945.0,387,1980,5,14,3,3786
900.0,960.0,0.0,900.0,190,1980,5,15,4,3787
915.0,975.0,0.0,915.0,47,1980,5,16,5,3788
885.0,945.0,0.0,885.0,55,1980,5,19,1,3791
885.0,945.0,0.0,885.0,68,1980,5,20,2,3792
900.0,960.0,0.0,900.0,107,1980,5,21,3,3793
870.0,930.0,0.0,870.0,50,1980,5,22,4,3794
840.0,900.0,0.0,840.0,140,1980,5,23,5,3795
810.0,870.0,0.0,810.0,160,1980,5,27,2,3799
825.0,885.0,0.0,825.0,343,1980,5,28,3,3800
855.0,915.0,0.0,855.0,263,1980,5,29,4,3801
810.0,870.0,0.0,810.0,193,1980,5,30,5,3802
855.0,915.0,0.0,855.0,185,1980,6,2,1,3805
900.0,960.0,0.0,900.0,277,1980,6,3,2,3806
900.0,960.0,0.0,900.0,185,1980,6,4,3,3807
945.0,1005.0,0.0,945.0,438,1980,6,5,4,3808
930.0,990.0,0.0,930.0,180,1980,6,6,5,3809
930.0,990.0,0.0,930.0,18,1980,6,9,1,3812
915.0,975.0,0.0,915.0,82,1980,6,10,2,3813
900.0,960.0,0.0,900.0,55,1980,6,11,3,3814
885.0,945.0,0.0,885.0,82,1980,6,12,4,3815
825.0,885.0,0.0,825.0,250,1980,6,13,5,3816
825.0,885.0,0.0,825.0,27,1980,6,16,1,3819
870.0,930.0,0.0,870.0,95,1980,6,17,2,3820
930.0,990.0,0.0,930.0,360,1980,6,18,3,3821
915.0,975.0,0.0,915.0,502,1980,6,19,4,3822
960.0,1020.0,0.0,960.0,403,1980,6,20,5,3823
945.0,1005.0,0.0,945.0,108,1980,6,23,1,3826
960.0,1020.0,0.0,960.0,110,1980,6,24,2,3827
930.0,990.0,0.0,930.0,67,1980,6,25,3,3828
915.0,975.0,0.0,915.0,52,1980,6,26,4,3829
915.0,975.0,0.0,915.0,37,1980,6,27,5,3830
870.0,930.0,0.0,870.0,88,1980,6,30,1,3833
870.0,930.0,0.0,870.0,215,1980,7,1,2,3834
930.0,990.0,0.0,930.0,447,1980,7,2,3,3835
930.0,990.0,0.0,930.0,223,1980,7,3,4,3836
930.0,945.0,0.0,930.0,247,1980,7,7,1,3840
975.0,990.0,0.0,975.0,392,1980,7,8,2,3841
1020.0,1035.0,0.0,1020.0,537,1980,7,9,3,3842
1065.0,1080.0,0.0,1065.0,912,1980,7,10,4,3843
1050.0,1080.0,0.0,1050.0,210,1980,7,11,5,3844
1020.0,1050.0,0.0,1020.0,358,1980,7,14,1,3847
1035.0,1065.0,0.0,1035.0,433,1980,7,15,2,3848
1020.0,1050.0,0.0,1020.0,105,1980,7,16,3,3849
990.0,1020.0,0.0,990.0,145,1980,7,17,4,3850
975.0,990.0,0.0,975.0,107,1980,7,18,5,3851
975.0,990.0,0.0,975.0,20,1980,7,21,1,3854
945.0,975.0,0.0,945.0,142,1980,7,22,2,3855
945.0,975.0,0.0,945.0,45,1980,7,23,3,3856
960.0,990.0,0.0,960.0,175,1980,7,24,4,3857
960.0,990.0,0.0,960.0,35,1980,7,25,5,3858
960.0,990.0,0.0,960.0,33,1980,7,28,1,3861
960.0,975.0,0.0,960.0,87,1980,7,29,2,3862
960.0,990.0,0.0,960.0,105,1980,7,30,3,3863
945.0,960.0,0.0,945.0,63,1980,7,31,4,3864
945.0,975.0,0.0,945.0,40,1980,8,1,5,3865
945.0,975.0,0.0,945.0,43,1980,8,4,1,3868
945.0,960.0,0.0,945.0,53,1980,8,5,2,3869
915.0,945.0,0.0,915.0,165,1980,8,6,3,3870
930.0,945.0,0.0,930.0,155,1980,8,7,4,3871
915.0,930.0,0.0,915.0,90,1980,8,8,5,3872
915.0,930.0,0.0,915.0,13,1980,8,11,1,3875
900.0,930.0,0.0,900.0,108,1980,8,12,2,3876
840.0,855.0,0.0,840.0,413,1980,8,13,3,3877
840.0,855.0,0.0,840.0,38,1980,8,14,4,3878
855.0,885.0,0.0,855.0,100,1980,8,15,5,3879
840.0,855.0,0.0,840.0,47,1980,8,18,1,3882
825.0,855.0,0.0,825.0,120,1980,8,19,2,3883
825.0,840.0,0.0,825.0,208,1980,8,20,3,3884
840.0,855.0,0.0,840.0,98,1980,8,21,4,3885
870.0,885.0,0.0,870.0,150,1980,8,22,5,3886
900.0,915.0,0.0,900.0,93,1980,8,25,1,3889
900.0,915.0,0.0,900.0,107,1980,8,26,2,3890
900.0,915.0,0.0,900.0,47,1980,8,27,3,3891
900.0,915.0,0.0,900.0,18,1980,8,28,4,3892
900.0,930.0,0.0,900.0,102,1980,8,29,5,3893
945.0,960.0,0.0,945.0,158,1980,9,2,2,3897
1020.0,1035.0,0.0,1020.0,272,1980,9,3,3,3898
990.0,1005.0,0.0,990.0,287,1980,9,4,4,3899
960.0,990.0,0.0,960.0,73,1980,9,5,5,3900
930.0,960.0,0.0,930.0,178,1980,9,8,1,3903
975.0,990.0,0.0,975.0,85,1980,9,9,2,3904
960.0,1005.0,0.0,960.0,50,1980,9,10,3,3905
960.0,990.0,0.0,960.0,58,1980,9,11,4,3906
975.0,1005.0,0.0,975.0,127,1980,9,12,5,3907
960.0,975.0,0.0,960.0,130,1980,9,15,1,3910
930.0,960.0,0.0,930.0,82,1980,9,16,2,3911
945.0,960.0,0.0,945.0,88,1980,9,17,3,3912
885.0,915.0,0.0,885.0,188,1980,9,18,4,3913
930.0,960.0,0.0,930.0,135,1980,9,19,5,3914
960.0,990.0,0.0,960.0,128,1980,9,22,1,3917
960.0,990.0,0.0,960.0,115,1980,9,23,2,3918
1005.0,1020.0,0.0,1005.0,207,1980,9,24,3,3919
990.0,1005.0,0.0,990.0,97,1980,9,25,4,3920
975.0,990.0,0.0,975.0,175,1980,9,26,5,3921
930.0,960.0,0.0,930.0,93,1980,9,29,1,3924
945.0,960.0,0.0,945.0,65,1980,9,30,2,3925
885.0,900.0,0.0,885.0,68,1980,10,1,3,3926
855.0,885.0,0.0,855.0,55,1980,10,2,4,3927
855.0,870.0,0.0,855.0,167,1980,10,3,5,3928
855.0,870.0,0.0,855.0,62,1980,10,6,1,3931
855.0,870.0,0.0,855.0,62,1980,10,7,2,3932
855.0,870.0,0.0,855.0,65,1980,10,8,3,3933
855.0,870.0,0.0,855.0,117,1980,10,9,4,3934
840.0,870.0,0.0,840.0,22,1980,10,10,5,3935
825.0,855.0,0.0,825.0,50,1980,10,13,1,3938
810.0,840.0,0.0,810.0,135,1980,10,14,2,3939
825.0,840.0,0.0,825.0,63,1980,10,15,3,3940
735.0,765.0,0.0,735.0,562,1980,10,16,4,3941
765.0,795.0,0.0,765.0,160,1980,10,17,5,3942
780.0,795.0,0.0,780.0,25,1980,10,20,1,3945
750.0,780.0,0.0,750.0,102,1980,10,21,2,3946
750.0,780.0,0.0,750.0,25,1980,10,22,3,3947
750.0,765.0,0.0,750.0,108,1980,10,23,4,3948
735.0,765.0,0.0,735.0,33,1980,10,24,5,3949
735.0,765.0,0.0,735.0,35,1980,10,27,1,3952
735.0,765.0,0.0,735.0,85,1980,10,28,2,3953
735.0,765.0,0.0,735.0,50,1980,10,29,3,3954
735.0,765.0,0.0,735.0,68,1980,10,30,4,3955
735.0,765.0,0.0,735.0,40,1980,10,31,5,3956
735.0,750.0,0.0,735.0,122,1980,11,3,1,3959
720.0,750.0,0.0,720.0,38,1980,11,5,3,3961
750.0,765.0,0.0,750.0,350,1980,11,6,4,3962
780.0,810.0,0.0,780.0,558,1980,11,7,5,3963
840.0,870.0,0.0,840.0,347,1980,11,10,1,3966
840.0,870.0,0.0,840.0,82,1980,11,11,2,3967
810.0,855.0,0.0,810.0,10,1980,11,12,3,3968
810.0,840.0,0.0,810.0,72,1980,11,13,4,3969
795.0,825.0,0.0,795.0,93,1980,11,14,5,3970
765.0,795.0,0.0,765.0,70,1980,11,17,1,3973
765.0,780.0,0.0,765.0,25,1980,11,18,2,3974
750.0,780.0,0.0,750.0,55,1980,11,19,3,3975
735.0,765.0,0.0,735.0,180,1980,11,20,4,3976
720.0,750.0,0.0,720.0,90,1980,11,21,5,3977
870.0,900.0,0.0,870.0,588,1980,11,24,1,3980
870.0,885.0,0.0,870.0,545,1980,11,25,2,3981
900.0,915.0,0.0,900.0,442,1980,11,26,3,3982
900.0,945.0,0.0,900.0,280,1980,11,28,5,3984
915.0,930.0,0.0,915.0,317,1980,12,1,1,3987
915.0,945.0,0.0,915.0,170,1980,12,2,2,3988
960.0,990.0,0.0,960.0,383,1980,12,3,3,3989
945.0,975.0,0.0,945.0,225,1980,12,4,4,3990
915.0,960.0,0.0,915.0,153,1980,12,5,5,3991
840.0,855.0,0.0,840.0,160,1980,12,8,1,3994
855.0,870.0,0.0,855.0,255,1980,12,9,2,3995
855.0,870.0,0.0,855.0,85,1980,12,10,3,3996
