low,high,open,close,volume,year,month,day,weekday,days
11202.0,9158.0,11202.0,9234.0,11000,2008,12,15,1,14228
9688.0,8629.0,9688.0,8553.0,7400,2008,12,16,2,14229
8099.0,8099.0,8099.0,8099.0,19600,2008,12,17,3,14230
7569.0,8629.0,7569.0,8250.0,25000,2008,12,18,4,14231
8023.0,8326.0,8326.0,8023.0,3600,2008,12,19,5,14232
8326.0,8629.0,8629.0,8326.0,5100,2008,12,22,1,14235
7947.0,8629.0,8629.0,7947.0,2600,2008,12,23,2,14236
7569.0,8023.0,7569.0,7645.0,7400,2008,12,24,3,14237
7569.0,7645.0,7645.0,7569.0,3000,2008,12,25,4,14238
7191.0,7872.0,7266.0,7569.0,5200,2008,12,26,5,14239
7569.0,8099.0,8099.0,7569.0,3300,2008,12,29,1,14242
8402.0,8402.0,8402.0,8402.0,3000,2008,12,30,2,14243
8931.0,8931.0,8931.0,8931.0,2600,2008,12,31,3,14244
8931.0,9537.0,9537.0,9461.0,68800,2009,1,2,5,14246
9083.0,9915.0,9840.0,9915.0,30800,2009,1,5,1,14249
9386.0,10218.0,9915.0,10218.0,27600,2009,1,6,2,14250
9234.0,9613.0,9461.0,9386.0,22100,2009,1,7,3,14251
8931.0,9083.0,9083.0,8931.0,2700,2009,1,8,4,14252
8402.0,8553.0,8553.0,8402.0,7500,2009,1,9,5,14253
7947.0,8326.0,7947.0,8326.0,900,2009,1,12,1,14256
7796.0,7947.0,7796.0,7947.0,2200,2009,1,13,2,14257
7493.0,7645.0,7645.0,7645.0,10800,2009,1,14,3,14258
7569.0,7720.0,7569.0,7569.0,7500,2009,1,15,4,14259
7569.0,7720.0,7720.0,7569.0,1500,2009,1,16,5,14260
7418.0,7418.0,7418.0,7418.0,2500,2009,1,19,1,14263
6963.0,7191.0,7191.0,7191.0,5200,2009,1,20,2,14264
6585.0,7418.0,6736.0,7418.0,5100,2009,1,21,3,14265
6963.0,7039.0,6963.0,6963.0,1200,2009,1,22,4,14266
6509.0,7342.0,6509.0,7342.0,1100,2009,1,23,5,14267
6736.0,6812.0,6736.0,6812.0,6300,2009,2,2,1,14277
6434.0,6736.0,6736.0,6661.0,3300,2009,2,3,2,14278
6812.0,6963.0,6812.0,6963.0,200,2009,2,4,3,14279
7115.0,7115.0,7115.0,7115.0,12800,2009,2,5,4,14280
7115.0,7569.0,7493.0,7569.0,1800,2009,2,6,5,14281
7418.0,7872.0,7872.0,7796.0,3000,2009,2,9,1,14284
7418.0,7796.0,7569.0,7418.0,1000,2009,2,10,2,14285
7266.0,7872.0,7872.0,7720.0,13000,2009,2,11,3,14286
8099.0,8099.0,8099.0,8099.0,100,2009,2,12,4,14287
7569.0,8099.0,7569.0,7569.0,2300,2009,2,13,5,14288
7342.0,7342.0,7342.0,7342.0,2200,2009,2,16,1,14291
7342.0,7342.0,7342.0,7342.0,5000,2009,2,17,2,14292
6888.0,6888.0,6888.0,6888.0,1700,2009,2,18,3,14293
6812.0,7342.0,7342.0,6812.0,1500,2009,2,19,4,14294
6963.0,6963.0,6963.0,6963.0,0,2009,2,20,5,14295
6509.0,6812.0,6661.0,6509.0,2500,2009,2,23,1,14298
6131.0,6207.0,6131.0,6207.0,700,2009,2,24,2,14299
6434.0,6585.0,6585.0,6585.0,800,2009,2,25,3,14300
6736.0,6963.0,6963.0,6736.0,300,2009,2,26,4,14301
6358.0,6585.0,6358.0,6585.0,1200,2009,2,27,5,14302
6131.0,7039.0,6131.0,7039.0,400,2009,3,2,1,14305
