low,high,open,close,volume,year,month,day,weekday,days
438.0,440.0,438.0,438.0,85181,1996,4,1,1,9587
436.0,440.0,438.0,438.0,19256,1996,4,2,2,9588
436.0,438.0,436.0,436.0,9725,1996,4,3,3,9589
424.0,434.0,434.0,428.0,11088,1996,4,4,4,9590
418.0,424.0,420.0,424.0,4294,1996,4,8,1,9594
422.0,426.0,424.0,422.0,5244,1996,4,9,2,9595
426.0,430.0,428.0,426.0,11744,1996,4,10,3,9596
426.0,430.0,430.0,428.0,20313,1996,4,11,4,9597
428.0,430.0,430.0,430.0,1838,1996,4,12,5,9598
432.0,436.0,434.0,434.0,1238,1996,4,15,1,9601
440.0,442.0,440.0,442.0,1888,1996,4,16,2,9602
438.0,440.0,440.0,440.0,800,1996,4,17,3,9603
440.0,444.0,440.0,442.0,756,1996,4,18,4,9604
452.0,454.0,452.0,452.0,1538,1996,4,19,5,9605
454.0,456.0,456.0,454.0,931,1996,4,22,1,9608
452.0,456.0,456.0,452.0,938,1996,4,23,2,9609
444.0,450.0,450.0,444.0,931,1996,4,24,3,9610
444.0,450.0,448.0,446.0,994,1996,4,25,4,9611
442.0,448.0,448.0,442.0,11719,1996,4,26,5,9612
444.0,446.0,446.0,444.0,894,1996,4,29,1,9615
438.0,442.0,442.0,438.0,744,1996,4,30,2,9616
436.0,440.25,440.0,440.25,5819,1996,5,1,3,9617
428.0,432.0,432.0,428.0,975,1996,5,2,4,9618
430.0,432.0,430.0,432.0,1463,1996,5,3,5,9619
434.0,438.0,438.0,434.0,1094,1996,5,6,1,9622
440.0,442.0,442.0,440.0,925,1996,5,7,2,9623
440.0,442.0,442.0,440.0,1500,1996,5,8,3,9624
444.0,446.0,444.0,446.0,1431,1996,5,9,4,9625
448.0,450.0,448.0,448.0,925,1996,5,10,5,9626
448.0,448.0,448.0,448.0,444,1996,5,13,1,9629
452.0,458.0,452.0,458.0,1588,1996,5,14,2,9630
462.0,466.0,462.0,464.0,1613,1996,5,15,3,9631
462.0,464.0,462.0,462.0,381,1996,5,16,4,9632
466.0,470.0,466.0,468.0,3269,1996,5,17,5,9633
472.0,476.0,472.0,476.0,306,1996,5,20,1,9636
470.0,472.0,472.0,472.0,2056,1996,5,21,2,9637
458.0,464.0,464.0,458.0,481,1996,5,22,3,9638
462.0,464.0,462.0,462.0,1325,1996,5,23,4,9639
446.0,450.0,448.0,450.0,137256,1996,5,24,5,9640
446.0,450.0,450.0,446.0,3356,1996,5,28,2,9644
444.0,446.0,446.0,444.0,200,1996,5,29,3,9645
442.0,446.5,444.0,444.0,7225,1996,5,30,4,9646
446.0,450.0,448.0,448.0,3500,1996,5,31,5,9647
448.0,452.0,452.0,450.0,5281,1996,6,3,1,9650
452.0,454.0,452.0,452.0,513,1996,6,4,2,9651
456.0,458.0,456.0,458.0,500,1996,6,5,3,9652
456.0,458.0,458.0,456.0,169,1996,6,6,4,9653
448.0,452.0,452.0,450.0,256,1996,6,7,5,9654
452.0,456.0,454.0,452.0,656,1996,6,10,1,9657
450.0,454.0,454.0,450.0,488,1996,6,11,2,9658
450.0,450.0,450.0,450.0,606,1996,6,12,3,9659
450.0,450.0,450.0,450.0,6,1996,6,13,4,9660
444.0,448.0,448.0,444.0,169,1996,6,14,5,9661
442.0,446.0,446.0,442.0,7638,1996,6,17,1,9664
446.0,448.0,448.0,446.0,619,1996,6,18,2,9665
442.0,448.0,444.0,442.0,106,1996,6,19,3,9666
444.0,448.0,444.0,444.0,188,1996,6,20,4,9667
442.0,444.0,444.0,442.0,138,1996,6,21,5,9668
440.0,442.0,440.0,442.0,1588,1996,6,24,1,9671
440.0,440.0,440.0,440.0,25,1996,6,25,2,9672
438.0,440.0,440.0,438.0,69,1996,6,26,3,9673
436.0,440.0,436.0,440.0,169,1996,6,27,4,9674
438.0,444.0,438.0,444.0,988,1996,6,28,5,9675
440.0,446.0,446.0,442.0,150,1996,7,1,1,9678
442.0,446.0,446.0,442.0,88,1996,7,2,2,9679
440.0,440.0,440.0,440.0,38,1996,7,3,3,9680
440.0,440.0,440.0,440.0,25,1996,7,5,5,9682
436.0,436.0,436.0,436.0,31,1996,7,8,1,9685
430.0,436.0,436.0,434.0,931,1996,7,9,2,9686
430.0,434.0,434.0,432.0,219,1996,7,10,3,9687
428.0,430.0,430.0,428.0,19,1996,7,11,4,9688
422.0,430.0,428.0,422.0,1663,1996,7,12,5,9689
420.0,424.0,424.0,420.0,1056,1996,7,15,1,9692
416.0,420.0,420.0,416.0,938,1996,7,16,2,9693
420.0,420.0,420.0,420.0,3400,1996,7,17,3,9694
420.0,422.0,420.0,422.0,94,1996,7,18,4,9695
428.0,428.0,428.0,428.0,256,1996,7,19,5,9696
426.0,426.0,426.0,426.0,6,1996,7,22,1,9699
426.0,426.0,426.0,426.0,313,1996,7,23,2,9700
416.0,422.0,422.0,416.0,1738,1996,7,24,3,9701
420.0,422.0,420.0,420.0,50,1996,7,25,4,9702
416.0,418.0,418.0,416.0,81,1996,7,26,5,9703
416.0,416.0,416.0,416.0,0,1996,7,29,1,9706
420.0,420.0,420.0,420.0,31,1996,7,30,2,9707
422.0,424.0,422.0,424.0,325,1996,7,31,3,9708
426.0,426.0,426.0,426.0,31,1996,8,1,4,9709
432.0,432.0,432.0,432.0,219,1996,8,2,5,9710
426.0,430.0,430.0,426.0,88,1996,8,5,1,9713
420.0,422.0,420.0,422.0,4475,1996,8,6,2,9714
422.0,422.0,422.0,422.0,613,1996,8,7,3,9715
422.0,422.0,422.0,422.0,38,1996,8,8,4,9716
422.0,422.0,422.0,422.0,0,1996,8,9,5,9717
422.0,424.0,424.0,422.0,113,1996,8,12,1,9720
422.0,422.0,422.0,422.0,25,1996,8,13,2,9721
422.0,422.0,422.0,422.0,656,1996,8,14,3,9722
428.0,428.0,428.0,428.0,81,1996,8,15,4,9723
426.0,426.0,426.0,426.0,6250,1996,8,16,5,9724
422.0,424.0,424.0,422.0,50,1996,8,19,1,9727
420.0,426.0,420.0,426.0,7825,1996,8,20,2,9728
424.0,426.0,426.0,424.0,5469,1996,8,21,3,9729
424.0,426.0,424.0,426.0,2644,1996,8,22,4,9730
424.0,424.0,424.0,424.0,206,1996,8,23,5,9731
426.0,426.0,426.0,426.0,125,1996,8,26,1,9734
428.0,428.0,428.0,428.0,425,1996,8,27,2,9735
426.0,426.0,426.0,426.0,394,1996,8,28,3,9736
420.0,422.0,422.0,420.0,56,1996,8,29,4,9737
420.0,422.0,420.0,422.0,319,1996,8,30,5,9738
422.0,424.0,422.0,422.0,481,1996,9,3,2,9742
426.0,428.0,426.0,428.0,50,1996,9,4,3,9743
430.0,430.0,430.0,430.0,63,1996,9,5,4,9744
430.0,430.0,430.0,430.0,94,1996,9,6,5,9745
440.0,442.0,440.0,442.0,488,1996,9,9,1,9748
442.0,444.0,444.0,442.0,825,1996,9,10,2,9749
438.0,440.0,438.0,440.0,113,1996,9,11,3,9750
440.0,442.0,440.0,442.0,119,1996,9,12,4,9751
444.0,444.0,444.0,444.0,188,1996,9,13,5,9752
444.0,444.0,444.0,444.0,1063,1996,9,16,1,9755
440.0,442.0,442.0,442.0,63,1996,9,17,2,9756
