low,high,open,close,volume,year,month,day,weekday,days
10150.0,13776.0,12472.0,12495.0,318800,2007,12,28,5,13875
12355.0,12995.0,12495.0,12904.0,95400,2008,1,2,3,13880
11492.0,13444.0,14085.0,12381.0,144300,2008,1,3,4,13881
11879.0,12917.0,12722.0,12040.0,97600,2008,1,4,5,13882
10857.0,12474.0,11813.0,10973.0,89700,2008,1,7,1,13885
10775.0,11651.0,10904.0,11359.0,57400,2008,1,8,2,13886
11060.0,11521.0,11132.0,11313.0,26500,2008,1,9,3,13887
10979.0,11908.0,11132.0,11336.0,31800,2008,1,10,4,13888
10617.0,11280.0,11132.0,10904.0,55300,2008,1,11,5,13889
10134.0,10809.0,10904.0,10337.0,35000,2008,1,14,1,13892
9382.0,9632.0,9610.0,9428.0,37400,2008,1,15,2,13893
10038.0,10474.0,9996.0,10382.0,24400,2008,1,16,3,13894
9938.0,11122.0,11291.0,10564.0,35100,2008,1,17,4,13895
10017.0,10928.0,10018.0,10564.0,47800,2008,1,18,5,13896
10132.0,10564.0,10541.0,10337.0,19800,2008,1,21,1,13899
9744.0,10065.0,9996.0,9973.0,27700,2008,1,22,2,13900
9152.0,10022.0,9950.0,9541.0,44500,2008,1,23,3,13901
9158.0,10101.0,10223.0,9428.0,25600,2008,1,24,4,13902
8867.0,9421.0,9564.0,9155.0,32400,2008,1,25,5,13903
8588.0,9334.0,9360.0,8678.0,18600,2008,1,28,1,13906
9036.0,9708.0,8860.0,9314.0,45200,2008,1,29,2,13907
9769.0,10041.0,9973.0,10041.0,43200,2008,1,30,3,13908
9563.0,11020.0,10904.0,10223.0,30100,2008,1,31,4,13909
10083.0,11000.0,10405.0,10450.0,51300,2008,2,1,5,13910
9241.0,10957.0,10904.0,9769.0,17800,2008,2,12,2,13921
9338.0,9563.0,9655.0,9451.0,26400,2008,2,13,3,13922
9361.0,9744.0,9428.0,9541.0,24200,2008,2,14,4,13923
9404.0,9724.0,9655.0,9541.0,14200,2008,2,15,5,13924
8542.0,9314.0,8860.0,8860.0,22900,2008,2,18,1,13927
8363.0,9154.0,8633.0,8860.0,24000,2008,2,19,2,13928
8339.0,8790.0,8860.0,8519.0,25000,2008,2,20,3,13929
7724.0,7928.0,7951.0,7747.0,35300,2008,2,21,4,13930
7387.0,8418.0,6997.0,7747.0,21400,2008,2,22,5,13931
7338.0,8065.0,7338.0,8065.0,18900,2008,2,25,1,13934
7057.0,8385.0,8701.0,7383.0,13400,2008,2,26,2,13935
6970.0,7842.0,7292.0,7406.0,12200,2008,2,27,3,13936
