low,high,open,close,volume,year,month,day,weekday,days
1120.0,1180.0,1120.0,1120.0,2358,1997,2,4,2,9896
1120.0,1160.0,1160.0,1120.0,521,1997,2,5,3,9897
1120.0,1140.0,1140.0,1140.0,138,1997,2,6,4,9898
1120.0,1140.0,1120.0,1140.0,89,1997,2,7,5,9899
1120.0,1140.0,1140.0,1125.0,49,1997,2,10,1,9902
1120.0,1140.0,1140.0,1120.0,59,1997,2,11,2,9903
1120.0,1140.0,1140.0,1120.0,30,1997,2,12,3,9904
1120.0,1140.0,1140.0,1120.0,50,1997,2,13,4,9905
1120.0,1140.0,1140.0,1140.0,16,1997,2,14,5,9906
1120.0,1140.0,1120.0,1120.0,281,1997,2,18,2,9910
1120.0,1140.0,1120.0,1120.0,101,1997,2,19,3,9911
1120.0,1140.0,1120.0,1120.0,239,1997,2,20,4,9912
1120.0,1140.0,1120.0,1140.0,481,1997,2,21,5,9913
1120.0,1140.0,1120.0,1140.0,76,1997,2,24,1,9916
1120.0,1140.0,1120.0,1120.0,20,1997,2,25,2,9917
1120.0,1140.0,1140.0,1140.0,264,1997,2,26,3,9918
1120.0,1140.0,1140.0,1120.0,258,1997,2,27,4,9919
1120.0,1120.0,1120.0,1120.0,14,1997,2,28,5,9920
1120.0,1140.0,1120.0,1120.0,65,1997,3,3,1,9923
1120.0,1200.0,1140.0,1200.0,151,1997,3,4,2,9924
1140.0,1220.0,1140.0,1140.0,379,1997,3,5,3,9925
1080.0,1140.0,1140.0,1080.0,364,1997,3,6,4,9926
1040.0,1120.0,1080.0,1040.0,111,1997,3,7,5,9927
840.0,1060.0,1060.0,1000.0,306,1997,3,10,1,9930
940.0,980.0,960.0,950.0,123,1997,3,11,2,9931
940.0,980.0,940.0,940.0,21,1997,3,12,3,9932
940.0,980.0,980.0,940.0,10,1997,3,13,4,9933
960.0,980.0,980.0,980.0,21,1997,3,14,5,9934
940.0,980.0,980.0,940.0,31,1997,3,17,1,9937
960.0,980.0,980.0,960.0,23,1997,3,18,2,9938
940.0,960.0,960.0,940.0,218,1997,3,19,3,9939
980.0,980.0,980.0,980.0,3,1997,3,20,4,9940
980.0,980.0,980.0,980.0,31,1997,3,21,5,9941
940.0,980.0,940.0,980.0,16,1997,3,24,1,9944
940.0,980.0,980.0,960.0,21,1997,3,25,2,9945
940.0,960.0,940.0,960.0,3,1997,3,26,3,9946
940.0,960.0,940.0,940.0,84,1997,3,27,4,9947
920.0,960.0,960.0,920.0,62,1997,3,31,1,9951
900.0,960.0,960.0,920.0,35,1997,4,1,2,9952
920.0,960.0,920.0,920.0,26,1997,4,2,3,9953
900.0,920.0,920.0,900.0,18,1997,4,3,4,9954
900.0,900.0,900.0,900.0,3,1997,4,4,5,9955
900.0,900.0,900.0,900.0,0,1997,4,7,1,9958
900.0,900.0,900.0,900.0,0,1997,4,8,2,9959
900.0,900.0,900.0,900.0,5,1997,4,9,3,9960
900.0,900.0,900.0,900.0,10,1997,4,10,4,9961
800.0,900.0,900.0,860.0,66,1997,4,11,5,9962
800.0,860.0,860.0,840.0,33,1997,4,14,1,9965
840.0,840.0,840.0,840.0,28,1997,4,15,2,9966
780.0,800.0,800.0,780.0,54,1997,4,16,3,9967
780.0,820.0,780.0,820.0,11,1997,4,17,4,9968
780.0,780.0,780.0,780.0,9,1997,4,18,5,9969
780.0,780.0,780.0,780.0,13,1997,4,21,1,9972
800.0,820.0,820.0,800.0,8,1997,4,22,2,9973
620.0,800.0,780.0,620.0,282,1997,4,23,3,9974
620.0,640.0,640.0,620.0,14,1997,4,24,4,9975
640.0,640.0,640.0,640.0,78,1997,4,25,5,9976
640.0,640.0,640.0,640.0,4,1997,4,28,1,9979
580.0,640.0,580.0,620.0,23,1997,4,29,2,9980
580.0,640.0,640.0,640.0,23,1997,4,30,3,9981
580.0,580.0,580.0,580.0,6,1997,5,1,4,9982
580.0,640.0,600.0,640.0,23,1997,5,2,5,9983
560.0,640.0,640.0,580.0,486,1997,5,5,1,9986
580.0,620.0,620.0,600.0,133,1997,5,6,2,9987
620.0,620.0,620.0,620.0,9,1997,5,7,3,9988
580.0,600.0,600.0,580.0,161,1997,5,8,4,9989
580.0,620.0,620.0,600.0,5,1997,5,9,5,9990
580.0,620.0,620.0,600.0,60,1997,5,12,1,9993
600.0,600.0,600.0,600.0,5,1997,5,13,2,9994
600.0,600.0,600.0,600.0,52,1997,5,14,3,9995
610.0,660.0,660.0,620.0,116,1997,5,15,4,9996
620.0,700.0,680.0,660.0,389,1997,5,16,5,9997
640.0,660.0,660.0,640.0,313,1997,5,19,1,10000
640.0,660.0,660.0,660.0,258,1997,5,20,2,10001
640.0,700.0,700.0,680.0,118,1997,5,21,3,10002
660.0,700.0,700.0,680.0,111,1997,5,22,4,10003
640.0,680.0,680.0,680.0,63,1997,5,23,5,10004
660.0,680.0,680.0,660.0,103,1997,5,27,2,10008
660.0,680.0,680.0,680.0,88,1997,5,28,3,10009
640.0,680.0,680.0,640.0,95,1997,5,29,4,10010
640.0,680.0,680.0,680.0,31,1997,5,30,5,10011
680.0,680.0,680.0,680.0,1,1997,6,2,1,10014
640.0,680.0,680.0,640.0,10,1997,6,3,2,10015
640.0,680.0,640.0,640.0,9,1997,6,4,3,10016
640.0,700.0,680.0,700.0,91,1997,6,5,4,10017
720.0,910.0,720.0,880.0,164,1997,6,6,5,10018
840.0,880.0,880.0,880.0,38,1997,6,9,1,10021
840.0,880.0,880.0,880.0,18,1997,6,10,2,10022
840.0,880.0,840.0,880.0,11,1997,6,11,3,10023
860.0,860.0,860.0,860.0,6,1997,6,12,4,10024
840.0,900.0,860.0,900.0,30,1997,6,13,5,10025
840.0,900.0,900.0,880.0,164,1997,6,16,1,10028
840.0,880.0,840.0,840.0,53,1997,6,17,2,10029
820.0,880.0,840.0,880.0,23,1997,6,18,3,10030
840.0,880.0,860.0,880.0,859,1997,6,19,4,10031
860.0,1040.0,860.0,1000.0,193,1997,6,20,5,10032
1040.0,1360.0,1040.0,1260.0,638,1997,6,23,1,10035
1120.0,1240.0,1240.0,1200.0,199,1997,6,24,2,10036
1140.0,1200.0,1140.0,1140.0,85,1997,6,25,3,10037
1060.0,1180.0,1180.0,1100.0,101,1997,6,26,4,10038
1060.0,1080.0,1080.0,1080.0,41,1997,6,27,5,10039
1060.0,1140.0,1060.0,1140.0,626,1997,6,30,1,10042
1120.0,1140.0,1140.0,1140.0,183,1997,7,1,2,10043
1080.0,1140.0,1080.0,1120.0,133,1997,7,2,3,10044
1100.0,1140.0,1140.0,1100.0,269,1997,7,3,4,10045
1100.0,1140.0,1140.0,1120.0,988,1997,7,7,1,10049
1100.0,1140.0,1140.0,1140.0,886,1997,7,8,2,10050
1100.0,1140.0,1100.0,1120.0,339,1997,7,9,3,10051
1100.0,1140.0,1100.0,1120.0,867,1997,7,10,4,10052
1100.0,1140.0,1140.0,1140.0,34,1997,7,11,5,10053
1060.0,1140.0,1100.0,1060.0,228,1997,7,14,1,10056
1060.0,1100.0,1080.0,1100.0,163,1997,7,15,2,10057
1060.0,1120.0,1120.0,1120.0,826,1997,7,16,3,10058
1100.0,1120.0,1120.0,1100.0,38,1997,7,17,4,10059
1060.0,1120.0,1060.0,1120.0,128,1997,7,18,5,10060
1060.0,1120.0,1060.0,1120.0,138,1997,7,21,1,10063
1100.0,1120.0,1100.0,1120.0,50,1997,7,22,2,10064
1060.0,1120.0,1080.0,1100.0,161,1997,7,23,3,10065
1040.0,1080.0,1060.0,1060.0,123,1997,7,24,4,10066
1040.0,1080.0,1040.0,1080.0,80,1997,7,25,5,10067
1020.0,1080.0,1040.0,1060.0,113,1997,7,28,1,10070
1040.0,1060.0,1060.0,1060.0,15,1997,7,29,2,10071
1020.0,1080.0,1020.0,1020.0,6,1997,7,30,3,10072
1040.0,1080.0,1040.0,1080.0,14,1997,7,31,4,10073
960.0,1020.0,1020.0,1020.0,55,1997,8,1,5,10074
