low,high,open,close,volume,year,month,day,weekday,days
13244.0,13244.0,13244.0,13244.0,114260,2017,7,7,5,17354
13336.0,14164.0,14164.0,13819.0,2677240,2017,7,10,1,17357
13336.0,13842.0,13842.0,13566.0,838360,2017,7,11,2,17358
13474.0,13773.0,13566.0,13612.0,376520,2017,7,12,3,17359
13405.0,13589.0,13589.0,13405.0,780690,2017,7,13,4,17360
13175.0,13474.0,13359.0,13198.0,605590,2017,7,14,5,17361
13152.0,13566.0,13313.0,13382.0,469140,2017,7,17,1,17364
13244.0,13382.0,13336.0,13244.0,319370,2017,7,18,2,17365
13221.0,13405.0,13336.0,13267.0,279130,2017,7,19,3,17366
13221.0,13336.0,13290.0,13290.0,342050,2017,7,20,4,17367
13244.0,13336.0,13290.0,13267.0,140450,2017,7,21,5,17368
13267.0,13290.0,13267.0,13267.0,282460,2017,7,24,1,17371
13175.0,13336.0,13221.0,13221.0,198020,2017,7,25,2,17372
13244.0,13681.0,13267.0,13543.0,307260,2017,7,26,3,17373
13543.0,14118.0,13658.0,13796.0,438580,2017,7,27,4,17374
13796.0,14118.0,14026.0,14026.0,600310,2017,7,28,5,17375
13911.0,14072.0,13911.0,14026.0,145430,2017,7,31,1,17378
13796.0,14026.0,14026.0,13796.0,198280,2017,8,1,2,17379
13750.0,14026.0,13796.0,13796.0,530950,2017,8,2,3,17380
13819.0,14049.0,13819.0,14026.0,476970,2017,8,3,4,17381
13911.0,14026.0,14026.0,13934.0,267610,2017,8,4,5,17382
13934.0,14072.0,13934.0,14026.0,447390,2017,8,7,1,17385
13865.0,14026.0,14026.0,13911.0,236400,2017,8,8,2,17386
13681.0,14003.0,13819.0,13796.0,384710,2017,8,9,3,17387
13589.0,13911.0,13612.0,13819.0,172920,2017,8,10,4,17388
13773.0,13865.0,13773.0,13819.0,125740,2017,8,11,5,17389
13681.0,13911.0,13911.0,13796.0,168300,2017,8,14,1,17392
13336.0,14026.0,14026.0,13796.0,145160,2017,8,15,2,17393
13566.0,13842.0,13566.0,13796.0,73300,2017,8,16,3,17394
13681.0,13819.0,13796.0,13796.0,190470,2017,8,17,4,17395
13773.0,13796.0,13773.0,13796.0,159680,2017,8,18,5,17396
13750.0,13888.0,13796.0,13796.0,176960,2017,8,21,1,17399
13727.0,13796.0,13796.0,13773.0,71320,2017,8,22,2,17400
13727.0,13796.0,13796.0,13750.0,61150,2017,8,23,3,17401
13727.0,13773.0,13773.0,13773.0,199860,2017,8,24,4,17402
13681.0,13773.0,13727.0,13727.0,60460,2017,8,25,5,17403
13635.0,13727.0,13681.0,13635.0,58920,2017,8,28,1,17406
13566.0,13681.0,13612.0,13635.0,49710,2017,8,29,2,17407
13566.0,13635.0,13635.0,13635.0,72360,2017,8,30,3,17408
13566.0,13635.0,13635.0,13612.0,63060,2017,8,31,4,17409
13612.0,13681.0,13681.0,13612.0,19610,2017,9,1,5,17410
13520.0,13589.0,13566.0,13566.0,41150,2017,9,5,2,17414
13336.0,13520.0,13520.0,13336.0,63080,2017,9,6,3,17415
13221.0,13336.0,13336.0,13244.0,174740,2017,9,7,4,17416
13198.0,13405.0,13405.0,13198.0,81480,2017,9,8,5,17417
12692.0,13221.0,13221.0,12692.0,95710,2017,9,11,1,17420
12669.0,12922.0,12669.0,12876.0,110930,2017,9,12,2,17421
12830.0,13313.0,12876.0,13313.0,109080,2017,9,13,3,17422
12945.0,13129.0,13106.0,12945.0,57710,2017,9,14,4,17423
12761.0,12968.0,12945.0,12761.0,170940,2017,9,15,5,17424
12646.0,12876.0,12761.0,12876.0,97640,2017,9,18,1,17427
12761.0,12876.0,12876.0,12853.0,131570,2017,9,19,2,17428
12853.0,13129.0,12876.0,12991.0,122020,2017,9,20,3,17429
12807.0,12991.0,12991.0,12876.0,19560,2017,9,21,4,17430
12876.0,13060.0,12876.0,12991.0,75900,2017,9,22,5,17431
12784.0,12991.0,12968.0,12968.0,23790,2017,9,25,1,17434
12922.0,13428.0,12991.0,13382.0,115860,2017,9,26,2,17435
13290.0,13520.0,13382.0,13428.0,162700,2017,9,27,3,17436
13428.0,13681.0,13520.0,13543.0,135840,2017,9,28,4,17437
13566.0,13750.0,13566.0,13727.0,146220,2017,9,29,5,17438
13382.0,13796.0,13796.0,13382.0,32020,2017,10,2,1,17441
13336.0,13566.0,13566.0,13359.0,40260,2017,10,3,2,17442
13336.0,13566.0,13336.0,13566.0,15340,2017,10,4,3,17443
13451.0,13589.0,13451.0,13566.0,34120,2017,10,5,4,17444
13451.0,13612.0,13612.0,13543.0,23010,2017,10,6,5,17445
13566.0,13681.0,13566.0,13589.0,105800,2017,10,9,1,17448
13589.0,13658.0,13658.0,13612.0,70890,2017,10,10,2,17449
13612.0,13658.0,13635.0,13658.0,40670,2017,10,11,3,17450
13681.0,14026.0,13681.0,14026.0,489320,2017,10,12,4,17451
14141.0,14577.0,14141.0,14486.0,289190,2017,10,13,5,17452
14509.0,15175.0,14761.0,15175.0,255590,2017,10,16,1,17455
14715.0,15405.0,15382.0,14899.0,164700,2017,10,17,2,17456
14600.0,14945.0,14945.0,14600.0,164000,2017,10,18,3,17457
14486.0,14807.0,14807.0,14761.0,82610,2017,10,19,4,17458
14486.0,14738.0,14692.0,14669.0,85110,2017,10,20,5,17459
14486.0,14692.0,14600.0,14486.0,97230,2017,10,23,1,17462
14256.0,14532.0,14256.0,14532.0,45500,2017,10,24,2,17463
14532.0,14807.0,14807.0,14532.0,71080,2017,10,25,3,17464
14325.0,14922.0,14325.0,14371.0,10540,2017,10,26,4,17465
14256.0,14486.0,14371.0,14486.0,33230,2017,10,27,5,17466
14279.0,14715.0,14532.0,14394.0,85240,2017,10,30,1,17469
14371.0,14600.0,14394.0,14394.0,107550,2017,10,31,2,17470
14371.0,14463.0,14394.0,14394.0,45500,2017,11,1,3,17471
14394.0,14577.0,14577.0,14394.0,85810,2017,11,2,4,17472
14394.0,14692.0,14394.0,14394.0,47140,2017,11,3,5,17473
14417.0,14922.0,14486.0,14922.0,76070,2017,11,6,1,17476
14922.0,15060.0,15060.0,14922.0,12070,2017,11,7,2,17477
14509.0,14922.0,14509.0,14899.0,7040,2017,11,8,3,17478
14830.0,14945.0,14899.0,14922.0,109910,2017,11,9,4,17479
14509.0,14991.0,14509.0,14945.0,48250,2017,11,10,5,17480
14922.0,15129.0,14922.0,14945.0,72610,2017,11,13,1,17483
14738.0,15980.0,14945.0,15980.0,385270,2017,11,14,2,17484
15681.0,16555.0,16210.0,16325.0,140430,2017,11,15,3,17485
15773.0,16555.0,15773.0,16555.0,53800,2017,11,16,4,17486
16118.0,16785.0,16141.0,16440.0,193880,2017,11,17,5,17487
16095.0,16440.0,16118.0,16440.0,74840,2017,11,20,1,17490
16210.0,16555.0,16440.0,16325.0,96450,2017,11,21,2,17491
16095.0,16555.0,16325.0,16555.0,84430,2017,11,22,3,17492
16187.0,16555.0,16555.0,16440.0,26590,2017,11,23,4,17493
16325.0,16532.0,16440.0,16325.0,39360,2017,11,24,5,17494
16233.0,16785.0,16555.0,16256.0,242510,2017,11,27,1,17497
16210.0,16532.0,16279.0,16325.0,28250,2017,11,28,2,17498
16095.0,16555.0,16256.0,16210.0,62140,2017,11,29,3,17499
16325.0,16532.0,16532.0,16394.0,49130,2017,11,30,4,17500
16325.0,16394.0,16371.0,16325.0,16590,2017,12,1,5,17501
16325.0,16532.0,16325.0,16532.0,45170,2017,12,4,1,17504
16532.0,17245.0,16578.0,17222.0,78220,2017,12,5,2,17505
16785.0,17222.0,17222.0,16900.0,80270,2017,12,6,3,17506
16601.0,16785.0,16785.0,16762.0,26560,2017,12,7,4,17507
16670.0,16900.0,16670.0,16785.0,103770,2017,12,8,5,17508
16210.0,16969.0,16210.0,16440.0,50600,2017,12,11,1,17511
16210.0,16440.0,16325.0,16440.0,17170,2017,12,12,2,17512
16325.0,17015.0,17015.0,16555.0,32510,2017,12,13,3,17513
16532.0,16877.0,16555.0,16532.0,17620,2017,12,14,4,17514
16348.0,16555.0,16532.0,16555.0,52930,2017,12,15,5,17515
16555.0,16785.0,16785.0,16670.0,40080,2017,12,18,1,17518
16762.0,17222.0,16762.0,17222.0,125620,2017,12,19,2,17519
16785.0,17222.0,17222.0,16808.0,49470,2017,12,20,3,17520
16808.0,17107.0,16808.0,16831.0,275070,2017,12,21,4,17521
16555.0,16831.0,16831.0,16762.0,78640,2017,12,22,5,17522
16578.0,17245.0,17245.0,16670.0,4060,2017,12,25,1,17525
16670.0,16877.0,16670.0,16693.0,8990,2017,12,26,2,17526
16693.0,16946.0,16693.0,16808.0,52490,2017,12,27,3,17527
16900.0,17130.0,17015.0,17038.0,42870,2017,12,28,4,17528
17038.0,17934.0,17130.0,17934.0,130800,2017,12,29,5,17529
17934.0,18854.0,17934.0,18532.0,68220,2018,1,2,2,17533
18624.0,19130.0,19084.0,19084.0,90850,2018,1,3,3,17534
19084.0,19544.0,19084.0,19521.0,89260,2018,1,4,4,17535
19084.0,19314.0,19314.0,19130.0,18410,2018,1,5,5,17536
18854.0,19544.0,19107.0,19429.0,70280,2018,1,8,1,17539
19084.0,19498.0,19498.0,19084.0,62300,2018,1,9,2,17540
18394.0,19084.0,18877.0,18739.0,37420,2018,1,10,3,17541
18348.0,18739.0,18624.0,18486.0,44770,2018,1,11,4,17542
18164.0,18854.0,18394.0,18164.0,23320,2018,1,12,5,17543
17934.0,18969.0,18164.0,18969.0,37820,2018,1,15,1,17546
18417.0,18854.0,18624.0,18854.0,7170,2018,1,16,2,17547
18302.0,18969.0,18302.0,18348.0,7450,2018,1,17,3,17548
18049.0,18394.0,18049.0,18394.0,57370,2018,1,18,4,17549
18164.0,19084.0,18946.0,18647.0,119870,2018,1,19,5,17550
18647.0,19199.0,18670.0,19038.0,139000,2018,1,22,1,17553
19038.0,19038.0,19038.0,19038.0,0,2018,1,23,2,17554
19038.0,19038.0,19038.0,19038.0,0,2018,1,24,3,17555
19429.0,19774.0,19544.0,19751.0,236670,2018,1,25,4,17556
19544.0,20464.0,19774.0,20027.0,145910,2018,1,26,5,17557
